[train] num_workers -> 48 (cores=56)
[train] variant=act dataset=lerobot/libero_goal_image -> act_results/Goal/runs/act
WARNING:lerobot.configs.policies:Device 'None' is not available. Switching to 'cuda'.
/home/user/Desktop/Ayush PH test/ACT/lang_encoder.py:40: UserWarning: enable_nested_tensor is True, but self.use_nested_tensor is False because encoder_layer.norm_first was True
  self.encoder = nn.TransformerEncoder(layer, num_layers=n_layers)
[ramcache] est 82.0 GB for 52042 items (avail 254 GB)
[ramcache] 10000/52042  (164s)
[ramcache] 20000/52042  (303s)
[ramcache] 30000/52042  (443s)
[ramcache] 40000/52042  (582s)
[ramcache] 50000/52042  (711s)
[ramcache] cached 52042 items in 11.9 min
[train] params=88.28M frames=52042 batch=64 steps=30000
Warning: You are sending unauthenticated requests to the HF Hub. Please set a HF_TOKEN to enable higher rate limits and faster downloads.
WARNING:huggingface_hub.utils._http:Warning: You are sending unauthenticated requests to the HF Hub. Please set a HF_TOKEN to enable higher rate limits and faster downloads.
[act] step    200 | l1=0.4144 total=2.178 phgate=- act=0 | VRAM=9.27GB | 0.096s/it
[act] step    400 | l1=0.3613 total=1.164 phgate=- act=0 | VRAM=9.27GB | 0.100s/it
[act] step    600 | l1=0.3054 total=0.567 phgate=- act=0 | VRAM=9.27GB | 0.101s/it
[act] step    800 | l1=0.2604 total=0.394 phgate=- act=0 | VRAM=9.27GB | 0.098s/it
[act] step   1000 | l1=0.2420 total=0.286 phgate=- act=0 | VRAM=9.27GB | 0.100s/it
[act] step   1200 | l1=0.2258 total=0.281 phgate=- act=0 | VRAM=9.27GB | 0.096s/it
[act] step   1400 | l1=0.2166 total=0.255 phgate=- act=0 | VRAM=9.27GB | 0.109s/it
[act] step   1600 | l1=0.2065 total=0.277 phgate=- act=0 | VRAM=9.27GB | 0.100s/it
[act] step   1800 | l1=0.1946 total=0.239 phgate=- act=0 | VRAM=9.27GB | 0.102s/it
[act] step   2000 | l1=0.1883 total=0.200 phgate=- act=0 | VRAM=9.27GB | 0.102s/it
[act] step   2200 | l1=0.1783 total=0.204 phgate=- act=0 | VRAM=9.27GB | 0.106s/it
[act] step   2400 | l1=0.1724 total=0.221 phgate=- act=0 | VRAM=9.27GB | 0.100s/it
[act] step   2600 | l1=0.1634 total=0.208 phgate=- act=0 | VRAM=9.27GB | 0.095s/it
[act] step   2800 | l1=0.1575 total=0.181 phgate=- act=0 | VRAM=9.27GB | 0.106s/it
[act] step   3000 | l1=0.1516 total=0.186 phgate=- act=0 | VRAM=9.27GB | 0.110s/it
[act] step   3200 | l1=0.1461 total=0.141 phgate=- act=0 | VRAM=9.27GB | 0.100s/it
[act] step   3400 | l1=0.1397 total=0.173 phgate=- act=0 | VRAM=9.27GB | 0.101s/it
[act] step   3600 | l1=0.1342 total=0.179 phgate=- act=0 | VRAM=9.27GB | 0.102s/it
