[train] num_workers -> 48 (cores=56)
[train] variant=act_deeponet dataset=lerobot/libero_goal_image -> act_results/Goal/runs/act_deeponet
WARNING:lerobot.configs.policies:Device 'None' is not available. Switching to 'cuda'.
/home/user/Desktop/Ayush PH test/ACT/lang_encoder.py:40: UserWarning: enable_nested_tensor is True, but self.use_nested_tensor is False because encoder_layer.norm_first was True
  self.encoder = nn.TransformerEncoder(layer, num_layers=n_layers)
[ramcache] est 82.0 GB for 52042 items (avail 254 GB)
[ramcache] 10000/52042  (171s)
[ramcache] 20000/52042  (318s)
[ramcache] 30000/52042  (465s)
[ramcache] 40000/52042  (612s)
[ramcache] 50000/52042  (747s)
[ramcache] cached 52042 items in 12.5 min
[train] params=60.71M frames=52042 batch=64 steps=30000
Warning: You are sending unauthenticated requests to the HF Hub. Please set a HF_TOKEN to enable higher rate limits and faster downloads.
WARNING:huggingface_hub.utils._http:Warning: You are sending unauthenticated requests to the HF Hub. Please set a HF_TOKEN to enable higher rate limits and faster downloads.
[act_deeponet] step    200 | l1=0.4283 total=2.039 phgate=- act=0 | VRAM=6.41GB | 0.071s/it
[act_deeponet] step    400 | l1=0.3632 total=1.140 phgate=- act=0 | VRAM=6.41GB | 0.072s/it
[act_deeponet] step    600 | l1=0.3194 total=0.582 phgate=- act=0 | VRAM=6.41GB | 0.078s/it
[act_deeponet] step    800 | l1=0.2820 total=0.358 phgate=- act=0 | VRAM=6.41GB | 0.071s/it
[act_deeponet] step   1000 | l1=0.2588 total=0.355 phgate=- act=0 | VRAM=6.41GB | 0.086s/it
[act_deeponet] step   1200 | l1=0.2432 total=0.307 phgate=- act=0 | VRAM=6.41GB | 0.079s/it
[act_deeponet] step   1400 | l1=0.2387 total=0.286 phgate=- act=0 | VRAM=6.41GB | 0.075s/it
[act_deeponet] step   1600 | l1=0.2287 total=0.256 phgate=- act=0 | VRAM=6.41GB | 0.073s/it
[act_deeponet] step   1800 | l1=0.2198 total=0.243 phgate=- act=0 | VRAM=6.41GB | 0.076s/it
[act_deeponet] step   2000 | l1=0.2158 total=0.246 phgate=- act=0 | VRAM=6.41GB | 0.077s/it
[act_deeponet] step   2200 | l1=0.2112 total=0.247 phgate=- act=0 | VRAM=6.41GB | 0.076s/it
[act_deeponet] step   2400 | l1=0.2057 total=0.229 phgate=- act=0 | VRAM=6.41GB | 0.074s/it
[act_deeponet] step   2600 | l1=0.1986 total=0.255 phgate=- act=0 | VRAM=6.41GB | 0.075s/it
[act_deeponet] step   2800 | l1=0.1956 total=0.223 phgate=- act=0 | VRAM=6.41GB | 0.084s/it
[act_deeponet] step   3000 | l1=0.1916 total=0.220 phgate=- act=0 | VRAM=6.41GB | 0.082s/it
[act_deeponet] step   3200 | l1=0.1874 total=0.238 phgate=- act=0 | VRAM=6.41GB | 0.076s/it
[act_deeponet] step   3400 | l1=0.1832 total=0.227 phgate=- act=0 | VRAM=6.41GB | 0.075s/it
[act_deeponet] step   3600 | l1=0.1784 total=0.228 phgate=- act=0 | VRAM=6.41GB | 0.075s/it
[act_deeponet] step   3800 | l1=0.1758 total=0.211 phgate=- act=0 | VRAM=6.41GB | 0.080s/it
[act_deeponet] step   4000 | l1=0.1724 total=0.187 phgate=- act=0 | VRAM=6.41GB | 0.076s/it
[act_deeponet] step   4200 | l1=0.1683 total=0.211 phgate=- act=0 | VRAM=6.41GB | 0.077s/it
[act_deeponet] step   4400 | l1=0.1656 total=0.190 phgate=- act=0 | VRAM=6.41GB | 0.077s/it
[act_deeponet] step   4600 | l1=0.1627 total=0.188 phgate=- act=0 | VRAM=6.41GB | 0.083s/it
[act_deeponet] step   4800 | l1=0.1592 total=0.189 phgate=- act=0 | VRAM=6.41GB | 0.084s/it
[act_deeponet] step   5000 | l1=0.1582 total=0.207 phgate=- act=0 | VRAM=6.41GB | 0.088s/it
[ckpt] saved -> act_results/Goal/runs/act_deeponet/checkpoints/5000 (EMA weights)
[act_deeponet] step   5200 | l1=0.1555 total=0.186 phgate=- act=0 | VRAM=6.41GB | 0.083s/it
[act_deeponet] step   5400 | l1=0.1525 total=0.200 phgate=- act=0 | VRAM=6.41GB | 0.083s/it
[act_deeponet] step   5600 | l1=0.1501 total=0.205 phgate=- act=0 | VRAM=6.41GB | 0.084s/it
[act_deeponet] step   5800 | l1=0.1483 total=0.166 phgate=- act=0 | VRAM=6.41GB | 0.083s/it
[act_deeponet] step   6000 | l1=0.1452 total=0.168 phgate=- act=0 | VRAM=6.41GB | 0.080s/it
[act_deeponet] step   6200 | l1=0.1436 total=0.221 phgate=- act=0 | VRAM=6.41GB | 0.082s/it
[act_deeponet] step   6400 | l1=0.1427 total=0.175 phgate=- act=0 | VRAM=6.41GB | 0.090s/it
[act_deeponet] step   6600 | l1=0.1411 total=0.184 phgate=- act=0 | VRAM=6.41GB | 0.076s/it
[act_deeponet] step   6800 | l1=0.1369 total=0.156 phgate=- act=0 | VRAM=6.41GB | 0.085s/it
[act_deeponet] step   7000 | l1=0.1376 total=0.184 phgate=- act=0 | VRAM=6.41GB | 0.086s/it
[act_deeponet] step   7200 | l1=0.1356 total=0.172 phgate=- act=0 | VRAM=6.41GB | 0.083s/it
[act_deeponet] step   7400 | l1=0.1333 total=0.154 phgate=- act=0 | VRAM=6.41GB | 0.081s/it
[act_deeponet] step   7600 | l1=0.1300 total=0.180 phgate=- act=0 | VRAM=6.41GB | 0.081s/it
[act_deeponet] step   7800 | l1=0.1310 total=0.173 phgate=- act=0 | VRAM=6.41GB | 0.084s/it
[act_deeponet] step   8000 | l1=0.1297 total=0.173 phgate=- act=0 | VRAM=6.41GB | 0.075s/it
[act_deeponet] step   8200 | l1=0.1290 total=0.181 phgate=- act=0 | VRAM=6.41GB | 0.083s/it
