[train] num_workers -> 48 (cores=56)
[train] variant=act_deeponet_ph dataset=lerobot/libero_goal_image -> act_results/Goal/runs/act_deeponet_ph
WARNING:lerobot.configs.policies:Device 'None' is not available. Switching to 'cuda'.
/home/user/Desktop/Ayush PH test/ACT/lang_encoder.py:40: UserWarning: enable_nested_tensor is True, but self.use_nested_tensor is False because encoder_layer.norm_first was True
  self.encoder = nn.TransformerEncoder(layer, num_layers=n_layers)
[ramcache] est 82.0 GB for 52042 items (avail 254 GB)
[ramcache] 10000/52042  (172s)
[ramcache] 20000/52042  (319s)
[ramcache] 30000/52042  (466s)
[ramcache] 40000/52042  (611s)
[ramcache] 50000/52042  (745s)
[ramcache] cached 52042 items in 12.5 min
[train] params=60.71M frames=52042 batch=64 steps=30000
Warning: You are sending unauthenticated requests to the HF Hub. Please set a HF_TOKEN to enable higher rate limits and faster downloads.
WARNING:huggingface_hub.utils._http:Warning: You are sending unauthenticated requests to the HF Hub. Please set a HF_TOKEN to enable higher rate limits and faster downloads.
[act_deeponet_ph] step    200 | l1=0.4283 total=2.032 phgate=warmup act=0.0 | VRAM=6.41GB | 0.073s/it
[act_deeponet_ph] step    400 | l1=0.3632 total=1.141 phgate=warmup act=0.0 | VRAM=6.41GB | 0.073s/it
[act_deeponet_ph] step    600 | l1=0.3189 total=0.565 phgate=warmup act=0.0 | VRAM=6.41GB | 0.073s/it
[act_deeponet_ph] step    800 | l1=0.2817 total=0.366 phgate=warmup act=0.0 | VRAM=6.41GB | 0.071s/it
[act_deeponet_ph] step   1000 | l1=0.2586 total=0.370 phgate=warmup act=0.0 | VRAM=6.41GB | 0.075s/it
[act_deeponet_ph] step   1200 | l1=0.2433 total=0.301 phgate=warmup act=0.0 | VRAM=6.41GB | 0.077s/it
[act_deeponet_ph] step   1400 | l1=0.2387 total=0.292 phgate=warmup act=0.0 | VRAM=6.41GB | 0.075s/it
[act_deeponet_ph] step   1600 | l1=0.2285 total=0.252 phgate=warmup act=0.0 | VRAM=6.41GB | 0.073s/it
[act_deeponet_ph] step   1800 | l1=0.2200 total=0.236 phgate=warmup act=0.0 | VRAM=6.41GB | 0.086s/it
[act_deeponet_ph] step   2000 | l1=0.2153 total=0.231 phgate=warmup act=0.0 | VRAM=6.41GB | 0.074s/it
[act_deeponet_ph] step   2200 | l1=0.2107 total=0.239 phgate=warmup act=0.0 | VRAM=6.41GB | 0.075s/it
[act_deeponet_ph] step   2400 | l1=0.2063 total=0.228 phgate=warmup act=0.0 | VRAM=6.41GB | 0.075s/it
[act_deeponet_ph] step   2600 | l1=0.1988 total=0.267 phgate=warmup act=0.0 | VRAM=6.41GB | 0.074s/it
[act_deeponet_ph] step   2800 | l1=0.1954 total=0.206 phgate=warmup act=0.0 | VRAM=6.41GB | 0.074s/it
[act_deeponet_ph] step   3000 | l1=0.1913 total=0.213 phgate=warmup act=0.0 | VRAM=6.41GB | 0.075s/it
[act_deeponet_ph] step   3200 | l1=0.1883 total=0.215 phgate=warmup act=0.0 | VRAM=6.41GB | 0.076s/it
[act_deeponet_ph] step   3400 | l1=0.1839 total=0.231 phgate=warmup act=0.0 | VRAM=6.41GB | 0.076s/it
[act_deeponet_ph] step   3600 | l1=0.1792 total=0.213 phgate=warmup act=0.0 | VRAM=6.41GB | 0.080s/it
[act_deeponet_ph] step   3800 | l1=0.1769 total=0.212 phgate=warmup act=0.0 | VRAM=6.41GB | 0.074s/it
