step,epoch,l1_loss,kld_loss,total_loss,ph_active_frac,ph_gate,lr,vram_gb,step_s
1,0,0.5608,7.7519,78.08,0,-,2.0000000000000002e-07,8.2,12.2449
2,0,0.5135,7.7561,78.0744,0,-,4.0000000000000003e-07,9.27,0.0821
3,0,0.5427,7.6453,76.996,0,-,6.000000000000001e-07,9.27,0.103
4,0,0.5432,7.4724,75.2671,0,-,8.000000000000001e-07,9.27,0.1098
5,0,0.5584,7.322,73.7785,0,-,1.0000000000000002e-06,9.28,0.0984
6,0,0.5716,7.0516,71.0871,0,-,1.2000000000000002e-06,9.29,0.1084
7,0,0.555,6.772,68.2745,0,-,1.4000000000000001e-06,9.28,0.0981
8,0,0.4938,6.6313,66.8068,0,-,1.6000000000000001e-06,9.28,0.1037
9,0,0.5029,6.4142,64.6445,0,-,1.8e-06,9.28,0.118
10,0,0.4967,6.0009,60.5061,0,-,2.0000000000000003e-06,9.28,0.0855
11,0,0.4535,5.7099,57.5521,0,-,2.2e-06,9.28,0.1077
12,0,0.4819,5.3076,53.5574,0,-,2.4000000000000003e-06,9.28,0.0979
13,0,0.5411,4.9508,50.0489,0,-,2.6e-06,9.28,0.1074
14,0,0.4795,4.7478,47.9574,0,-,2.8000000000000003e-06,9.28,0.0975
15,0,0.4835,4.2856,43.34,0,-,3e-06,9.28,0.1046
16,0,0.5062,3.8029,38.5355,0,-,3.2000000000000003e-06,9.27,0.1027
17,0,0.5329,3.5195,35.7277,0,-,3.4000000000000005e-06,9.27,0.1028
18,0,0.4596,3.1882,32.3418,0,-,3.6e-06,9.27,0.1036
19,0,0.4315,2.9161,29.5924,0,-,3.8e-06,9.27,0.1034
20,0,0.4465,2.6061,26.5072,0,-,4.000000000000001e-06,9.27,0.1068
21,0,0.4778,2.2701,23.1788,0,-,4.2000000000000004e-06,9.27,0.1022
22,0,0.4725,1.9127,19.5992,0,-,4.4e-06,9.27,0.1036
23,0,0.4238,1.8877,19.3004,0,-,4.6e-06,9.27,0.1025
24,0,0.4877,1.5669,16.1564,0,-,4.800000000000001e-06,9.28,0.1007
25,0,0.4595,1.5637,16.0962,0,-,5e-06,9.27,0.0958
26,0,0.4807,1.4296,14.777,0,-,5.2e-06,9.26,0.1016
27,0,0.4276,1.4114,14.5416,0,-,5.4e-06,9.27,0.1038
28,0,0.4133,1.2848,13.2611,0,-,5.600000000000001e-06,9.27,0.1016
29,0,0.4433,1.238,12.8234,0,-,5.8e-06,9.27,0.0976
30,0,0.4518,1.1866,12.3181,0,-,6e-06,9.28,0.0961
31,0,0.3986,1.1498,11.897,0,-,6.2e-06,9.27,0.1077
32,0,0.4553,1.1458,11.9131,0,-,6.4000000000000006e-06,9.28,0.1073
33,0,0.3746,1.141,11.7841,0,-,6.6e-06,9.27,0.0982
34,0,0.4571,1.0744,11.2009,0,-,6.800000000000001e-06,9.27,0.1103
35,0,0.4528,0.956,10.013,0,-,7.000000000000001e-06,9.27,0.0997
36,0,0.4597,1.018,10.6397,0,-,7.2e-06,9.27,0.0959
37,0,0.4331,0.9381,9.8137,0,-,7.4e-06,9.28,0.0996
38,0,0.4277,0.9234,9.6621,0,-,7.6e-06,9.27,0.0992
39,0,0.4884,0.8342,8.8305,0,-,7.8e-06,9.27,0.1036
40,0,0.4555,0.846,8.9152,0,-,8.000000000000001e-06,9.28,0.1046
41,0,0.4369,0.7564,8.001,0,-,8.200000000000001e-06,9.27,0.1025
42,0,0.4154,0.7205,7.6203,0,-,8.400000000000001e-06,9.27,0.0985
43,0,0.4069,0.7264,7.6711,0,-,8.599999999999999e-06,9.27,0.1078
44,0,0.4406,0.652,6.9604,0,-,8.8e-06,9.27,0.0989
45,0,0.4949,0.6495,6.99,0,-,9e-06,9.27,0.0988
46,0,0.4269,0.6438,6.8646,0,-,9.2e-06,9.26,0.1014
47,0,0.492,0.6377,6.8695,0,-,9.4e-06,9.27,0.1002
48,0,0.4268,0.5981,6.4083,0,-,9.600000000000001e-06,9.27,0.1005
49,0,0.4287,0.6076,6.5052,0,-,9.800000000000001e-06,9.27,0.1019
50,0,0.4096,0.5863,6.2727,0,-,1e-05,9.27,0.0987
51,0,0.4459,0.5806,6.2518,0,-,1.02e-05,9.27,0.1044
52,0,0.4513,0.5343,5.7944,0,-,1.04e-05,9.27,0.095
53,0,0.4399,0.5598,6.0382,0,-,1.06e-05,9.27,0.1023
54,0,0.3454,0.5507,5.8525,0,-,1.08e-05,9.27,0.0987
55,0,0.454,0.4908,5.362,0,-,1.1000000000000001e-05,9.27,0.0994
56,0,0.3741,0.5021,5.3949,0,-,1.1200000000000001e-05,9.27,0.1017
57,0,0.3947,0.4831,5.2258,0,-,1.1400000000000001e-05,9.26,0.1032
58,0,0.4679,0.48,5.2678,0,-,1.16e-05,9.26,0.1004
59,0,0.4073,0.4611,5.0184,0,-,1.18e-05,9.27,0.1033
60,0,0.3959,0.459,4.986,0,-,1.2e-05,9.27,0.0943
61,0,0.4307,0.4554,4.9846,0,-,1.22e-05,9.27,0.0966
62,0,0.4276,0.4442,4.8696,0,-,1.24e-05,9.27,0.097
63,0,0.4016,0.4585,4.9865,0,-,1.2600000000000001e-05,9.26,0.0953
64,0,0.4659,0.406,4.5254,0,-,1.2800000000000001e-05,9.27,0.0996
65,0,0.3852,0.4199,4.5839,0,-,1.3000000000000001e-05,9.26,0.096
66,0,0.4035,0.4061,4.4644,0,-,1.32e-05,9.28,0.102
67,0,0.3723,0.3992,4.364,0,-,1.3400000000000002e-05,9.27,0.0983
68,0,0.3708,0.3987,4.3574,0,-,1.3600000000000002e-05,9.27,0.1002
69,0,0.4229,0.4039,4.4615,0,-,1.3800000000000002e-05,9.26,0.1007
70,0,0.421,0.3813,4.2337,0,-,1.4000000000000001e-05,9.27,0.0991
71,0,0.4517,0.3837,4.2883,0,-,1.42e-05,9.27,0.0964
72,0,0.3594,0.3959,4.3181,0,-,1.44e-05,9.27,0.1048
73,0,0.4145,0.3847,4.2614,0,-,1.4599999999999999e-05,9.26,0.0949
74,0,0.4083,0.3494,3.9024,0,-,1.48e-05,9.27,0.0989
75,0,0.3976,0.3642,4.0395,0,-,1.5e-05,9.26,0.0997
76,0,0.4542,0.344,3.8946,0,-,1.52e-05,9.27,0.0952
77,0,0.4511,0.3165,3.6164,0,-,1.54e-05,9.27,0.1001
78,0,0.4284,0.3388,3.8162,0,-,1.56e-05,9.27,0.103
79,0,0.3757,0.3525,3.9011,0,-,1.58e-05,9.27,0.1034
80,0,0.4597,0.33,3.76,0,-,1.6000000000000003e-05,9.27,0.104
81,0,0.419,0.3297,3.7162,0,-,1.62e-05,9.27,0.0947
82,0,0.3603,0.3286,3.6465,0,-,1.6400000000000002e-05,9.27,0.1016
83,0,0.4627,0.3135,3.5972,0,-,1.66e-05,9.27,0.1001
84,0,0.3401,0.3367,3.7068,0,-,1.6800000000000002e-05,9.27,0.096
85,0,0.37,0.3125,3.4955,0,-,1.7000000000000003e-05,9.27,0.0958
86,0,0.396,0.3088,3.4844,0,-,1.7199999999999998e-05,9.27,0.0981
87,0,0.427,0.2948,3.3749,0,-,1.74e-05,9.28,0.0952
88,0,0.4588,0.2909,3.3683,0,-,1.76e-05,9.27,0.0964
89,0,0.4778,0.2789,3.2664,0,-,1.78e-05,9.28,0.0955
90,0,0.3701,0.3095,3.4648,0,-,1.8e-05,9.27,0.1001
91,0,0.4378,0.2968,3.4055,0,-,1.8200000000000002e-05,9.27,0.0972
92,0,0.417,0.2911,3.328,0,-,1.84e-05,9.27,0.0963
93,0,0.3918,0.2831,3.2229,0,-,1.86e-05,9.27,0.0992
94,0,0.3885,0.2783,3.171,0,-,1.88e-05,9.27,0.0987
95,0,0.3854,0.2993,3.3786,0,-,1.9e-05,9.27,0.0959
96,0,0.4061,0.2789,3.1954,0,-,1.9200000000000003e-05,9.27,0.0962
97,0,0.3468,0.2738,3.0847,0,-,1.94e-05,9.27,0.0952
98,0,0.4465,0.2728,3.1745,0,-,1.9600000000000002e-05,9.26,0.0987
99,0,0.3941,0.267,3.0642,0,-,1.9800000000000004e-05,9.27,0.0976
100,0,0.4441,0.2734,3.178,0,-,2e-05,9.26,0.0963
101,0,0.4556,0.2626,3.0815,0,-,2.0200000000000003e-05,9.28,0.096
102,0,0.3963,0.2643,3.0397,0,-,2.04e-05,9.27,0.0967
103,0,0.3589,0.271,3.0691,0,-,2.06e-05,9.27,0.0955
104,0,0.4272,0.2685,3.1121,0,-,2.08e-05,9.28,0.0987
105,0,0.3948,0.2655,3.0494,0,-,2.1e-05,9.27,0.0967
106,0,0.3673,0.2568,2.9352,0,-,2.12e-05,9.27,0.0985
107,0,0.4527,0.2507,2.9593,0,-,2.1400000000000002e-05,9.27,0.1002
108,0,0.3336,0.2712,3.046,0,-,2.16e-05,9.27,0.0954
109,0,0.3521,0.2702,3.0542,0,-,2.18e-05,9.27,0.0955
110,0,0.4599,0.2494,2.9535,0,-,2.2000000000000003e-05,9.27,0.0989
111,0,0.359,0.2656,3.0147,0,-,2.22e-05,9.27,0.1003
112,0,0.401,0.2432,2.833,0,-,2.2400000000000002e-05,9.28,0.0989
113,0,0.365,0.2474,2.8394,0,-,2.26e-05,9.28,0.0963
114,0,0.4251,0.2555,2.9804,0,-,2.2800000000000002e-05,9.28,0.0989
115,0,0.4087,0.2475,2.8834,0,-,2.3000000000000003e-05,9.28,0.0975
116,0,0.3588,0.2547,2.9057,0,-,2.32e-05,9.28,0.1
117,0,0.382,0.2457,2.8388,0,-,2.3400000000000003e-05,9.27,0.0984
118,0,0.3713,0.2384,2.7555,0,-,2.36e-05,9.27,0.101
119,0,0.3869,0.2431,2.8178,0,-,2.38e-05,9.27,0.1045
120,0,0.4023,0.2215,2.6172,0,-,2.4e-05,9.27,0.1061
121,0,0.427,0.2334,2.7609,0,-,2.4200000000000002e-05,9.26,0.0998
122,0,0.3799,0.2325,2.7045,0,-,2.44e-05,9.26,0.1055
123,0,0.4261,0.2457,2.8832,0,-,2.46e-05,9.27,0.0998
124,0,0.3854,0.2326,2.7109,0,-,2.48e-05,9.27,0.1049
125,0,0.3793,0.2246,2.6253,0,-,2.5e-05,9.26,0.0988
126,0,0.3553,0.2337,2.6919,0,-,2.5200000000000003e-05,9.26,0.0993
127,0,0.4974,0.2279,2.7767,0,-,2.54e-05,9.27,0.0971
128,0,0.3721,0.2401,2.7732,0,-,2.5600000000000002e-05,9.27,0.1038
129,0,0.4257,0.2359,2.7844,0,-,2.58e-05,9.27,0.0972
130,0,0.4003,0.2213,2.6129,0,-,2.6000000000000002e-05,9.27,0.0963
131,0,0.3954,0.2278,2.673,0,-,2.6200000000000003e-05,9.27,0.1039
132,0,0.3917,0.2286,2.6772,0,-,2.64e-05,9.26,0.1
133,0,0.4071,0.2232,2.6394,0,-,2.6600000000000003e-05,9.27,0.0981
134,0,0.3707,0.2122,2.4924,0,-,2.6800000000000004e-05,9.27,0.1022
135,0,0.4262,0.2174,2.6,0,-,2.7000000000000002e-05,9.27,0.0968
136,0,0.3894,0.2314,2.703,0,-,2.7200000000000004e-05,9.27,0.1027
137,0,0.4146,0.2192,2.6063,0,-,2.7400000000000002e-05,9.28,0.096
138,0,0.3748,0.2178,2.5532,0,-,2.7600000000000003e-05,9.27,0.0995
139,0,0.4165,0.2243,2.6592,0,-,2.7800000000000005e-05,9.28,0.1002
140,0,0.4008,0.223,2.6305,0,-,2.8000000000000003e-05,9.27,0.0994
141,0,0.3989,0.212,2.5186,0,-,2.8199999999999998e-05,9.27,0.1034
142,0,0.3692,0.2219,2.5879,0,-,2.84e-05,9.27,0.1004
143,0,0.3987,0.22,2.5983,0,-,2.86e-05,9.27,0.0959
144,0,0.3504,0.2226,2.5764,0,-,2.88e-05,9.26,0.1044
145,0,0.3826,0.2153,2.536,0,-,2.9e-05,9.28,0.1008
146,0,0.3699,0.2137,2.5072,0,-,2.9199999999999998e-05,9.27,0.1006
147,0,0.3835,0.2033,2.4163,0,-,2.94e-05,9.27,0.0987
148,0,0.3485,0.2054,2.4021,0,-,2.96e-05,9.26,0.0999
149,0,0.3921,0.2064,2.4562,0,-,2.98e-05,9.26,0.099
150,0,0.361,0.2179,2.5403,0,-,3e-05,9.27,0.1036
151,0,0.4229,0.2001,2.4239,0,-,3.02e-05,9.27,0.1047
152,0,0.3824,0.1997,2.3796,0,-,3.04e-05,9.26,0.1006
153,0,0.4221,0.2008,2.4306,0,-,3.06e-05,9.26,0.0982
154,0,0.3599,0.2062,2.4219,0,-,3.08e-05,9.26,0.0981
155,0,0.364,0.2028,2.3916,0,-,3.1e-05,9.26,0.1015
156,0,0.3936,0.1971,2.3651,0,-,3.12e-05,9.27,0.0986
157,0,0.3651,0.1958,2.3229,0,-,3.1400000000000004e-05,9.27,0.0971
158,0,0.361,0.2016,2.3767,0,-,3.16e-05,9.26,0.0997
159,0,0.3273,0.1955,2.2824,0,-,3.18e-05,9.27,0.0966
160,0,0.3978,0.1974,2.3717,0,-,3.2000000000000005e-05,9.27,0.1013
161,0,0.3755,0.194,2.3153,0,-,3.2200000000000003e-05,9.27,0.0954
162,0,0.4032,0.1948,2.3509,0,-,3.24e-05,9.27,0.1029
163,0,0.381,0.2059,2.4404,0,-,3.26e-05,9.27,0.1008
164,0,0.3807,0.1956,2.3366,0,-,3.2800000000000004e-05,9.27,0.1032
165,0,0.3677,0.1917,2.2849,0,-,3.3e-05,9.27,0.0978
166,0,0.4155,0.1975,2.3901,0,-,3.32e-05,9.27,0.107
167,0,0.4184,0.1971,2.3891,0,-,3.3400000000000005e-05,9.27,0.0979
168,0,0.4326,0.187,2.3025,0,-,3.3600000000000004e-05,9.27,0.1002
169,0,0.4095,0.1894,2.3037,0,-,3.38e-05,9.27,0.0978
170,0,0.3932,0.1937,2.3299,0,-,3.4000000000000007e-05,9.27,0.0964
171,0,0.3935,0.1901,2.2949,0,-,3.4200000000000005e-05,9.27,0.1026
172,0,0.3658,0.1795,2.161,0,-,3.4399999999999996e-05,9.26,0.1002
173,0,0.3659,0.191,2.276,0,-,3.46e-05,9.27,0.1006
174,0,0.3768,0.1836,2.213,0,-,3.48e-05,9.26,0.1046
175,0,0.3834,0.1851,2.2339,0,-,3.5e-05,9.27,0.0958
176,0,0.3516,0.1936,2.2876,0,-,3.52e-05,9.27,0.0965
177,0,0.4055,0.1903,2.3082,0,-,3.54e-05,9.27,0.0964
