step,epoch,l1_loss,kld_loss,total_loss,ph_active_frac,ph_gate,lr,vram_gb,step_s
1,0,0.4622,7.9267,79.7295,0.0,warmup,2.0000000000000002e-07,5.7,12.7636
2,0,0.4424,7.6795,77.2373,0.0,warmup,4.0000000000000003e-07,6.41,0.0567
3,0,0.4484,7.5093,75.5418,0.0,warmup,6.000000000000001e-07,6.41,0.0753
4,0,0.4697,7.3609,74.079,0.0,warmup,8.000000000000001e-07,6.41,0.0787
5,0,0.4692,7.2394,72.8633,0.0,warmup,1.0000000000000002e-06,6.41,0.0718
6,0,0.4539,6.9265,69.7192,0.0,warmup,1.2000000000000002e-06,6.41,0.077
7,0,0.4562,6.7998,68.454,0.0,warmup,1.4000000000000001e-06,6.41,0.071
8,0,0.5039,6.5714,66.2176,0.0,warmup,1.6000000000000001e-06,6.41,0.0799
9,0,0.4282,6.5498,65.9267,0.0,warmup,1.8e-06,6.41,0.0744
10,0,0.4649,6.1376,61.841,0.0,warmup,2.0000000000000003e-06,6.41,0.0777
11,0,0.4639,5.7491,57.9547,0.0,warmup,2.2e-06,6.41,0.081
12,0,0.4575,5.4533,54.9906,0.0,warmup,2.4000000000000003e-06,6.41,0.072
13,0,0.4824,4.9417,49.8996,0.0,warmup,2.6e-06,6.41,0.0748
14,0,0.4277,4.4493,44.9203,0.0,warmup,2.8000000000000003e-06,6.41,0.0779
15,0,0.483,4.186,42.3431,0.0,warmup,3e-06,6.41,0.0764
16,0,0.4625,4.0067,40.5297,0.0,warmup,3.2000000000000003e-06,6.41,0.0751
17,0,0.4109,3.6549,36.9602,0.0,warmup,3.4000000000000005e-06,6.41,0.072
18,0,0.4566,3.218,32.6369,0.0,warmup,3.6e-06,6.41,0.0787
19,0,0.3462,2.8142,28.4884,0.0,warmup,3.8e-06,6.41,0.0741
20,0,0.4485,2.5475,25.9235,0.0,warmup,4.000000000000001e-06,6.41,0.0743
21,0,0.4092,2.2417,22.826,0.0,warmup,4.2000000000000004e-06,6.41,0.0733
22,0,0.481,1.9414,19.8949,0.0,warmup,4.4e-06,6.41,0.0784
23,0,0.4951,1.921,19.7047,0.0,warmup,4.6e-06,6.41,0.0715
24,0,0.4238,1.6576,16.9997,0.0,warmup,4.800000000000001e-06,6.41,0.077
25,0,0.4315,1.5783,16.2149,0.0,warmup,5e-06,6.41,0.0743
26,0,0.3974,1.37,14.0973,0.0,warmup,5.2e-06,6.41,0.0743
