[train] num_workers -> 48 (cores=56)
[train] variant=act dataset=lerobot/libero_10_image -> act_results/Long/runs/act
WARNING:lerobot.configs.policies:Device 'None' is not available. Switching to 'cuda'.
/home/user/Desktop/Ayush PH test/ACT/lang_encoder.py:40: UserWarning: enable_nested_tensor is True, but self.use_nested_tensor is False because encoder_layer.norm_first was True
  self.encoder = nn.TransformerEncoder(layer, num_layers=n_layers)
[ramcache] est 159.9 GB for 101469 items (avail 256 GB)
[ramcache] 10000/101469  (171s)
[ramcache] 20000/101469  (320s)
[ramcache] 30000/101469  (469s)
[ramcache] 40000/101469  (617s)
[ramcache] 50000/101469  (764s)
[ramcache] 60000/101469  (912s)
[ramcache] 70000/101469  (1061s)
[ramcache] 80000/101469  (1206s)
[ramcache] 90000/101469  (1354s)
[ramcache] 100000/101469  (1482s)
[ramcache] cached 101469 items in 24.7 min
[train] params=88.28M frames=101469 batch=64 steps=30000
[act] step    200 | l1=0.5842 total=2.324 phgate=- act=0 | VRAM=9.27GB | 0.099s/it
[act] step    400 | l1=0.5383 total=1.335 phgate=- act=0 | VRAM=9.27GB | 0.100s/it
[act] step    600 | l1=0.4946 total=0.700 phgate=- act=0 | VRAM=9.27GB | 0.102s/it
[act] step    800 | l1=0.4120 total=0.495 phgate=- act=0 | VRAM=9.27GB | 0.109s/it
[act] step   1000 | l1=0.3854 total=0.446 phgate=- act=0 | VRAM=9.27GB | 0.102s/it
[act] step   1200 | l1=0.3680 total=0.408 phgate=- act=0 | VRAM=9.27GB | 0.098s/it
[act] step   1400 | l1=0.3545 total=0.375 phgate=- act=0 | VRAM=9.27GB | 0.103s/it
[act] step   1600 | l1=0.3441 total=0.387 phgate=- act=0 | VRAM=9.27GB | 0.101s/it
[act] step   1800 | l1=0.3337 total=0.335 phgate=- act=0 | VRAM=9.27GB | 0.104s/it
[act] step   2000 | l1=0.3203 total=0.349 phgate=- act=0 | VRAM=9.27GB | 0.100s/it
[act] step   2200 | l1=0.3166 total=0.335 phgate=- act=0 | VRAM=9.27GB | 0.113s/it
[act] step   2400 | l1=0.3033 total=0.308 phgate=- act=0 | VRAM=9.27GB | 0.105s/it
[act] step   2600 | l1=0.2980 total=0.344 phgate=- act=0 | VRAM=9.27GB | 0.104s/it
[act] step   2800 | l1=0.2918 total=0.330 phgate=- act=0 | VRAM=9.27GB | 0.103s/it
[act] step   3000 | l1=0.2875 total=0.293 phgate=- act=0 | VRAM=9.27GB | 0.103s/it
[act] step   3200 | l1=0.2768 total=0.283 phgate=- act=0 | VRAM=9.27GB | 0.111s/it
[act] step   3400 | l1=0.2697 total=0.270 phgate=- act=0 | VRAM=9.27GB | 0.104s/it
[act] step   3600 | l1=0.2616 total=0.262 phgate=- act=0 | VRAM=9.27GB | 0.107s/it
[act] step   3800 | l1=0.2545 total=0.276 phgate=- act=0 | VRAM=9.27GB | 0.105s/it
[act] step   4000 | l1=0.2521 total=0.276 phgate=- act=0 | VRAM=9.27GB | 0.104s/it
[act] step   4200 | l1=0.2462 total=0.282 phgate=- act=0 | VRAM=9.27GB | 0.097s/it
[act] step   4400 | l1=0.2425 total=0.253 phgate=- act=0 | VRAM=9.27GB | 0.106s/it
[act] step   4600 | l1=0.2387 total=0.272 phgate=- act=0 | VRAM=9.27GB | 0.103s/it
[act] step   4800 | l1=0.2326 total=0.266 phgate=- act=0 | VRAM=9.27GB | 0.107s/it
[act] step   5000 | l1=0.2260 total=0.262 phgate=- act=0 | VRAM=9.27GB | 0.103s/it
[ckpt] saved -> act_results/Long/runs/act/checkpoints/5000 (EMA weights)
[act] step   5200 | l1=0.2220 total=0.260 phgate=- act=0 | VRAM=9.27GB | 0.102s/it
[act] step   5400 | l1=0.2196 total=0.266 phgate=- act=0 | VRAM=9.27GB | 0.103s/it
[act] step   5600 | l1=0.2159 total=0.278 phgate=- act=0 | VRAM=9.27GB | 0.106s/it
[act] step   5800 | l1=0.2148 total=0.252 phgate=- act=0 | VRAM=9.27GB | 0.102s/it
[act] step   6000 | l1=0.2086 total=0.255 phgate=- act=0 | VRAM=9.27GB | 0.101s/it
[act] step   6200 | l1=0.2060 total=0.228 phgate=- act=0 | VRAM=9.27GB | 0.103s/it
[act] step   6400 | l1=0.2023 total=0.209 phgate=- act=0 | VRAM=9.27GB | 0.095s/it
[act] step   6600 | l1=0.1976 total=0.228 phgate=- act=0 | VRAM=9.27GB | 0.105s/it
[act] step   6800 | l1=0.1938 total=0.208 phgate=- act=0 | VRAM=9.27GB | 0.107s/it
