[train] num_workers -> 48 (cores=56)
[train] variant=act_deeponet dataset=lerobot/libero_10_image -> act_results/Long/runs/act_deeponet
WARNING:lerobot.configs.policies:Device 'None' is not available. Switching to 'cuda'.
/home/user/Desktop/Ayush PH test/ACT/lang_encoder.py:40: UserWarning: enable_nested_tensor is True, but self.use_nested_tensor is False because encoder_layer.norm_first was True
  self.encoder = nn.TransformerEncoder(layer, num_layers=n_layers)
[ramcache] est 159.9 GB for 101469 items (avail 256 GB)
[ramcache] 10000/101469  (177s)
[ramcache] 20000/101469  (329s)
[ramcache] 30000/101469  (481s)
[ramcache] 40000/101469  (633s)
[ramcache] 50000/101469  (783s)
[ramcache] 60000/101469  (936s)
[ramcache] 70000/101469  (1088s)
[ramcache] 80000/101469  (1238s)
[ramcache] 90000/101469  (1388s)
[ramcache] 100000/101469  (1521s)
[ramcache] cached 101469 items in 25.4 min
[train] params=60.71M frames=101469 batch=64 steps=30000
Warning: You are sending unauthenticated requests to the HF Hub. Please set a HF_TOKEN to enable higher rate limits and faster downloads.
WARNING:huggingface_hub.utils._http:Warning: You are sending unauthenticated requests to the HF Hub. Please set a HF_TOKEN to enable higher rate limits and faster downloads.
[act_deeponet] step    200 | l1=0.5849 total=2.214 phgate=- act=0 | VRAM=6.41GB | 0.084s/it
[act_deeponet] step    400 | l1=0.5198 total=1.239 phgate=- act=0 | VRAM=6.41GB | 0.091s/it
[act_deeponet] step    600 | l1=0.4599 total=0.737 phgate=- act=0 | VRAM=6.41GB | 0.086s/it
[act_deeponet] step    800 | l1=0.4179 total=0.530 phgate=- act=0 | VRAM=6.41GB | 0.088s/it
[act_deeponet] step   1000 | l1=0.3985 total=0.461 phgate=- act=0 | VRAM=6.41GB | 0.084s/it
[act_deeponet] step   1200 | l1=0.3851 total=0.425 phgate=- act=0 | VRAM=6.41GB | 0.084s/it
[act_deeponet] step   1400 | l1=0.3724 total=0.438 phgate=- act=0 | VRAM=6.41GB | 0.087s/it
[act_deeponet] step   1600 | l1=0.3676 total=0.423 phgate=- act=0 | VRAM=6.41GB | 0.081s/it
[act_deeponet] step   1800 | l1=0.3563 total=0.369 phgate=- act=0 | VRAM=6.41GB | 0.080s/it
[act_deeponet] step   2000 | l1=0.3477 total=0.384 phgate=- act=0 | VRAM=6.41GB | 0.084s/it
[act_deeponet] step   2200 | l1=0.3433 total=0.352 phgate=- act=0 | VRAM=6.41GB | 0.084s/it
[act_deeponet] step   2400 | l1=0.3367 total=0.359 phgate=- act=0 | VRAM=6.41GB | 0.080s/it
[act_deeponet] step   2600 | l1=0.3303 total=0.320 phgate=- act=0 | VRAM=6.41GB | 0.084s/it
[act_deeponet] step   2800 | l1=0.3244 total=0.327 phgate=- act=0 | VRAM=6.41GB | 0.085s/it
[act_deeponet] step   3000 | l1=0.3187 total=0.344 phgate=- act=0 | VRAM=6.41GB | 0.084s/it
[act_deeponet] step   3200 | l1=0.3134 total=0.353 phgate=- act=0 | VRAM=6.41GB | 0.087s/it
[act_deeponet] step   3400 | l1=0.3079 total=0.362 phgate=- act=0 | VRAM=6.41GB | 0.085s/it
[act_deeponet] step   3600 | l1=0.3048 total=0.353 phgate=- act=0 | VRAM=6.41GB | 0.086s/it
[act_deeponet] step   3800 | l1=0.3008 total=0.312 phgate=- act=0 | VRAM=6.41GB | 0.087s/it
[act_deeponet] step   4000 | l1=0.2924 total=0.305 phgate=- act=0 | VRAM=6.41GB | 0.085s/it
[act_deeponet] step   4200 | l1=0.2918 total=0.320 phgate=- act=0 | VRAM=6.41GB | 0.083s/it
[act_deeponet] step   4400 | l1=0.2889 total=0.337 phgate=- act=0 | VRAM=6.41GB | 0.086s/it
[act_deeponet] step   4600 | l1=0.2835 total=0.321 phgate=- act=0 | VRAM=6.41GB | 0.082s/it
[act_deeponet] step   4800 | l1=0.2825 total=0.319 phgate=- act=0 | VRAM=6.41GB | 0.087s/it
[act_deeponet] step   5000 | l1=0.2768 total=0.305 phgate=- act=0 | VRAM=6.41GB | 0.083s/it
[ckpt] saved -> act_results/Long/runs/act_deeponet/checkpoints/5000 (EMA weights)
[act_deeponet] step   5200 | l1=0.2746 total=0.327 phgate=- act=0 | VRAM=6.41GB | 0.087s/it
[act_deeponet] step   5400 | l1=0.2700 total=0.266 phgate=- act=0 | VRAM=6.41GB | 0.085s/it
[act_deeponet] step   5600 | l1=0.2681 total=0.277 phgate=- act=0 | VRAM=6.41GB | 0.085s/it
[act_deeponet] step   5800 | l1=0.2640 total=0.290 phgate=- act=0 | VRAM=6.41GB | 0.081s/it
[act_deeponet] step   6000 | l1=0.2620 total=0.286 phgate=- act=0 | VRAM=6.41GB | 0.084s/it
[act_deeponet] step   6200 | l1=0.2607 total=0.293 phgate=- act=0 | VRAM=6.41GB | 0.081s/it
[act_deeponet] step   6400 | l1=0.2559 total=0.299 phgate=- act=0 | VRAM=6.41GB | 0.086s/it
[act_deeponet] step   6600 | l1=0.2517 total=0.305 phgate=- act=0 | VRAM=6.41GB | 0.081s/it
[act_deeponet] step   6800 | l1=0.2499 total=0.309 phgate=- act=0 | VRAM=6.41GB | 0.081s/it
[act_deeponet] step   7000 | l1=0.2488 total=0.304 phgate=- act=0 | VRAM=6.41GB | 0.083s/it
[act_deeponet] step   7200 | l1=0.2459 total=0.334 phgate=- act=0 | VRAM=6.41GB | 0.083s/it
[act_deeponet] step   7400 | l1=0.2441 total=0.305 phgate=- act=0 | VRAM=6.41GB | 0.085s/it
[act_deeponet] step   7600 | l1=0.2419 total=0.294 phgate=- act=0 | VRAM=6.41GB | 0.085s/it
[act_deeponet] step   7800 | l1=0.2399 total=0.278 phgate=- act=0 | VRAM=6.41GB | 0.086s/it
