[train] num_workers -> 48 (cores=56)
[train] variant=act_deeponet_ph dataset=lerobot/libero_10_image -> act_results/Long/runs/act_deeponet_ph
WARNING:lerobot.configs.policies:Device 'None' is not available. Switching to 'cuda'.
/home/user/Desktop/Ayush PH test/ACT/lang_encoder.py:40: UserWarning: enable_nested_tensor is True, but self.use_nested_tensor is False because encoder_layer.norm_first was True
  self.encoder = nn.TransformerEncoder(layer, num_layers=n_layers)
[ramcache] est 159.9 GB for 101469 items (avail 254 GB)
[ramcache] 10000/101469  (177s)
[ramcache] 20000/101469  (327s)
[ramcache] 30000/101469  (478s)
[ramcache] 40000/101469  (628s)
[ramcache] 50000/101469  (778s)
[ramcache] 60000/101469  (929s)
[ramcache] 70000/101469  (1080s)
[ramcache] 80000/101469  (1230s)
[ramcache] 90000/101469  (1381s)
[ramcache] 100000/101469  (1513s)
[ramcache] cached 101469 items in 25.3 min
[train] params=60.71M frames=101469 batch=64 steps=30000
Warning: You are sending unauthenticated requests to the HF Hub. Please set a HF_TOKEN to enable higher rate limits and faster downloads.
WARNING:huggingface_hub.utils._http:Warning: You are sending unauthenticated requests to the HF Hub. Please set a HF_TOKEN to enable higher rate limits and faster downloads.
[act_deeponet_ph] step    200 | l1=0.5849 total=2.236 phgate=warmup act=0.0 | VRAM=6.41GB | 0.079s/it
[act_deeponet_ph] step    400 | l1=0.5204 total=1.237 phgate=warmup act=0.0 | VRAM=6.41GB | 0.076s/it
[act_deeponet_ph] step    600 | l1=0.4616 total=0.734 phgate=warmup act=0.0 | VRAM=6.41GB | 0.078s/it
[act_deeponet_ph] step    800 | l1=0.4197 total=0.494 phgate=warmup act=0.0 | VRAM=6.41GB | 0.077s/it
[act_deeponet_ph] step   1000 | l1=0.3995 total=0.452 phgate=warmup act=0.0 | VRAM=6.41GB | 0.079s/it
[act_deeponet_ph] step   1200 | l1=0.3861 total=0.426 phgate=warmup act=0.0 | VRAM=6.41GB | 0.084s/it
[act_deeponet_ph] step   1400 | l1=0.3729 total=0.426 phgate=warmup act=0.0 | VRAM=6.41GB | 0.078s/it
[act_deeponet_ph] step   1600 | l1=0.3681 total=0.434 phgate=warmup act=0.0 | VRAM=6.41GB | 0.074s/it
[act_deeponet_ph] step   1800 | l1=0.3571 total=0.388 phgate=warmup act=0.0 | VRAM=6.41GB | 0.086s/it
[act_deeponet_ph] step   2000 | l1=0.3482 total=0.383 phgate=warmup act=0.0 | VRAM=6.41GB | 0.084s/it
[act_deeponet_ph] step   2200 | l1=0.3436 total=0.366 phgate=warmup act=0.0 | VRAM=6.41GB | 0.082s/it
[act_deeponet_ph] step   2400 | l1=0.3365 total=0.388 phgate=warmup act=0.0 | VRAM=6.41GB | 0.083s/it
[act_deeponet_ph] step   2600 | l1=0.3306 total=0.336 phgate=warmup act=0.0 | VRAM=6.41GB | 0.084s/it
[act_deeponet_ph] step   2800 | l1=0.3252 total=0.318 phgate=warmup act=0.0 | VRAM=6.41GB | 0.077s/it
[act_deeponet_ph] step   3000 | l1=0.3183 total=0.355 phgate=warmup act=0.0 | VRAM=6.41GB | 0.085s/it
