step,epoch,l1_loss,kld_loss,total_loss,ph_active_frac,ph_gate,lr,vram_gb,step_s
1,0,0.7135,7.7221,77.9347,0,-,2.0000000000000002e-07,8.2,21.5377
2,0,0.7747,7.6914,77.6884,0,-,4.0000000000000003e-07,9.27,0.0891
3,0,0.7983,7.5367,76.1653,0,-,6.000000000000001e-07,9.27,0.1094
4,0,0.7006,7.2884,73.5842,0,-,8.000000000000001e-07,9.27,0.1038
5,0,0.6551,7.1673,72.3281,0,-,1.0000000000000002e-06,9.28,0.1065
6,0,0.6637,6.9896,70.5598,0,-,1.2000000000000002e-06,9.29,0.1059
7,0,0.6322,6.8228,68.8601,0,-,1.4000000000000001e-06,9.28,0.1094
8,0,0.6544,6.4478,65.132,0,-,1.6000000000000001e-06,9.28,0.107
9,0,0.6417,6.2981,63.6226,0,-,1.8e-06,9.28,0.1138
10,0,0.6473,5.7696,58.3432,0,-,2.0000000000000003e-06,9.28,0.1032
11,0,0.6205,5.6198,56.8185,0,-,2.2e-06,9.28,0.1083
12,0,0.6381,5.1964,52.6025,0,-,2.4000000000000003e-06,9.28,0.1067
13,0,0.6572,4.9256,49.9128,0,-,2.6e-06,9.28,0.1106
14,0,0.6594,4.4818,45.4776,0,-,2.8000000000000003e-06,9.28,0.1053
15,0,0.6541,4.0202,40.8566,0,-,3e-06,9.28,0.1099
16,0,0.651,3.7099,37.7502,0,-,3.2000000000000003e-06,9.27,0.0997
17,0,0.6034,3.5241,35.8441,0,-,3.4000000000000005e-06,9.27,0.107
18,0,0.6818,2.9346,30.0275,0,-,3.6e-06,9.27,0.1123
19,0,0.6431,2.6131,26.7744,0,-,3.8e-06,9.27,0.1015
20,0,0.5913,2.3393,23.9845,0,-,4.000000000000001e-06,9.27,0.1026
21,0,0.6681,2.0794,21.4619,0,-,4.2000000000000004e-06,9.27,0.0996
22,0,0.6416,1.857,19.2113,0,-,4.4e-06,9.27,0.1026
23,0,0.6521,1.5826,16.4783,0,-,4.6e-06,9.27,0.0996
24,0,0.6927,1.4779,15.4714,0,-,4.800000000000001e-06,9.28,0.0991
25,0,0.6377,1.4519,15.1568,0,-,5e-06,9.27,0.1016
26,0,0.5594,1.358,14.1389,0,-,5.2e-06,9.26,0.1004
27,0,0.634,1.2538,13.172,0,-,5.4e-06,9.27,0.0994
28,0,0.6592,1.2788,13.4467,0,-,5.600000000000001e-06,9.27,0.1009
29,0,0.619,1.1834,12.4534,0,-,5.8e-06,9.27,0.1051
30,0,0.6685,1.111,11.7788,0,-,6e-06,9.28,0.1046
31,0,0.5974,1.2608,13.2057,0,-,6.2e-06,9.27,0.1019
32,0,0.6024,1.1187,11.7896,0,-,6.4000000000000006e-06,9.28,0.0986
33,0,0.63,1.0668,11.2979,0,-,6.6e-06,9.27,0.0987
34,0,0.6096,1.0889,11.4984,0,-,6.800000000000001e-06,9.27,0.1005
35,0,0.5927,1.0478,11.0702,0,-,7.000000000000001e-06,9.27,0.1001
36,0,0.66,1.0262,10.9223,0,-,7.2e-06,9.27,0.0992
37,0,0.6468,0.9069,9.7153,0,-,7.4e-06,9.28,0.0992
38,0,0.6899,0.8197,8.8872,0,-,7.6e-06,9.27,0.0996
39,0,0.5765,0.8394,8.9701,0,-,7.8e-06,9.27,0.1058
40,0,0.6536,0.8192,8.8456,0,-,8.000000000000001e-06,9.28,0.0988
41,0,0.6199,0.7947,8.5669,0,-,8.200000000000001e-06,9.27,0.0987
42,0,0.5733,0.772,8.2936,0,-,8.400000000000001e-06,9.27,0.105
43,0,0.6156,0.7047,7.6629,0,-,8.599999999999999e-06,9.27,0.0983
44,0,0.6071,0.6528,7.1349,0,-,8.8e-06,9.27,0.0984
45,0,0.5948,0.6296,6.8905,0,-,9e-06,9.27,0.0985
46,0,0.6047,0.6248,6.8522,0,-,9.2e-06,9.26,0.0991
47,0,0.6325,0.6249,6.8819,0,-,9.4e-06,9.27,0.099
48,0,0.5281,0.6026,6.5542,0,-,9.600000000000001e-06,9.27,0.1002
49,0,0.6194,0.5984,6.6034,0,-,9.800000000000001e-06,9.27,0.0996
50,0,0.5767,0.5506,6.0829,0,-,1e-05,9.27,0.0983
