step,epoch,l1_loss,kld_loss,total_loss,ph_active_frac,ph_gate,lr,vram_gb,step_s
1,0,0.6235,7.7409,78.032,0,-,2.0000000000000002e-07,5.7,21.3068
2,0,0.622,7.52,75.8218,0,-,4.0000000000000003e-07,6.41,0.0602
3,0,0.6272,7.4976,75.603,0,-,6.000000000000001e-07,6.41,0.0848
4,0,0.5637,7.3995,74.5591,0,-,8.000000000000001e-07,6.41,0.079
5,0,0.5377,7.2956,73.4941,0,-,1.0000000000000002e-06,6.41,0.0784
6,0,0.6033,6.953,70.1335,0,-,1.2000000000000002e-06,6.41,0.0819
7,0,0.662,6.8074,68.7362,0,-,1.4000000000000001e-06,6.41,0.0788
8,0,0.5942,6.6899,67.4932,0,-,1.6000000000000001e-06,6.41,0.0872
9,0,0.5853,6.2491,63.0764,0,-,1.8e-06,6.41,0.0814
10,0,0.6103,5.784,58.4504,0,-,2.0000000000000003e-06,6.41,0.0851
11,0,0.576,5.6483,57.0588,0,-,2.2e-06,6.41,0.0785
12,0,0.5645,5.2716,53.2804,0,-,2.4000000000000003e-06,6.41,0.0885
13,0,0.565,4.8059,48.6236,0,-,2.6e-06,6.41,0.0826
14,0,0.5983,4.4265,44.8638,0,-,2.8000000000000003e-06,6.41,0.0816
15,0,0.5957,4.0808,41.4038,0,-,3e-06,6.41,0.0766
16,0,0.5971,3.7203,37.8004,0,-,3.2000000000000003e-06,6.41,0.0856
17,0,0.5426,3.4049,34.5916,0,-,3.4000000000000005e-06,6.41,0.0781
18,0,0.5965,2.9098,29.6949,0,-,3.6e-06,6.41,0.0848
19,0,0.579,2.6181,26.7603,0,-,3.8e-06,6.41,0.0775
20,0,0.6201,2.1901,22.5209,0,-,4.000000000000001e-06,6.41,0.0834
21,0,0.5614,2.1326,21.8875,0,-,4.2000000000000004e-06,6.41,0.0775
22,0,0.6034,1.8981,19.5844,0,-,4.4e-06,6.41,0.0852
23,0,0.5556,1.8038,18.5939,0,-,4.6e-06,6.41,0.0788
24,0,0.6355,1.5305,15.9402,0,-,4.800000000000001e-06,6.41,0.086
25,0,0.6271,1.3055,13.6823,0,-,5e-06,6.41,0.0767
26,0,0.5988,1.4084,14.6828,0,-,5.2e-06,6.41,0.0773
27,0,0.6295,1.2067,12.6968,0,-,5.4e-06,6.41,0.0762
28,0,0.6772,1.2729,13.4064,0,-,5.600000000000001e-06,6.41,0.087
29,0,0.6437,1.1635,12.2789,0,-,5.8e-06,6.41,0.0784
30,0,0.5563,1.1054,11.6108,0,-,6e-06,6.41,0.0839
31,0,0.618,1.2336,12.9545,0,-,6.2e-06,6.4,0.0758
32,0,0.5408,1.0964,11.505,0,-,6.4000000000000006e-06,6.4,0.0822
33,0,0.5876,1.1482,12.0693,0,-,6.6e-06,6.41,0.0774
34,0,0.5807,1.1215,11.7955,0,-,6.800000000000001e-06,6.4,0.0802
35,0,0.5757,1.0704,11.2799,0,-,7.000000000000001e-06,6.4,0.0787
36,0,0.5926,0.9527,10.1196,0,-,7.2e-06,6.41,0.077
37,0,0.5806,0.9209,9.7894,0,-,7.4e-06,6.4,0.0853
38,0,0.6259,0.8869,9.4946,0,-,7.6e-06,6.4,0.077
39,0,0.5424,0.904,9.5821,0,-,7.8e-06,6.4,0.0852
40,0,0.6069,0.8132,8.7384,0,-,8.000000000000001e-06,6.41,0.0836
41,0,0.6358,0.7582,8.2174,0,-,8.200000000000001e-06,6.41,0.0831
42,0,0.6122,0.7327,7.9395,0,-,8.400000000000001e-06,6.4,0.0814
43,0,0.6076,0.7046,7.6538,0,-,8.599999999999999e-06,6.41,0.0814
44,0,0.5916,0.7268,7.8601,0,-,8.8e-06,6.41,0.0766
45,0,0.6173,0.6581,7.1982,0,-,9e-06,6.4,0.0855
46,0,0.5631,0.6432,6.9949,0,-,9.2e-06,6.4,0.081
47,0,0.5901,0.6323,6.9131,0,-,9.4e-06,6.41,0.082
48,0,0.6071,0.5987,6.5946,0,-,9.600000000000001e-06,6.4,0.085
49,0,0.6067,0.5609,6.2153,0,-,9.800000000000001e-06,6.41,0.0816
50,0,0.5609,0.598,6.5406,0,-,1e-05,6.41,0.0775
51,0,0.5818,0.5481,6.0625,0,-,1.02e-05,6.41,0.0905
52,0,0.6019,0.5201,5.803,0,-,1.04e-05,6.41,0.0767
53,0,0.6111,0.527,5.8808,0,-,1.06e-05,6.41,0.0825
54,0,0.6074,0.4952,5.5594,0,-,1.08e-05,6.41,0.0772
55,0,0.5746,0.511,5.6845,0,-,1.1000000000000001e-05,6.4,0.0768
56,0,0.5822,0.4807,5.3892,0,-,1.1200000000000001e-05,6.4,0.0829
57,0,0.59,0.4621,5.211,0,-,1.1400000000000001e-05,6.4,0.0764
58,0,0.6428,0.4595,5.2374,0,-,1.16e-05,6.4,0.0825
59,0,0.5808,0.4473,5.0534,0,-,1.18e-05,6.4,0.0889
60,0,0.5606,0.4515,5.0759,0,-,1.2e-05,6.41,0.0798
61,0,0.5953,0.4106,4.7012,0,-,1.22e-05,6.4,0.0837
62,0,0.6312,0.4239,4.8702,0,-,1.24e-05,6.4,0.0787
63,0,0.5805,0.4227,4.8071,0,-,1.2600000000000001e-05,6.41,0.0779
64,0,0.604,0.3932,4.5361,0,-,1.2800000000000001e-05,6.41,0.086
65,0,0.6321,0.385,4.4823,0,-,1.3000000000000001e-05,6.41,0.0754
66,0,0.6091,0.3895,4.5042,0,-,1.32e-05,6.41,0.0869
67,0,0.5528,0.387,4.4227,0,-,1.3400000000000002e-05,6.41,0.0762
68,0,0.5272,0.3873,4.4001,0,-,1.3600000000000002e-05,6.4,0.0885
69,0,0.622,0.3668,4.2901,0,-,1.3800000000000002e-05,6.41,0.0784
70,0,0.5561,0.3863,4.4191,0,-,1.4000000000000001e-05,6.41,0.0851
71,0,0.569,0.3554,4.1226,0,-,1.42e-05,6.41,0.0803
72,0,0.5883,0.3425,4.0129,0,-,1.44e-05,6.41,0.0796
73,0,0.5614,0.3552,4.1134,0,-,1.4599999999999999e-05,6.4,0.0853
74,0,0.6507,0.318,3.831,0,-,1.48e-05,6.4,0.0795
75,0,0.5317,0.3302,3.8334,0,-,1.5e-05,6.41,0.084
76,0,0.5818,0.3396,3.9783,0,-,1.52e-05,6.41,0.0769
