[train] num_workers -> 48 (cores=56)
[train] variant=act dataset=lerobot/libero_object_image -> act_results/Object/runs/act
WARNING:lerobot.configs.policies:Device 'None' is not available. Switching to 'cuda'.
/home/user/Desktop/Ayush PH test/ACT/lang_encoder.py:40: UserWarning: enable_nested_tensor is True, but self.use_nested_tensor is False because encoder_layer.norm_first was True
  self.encoder = nn.TransformerEncoder(layer, num_layers=n_layers)
[ramcache] est 105.6 GB for 66984 items (avail 256 GB)
[ramcache] 10000/66984  (173s)
[ramcache] 20000/66984  (322s)
[ramcache] 30000/66984  (471s)
[ramcache] 40000/66984  (619s)
[ramcache] 50000/66984  (766s)
[ramcache] 60000/66984  (916s)
[ramcache] cached 66984 items in 16.3 min
[train] params=88.28M frames=66984 batch=64 steps=30000
Warning: You are sending unauthenticated requests to the HF Hub. Please set a HF_TOKEN to enable higher rate limits and faster downloads.
WARNING:huggingface_hub.utils._http:Warning: You are sending unauthenticated requests to the HF Hub. Please set a HF_TOKEN to enable higher rate limits and faster downloads.
[act] step    200 | l1=0.4551 total=2.182 phgate=- act=0 | VRAM=9.26GB | 0.097s/it
[act] step    400 | l1=0.4004 total=1.080 phgate=- act=0 | VRAM=9.27GB | 0.101s/it
[act] step    600 | l1=0.3102 total=0.590 phgate=- act=0 | VRAM=9.27GB | 0.099s/it
[act] step    800 | l1=0.2894 total=0.382 phgate=- act=0 | VRAM=9.27GB | 0.100s/it
[act] step   1000 | l1=0.2807 total=0.358 phgate=- act=0 | VRAM=9.27GB | 0.099s/it
[act] step   1200 | l1=0.2669 total=0.305 phgate=- act=0 | VRAM=9.27GB | 0.101s/it
[act] step   1400 | l1=0.2582 total=0.299 phgate=- act=0 | VRAM=9.27GB | 0.101s/it
[act] step   1600 | l1=0.2465 total=0.257 phgate=- act=0 | VRAM=9.27GB | 0.105s/it
[act] step   1800 | l1=0.2353 total=0.286 phgate=- act=0 | VRAM=9.27GB | 0.102s/it
[act] step   2000 | l1=0.2234 total=0.243 phgate=- act=0 | VRAM=9.27GB | 0.096s/it
[act] step   2200 | l1=0.2116 total=0.244 phgate=- act=0 | VRAM=9.27GB | 0.102s/it
[act] step   2400 | l1=0.1986 total=0.229 phgate=- act=0 | VRAM=9.27GB | 0.110s/it
[act] step   2600 | l1=0.1901 total=0.209 phgate=- act=0 | VRAM=9.27GB | 0.107s/it
[act] step   2800 | l1=0.1808 total=0.209 phgate=- act=0 | VRAM=9.27GB | 0.102s/it
[act] step   3000 | l1=0.1733 total=0.222 phgate=- act=0 | VRAM=9.27GB | 0.103s/it
[act] step   3200 | l1=0.1658 total=0.184 phgate=- act=0 | VRAM=9.27GB | 0.101s/it
[act] step   3400 | l1=0.1589 total=0.134 phgate=- act=0 | VRAM=9.27GB | 0.106s/it
[act] step   3600 | l1=0.1532 total=0.179 phgate=- act=0 | VRAM=9.27GB | 0.104s/it
[act] step   3800 | l1=0.1487 total=0.162 phgate=- act=0 | VRAM=9.27GB | 0.098s/it
[act] step   4000 | l1=0.1426 total=0.169 phgate=- act=0 | VRAM=9.27GB | 0.108s/it
[act] step   4200 | l1=0.1397 total=0.207 phgate=- act=0 | VRAM=9.27GB | 0.102s/it
[act] step   4400 | l1=0.1343 total=0.145 phgate=- act=0 | VRAM=9.27GB | 0.103s/it
[act] step   4600 | l1=0.1302 total=0.143 phgate=- act=0 | VRAM=9.27GB | 0.102s/it
[act] step   4800 | l1=0.1259 total=0.142 phgate=- act=0 | VRAM=9.27GB | 0.102s/it
[act] step   5000 | l1=0.1236 total=0.170 phgate=- act=0 | VRAM=9.27GB | 0.103s/it
[ckpt] saved -> act_results/Object/runs/act/checkpoints/5000 (EMA weights)
[act] step   5200 | l1=0.1207 total=0.174 phgate=- act=0 | VRAM=9.27GB | 0.101s/it
[act] step   5400 | l1=0.1178 total=0.134 phgate=- act=0 | VRAM=9.27GB | 0.101s/it
[act] step   5600 | l1=0.1141 total=0.165 phgate=- act=0 | VRAM=9.27GB | 0.100s/it
[act] step   5800 | l1=0.1126 total=0.158 phgate=- act=0 | VRAM=9.27GB | 0.106s/it
[act] step   6000 | l1=0.1128 total=0.148 phgate=- act=0 | VRAM=9.27GB | 0.106s/it
