[train] num_workers -> 48 (cores=56)
[train] variant=act_deeponet dataset=lerobot/libero_object_image -> act_results/Object/runs/act_deeponet
WARNING:lerobot.configs.policies:Device 'None' is not available. Switching to 'cuda'.
/home/user/Desktop/Ayush PH test/ACT/lang_encoder.py:40: UserWarning: enable_nested_tensor is True, but self.use_nested_tensor is False because encoder_layer.norm_first was True
  self.encoder = nn.TransformerEncoder(layer, num_layers=n_layers)
[ramcache] est 105.6 GB for 66984 items (avail 256 GB)
[ramcache] 10000/66984  (174s)
[ramcache] 20000/66984  (325s)
[ramcache] 30000/66984  (476s)
[ramcache] 40000/66984  (627s)
[ramcache] 50000/66984  (776s)
[ramcache] 60000/66984  (925s)
[ramcache] cached 66984 items in 16.5 min
[train] params=60.71M frames=66984 batch=64 steps=30000
Warning: You are sending unauthenticated requests to the HF Hub. Please set a HF_TOKEN to enable higher rate limits and faster downloads.
WARNING:huggingface_hub.utils._http:Warning: You are sending unauthenticated requests to the HF Hub. Please set a HF_TOKEN to enable higher rate limits and faster downloads.
[act_deeponet] step    200 | l1=0.4660 total=2.080 phgate=- act=0 | VRAM=6.41GB | 0.073s/it
[act_deeponet] step    400 | l1=0.3856 total=1.012 phgate=- act=0 | VRAM=6.41GB | 0.073s/it
[act_deeponet] step    600 | l1=0.3261 total=0.561 phgate=- act=0 | VRAM=6.41GB | 0.076s/it
[act_deeponet] step    800 | l1=0.3023 total=0.431 phgate=- act=0 | VRAM=6.41GB | 0.073s/it
[act_deeponet] step   1000 | l1=0.2896 total=0.396 phgate=- act=0 | VRAM=6.41GB | 0.072s/it
[act_deeponet] step   1200 | l1=0.2893 total=0.303 phgate=- act=0 | VRAM=6.41GB | 0.076s/it
[act_deeponet] step   1400 | l1=0.2790 total=0.366 phgate=- act=0 | VRAM=6.41GB | 0.076s/it
[act_deeponet] step   1600 | l1=0.2774 total=0.309 phgate=- act=0 | VRAM=6.41GB | 0.075s/it
[act_deeponet] step   1800 | l1=0.2703 total=0.299 phgate=- act=0 | VRAM=6.41GB | 0.086s/it
[act_deeponet] step   2000 | l1=0.2660 total=0.240 phgate=- act=0 | VRAM=6.41GB | 0.078s/it
[act_deeponet] step   2200 | l1=0.2609 total=0.290 phgate=- act=0 | VRAM=6.41GB | 0.074s/it
[act_deeponet] step   2400 | l1=0.2580 total=0.321 phgate=- act=0 | VRAM=6.41GB | 0.078s/it
[act_deeponet] step   2600 | l1=0.2543 total=0.300 phgate=- act=0 | VRAM=6.41GB | 0.083s/it
[act_deeponet] step   2800 | l1=0.2514 total=0.288 phgate=- act=0 | VRAM=6.41GB | 0.091s/it
[act_deeponet] step   3000 | l1=0.2486 total=0.250 phgate=- act=0 | VRAM=6.41GB | 0.077s/it
[act_deeponet] step   3200 | l1=0.2432 total=0.247 phgate=- act=0 | VRAM=6.41GB | 0.078s/it
[act_deeponet] step   3400 | l1=0.2381 total=0.236 phgate=- act=0 | VRAM=6.41GB | 0.075s/it
[act_deeponet] step   3600 | l1=0.2343 total=0.236 phgate=- act=0 | VRAM=6.41GB | 0.089s/it
[act_deeponet] step   3800 | l1=0.2301 total=0.249 phgate=- act=0 | VRAM=6.41GB | 0.078s/it
[act_deeponet] step   4000 | l1=0.2265 total=0.254 phgate=- act=0 | VRAM=6.41GB | 0.080s/it
[act_deeponet] step   4200 | l1=0.2223 total=0.246 phgate=- act=0 | VRAM=6.41GB | 0.084s/it
[act_deeponet] step   4400 | l1=0.2164 total=0.251 phgate=- act=0 | VRAM=6.41GB | 0.076s/it
[act_deeponet] step   4600 | l1=0.2135 total=0.224 phgate=- act=0 | VRAM=6.41GB | 0.082s/it
[act_deeponet] step   4800 | l1=0.2096 total=0.264 phgate=- act=0 | VRAM=6.41GB | 0.078s/it
[act_deeponet] step   5000 | l1=0.2052 total=0.268 phgate=- act=0 | VRAM=6.41GB | 0.077s/it
[ckpt] saved -> act_results/Object/runs/act_deeponet/checkpoints/5000 (EMA weights)
[act_deeponet] step   5200 | l1=0.2025 total=0.215 phgate=- act=0 | VRAM=6.41GB | 0.073s/it
[act_deeponet] step   5400 | l1=0.1962 total=0.257 phgate=- act=0 | VRAM=6.41GB | 0.080s/it
[act_deeponet] step   5600 | l1=0.1958 total=0.228 phgate=- act=0 | VRAM=6.41GB | 0.082s/it
[act_deeponet] step   5800 | l1=0.1913 total=0.226 phgate=- act=0 | VRAM=6.41GB | 0.080s/it
[act_deeponet] step   6000 | l1=0.1894 total=0.211 phgate=- act=0 | VRAM=6.41GB | 0.083s/it
[act_deeponet] step   6200 | l1=0.1856 total=0.207 phgate=- act=0 | VRAM=6.41GB | 0.082s/it
[act_deeponet] step   6400 | l1=0.1807 total=0.210 phgate=- act=0 | VRAM=6.41GB | 0.083s/it
[act_deeponet] step   6600 | l1=0.1816 total=0.224 phgate=- act=0 | VRAM=6.41GB | 0.083s/it
[act_deeponet] step   6800 | l1=0.1778 total=0.188 phgate=- act=0 | VRAM=6.41GB | 0.083s/it
[act_deeponet] step   7000 | l1=0.1737 total=0.214 phgate=- act=0 | VRAM=6.41GB | 0.086s/it
[act_deeponet] step   7200 | l1=0.1733 total=0.204 phgate=- act=0 | VRAM=6.41GB | 0.080s/it
[act_deeponet] step   7400 | l1=0.1728 total=0.173 phgate=- act=0 | VRAM=6.41GB | 0.084s/it
[act_deeponet] step   7600 | l1=0.1681 total=0.214 phgate=- act=0 | VRAM=6.41GB | 0.081s/it
[act_deeponet] step   7800 | l1=0.1674 total=0.217 phgate=- act=0 | VRAM=6.41GB | 0.085s/it
[act_deeponet] step   8000 | l1=0.1658 total=0.206 phgate=- act=0 | VRAM=6.41GB | 0.084s/it
[act_deeponet] step   8200 | l1=0.1628 total=0.210 phgate=- act=0 | VRAM=6.41GB | 0.082s/it
[act_deeponet] step   8400 | l1=0.1601 total=0.195 phgate=- act=0 | VRAM=6.41GB | 0.082s/it
[act_deeponet] step   8600 | l1=0.1610 total=0.191 phgate=- act=0 | VRAM=6.41GB | 0.082s/it
[act_deeponet] step   8800 | l1=0.1565 total=0.223 phgate=- act=0 | VRAM=6.41GB | 0.084s/it
[act_deeponet] step   9000 | l1=0.1566 total=0.208 phgate=- act=0 | VRAM=6.41GB | 0.086s/it
[act_deeponet] step   9200 | l1=0.1557 total=0.202 phgate=- act=0 | VRAM=6.41GB | 0.083s/it
[act_deeponet] step   9400 | l1=0.1549 total=0.199 phgate=- act=0 | VRAM=6.41GB | 0.074s/it
[act_deeponet] step   9600 | l1=0.1513 total=0.227 phgate=- act=0 | VRAM=6.41GB | 0.081s/it
[act_deeponet] step   9800 | l1=0.1499 total=0.187 phgate=- act=0 | VRAM=6.41GB | 0.083s/it
[act_deeponet] step  10000 | l1=0.1494 total=0.194 phgate=- act=0 | VRAM=6.41GB | 0.088s/it
[ckpt] saved -> act_results/Object/runs/act_deeponet/checkpoints/10000 (EMA weights)
[act_deeponet] step  10200 | l1=0.1482 total=0.192 phgate=- act=0 | VRAM=6.41GB | 0.082s/it
[act_deeponet] step  10400 | l1=0.1473 total=0.206 phgate=- act=0 | VRAM=6.41GB | 0.082s/it
[act_deeponet] step  10600 | l1=0.1455 total=0.184 phgate=- act=0 | VRAM=6.41GB | 0.085s/it
[act_deeponet] step  10800 | l1=0.1447 total=0.195 phgate=- act=0 | VRAM=6.41GB | 0.080s/it
[act_deeponet] step  11000 | l1=0.1434 total=0.175 phgate=- act=0 | VRAM=6.41GB | 0.083s/it
[act_deeponet] step  11200 | l1=0.1415 total=0.197 phgate=- act=0 | VRAM=6.41GB | 0.082s/it
[act_deeponet] step  11400 | l1=0.1415 total=0.207 phgate=- act=0 | VRAM=6.41GB | 0.076s/it
[act_deeponet] step  11600 | l1=0.1397 total=0.190 phgate=- act=0 | VRAM=6.41GB | 0.084s/it
[act_deeponet] step  11800 | l1=0.1376 total=0.184 phgate=- act=0 | VRAM=6.41GB | 0.077s/it
[act_deeponet] step  12000 | l1=0.1384 total=0.189 phgate=- act=0 | VRAM=6.41GB | 0.083s/it
[act_deeponet] step  12200 | l1=0.1376 total=0.213 phgate=- act=0 | VRAM=6.41GB | 0.083s/it
[act_deeponet] step  12400 | l1=0.1362 total=0.203 phgate=- act=0 | VRAM=6.41GB | 0.082s/it
[act_deeponet] step  12600 | l1=0.1345 total=0.192 phgate=- act=0 | VRAM=6.41GB | 0.084s/it
[act_deeponet] step  12800 | l1=0.1330 total=0.163 phgate=- act=0 | VRAM=6.41GB | 0.082s/it
[act_deeponet] step  13000 | l1=0.1337 total=0.186 phgate=- act=0 | VRAM=6.41GB | 0.087s/it
[act_deeponet] step  13200 | l1=0.1317 total=0.174 phgate=- act=0 | VRAM=6.41GB | 0.081s/it
