[train] num_workers -> 48 (cores=56)
[train] variant=act_deeponet_ph dataset=lerobot/libero_object_image -> act_results/Object/runs/act_deeponet_ph
WARNING:lerobot.configs.policies:Device 'None' is not available. Switching to 'cuda'.
/home/user/Desktop/Ayush PH test/ACT/lang_encoder.py:40: UserWarning: enable_nested_tensor is True, but self.use_nested_tensor is False because encoder_layer.norm_first was True
  self.encoder = nn.TransformerEncoder(layer, num_layers=n_layers)
[ramcache] est 105.6 GB for 66984 items (avail 256 GB)
[ramcache] 10000/66984  (174s)
[ramcache] 20000/66984  (326s)
[ramcache] 30000/66984  (477s)
[ramcache] 40000/66984  (628s)
[ramcache] 50000/66984  (779s)
[ramcache] 60000/66984  (929s)
[ramcache] cached 66984 items in 16.6 min
[train] params=60.71M frames=66984 batch=64 steps=30000
Warning: You are sending unauthenticated requests to the HF Hub. Please set a HF_TOKEN to enable higher rate limits and faster downloads.
WARNING:huggingface_hub.utils._http:Warning: You are sending unauthenticated requests to the HF Hub. Please set a HF_TOKEN to enable higher rate limits and faster downloads.
[act_deeponet_ph] step    200 | l1=0.4660 total=2.082 phgate=warmup act=0.0 | VRAM=6.41GB | 0.074s/it
[act_deeponet_ph] step    400 | l1=0.3855 total=1.017 phgate=warmup act=0.0 | VRAM=6.41GB | 0.073s/it
[act_deeponet_ph] step    600 | l1=0.3260 total=0.560 phgate=warmup act=0.0 | VRAM=6.41GB | 0.078s/it
[act_deeponet_ph] step    800 | l1=0.3021 total=0.417 phgate=warmup act=0.0 | VRAM=6.41GB | 0.074s/it
[act_deeponet_ph] step   1000 | l1=0.2902 total=0.396 phgate=warmup act=0.0 | VRAM=6.41GB | 0.072s/it
[act_deeponet_ph] step   1200 | l1=0.2902 total=0.323 phgate=warmup act=0.0 | VRAM=6.41GB | 0.074s/it
[act_deeponet_ph] step   1400 | l1=0.2786 total=0.369 phgate=warmup act=0.0 | VRAM=6.41GB | 0.076s/it
[act_deeponet_ph] step   1600 | l1=0.2777 total=0.316 phgate=warmup act=0.0 | VRAM=6.41GB | 0.082s/it
[act_deeponet_ph] step   1800 | l1=0.2703 total=0.301 phgate=warmup act=0.0 | VRAM=6.41GB | 0.074s/it
[act_deeponet_ph] step   2000 | l1=0.2661 total=0.238 phgate=warmup act=0.0 | VRAM=6.41GB | 0.077s/it
[act_deeponet_ph] step   2200 | l1=0.2616 total=0.286 phgate=warmup act=0.0 | VRAM=6.41GB | 0.083s/it
[act_deeponet_ph] step   2400 | l1=0.2582 total=0.322 phgate=warmup act=0.0 | VRAM=6.41GB | 0.079s/it
[act_deeponet_ph] step   2600 | l1=0.2544 total=0.277 phgate=warmup act=0.0 | VRAM=6.41GB | 0.074s/it
[act_deeponet_ph] step   2800 | l1=0.2517 total=0.306 phgate=warmup act=0.0 | VRAM=6.41GB | 0.080s/it
[act_deeponet_ph] step   3000 | l1=0.2487 total=0.261 phgate=warmup act=0.0 | VRAM=6.41GB | 0.075s/it
[act_deeponet_ph] step   3200 | l1=0.2439 total=0.267 phgate=warmup act=0.0 | VRAM=6.41GB | 0.082s/it
[act_deeponet_ph] step   3400 | l1=0.2391 total=0.258 phgate=warmup act=0.0 | VRAM=6.41GB | 0.082s/it
[act_deeponet_ph] step   3600 | l1=0.2345 total=0.245 phgate=warmup act=0.0 | VRAM=6.41GB | 0.084s/it
[act_deeponet_ph] step   3800 | l1=0.2306 total=0.240 phgate=warmup act=0.0 | VRAM=6.41GB | 0.085s/it
[act_deeponet_ph] step   4000 | l1=0.2270 total=0.261 phgate=warmup act=0.0 | VRAM=6.41GB | 0.081s/it
[act_deeponet_ph] step   4200 | l1=0.2225 total=0.251 phgate=warmup act=0.0 | VRAM=6.41GB | 0.082s/it
[act_deeponet_ph] step   4400 | l1=0.2164 total=0.270 phgate=warmup act=0.0 | VRAM=6.41GB | 0.080s/it
[act_deeponet_ph] step   4600 | l1=0.2133 total=0.237 phgate=warmup act=0.0 | VRAM=6.41GB | 0.084s/it
[act_deeponet_ph] step   4800 | l1=0.2101 total=0.248 phgate=warmup act=0.0 | VRAM=6.41GB | 0.079s/it
[act_deeponet_ph] step   5000 | l1=0.2057 total=0.260 phgate=warmup act=0.0 | VRAM=6.41GB | 0.082s/it
[ckpt] saved -> act_results/Object/runs/act_deeponet_ph/checkpoints/5000 (EMA weights)
