step,epoch,l1_loss,kld_loss,total_loss,ph_active_frac,ph_gate,lr,vram_gb,step_s
1,0,0.6466,7.989,80.5367,0,-,2.0000000000000002e-07,8.2,14.2565
2,0,0.5826,7.9024,79.6063,0,-,4.0000000000000003e-07,9.27,0.0841
3,0,0.5354,7.8099,78.6347,0,-,6.000000000000001e-07,9.27,0.1048
4,0,0.601,7.5434,76.0352,0,-,8.000000000000001e-07,9.28,0.1007
5,0,0.5547,7.3805,74.3594,0,-,1.0000000000000002e-06,9.28,0.1063
6,0,0.5428,7.2654,73.1972,0,-,1.2000000000000002e-06,9.27,0.0989
7,0,0.5183,6.8962,69.4806,0,-,1.4000000000000001e-06,9.28,0.1027
8,0,0.4713,6.658,67.0515,0,-,1.6000000000000001e-06,9.28,0.1039
9,0,0.5387,6.4136,64.6746,0,-,1.8e-06,9.28,0.1056
10,0,0.5144,5.9608,60.1225,0,-,2.0000000000000003e-06,9.28,0.1074
11,0,0.4762,5.6665,57.1416,0,-,2.2e-06,9.28,0.1083
12,0,0.4456,5.3878,54.3241,0,-,2.4000000000000003e-06,9.27,0.1039
13,0,0.5078,4.9211,49.719,0,-,2.6e-06,9.28,0.1068
14,0,0.5063,4.6909,47.415,0,-,2.8000000000000003e-06,9.27,0.1062
15,0,0.5076,4.1046,41.5531,0,-,3e-06,9.27,0.1082
16,0,0.5232,3.731,37.8329,0,-,3.2000000000000003e-06,9.27,0.1021
17,0,0.4908,3.4961,35.4518,0,-,3.4000000000000005e-06,9.27,0.1073
18,0,0.5149,2.9537,30.0521,0,-,3.6e-06,9.27,0.1071
19,0,0.4837,2.68,27.2838,0,-,3.8e-06,9.27,0.1054
20,0,0.4478,2.4299,24.7473,0,-,4.000000000000001e-06,9.27,0.0976
21,0,0.4972,1.9643,20.1402,0,-,4.2000000000000004e-06,9.27,0.1047
22,0,0.5044,1.7673,18.1778,0,-,4.4e-06,9.27,0.0995
23,0,0.4621,1.6554,17.0158,0,-,4.6e-06,9.27,0.1053
24,0,0.5508,1.3713,14.2634,0,-,4.800000000000001e-06,9.27,0.0954
25,0,0.5104,1.2686,13.1966,0,-,5e-06,9.28,0.1017
26,0,0.5294,1.2119,12.6484,0,-,5.2e-06,9.27,0.1061
27,0,0.4698,1.1561,12.0307,0,-,5.4e-06,9.28,0.1042
28,0,0.4927,1.1042,11.5351,0,-,5.600000000000001e-06,9.27,0.0965
29,0,0.5038,1.0614,11.1174,0,-,5.8e-06,9.27,0.1038
30,0,0.4523,1.0994,11.4465,0,-,6e-06,9.27,0.0961
31,0,0.4987,1.1016,11.5148,0,-,6.2e-06,9.27,0.1027
32,0,0.4809,1.1051,11.532,0,-,6.4000000000000006e-06,9.27,0.0956
33,0,0.4942,0.9612,10.1062,0,-,6.6e-06,9.27,0.0989
34,0,0.5137,0.9602,10.1161,0,-,6.800000000000001e-06,9.27,0.1027
35,0,0.493,0.9308,9.8006,0,-,7.000000000000001e-06,9.27,0.0972
36,0,0.4396,0.9599,10.0391,0,-,7.2e-06,9.27,0.0971
37,0,0.4422,0.8787,9.2291,0,-,7.4e-06,9.27,0.102
38,0,0.4534,0.8231,8.6841,0,-,7.6e-06,9.27,0.0971
39,0,0.4477,0.7962,8.4098,0,-,7.8e-06,9.27,0.1015
40,0,0.4866,0.7716,8.203,0,-,8.000000000000001e-06,9.27,0.0981
41,0,0.5258,0.6832,7.3574,0,-,8.200000000000001e-06,9.27,0.0966
42,0,0.4516,0.737,7.8214,0,-,8.400000000000001e-06,9.28,0.1024
43,0,0.4603,0.6972,7.4325,0,-,8.599999999999999e-06,9.28,0.0983
44,0,0.395,0.6394,6.7888,0,-,8.8e-06,9.27,0.096
45,0,0.4333,0.6295,6.7285,0,-,9e-06,9.27,0.1069
46,0,0.4733,0.5851,6.3241,0,-,9.2e-06,9.27,0.0953
47,0,0.4045,0.6443,6.8471,0,-,9.4e-06,9.27,0.1093
48,0,0.4296,0.6204,6.6331,0,-,9.600000000000001e-06,9.27,0.0974
49,0,0.4509,0.5768,6.2188,0,-,9.800000000000001e-06,9.27,0.1003
50,0,0.4711,0.5226,5.697,0,-,1e-05,9.28,0.098
51,0,0.4492,0.5736,6.1852,0,-,1.02e-05,9.28,0.0976
52,0,0.4845,0.5137,5.6216,0,-,1.04e-05,9.28,0.1009
53,0,0.431,0.5296,5.7268,0,-,1.06e-05,9.28,0.1005
54,0,0.3875,0.5037,5.4244,0,-,1.08e-05,9.27,0.1002
55,0,0.4386,0.4725,5.1637,0,-,1.1000000000000001e-05,9.27,0.1057
56,0,0.4869,0.4709,5.1958,0,-,1.1200000000000001e-05,9.27,0.1029
57,0,0.5128,0.4493,5.0054,0,-,1.1400000000000001e-05,9.27,0.1013
58,0,0.474,0.4427,4.9012,0,-,1.16e-05,9.27,0.098
59,0,0.484,0.4294,4.7781,0,-,1.18e-05,9.27,0.1002
60,0,0.4558,0.4493,4.949,0,-,1.2e-05,9.28,0.1035
61,0,0.4831,0.427,4.7528,0,-,1.22e-05,9.27,0.0989
62,0,0.4224,0.4343,4.7655,0,-,1.24e-05,9.27,0.1055
