step,epoch,l1_loss,kld_loss,total_loss,ph_active_frac,ph_gate,lr,vram_gb,step_s
1,0,0.515,7.9992,80.5075,0.0,warmup,2.0000000000000002e-07,5.7,15.5424
2,0,0.4702,7.8279,78.7494,0.0,warmup,4.0000000000000003e-07,6.41,0.0636
3,0,0.4892,7.6275,76.7638,0.0,warmup,6.000000000000001e-07,6.41,0.0794
4,0,0.4767,7.4738,75.2152,0.0,warmup,8.000000000000001e-07,6.41,0.0861
5,0,0.5054,7.3373,73.8782,0.0,warmup,1.0000000000000002e-06,6.41,0.0722
6,0,0.455,7.1199,71.6539,0.0,warmup,1.2000000000000002e-06,6.41,0.0847
7,0,0.4655,7.0434,70.8992,0.0,warmup,1.4000000000000001e-06,6.41,0.0751
8,0,0.4733,6.7642,68.1156,0.0,warmup,1.6000000000000001e-06,6.41,0.0836
9,0,0.4966,6.4168,64.6643,0.0,warmup,1.8e-06,6.41,0.0839
10,0,0.5098,5.999,60.4999,0.0,warmup,2.0000000000000003e-06,6.41,0.0793
11,0,0.546,5.554,56.0865,0.0,warmup,2.2e-06,6.41,0.0834
12,0,0.5213,5.3028,53.5495,0.0,warmup,2.4000000000000003e-06,6.41,0.0821
13,0,0.5395,4.7841,48.3804,0.0,warmup,2.6e-06,6.41,0.075
14,0,0.4382,4.5694,46.1318,0.0,warmup,2.8000000000000003e-06,6.41,0.0743
15,0,0.52,4.1319,41.8389,0.0,warmup,3e-06,6.41,0.0797
16,0,0.5299,3.7148,37.678,0.0,warmup,3.2000000000000003e-06,6.41,0.078
17,0,0.4583,3.3926,34.3844,0.0,warmup,3.4000000000000005e-06,6.41,0.0719
18,0,0.4741,2.9408,29.8821,0.0,warmup,3.6e-06,6.41,0.0776
19,0,0.527,2.627,26.7974,0.0,warmup,3.8e-06,6.41,0.0723
20,0,0.4805,2.2367,22.8479,0.0,warmup,4.000000000000001e-06,6.41,0.0743
21,0,0.4878,2.0197,20.6849,0.0,warmup,4.2000000000000004e-06,6.41,0.0878
22,0,0.4819,1.7927,18.4087,0.0,warmup,4.4e-06,6.41,0.0743
23,0,0.5142,1.5109,15.6232,0.0,warmup,4.6e-06,6.41,0.0873
24,0,0.5224,1.3848,14.3706,0.0,warmup,4.800000000000001e-06,6.41,0.074
25,0,0.4324,1.3278,13.7103,0.0,warmup,5e-06,6.41,0.0793
26,0,0.4715,1.2335,12.8063,0.0,warmup,5.2e-06,6.41,0.0822
27,0,0.4717,1.1731,12.2028,0.0,warmup,5.4e-06,6.41,0.0735
28,0,0.5579,1.0875,11.4327,0.0,warmup,5.600000000000001e-06,6.41,0.0841
29,0,0.5339,1.0521,11.0546,0.0,warmup,5.8e-06,6.41,0.0828
30,0,0.4906,1.0949,11.4393,0.0,warmup,6e-06,6.41,0.0764
31,0,0.4476,1.0839,11.2864,0.0,warmup,6.2e-06,6.4,0.0815
32,0,0.4102,1.0994,11.4045,0.0,warmup,6.4000000000000006e-06,6.4,0.0799
33,0,0.4661,0.9819,10.2849,0.0,warmup,6.6e-06,6.41,0.0815
34,0,0.4656,0.9882,10.3474,0.0,warmup,6.800000000000001e-06,6.4,0.0795
35,0,0.517,0.9604,10.1206,0.0,warmup,7.000000000000001e-06,6.4,0.0792
36,0,0.483,0.8903,9.386,0.0,warmup,7.2e-06,6.41,0.0797
37,0,0.5049,0.8456,8.9613,0.0,warmup,7.4e-06,6.4,0.078
38,0,0.4846,0.8862,9.3463,0.0,warmup,7.6e-06,6.4,0.0785
39,0,0.5109,0.775,8.2607,0.0,warmup,7.8e-06,6.4,0.0806
40,0,0.4648,0.7976,8.441,0.0,warmup,8.000000000000001e-06,6.41,0.0794
41,0,0.479,0.7324,7.8029,0.0,warmup,8.200000000000001e-06,6.41,0.0754
42,0,0.4428,0.7773,8.2155,0.0,warmup,8.400000000000001e-06,6.4,0.0759
43,0,0.4694,0.6682,7.1515,0.0,warmup,8.599999999999999e-06,6.41,0.0756
44,0,0.5328,0.6551,7.0842,0.0,warmup,8.8e-06,6.41,0.0738
45,0,0.4766,0.6144,6.6202,0.0,warmup,9e-06,6.4,0.0777
46,0,0.4329,0.6137,6.5698,0.0,warmup,9.2e-06,6.4,0.0742
47,0,0.4837,0.6112,6.5959,0.0,warmup,9.4e-06,6.41,0.0797
48,0,0.4946,0.589,6.3848,0.0,warmup,9.600000000000001e-06,6.4,0.0762
49,0,0.5286,0.5685,6.2132,0.0,warmup,9.800000000000001e-06,6.41,0.0748
50,0,0.454,0.556,6.0141,0.0,warmup,1e-05,6.41,0.0783
51,0,0.4986,0.5557,6.0558,0.0,warmup,1.02e-05,6.41,0.0747
52,0,0.4645,0.5259,5.7238,0.0,warmup,1.04e-05,6.41,0.0781
53,0,0.4254,0.5361,5.7861,0.0,warmup,1.06e-05,6.41,0.074
54,0,0.4933,0.4883,5.3763,0.0,warmup,1.08e-05,6.41,0.0829
55,0,0.5192,0.4851,5.3705,0.0,warmup,1.1000000000000001e-05,6.4,0.0741
56,0,0.4765,0.4907,5.3835,0.0,warmup,1.1200000000000001e-05,6.4,0.0744
57,0,0.4385,0.4647,5.0858,0.0,warmup,1.1400000000000001e-05,6.4,0.0742
58,0,0.4706,0.4666,5.1365,0.0,warmup,1.16e-05,6.4,0.0723
59,0,0.5171,0.4246,4.7634,0.0,warmup,1.18e-05,6.4,0.0795
60,0,0.4556,0.448,4.9352,0.0,warmup,1.2e-05,6.41,0.0746
61,0,0.4936,0.4284,4.7775,0.0,warmup,1.22e-05,6.4,0.076
62,0,0.5139,0.415,4.6635,0.0,warmup,1.24e-05,6.4,0.0791
63,0,0.5143,0.419,4.7045,0.0,warmup,1.2600000000000001e-05,6.41,0.0721
64,0,0.5061,0.4061,4.5668,0.0,warmup,1.2800000000000001e-05,6.41,0.0835
65,0,0.4744,0.3883,4.3576,0.0,warmup,1.3000000000000001e-05,6.41,0.0774
66,0,0.4781,0.3925,4.4031,0.0,warmup,1.32e-05,6.41,0.071
67,0,0.4554,0.3769,4.2247,0.0,warmup,1.3400000000000002e-05,6.41,0.0756
68,0,0.4711,0.3648,4.1191,0.0,warmup,1.3600000000000002e-05,6.4,0.0823
69,0,0.4288,0.3712,4.1409,0.0,warmup,1.3800000000000002e-05,6.41,0.0838
70,0,0.4559,0.3856,4.3118,0.0,warmup,1.4000000000000001e-05,6.41,0.0875
71,0,0.4988,0.3537,4.0356,0.0,warmup,1.42e-05,6.41,0.0993
72,0,0.4768,0.3618,4.095,0.0,warmup,1.44e-05,6.41,0.0824
73,0,0.4783,0.3426,3.9044,0.0,warmup,1.4599999999999999e-05,6.4,0.0806
74,0,0.4683,0.3433,3.901,0.0,warmup,1.48e-05,6.4,0.0729
75,0,0.4587,0.3271,3.7302,0.0,warmup,1.5e-05,6.41,0.0744
76,0,0.4459,0.3349,3.7947,0.0,warmup,1.52e-05,6.41,0.0782
77,0,0.4346,0.3443,3.8775,0.0,warmup,1.54e-05,6.41,0.0787
78,0,0.4268,0.3399,3.8259,0.0,warmup,1.56e-05,6.4,0.0749
79,0,0.445,0.3378,3.8227,0.0,warmup,1.58e-05,6.41,0.0776
80,0,0.4575,0.3244,3.7019,0.0,warmup,1.6000000000000003e-05,6.41,0.0847
81,0,0.4743,0.3146,3.6205,0.0,warmup,1.62e-05,6.41,0.0728
82,0,0.4276,0.3082,3.51,0.0,warmup,1.6400000000000002e-05,6.41,0.0749
83,0,0.4733,0.2917,3.3905,0.0,warmup,1.66e-05,6.41,0.0777
84,0,0.4643,0.3216,3.6806,0.0,warmup,1.6800000000000002e-05,6.41,0.0732
85,0,0.439,0.2781,3.2197,0.0,warmup,1.7000000000000003e-05,6.41,0.079
86,0,0.4587,0.2964,3.4231,0.0,warmup,1.7199999999999998e-05,6.41,0.0714
87,0,0.5029,0.2946,3.4486,0.0,warmup,1.74e-05,6.41,0.0787
88,0,0.4799,0.3051,3.5311,0.0,warmup,1.76e-05,6.41,0.0721
89,0,0.458,0.2814,3.2716,0.0,warmup,1.78e-05,6.41,0.0776
90,0,0.4568,0.2815,3.2719,0.0,warmup,1.8e-05,6.41,0.0726
91,0,0.4813,0.2554,3.0357,0.0,warmup,1.8200000000000002e-05,6.41,0.0766
92,0,0.4756,0.2748,3.2239,0.0,warmup,1.84e-05,6.41,0.077
93,0,0.4979,0.267,3.1679,0.0,warmup,1.86e-05,6.41,0.0722
94,0,0.477,0.2805,3.2824,0.0,warmup,1.88e-05,6.41,0.0775
95,0,0.4618,0.2808,3.2695,0.0,warmup,1.9e-05,6.41,0.0724
96,0,0.5013,0.2638,3.1395,0.0,warmup,1.9200000000000003e-05,6.41,0.0746
97,0,0.4829,0.2621,3.1034,0.0,warmup,1.94e-05,6.41,0.0756
98,0,0.4208,0.2689,3.1096,0.0,warmup,1.9600000000000002e-05,6.41,0.0723
99,0,0.4947,0.2739,3.2335,0.0,warmup,1.9800000000000004e-05,6.41,0.0777
100,0,0.5105,0.2479,2.9899,0.0,warmup,2e-05,6.41,0.0764
101,0,0.4251,0.2576,3.001,0.0,warmup,2.0200000000000003e-05,6.41,0.0743
102,0,0.4995,0.2611,3.1108,0.0,warmup,2.04e-05,6.41,0.0812
103,0,0.4918,0.2523,3.0144,0.0,warmup,2.06e-05,6.41,0.0731
104,0,0.4962,0.2474,2.97,0.0,warmup,2.08e-05,6.41,0.0725
105,0,0.4636,0.2398,2.8615,0.0,warmup,2.1e-05,6.41,0.0712
106,0,0.4692,0.2479,2.9486,0.0,warmup,2.12e-05,6.41,0.0742
107,0,0.4704,0.2476,2.9462,0.0,warmup,2.1400000000000002e-05,6.41,0.0756
108,0,0.4445,0.2412,2.8562,0.0,warmup,2.16e-05,6.41,0.0753
109,0,0.4906,0.249,2.981,0.0,warmup,2.18e-05,6.41,0.0777
110,0,0.4202,0.2442,2.862,0.0,warmup,2.2000000000000003e-05,6.41,0.0723
111,0,0.4468,0.2433,2.8799,0.0,warmup,2.22e-05,6.41,0.0754
112,0,0.4668,0.2382,2.849,0.0,warmup,2.2400000000000002e-05,6.41,0.0747
113,0,0.4766,0.2341,2.8178,0.0,warmup,2.26e-05,6.41,0.0727
114,0,0.5428,0.2275,2.818,0.0,warmup,2.2800000000000002e-05,6.41,0.0718
115,0,0.4834,0.2335,2.8184,0.0,warmup,2.3000000000000003e-05,6.41,0.075
116,0,0.4866,0.2334,2.8209,0.0,warmup,2.32e-05,6.41,0.076
117,0,0.4723,0.2387,2.8595,0.0,warmup,2.3400000000000003e-05,6.41,0.0774
118,0,0.4213,0.2309,2.7299,0.0,warmup,2.36e-05,6.41,0.0732
119,0,0.4603,0.2225,2.6851,0.0,warmup,2.38e-05,6.41,0.0743
120,0,0.4828,0.2267,2.7498,0.0,warmup,2.4e-05,6.41,0.0728
121,0,0.4051,0.2264,2.6695,0.0,warmup,2.4200000000000002e-05,6.41,0.0732
122,0,0.447,0.2371,2.8182,0.0,warmup,2.44e-05,6.41,0.0777
123,0,0.4367,0.2233,2.6694,0.0,warmup,2.46e-05,6.41,0.0735
124,0,0.49,0.2201,2.6912,0.0,warmup,2.48e-05,6.41,0.0724
125,0,0.4746,0.2257,2.7315,0.0,warmup,2.5e-05,6.41,0.0726
126,0,0.4758,0.2219,2.6949,0.0,warmup,2.5200000000000003e-05,6.41,0.0737
127,0,0.5137,0.2202,2.7152,0.0,warmup,2.54e-05,6.41,0.0775
128,0,0.4307,0.2237,2.6678,0.0,warmup,2.5600000000000002e-05,6.41,0.0735
129,0,0.4641,0.217,2.6337,0.0,warmup,2.58e-05,6.41,0.0731
130,0,0.467,0.2103,2.5697,0.0,warmup,2.6000000000000002e-05,6.41,0.0733
131,0,0.4851,0.2164,2.6486,0.0,warmup,2.6200000000000003e-05,6.41,0.0725
132,0,0.464,0.207,2.5344,0.0,warmup,2.64e-05,6.41,0.0771
133,0,0.4656,0.2183,2.6482,0.0,warmup,2.6600000000000003e-05,6.41,0.0869
134,0,0.4242,0.215,2.5742,0.0,warmup,2.6800000000000004e-05,6.41,0.0824
135,0,0.459,0.2075,2.5342,0.0,warmup,2.7000000000000002e-05,6.41,0.0851
136,0,0.4959,0.2057,2.5526,0.0,warmup,2.7200000000000004e-05,6.41,0.0808
137,0,0.4707,0.2154,2.6252,0.0,warmup,2.7400000000000002e-05,6.41,0.0775
138,0,0.5147,0.2184,2.6985,0.0,warmup,2.7600000000000003e-05,6.41,0.0736
139,0,0.5024,0.2008,2.5109,0.0,warmup,2.7800000000000005e-05,6.41,0.072
140,0,0.4422,0.2048,2.4904,0.0,warmup,2.8000000000000003e-05,6.41,0.0728
141,0,0.4957,0.2033,2.5291,0.0,warmup,2.8199999999999998e-05,6.41,0.0714
142,0,0.4497,0.2169,2.6186,0.0,warmup,2.84e-05,6.41,0.0752
143,0,0.4787,0.2034,2.5125,0.0,warmup,2.86e-05,6.41,0.0712
144,0,0.4424,0.1989,2.4316,0.0,warmup,2.88e-05,6.41,0.073
