[train] variant=act dataset=lerobot/libero_spatial_image -> act_results/Spatial/runs/act
WARNING:lerobot.configs.policies:Device 'None' is not available. Switching to 'cuda'.
/home/user/Desktop/Ayush PH test/ACT/lang_encoder.py:40: UserWarning: enable_nested_tensor is True, but self.use_nested_tensor is False because encoder_layer.norm_first was True
  self.encoder = nn.TransformerEncoder(layer, num_layers=n_layers)
[train] params=88.28M frames=52970 batch=64 steps=30000
Warning: You are sending unauthenticated requests to the HF Hub. Please set a HF_TOKEN to enable higher rate limits and faster downloads.
WARNING:huggingface_hub.utils._http:Warning: You are sending unauthenticated requests to the HF Hub. Please set a HF_TOKEN to enable higher rate limits and faster downloads.
[act] step    200 | l1=0.4388 total=2.132 phgate=- act=0 | VRAM=9.27GB | 0.151s/it
[act] step    400 | l1=0.3949 total=1.094 phgate=- act=0 | VRAM=9.27GB | 0.117s/it
[act] step    600 | l1=0.3112 total=0.559 phgate=- act=0 | VRAM=9.27GB | 0.107s/it
[act] step    800 | l1=0.2833 total=0.445 phgate=- act=0 | VRAM=9.27GB | 0.097s/it
[act] step   1000 | l1=0.2641 total=0.348 phgate=- act=0 | VRAM=9.27GB | 0.121s/it
[act] step   1200 | l1=0.2507 total=0.331 phgate=- act=0 | VRAM=9.27GB | 0.104s/it
[act] step   1400 | l1=0.2348 total=0.281 phgate=- act=0 | VRAM=9.27GB | 0.123s/it
[act] step   1600 | l1=0.2210 total=0.261 phgate=- act=0 | VRAM=9.27GB | 0.097s/it
[act] step   1800 | l1=0.2058 total=0.207 phgate=- act=0 | VRAM=9.27GB | 0.121s/it
[act] step   2000 | l1=0.1937 total=0.221 phgate=- act=0 | VRAM=9.27GB | 0.107s/it
[act] step   2200 | l1=0.1872 total=0.203 phgate=- act=0 | VRAM=9.27GB | 0.127s/it
[act] step   2400 | l1=0.1777 total=0.202 phgate=- act=0 | VRAM=9.27GB | 0.099s/it
[act] step   2600 | l1=0.1708 total=0.202 phgate=- act=0 | VRAM=9.27GB | 2.475s/it
[act] step   2800 | l1=0.1619 total=0.190 phgate=- act=0 | VRAM=9.27GB | 0.101s/it
[act] step   3000 | l1=0.1579 total=0.196 phgate=- act=0 | VRAM=9.27GB | 0.106s/it
[act] step   3200 | l1=0.1506 total=0.172 phgate=- act=0 | VRAM=9.27GB | 0.101s/it
