[train] num_workers -> 48 (cores=56)
[train] variant=act_deeponet dataset=lerobot/libero_spatial_image -> act_results/Spatial/runs/act_deeponet
WARNING:lerobot.configs.policies:Device 'None' is not available. Switching to 'cuda'.
/home/user/Desktop/Ayush PH test/ACT/lang_encoder.py:40: UserWarning: enable_nested_tensor is True, but self.use_nested_tensor is False because encoder_layer.norm_first was True
  self.encoder = nn.TransformerEncoder(layer, num_layers=n_layers)
[ramcache] est 83.5 GB for 52970 items (avail 256 GB)
[ramcache] 10000/52970  (166s)
[ramcache] 20000/52970  (312s)
[ramcache] 30000/52970  (459s)
[ramcache] 40000/52970  (605s)
[ramcache] 50000/52970  (751s)
[ramcache] cached 52970 items in 12.6 min
[train] params=60.71M frames=52970 batch=64 steps=30000
Warning: You are sending unauthenticated requests to the HF Hub. Please set a HF_TOKEN to enable higher rate limits and faster downloads.
WARNING:huggingface_hub.utils._http:Warning: You are sending unauthenticated requests to the HF Hub. Please set a HF_TOKEN to enable higher rate limits and faster downloads.
[act_deeponet] step    200 | l1=0.4506 total=2.100 phgate=- act=0 | VRAM=6.41GB | 0.077s/it
[act_deeponet] step    400 | l1=0.3965 total=1.117 phgate=- act=0 | VRAM=6.41GB | 0.077s/it
[act_deeponet] step    600 | l1=0.3340 total=0.626 phgate=- act=0 | VRAM=6.41GB | 0.079s/it
[act_deeponet] step    800 | l1=0.3073 total=0.436 phgate=- act=0 | VRAM=6.41GB | 0.073s/it
[act_deeponet] step   1000 | l1=0.2914 total=0.334 phgate=- act=0 | VRAM=6.41GB | 0.073s/it
[act_deeponet] step   1200 | l1=0.2753 total=0.303 phgate=- act=0 | VRAM=6.41GB | 0.074s/it
[act_deeponet] step   1400 | l1=0.2683 total=0.297 phgate=- act=0 | VRAM=6.41GB | 0.075s/it
[act_deeponet] step   1600 | l1=0.2586 total=0.307 phgate=- act=0 | VRAM=6.41GB | 0.081s/it
[act_deeponet] step   1800 | l1=0.2507 total=0.251 phgate=- act=0 | VRAM=6.41GB | 0.082s/it
[act_deeponet] step   2000 | l1=0.2421 total=0.277 phgate=- act=0 | VRAM=6.41GB | 0.083s/it
[act_deeponet] step   2200 | l1=0.2376 total=0.272 phgate=- act=0 | VRAM=6.41GB | 0.080s/it
[act_deeponet] step   2400 | l1=0.2318 total=0.238 phgate=- act=0 | VRAM=6.41GB | 0.084s/it
[act_deeponet] step   2600 | l1=0.2225 total=0.222 phgate=- act=0 | VRAM=6.41GB | 0.082s/it
[act_deeponet] step   2800 | l1=0.2226 total=0.237 phgate=- act=0 | VRAM=6.41GB | 0.081s/it
[act_deeponet] step   3000 | l1=0.2170 total=0.249 phgate=- act=0 | VRAM=6.41GB | 0.082s/it
[act_deeponet] step   3200 | l1=0.2115 total=0.243 phgate=- act=0 | VRAM=6.41GB | 0.082s/it
[act_deeponet] step   3400 | l1=0.2037 total=0.251 phgate=- act=0 | VRAM=6.41GB | 0.082s/it
[act_deeponet] step   3600 | l1=0.2008 total=0.264 phgate=- act=0 | VRAM=6.41GB | 0.080s/it
[act_deeponet] step   3800 | l1=0.1971 total=0.219 phgate=- act=0 | VRAM=6.41GB | 0.079s/it
[act_deeponet] step   4000 | l1=0.1947 total=0.235 phgate=- act=0 | VRAM=6.41GB | 0.076s/it
[act_deeponet] step   4200 | l1=0.1892 total=0.211 phgate=- act=0 | VRAM=6.41GB | 0.080s/it
[act_deeponet] step   4400 | l1=0.1850 total=0.204 phgate=- act=0 | VRAM=6.41GB | 0.082s/it
