[train] num_workers -> 48 (cores=56)
[train] variant=act_deeponet_ph dataset=lerobot/libero_spatial_image -> act_results/Spatial/runs/act_deeponet_ph
WARNING:lerobot.configs.policies:Device 'None' is not available. Switching to 'cuda'.
/home/user/Desktop/Ayush PH test/ACT/lang_encoder.py:40: UserWarning: enable_nested_tensor is True, but self.use_nested_tensor is False because encoder_layer.norm_first was True
  self.encoder = nn.TransformerEncoder(layer, num_layers=n_layers)
[ramcache] est 83.5 GB for 52970 items (avail 256 GB)
[ramcache] 10000/52970  (173s)
[ramcache] 20000/52970  (322s)
[ramcache] 30000/52970  (471s)
[ramcache] 40000/52970  (620s)
[ramcache] 50000/52970  (768s)
[ramcache] cached 52970 items in 12.9 min
[train] params=60.71M frames=52970 batch=64 steps=30000
Warning: You are sending unauthenticated requests to the HF Hub. Please set a HF_TOKEN to enable higher rate limits and faster downloads.
WARNING:huggingface_hub.utils._http:Warning: You are sending unauthenticated requests to the HF Hub. Please set a HF_TOKEN to enable higher rate limits and faster downloads.
[act_deeponet_ph] step    200 | l1=0.4506 total=2.093 phgate=warmup act=0.0 | VRAM=6.41GB | 0.073s/it
[act_deeponet_ph] step    400 | l1=0.3967 total=1.121 phgate=warmup act=0.0 | VRAM=6.41GB | 0.076s/it
[act_deeponet_ph] step    600 | l1=0.3338 total=0.615 phgate=warmup act=0.0 | VRAM=6.41GB | 0.073s/it
[act_deeponet_ph] step    800 | l1=0.3073 total=0.446 phgate=warmup act=0.0 | VRAM=6.41GB | 0.073s/it
[act_deeponet_ph] step   1000 | l1=0.2906 total=0.337 phgate=warmup act=0.0 | VRAM=6.41GB | 0.086s/it
[act_deeponet_ph] step   1200 | l1=0.2747 total=0.294 phgate=warmup act=0.0 | VRAM=6.41GB | 0.075s/it
[act_deeponet_ph] step   1400 | l1=0.2682 total=0.292 phgate=warmup act=0.0 | VRAM=6.41GB | 0.077s/it
[act_deeponet_ph] step   1600 | l1=0.2585 total=0.293 phgate=warmup act=0.0 | VRAM=6.41GB | 0.085s/it
[act_deeponet_ph] step   1800 | l1=0.2504 total=0.252 phgate=warmup act=0.0 | VRAM=6.41GB | 0.075s/it
[act_deeponet_ph] step   2000 | l1=0.2418 total=0.284 phgate=warmup act=0.0 | VRAM=6.41GB | 0.080s/it
[act_deeponet_ph] step   2200 | l1=0.2374 total=0.278 phgate=warmup act=0.0 | VRAM=6.41GB | 0.075s/it
[act_deeponet_ph] step   2400 | l1=0.2313 total=0.238 phgate=warmup act=0.0 | VRAM=6.41GB | 0.085s/it
[act_deeponet_ph] step   2600 | l1=0.2225 total=0.234 phgate=warmup act=0.0 | VRAM=6.41GB | 0.085s/it
[act_deeponet_ph] step   2800 | l1=0.2220 total=0.249 phgate=warmup act=0.0 | VRAM=6.41GB | 0.084s/it
[act_deeponet_ph] step   3000 | l1=0.2163 total=0.256 phgate=warmup act=0.0 | VRAM=6.41GB | 0.083s/it
[act_deeponet_ph] step   3200 | l1=0.2110 total=0.226 phgate=warmup act=0.0 | VRAM=6.41GB | 0.083s/it
