step,epoch,l1_loss,kld_loss,total_loss,ph_active_frac,ph_gate,lr,vram_gb,step_s
1,0,0.522,7.8868,79.3896,0,-,2.0000000000000002e-07,8.2,29.6003
2,0,0.5114,8.0244,80.7555,0,-,4.0000000000000003e-07,9.27,0.1033
3,0,0.5373,7.7175,77.7127,0,-,6.000000000000001e-07,9.27,4.446
4,0,0.4695,7.636,76.8294,0,-,8.000000000000001e-07,9.27,0.1094
5,0,0.4801,7.5035,75.5147,0,-,1.0000000000000002e-06,9.28,0.1043
6,0,0.4718,7.1351,71.8224,0,-,1.2000000000000002e-06,9.29,0.1052
7,0,0.4705,7.0349,70.8192,0,-,1.4000000000000001e-06,9.28,0.1189
8,0,0.4824,6.6786,67.2679,0,-,1.6000000000000001e-06,9.28,0.1061
9,0,0.4626,6.4077,64.5395,0,-,1.8e-06,9.28,0.1124
10,0,0.4333,6.1698,62.1316,0,-,2.0000000000000003e-06,9.28,1.4953
11,0,0.4261,5.8245,58.671,0,-,2.2e-06,9.28,0.0907
12,0,0.4628,5.4078,54.5411,0,-,2.4000000000000003e-06,9.28,0.1095
13,0,0.5125,4.9178,49.6907,0,-,2.6e-06,9.28,0.1071
14,0,0.4905,4.5833,46.3231,0,-,2.8000000000000003e-06,9.28,0.1281
15,0,0.4895,4.2003,42.4922,0,-,3e-06,9.28,0.0937
16,0,0.4729,3.7694,38.1667,0,-,3.2000000000000003e-06,9.27,0.1108
17,0,0.5211,3.4316,34.8369,0,-,3.4000000000000005e-06,9.27,0.1043
18,0,0.5003,3.0954,31.4546,0,-,3.6e-06,9.27,0.123
19,0,0.4504,2.7927,28.3775,0,-,3.8e-06,9.27,0.1018
20,0,0.4878,2.3904,24.3913,0,-,4.000000000000001e-06,9.27,0.1052
21,0,0.4565,2.0687,21.1431,0,-,4.2000000000000004e-06,9.27,0.102
22,0,0.45,1.7847,18.2969,0,-,4.4e-06,9.27,0.1192
23,0,0.462,1.6025,16.4873,0,-,4.6e-06,9.27,0.1056
24,0,0.4297,1.3984,14.4142,0,-,4.800000000000001e-06,9.28,0.1038
