step,epoch,l1_loss,kld_loss,total_loss,ph_active_frac,ph_gate,lr,vram_gb,step_s
1,0,0.4231,7.9648,80.0711,0,-,2.0000000000000002e-07,5.7,12.8067
2,0,0.4549,7.7328,77.7829,0,-,4.0000000000000003e-07,6.41,0.0575
3,0,0.4143,7.7397,77.8112,0,-,6.000000000000001e-07,6.41,0.0806
4,0,0.4756,7.6394,76.8695,0,-,8.000000000000001e-07,6.4,0.0779
5,0,0.3809,7.4541,74.9217,0,-,1.0000000000000002e-06,6.41,0.0811
6,0,0.4191,7.0594,71.0134,0,-,1.2000000000000002e-06,6.41,0.0771
7,0,0.3766,7.1188,71.5647,0,-,1.4000000000000001e-06,6.41,0.0769
8,0,0.4514,6.7963,68.4142,0,-,1.6000000000000001e-06,6.41,0.0806
9,0,0.4315,6.4902,65.3333,0,-,1.8e-06,6.41,0.0823
10,0,0.4852,6.1506,61.9912,0,-,2.0000000000000003e-06,6.41,0.0791
11,0,0.4933,5.7222,57.7155,0,-,2.2e-06,6.4,0.0795
12,0,0.4309,5.4255,54.6855,0,-,2.4000000000000003e-06,6.41,0.0774
13,0,0.4887,5.0043,50.5313,0,-,2.6e-06,6.41,0.081
14,0,0.4712,4.5884,46.355,0,-,2.8000000000000003e-06,6.41,0.079
15,0,0.4992,4.1616,42.1157,0,-,3e-06,6.41,0.0763
16,0,0.4787,3.8534,39.0129,0,-,3.2000000000000003e-06,6.41,0.0776
17,0,0.4819,3.417,34.6518,0,-,3.4000000000000005e-06,6.41,0.0837
18,0,0.5002,3.0644,31.1444,0,-,3.6e-06,6.41,0.0772
19,0,0.45,2.6754,27.2044,0,-,3.8e-06,6.41,0.0846
20,0,0.4602,2.4135,24.5956,0,-,4.000000000000001e-06,6.41,0.0744
21,0,0.4552,2.0516,20.9707,0,-,4.2000000000000004e-06,6.41,0.076
22,0,0.4633,1.8294,18.7577,0,-,4.4e-06,6.41,0.0752
23,0,0.4799,1.6182,16.6618,0,-,4.6e-06,6.41,0.0723
24,0,0.4126,1.4877,15.2901,0,-,4.800000000000001e-06,6.41,0.0721
25,0,0.4503,1.3624,14.0748,0,-,5e-06,6.41,0.0761
26,0,0.441,1.2946,13.3872,0,-,5.2e-06,6.41,0.08
27,0,0.5198,1.1081,11.6005,0,-,5.4e-06,6.41,0.0774
28,0,0.5127,1.1286,11.7991,0,-,5.600000000000001e-06,6.41,0.0775
29,0,0.5018,1.0431,10.9325,0,-,5.8e-06,6.41,0.0868
30,0,0.4364,1.1649,12.0854,0,-,6e-06,6.41,0.0863
31,0,0.479,1.0772,11.2506,0,-,6.2e-06,6.41,0.095
32,0,0.423,1.0829,11.2522,0,-,6.4000000000000006e-06,6.41,0.0789
33,0,0.4812,1.0374,10.8556,0,-,6.6e-06,6.41,0.0878
34,0,0.4984,1.0073,10.5716,0,-,6.800000000000001e-06,6.41,0.0918
35,0,0.4614,0.9862,10.3238,0,-,7.000000000000001e-06,6.41,0.0824
36,0,0.464,0.9459,9.9228,0,-,7.2e-06,6.41,0.092
37,0,0.4457,0.868,9.1262,0,-,7.4e-06,6.41,0.0851
38,0,0.5146,0.8648,9.1629,0,-,7.6e-06,6.41,0.0864
39,0,0.453,0.8087,8.5402,0,-,7.8e-06,6.41,0.0915
40,0,0.5032,0.7796,8.299,0,-,8.000000000000001e-06,6.41,0.0797
41,0,0.5224,0.74,7.9222,0,-,8.200000000000001e-06,6.41,0.085
42,0,0.4725,0.7016,7.489,0,-,8.400000000000001e-06,6.41,0.0834
43,0,0.4639,0.6786,7.2503,0,-,8.599999999999999e-06,6.41,0.0863
44,0,0.4747,0.6473,6.9477,0,-,8.8e-06,6.41,0.0903
45,0,0.4732,0.6163,6.636,0,-,9e-06,6.41,0.0877
46,0,0.4858,0.5914,6.4002,0,-,9.2e-06,6.41,0.0946
47,0,0.4509,0.5915,6.3656,0,-,9.4e-06,6.41,0.0978
48,0,0.4645,0.5659,6.1233,0,-,9.600000000000001e-06,6.41,0.0892
49,0,0.4413,0.5803,6.2443,0,-,9.800000000000001e-06,6.41,0.0909
50,0,0.4313,0.5693,6.1242,0,-,1e-05,6.41,0.081
51,0,0.4825,0.5539,6.0217,0,-,1.02e-05,6.41,0.087
52,0,0.4491,0.5415,5.8642,0,-,1.04e-05,6.41,0.0937
53,0,0.4757,0.5082,5.5572,0,-,1.06e-05,6.41,0.0883
54,0,0.4851,0.4825,5.3105,0,-,1.08e-05,6.41,0.0945
55,0,0.5014,0.4803,5.3044,0,-,1.1000000000000001e-05,6.41,0.094
56,0,0.4517,0.489,5.3418,0,-,1.1200000000000001e-05,6.41,0.0902
57,0,0.4869,0.4517,5.0042,0,-,1.1400000000000001e-05,6.41,0.0884
58,0,0.4639,0.43,4.7636,0,-,1.16e-05,6.41,0.0926
59,0,0.4626,0.4536,4.9985,0,-,1.18e-05,6.41,0.0866
60,0,0.4575,0.4328,4.786,0,-,1.2e-05,6.41,0.0816
61,0,0.5,0.4228,4.728,0,-,1.22e-05,6.41,0.0968
62,0,0.4302,0.4145,4.5749,0,-,1.24e-05,6.41,0.0889
63,0,0.4502,0.4056,4.5064,0,-,1.2600000000000001e-05,6.41,0.0928
64,0,0.4837,0.418,4.6639,0,-,1.2800000000000001e-05,6.41,0.093
65,0,0.534,0.3854,4.3881,0,-,1.3000000000000001e-05,6.41,0.092
66,0,0.4804,0.3806,4.2868,0,-,1.32e-05,6.41,0.0937
67,0,0.4787,0.372,4.1985,0,-,1.3400000000000002e-05,6.41,0.0863
68,0,0.497,0.3659,4.1563,0,-,1.3600000000000002e-05,6.41,0.0861
69,0,0.4832,0.3718,4.2015,0,-,1.3800000000000002e-05,6.41,0.0722
70,0,0.4796,0.3828,4.3071,0,-,1.4000000000000001e-05,6.41,0.0836
71,0,0.4865,0.3636,4.1229,0,-,1.42e-05,6.41,0.08
72,0,0.5064,0.343,3.9362,0,-,1.44e-05,6.41,0.0797
73,0,0.492,0.3431,3.9232,0,-,1.4599999999999999e-05,6.41,0.0799
74,0,0.4829,0.3286,3.769,0,-,1.48e-05,6.41,0.0748
75,0,0.3907,0.3457,3.8477,0,-,1.5e-05,6.41,0.0813
76,0,0.4518,0.3436,3.8881,0,-,1.52e-05,6.41,0.0721
77,0,0.5232,0.3226,3.749,0,-,1.54e-05,6.41,0.0844
78,0,0.4789,0.3349,3.8281,0,-,1.56e-05,6.41,0.0728
79,0,0.4904,0.3289,3.7797,0,-,1.58e-05,6.41,0.0726
80,0,0.4491,0.3218,3.6674,0,-,1.6000000000000003e-05,6.41,0.0732
81,0,0.4311,0.3243,3.6741,0,-,1.62e-05,6.41,0.0771
82,0,0.5142,0.3112,3.6267,0,-,1.6400000000000002e-05,6.41,0.0735
83,0,0.4142,0.2979,3.3935,0,-,1.66e-05,6.41,0.0718
84,0,0.4965,0.3108,3.6049,0,-,1.6800000000000002e-05,6.41,0.0759
85,0,0.4952,0.2886,3.3808,0,-,1.7000000000000003e-05,6.41,0.0726
86,0,0.4587,0.2909,3.3672,0,-,1.7199999999999998e-05,6.41,0.0754
87,0,0.4865,0.2799,3.286,0,-,1.74e-05,6.41,0.0898
88,0,0.4681,0.3075,3.543,0,-,1.76e-05,6.41,0.0723
89,0,0.5087,0.2756,3.2644,0,-,1.78e-05,6.41,0.0723
90,0,0.4145,0.2868,3.2821,0,-,1.8e-05,6.41,0.0776
91,0,0.4278,0.2747,3.1748,0,-,1.8200000000000002e-05,6.41,0.0754
92,0,0.4598,0.281,3.2698,0,-,1.84e-05,6.41,0.0728
93,0,0.4389,0.2684,3.1228,0,-,1.86e-05,6.41,0.0735
94,0,0.4481,0.2694,3.1425,0,-,1.88e-05,6.41,0.0726
95,0,0.4933,0.2712,3.2051,0,-,1.9e-05,6.41,0.0795
96,0,0.4432,0.2699,3.1425,0,-,1.9200000000000003e-05,6.41,0.0761
97,0,0.459,0.2696,3.1551,0,-,1.94e-05,6.41,0.072
98,0,0.4127,0.2699,3.1116,0,-,1.9600000000000002e-05,6.41,0.0732
99,0,0.4756,0.2642,3.1173,0,-,1.9800000000000004e-05,6.41,0.0726
100,0,0.4532,0.2431,2.8846,0,-,2e-05,6.41,0.0739
101,0,0.4426,0.253,2.9729,0,-,2.0200000000000003e-05,6.41,0.0743
102,0,0.4528,0.2632,3.0851,0,-,2.04e-05,6.41,0.0756
103,0,0.4435,0.2587,3.0303,0,-,2.06e-05,6.41,0.0759
104,0,0.4748,0.2465,2.9397,0,-,2.08e-05,6.41,0.0727
105,0,0.4602,0.2488,2.9479,0,-,2.1e-05,6.41,0.0745
106,0,0.4361,0.2497,2.9331,0,-,2.12e-05,6.41,0.0753
107,0,0.4762,0.2413,2.8897,0,-,2.1400000000000002e-05,6.41,0.0743
108,0,0.4622,0.2536,2.9982,0,-,2.16e-05,6.41,0.0786
109,0,0.3846,0.2646,3.031,0,-,2.18e-05,6.41,0.0744
110,0,0.4397,0.2492,2.9319,0,-,2.2000000000000003e-05,6.41,0.0736
111,0,0.4816,0.2387,2.8685,0,-,2.22e-05,6.41,0.0739
112,0,0.4684,0.2386,2.8543,0,-,2.2400000000000002e-05,6.41,0.0747
113,0,0.4725,0.2492,2.9641,0,-,2.26e-05,6.41,0.0751
114,0,0.4936,0.2483,2.9771,0,-,2.2800000000000002e-05,6.41,0.0761
115,0,0.4434,0.2383,2.8265,0,-,2.3000000000000003e-05,6.41,0.0736
116,0,0.4729,0.2325,2.7975,0,-,2.32e-05,6.41,0.0833
117,0,0.4553,0.2339,2.7942,0,-,2.3400000000000003e-05,6.41,0.0772
118,0,0.4512,0.2396,2.8472,0,-,2.36e-05,6.41,0.0723
119,0,0.4446,0.2343,2.7878,0,-,2.38e-05,6.41,0.0803
120,0,0.4752,0.2305,2.78,0,-,2.4e-05,6.41,0.0748
121,0,0.4803,0.2239,2.719,0,-,2.4200000000000002e-05,6.41,0.0739
122,0,0.4301,0.236,2.7905,0,-,2.44e-05,6.41,0.0752
123,0,0.4244,0.2279,2.7035,0,-,2.46e-05,6.41,0.0731
124,0,0.4983,0.2193,2.691,0,-,2.48e-05,6.41,0.0727
125,0,0.4768,0.2217,2.6938,0,-,2.5e-05,6.41,0.0787
126,0,0.431,0.2326,2.757,0,-,2.5200000000000003e-05,6.41,0.0729
127,0,0.4479,0.2256,2.7042,0,-,2.54e-05,6.41,0.0778
128,0,0.4518,0.2214,2.6658,0,-,2.5600000000000002e-05,6.41,0.0743
129,0,0.4467,0.2272,2.7191,0,-,2.58e-05,6.41,0.0735
130,0,0.3868,0.2336,2.7225,0,-,2.6000000000000002e-05,6.41,0.0749
131,0,0.4226,0.2157,2.5794,0,-,2.6200000000000003e-05,6.41,0.0727
132,0,0.4141,0.207,2.4843,0,-,2.64e-05,6.41,0.0738
133,0,0.439,0.2154,2.5927,0,-,2.6600000000000003e-05,6.41,0.0726
134,0,0.451,0.2105,2.5558,0,-,2.6800000000000004e-05,6.41,0.0805
135,0,0.4277,0.2233,2.6607,0,-,2.7000000000000002e-05,6.41,0.0757
136,0,0.4211,0.2097,2.5185,0,-,2.7200000000000004e-05,6.41,0.0741
137,0,0.4288,0.2257,2.6863,0,-,2.7400000000000002e-05,6.41,0.0737
138,0,0.3783,0.2201,2.5794,0,-,2.7600000000000003e-05,6.41,0.0738
139,0,0.4297,0.2099,2.5282,0,-,2.7800000000000005e-05,6.41,0.0726
140,0,0.4447,0.208,2.5248,0,-,2.8000000000000003e-05,6.41,0.0772
141,0,0.4429,0.2071,2.5141,0,-,2.8199999999999998e-05,6.41,0.0747
142,0,0.4402,0.2042,2.482,0,-,2.84e-05,6.41,0.0741
143,0,0.4907,0.2086,2.5771,0,-,2.86e-05,6.41,0.0724
144,0,0.4636,0.2129,2.5922,0,-,2.88e-05,6.41,0.0728
145,0,0.4536,0.1895,2.3489,0,-,2.9e-05,6.41,0.0744
146,0,0.401,0.2097,2.4981,0,-,2.9199999999999998e-05,6.41,0.0727
