step,epoch,l1_loss,kld_loss,total_loss,ph_active_frac,ph_gate,lr,vram_gb,step_s
1,0,0.4231,7.9648,80.0711,0.0,warmup,2.0000000000000002e-07,5.7,12.8056
2,0,0.4549,7.7328,77.7829,0.0,warmup,4.0000000000000003e-07,6.41,0.0586
3,0,0.4143,7.7397,77.8112,0.0,warmup,6.000000000000001e-07,6.41,0.0796
4,0,0.4756,7.6394,76.8695,0.0,warmup,8.000000000000001e-07,6.41,0.0815
5,0,0.3809,7.4541,74.9217,0.0,warmup,1.0000000000000002e-06,6.41,0.0772
6,0,0.4191,7.0594,71.0134,0.0,warmup,1.2000000000000002e-06,6.41,0.0811
7,0,0.3766,7.1188,71.5647,0.0,warmup,1.4000000000000001e-06,6.41,0.0752
8,0,0.4514,6.7963,68.4142,0.0,warmup,1.6000000000000001e-06,6.41,0.0862
9,0,0.4315,6.4902,65.3333,0.0,warmup,1.8e-06,6.41,0.0735
10,0,0.4852,6.1506,61.9912,0.0,warmup,2.0000000000000003e-06,6.41,0.0811
11,0,0.4933,5.7222,57.7155,0.0,warmup,2.2e-06,6.41,0.0782
12,0,0.4309,5.4255,54.6855,0.0,warmup,2.4000000000000003e-06,6.41,0.0807
13,0,0.4887,5.0043,50.5313,0.0,warmup,2.6e-06,6.41,0.0785
14,0,0.4712,4.5884,46.355,0.0,warmup,2.8000000000000003e-06,6.41,0.0783
15,0,0.4992,4.1616,42.1157,0.0,warmup,3e-06,6.41,0.0809
16,0,0.4787,3.8534,39.0129,0.0,warmup,3.2000000000000003e-06,6.41,0.0804
17,0,0.4819,3.417,34.6518,0.0,warmup,3.4000000000000005e-06,6.41,0.0799
18,0,0.5002,3.0644,31.1444,0.0,warmup,3.6e-06,6.41,0.0818
19,0,0.45,2.6754,27.2044,0.0,warmup,3.8e-06,6.41,0.0754
20,0,0.4602,2.4135,24.5956,0.0,warmup,4.000000000000001e-06,6.41,0.0828
21,0,0.4552,2.0516,20.9707,0.0,warmup,4.2000000000000004e-06,6.41,0.0805
22,0,0.4633,1.8294,18.7577,0.0,warmup,4.4e-06,6.41,0.0815
23,0,0.4799,1.6182,16.6618,0.0,warmup,4.6e-06,6.41,0.0833
24,0,0.4126,1.4877,15.2901,0.0,warmup,4.800000000000001e-06,6.41,0.0816
25,0,0.4503,1.3624,14.0748,0.0,warmup,5e-06,6.41,0.0807
26,0,0.441,1.2946,13.3872,0.0,warmup,5.2e-06,6.41,0.0813
27,0,0.5198,1.1081,11.6005,0.0,warmup,5.4e-06,6.41,0.0815
28,0,0.5127,1.1286,11.7991,0.0,warmup,5.600000000000001e-06,6.41,0.0764
29,0,0.5018,1.0431,10.9325,0.0,warmup,5.8e-06,6.41,0.0867
30,0,0.4364,1.1649,12.0854,0.0,warmup,6e-06,6.41,0.075
31,0,0.479,1.0772,11.2506,0.0,warmup,6.2e-06,6.4,0.0852
32,0,0.423,1.0829,11.2522,0.0,warmup,6.4000000000000006e-06,6.4,0.0786
33,0,0.4812,1.0374,10.8556,0.0,warmup,6.6e-06,6.41,0.0786
34,0,0.4984,1.0073,10.5716,0.0,warmup,6.800000000000001e-06,6.4,0.0766
35,0,0.4614,0.9862,10.3238,0.0,warmup,7.000000000000001e-06,6.4,0.0831
36,0,0.464,0.9459,9.9228,0.0,warmup,7.2e-06,6.41,0.0737
