metric,suite/category,ACT,ACT+DeepONet,ACT+DeepONet+PH
in_dist,Spatial,83.7,83.7,78.0
in_dist,Object,81.7,87.0,72.0
in_dist,Long,54.7,62.7,50.0
in_dist,Goal,83.3,86.3,85.0
in_dist,Average,75.8,79.9,71.2
plus_overall,Spatial,61.9,65.5,57.1
plus_overall,Object,46.4,53.6,47.6
plus_overall,Long,22.6,20.2,27.4
plus_overall,Goal,54.8,59.5,51.2
plus_overall,Average,46.4,49.7,45.8
plus_cat_avg,Camera Viewpoints,41.7,45.8,45.8
plus_cat_avg,Light Conditions,66.7,64.6,56.2
plus_cat_avg,Sensor Noise,39.6,45.8,47.9
plus_cat_avg,Background Textures,54.2,56.3,43.8
plus_cat_avg,Objects Layout,43.8,50.0,41.7
plus_cat_avg,Robot Initial States,14.6,16.7,22.9
plus_cat_avg,Language Instructions,64.6,68.8,62.5
params_M,-,88.3,60.7,60.7
plan_latency_ms,-,15.96,13.39,12.99
amortized_ms,-,3.90,3.23,3.35
