[train] num_workers -> 48 (cores=56)
[train] variant=act_deeponet dataset=lerobot/libero_object_image -> act_results_frozenbb/Object/runs/act_deeponet
WARNING:lerobot.configs.policies:Device 'None' is not available. Switching to 'cuda'.
/home/user/Desktop/Ayush PH test/ACT/lang_encoder.py:40: UserWarning: enable_nested_tensor is True, but self.use_nested_tensor is False because encoder_layer.norm_first was True
  self.encoder = nn.TransformerEncoder(layer, num_layers=n_layers)
[ramcache] est 105.6 GB for 66984 items (avail 255 GB)
[ramcache] 10000/66984  (181s)
[ramcache] 20000/66984  (333s)
[ramcache] 30000/66984  (486s)
[ramcache] 40000/66984  (639s)
[ramcache] 50000/66984  (789s)
[ramcache] 60000/66984  (941s)
[ramcache] cached 66984 items in 16.8 min
[train] params=60.71M frames=66984 batch=64 steps=30000
[act_deeponet] step    200 | l1=0.4662 total=2.083 phgate=- act=0 | VRAM=6.41GB | 0.073s/it
[act_deeponet] step    400 | l1=0.3866 total=1.044 phgate=- act=0 | VRAM=6.41GB | 0.075s/it
[act_deeponet] step    600 | l1=0.3284 total=0.560 phgate=- act=0 | VRAM=6.41GB | 0.073s/it
[act_deeponet] step    800 | l1=0.3049 total=0.417 phgate=- act=0 | VRAM=6.41GB | 0.073s/it
[act_deeponet] step   1000 | l1=0.2916 total=0.395 phgate=- act=0 | VRAM=6.41GB | 0.072s/it
[act_deeponet] step   1200 | l1=0.2921 total=0.326 phgate=- act=0 | VRAM=6.41GB | 0.074s/it
[act_deeponet] step   1400 | l1=0.2823 total=0.369 phgate=- act=0 | VRAM=6.41GB | 0.074s/it
[act_deeponet] step   1600 | l1=0.2815 total=0.329 phgate=- act=0 | VRAM=6.41GB | 0.075s/it
[act_deeponet] step   1800 | l1=0.2754 total=0.292 phgate=- act=0 | VRAM=6.41GB | 0.074s/it
[act_deeponet] step   2000 | l1=0.2724 total=0.238 phgate=- act=0 | VRAM=6.41GB | 0.073s/it
[act_deeponet] step   2200 | l1=0.2692 total=0.303 phgate=- act=0 | VRAM=6.41GB | 0.076s/it
[act_deeponet] step   2400 | l1=0.2675 total=0.335 phgate=- act=0 | VRAM=6.41GB | 0.082s/it
[act_deeponet] step   2600 | l1=0.2646 total=0.304 phgate=- act=0 | VRAM=6.41GB | 0.081s/it
[act_deeponet] step   2800 | l1=0.2622 total=0.329 phgate=- act=0 | VRAM=6.41GB | 0.079s/it
[act_deeponet] step   3000 | l1=0.2614 total=0.265 phgate=- act=0 | VRAM=6.41GB | 0.076s/it
[act_deeponet] step   3200 | l1=0.2579 total=0.278 phgate=- act=0 | VRAM=6.41GB | 0.082s/it
[act_deeponet] step   3400 | l1=0.2526 total=0.260 phgate=- act=0 | VRAM=6.41GB | 0.077s/it
[act_deeponet] step   3600 | l1=0.2506 total=0.268 phgate=- act=0 | VRAM=6.41GB | 0.079s/it
[act_deeponet] step   3800 | l1=0.2478 total=0.267 phgate=- act=0 | VRAM=6.41GB | 0.074s/it
[act_deeponet] step   4000 | l1=0.2454 total=0.252 phgate=- act=0 | VRAM=6.41GB | 0.081s/it
