[train] num_workers -> 48 (cores=56)
[train] variant=act_deeponet dataset=lerobot/libero_object_image -> act_results_gripfix/Object/runs/act_deeponet
WARNING:lerobot.configs.policies:Device 'None' is not available. Switching to 'cuda'.
/home/user/Desktop/Ayush PH test/ACT/lang_encoder.py:40: UserWarning: enable_nested_tensor is True, but self.use_nested_tensor is False because encoder_layer.norm_first was True
  self.encoder = nn.TransformerEncoder(layer, num_layers=n_layers)
[ramcache] est 105.6 GB for 66984 items (avail 254 GB)
[ramcache] 10000/66984  (178s)
[ramcache] 20000/66984  (331s)
[ramcache] 30000/66984  (483s)
[ramcache] 40000/66984  (636s)
[ramcache] 50000/66984  (789s)
[ramcache] 60000/66984  (941s)
[ramcache] cached 66984 items in 16.8 min
[train] params=61.80M frames=66984 batch=64 steps=30000
[act_deeponet] step    200 | l1=0.4668 total=2.118 phgate=- act=0 | VRAM=6.43GB | 0.073s/it
[act_deeponet] step    400 | l1=0.4113 total=1.155 phgate=- act=0 | VRAM=6.44GB | 0.073s/it
[act_deeponet] step    600 | l1=0.3391 total=0.551 phgate=- act=0 | VRAM=6.44GB | 0.074s/it
[act_deeponet] step    800 | l1=0.3075 total=0.431 phgate=- act=0 | VRAM=6.44GB | 0.072s/it
[act_deeponet] step   1000 | l1=0.2968 total=0.361 phgate=- act=0 | VRAM=6.44GB | 0.071s/it
[act_deeponet] step   1200 | l1=0.2855 total=0.347 phgate=- act=0 | VRAM=6.44GB | 0.075s/it
[act_deeponet] step   1400 | l1=0.2793 total=0.348 phgate=- act=0 | VRAM=6.44GB | 0.083s/it
[act_deeponet] step   1600 | l1=0.2750 total=0.305 phgate=- act=0 | VRAM=6.44GB | 0.078s/it
[act_deeponet] step   1800 | l1=0.2697 total=0.288 phgate=- act=0 | VRAM=6.44GB | 0.075s/it
[act_deeponet] step   2000 | l1=0.2663 total=0.365 phgate=- act=0 | VRAM=6.44GB | 0.074s/it
[act_deeponet] step   2200 | l1=0.2579 total=0.304 phgate=- act=0 | VRAM=6.44GB | 0.083s/it
[act_deeponet] step   2400 | l1=0.2529 total=0.258 phgate=- act=0 | VRAM=6.44GB | 0.082s/it
[act_deeponet] step   2600 | l1=0.2501 total=0.255 phgate=- act=0 | VRAM=6.44GB | 0.083s/it
[act_deeponet] step   2800 | l1=0.2447 total=0.279 phgate=- act=0 | VRAM=6.44GB | 0.082s/it
[act_deeponet] step   3000 | l1=0.2389 total=0.285 phgate=- act=0 | VRAM=6.44GB | 0.080s/it
[act_deeponet] step   3200 | l1=0.2340 total=0.274 phgate=- act=0 | VRAM=6.44GB | 0.079s/it
[act_deeponet] step   3400 | l1=0.2291 total=0.301 phgate=- act=0 | VRAM=6.44GB | 0.083s/it
[act_deeponet] step   3600 | l1=0.2245 total=0.299 phgate=- act=0 | VRAM=6.44GB | 0.077s/it
[act_deeponet] step   3800 | l1=0.2196 total=0.217 phgate=- act=0 | VRAM=6.44GB | 0.084s/it
[act_deeponet] step   4000 | l1=0.2177 total=0.277 phgate=- act=0 | VRAM=6.44GB | 0.080s/it
[act_deeponet] step   4200 | l1=0.2104 total=0.224 phgate=- act=0 | VRAM=6.44GB | 0.074s/it
[act_deeponet] step   4400 | l1=0.2050 total=0.282 phgate=- act=0 | VRAM=6.44GB | 0.081s/it
[act_deeponet] step   4600 | l1=0.2040 total=0.219 phgate=- act=0 | VRAM=6.44GB | 0.084s/it
[act_deeponet] step   4800 | l1=0.1995 total=0.236 phgate=- act=0 | VRAM=6.44GB | 0.083s/it
[act_deeponet] step   5000 | l1=0.1935 total=0.222 phgate=- act=0 | VRAM=6.44GB | 0.083s/it
[act_deeponet] step   5200 | l1=0.1924 total=0.235 phgate=- act=0 | VRAM=6.44GB | 0.074s/it
[act_deeponet] step   5400 | l1=0.1856 total=0.175 phgate=- act=0 | VRAM=6.44GB | 0.084s/it
[act_deeponet] step   5600 | l1=0.1830 total=0.220 phgate=- act=0 | VRAM=6.44GB | 0.074s/it
[act_deeponet] step   5800 | l1=0.1823 total=0.232 phgate=- act=0 | VRAM=6.44GB | 0.081s/it
[act_deeponet] step   6000 | l1=0.1795 total=0.221 phgate=- act=0 | VRAM=6.44GB | 0.083s/it
[act_deeponet] step   6200 | l1=0.1776 total=0.233 phgate=- act=0 | VRAM=6.44GB | 0.082s/it
[act_deeponet] step   6400 | l1=0.1729 total=0.227 phgate=- act=0 | VRAM=6.44GB | 0.084s/it
[act_deeponet] step   6600 | l1=0.1701 total=0.238 phgate=- act=0 | VRAM=6.44GB | 0.081s/it
[act_deeponet] step   6800 | l1=0.1692 total=0.188 phgate=- act=0 | VRAM=6.44GB | 0.078s/it
[act_deeponet] step   7000 | l1=0.1676 total=0.202 phgate=- act=0 | VRAM=6.44GB | 0.083s/it
[act_deeponet] step   7200 | l1=0.1657 total=0.206 phgate=- act=0 | VRAM=6.44GB | 0.082s/it
[act_deeponet] step   7400 | l1=0.1622 total=0.226 phgate=- act=0 | VRAM=6.44GB | 0.086s/it
[act_deeponet] step   7600 | l1=0.1610 total=0.191 phgate=- act=0 | VRAM=6.44GB | 0.081s/it
[act_deeponet] step   7800 | l1=0.1577 total=0.198 phgate=- act=0 | VRAM=6.44GB | 0.083s/it
[act_deeponet] step   8000 | l1=0.1574 total=0.231 phgate=- act=0 | VRAM=6.44GB | 0.084s/it
[act_deeponet] step   8200 | l1=0.1562 total=0.188 phgate=- act=0 | VRAM=6.44GB | 0.073s/it
[act_deeponet] step   8400 | l1=0.1524 total=0.203 phgate=- act=0 | VRAM=6.44GB | 0.084s/it
