step,epoch,l1_loss,kld_loss,total_loss,ph_active_frac,ph_gate,lr,vram_gb,step_s
1,0,0.5352,7.9515,80.0501,0,-,2.0000000000000002e-07,5.71,14.5929
2,0,0.5399,7.6946,77.4862,0,-,4.0000000000000003e-07,6.43,0.0574
3,0,0.5292,7.7556,78.0856,0,-,6.000000000000001e-07,6.43,0.0846
4,0,0.4952,7.5703,76.1985,0,-,8.000000000000001e-07,6.43,0.0885
5,0,0.4771,7.3219,73.6964,0,-,1.0000000000000002e-06,6.43,0.0837
6,0,0.4963,7.1271,71.7676,0,-,1.2000000000000002e-06,6.43,0.0749
7,0,0.4522,7.064,71.0925,0,-,1.4000000000000001e-06,6.43,0.0825
8,0,0.4977,6.6525,67.0223,0,-,1.6000000000000001e-06,6.43,0.0722
9,0,0.4723,6.5054,65.5263,0,-,1.8e-06,6.43,0.0762
10,0,0.4616,6.102,61.4818,0,-,2.0000000000000003e-06,6.43,0.0724
11,0,0.4509,5.7267,57.7179,0,-,2.2e-06,6.43,0.0735
12,0,0.4538,5.4211,54.6643,0,-,2.4000000000000003e-06,6.43,0.0814
13,0,0.4919,4.8829,49.3211,0,-,2.6e-06,6.43,0.0727
14,0,0.4914,4.4807,45.2983,0,-,2.8000000000000003e-06,6.43,0.0741
15,0,0.4501,4.1357,41.8074,0,-,3e-06,6.43,0.0742
16,0,0.5081,3.7525,38.0329,0,-,3.2000000000000003e-06,6.43,0.0735
17,0,0.5064,3.332,33.8267,0,-,3.4000000000000005e-06,6.43,0.0805
18,0,0.5037,2.9079,29.5823,0,-,3.6e-06,6.43,0.0732
19,0,0.4469,2.6157,26.6041,0,-,3.8e-06,6.43,0.0752
20,0,0.5176,2.1556,22.0739,0,-,4.000000000000001e-06,6.43,0.0722
21,0,0.4649,1.9703,20.1678,0,-,4.2000000000000004e-06,6.43,0.0735
22,0,0.3918,1.9885,20.2772,0,-,4.4e-06,6.43,0.0729
23,0,0.4902,1.6581,17.0709,0,-,4.6e-06,6.43,0.073
24,0,0.4947,1.4055,14.5498,0,-,4.800000000000001e-06,6.43,0.0749
25,0,0.4692,1.2967,13.4362,0,-,5e-06,6.43,0.0752
26,0,0.4361,1.2867,13.3031,0,-,5.2e-06,6.43,0.0784
27,0,0.5205,1.1411,11.9312,0,-,5.4e-06,6.43,0.0812
28,0,0.4872,1.1263,11.7505,0,-,5.600000000000001e-06,6.43,0.0764
29,0,0.4871,1.0341,10.828,0,-,5.8e-06,6.44,0.0716
30,0,0.4771,1.0401,10.8779,0,-,6e-06,6.43,0.0745
31,0,0.4733,1.0861,11.3338,0,-,6.2e-06,6.43,0.0744
32,0,0.5088,0.9997,10.5056,0,-,6.4000000000000006e-06,6.43,0.077
33,0,0.4852,0.9712,10.1972,0,-,6.6e-06,6.43,0.0738
34,0,0.5183,0.9893,10.411,0,-,6.800000000000001e-06,6.43,0.0741
35,0,0.5304,0.9435,9.9649,0,-,7.000000000000001e-06,6.43,0.0796
36,0,0.5077,0.8727,9.2347,0,-,7.2e-06,6.43,0.0733
37,0,0.4261,0.85,8.9259,0,-,7.4e-06,6.43,0.074
38,0,0.4992,0.8341,8.8398,0,-,7.6e-06,6.43,0.0782
39,0,0.4663,0.8219,8.6851,0,-,7.8e-06,6.43,0.075
40,0,0.4745,0.7701,8.1756,0,-,8.000000000000001e-06,6.43,0.0773
41,0,0.4479,0.7436,7.8843,0,-,8.200000000000001e-06,6.43,0.0729
42,0,0.45,0.7084,7.5336,0,-,8.400000000000001e-06,6.42,0.0795
43,0,0.4544,0.698,7.4347,0,-,8.599999999999999e-06,6.43,0.0751
44,0,0.4565,0.6655,7.1111,0,-,8.8e-06,6.43,0.0785
