[train] head=deeponet variant=baseline seed=0 out=../Goal/runs/m3_s0
`torch_dtype` is deprecated! Use `dtype` instead!
Loading  HuggingFaceTB/SmolVLM2-500M-Video-Instruct weights ...
Loading weights:   0%|          | 0/489 [00:00<?, ?it/s]Loading weights: 100%|██████████| 489/489 [00:00<00:00, 6963.64it/s]
Reducing the number of VLM layers to 16 ...
Loading  HuggingFaceTB/SmolVLM2-500M-Video-Instruct weights ...
Loading weights:   0%|          | 0/489 [00:00<?, ?it/s]Loading weights: 100%|██████████| 489/489 [00:00<00:00, 6528.82it/s]
WARNING:root:Missing key(s) when loading model: {'model.deeponet.out_mlp.2.weight', 'model.deeponet.pool.blocks.2.ln_kv.weight', 'model.deeponet.pool.blocks.2.ff.2.weight', 'model.deeponet.pool.blocks.1.attn.in_proj_bias', 'model.deeponet.pool.blocks.1.ln2.bias', 'model.deeponet.pool.queries', 'model.deeponet.pool.blocks.2.ln_q.weight', 'model.deeponet.pool.blocks.0.attn.out_proj.weight', 'model.deeponet.pool.blocks.1.ff.2.bias', 'model.deeponet.pool.blocks.2.ln2.weight', 'model.deeponet.branch.1.bias', 'model.deeponet.pool.blocks.1.ff.0.bias', 'model.deeponet.pool.blocks.2.attn.in_proj_bias', 'model.deeponet.pool.blocks.2.ln_kv.bias', 'model.deeponet.pool.blocks.2.attn.out_proj.weight', 'model.deeponet.pool.in_proj.weight', 'model.deeponet.pool.blocks.2.ff.2.bias', 'model.deeponet.branch.1.weight', 'model.deeponet.branch.3.bias', 'model.deeponet.pool.in_proj.bias', 'model.deeponet.pool.blocks.0.ln_q.bias', 'model.deeponet.trunk.4.bias', 'model.deeponet.trunk.4.weight', 'model.deeponet.pool.blocks.2.attn.out_proj.bias', 'model.deeponet.pool.blocks.1.ff.2.weight', 'model.deeponet.pool.blocks.2.ff.0.weight', 'model.deeponet.pool.blocks.1.ln_q.weight', 'model.deeponet.trunk.0.bias', 'model.deeponet.pool.blocks.2.attn.in_proj_weight', 'model.deeponet.pool.blocks.0.ff.2.weight', 'model.deeponet.out_mlp.0.bias', 'model.deeponet.branch.0.weight', 'model.deeponet.pool.blocks.2.ff.0.bias', 'model.deeponet.pool.blocks.0.attn.in_proj_weight', 'model.deeponet.pool.blocks.0.ln_kv.bias', 'model.deeponet.pool.blocks.1.attn.in_proj_weight', 'model.deeponet.pool.blocks.1.ln2.weight', 'model.deeponet.pool.blocks.1.ff.0.weight', 'model.deeponet.pool.blocks.0.ln2.bias', 'model.deeponet.branch.3.weight', 'model.deeponet.pool.blocks.0.attn.in_proj_bias', 'model.deeponet.out_mlp.2.bias', 'model.deeponet.branch.0.bias', 'model.deeponet.out_mlp.0.weight', 'model.deeponet.pool.blocks.1.ln_kv.bias', 'model.deeponet.out_bias', 'model.deeponet.pool.blocks.0.ff.0.weight', 'model.deeponet.pool.blocks.0.ff.2.bias', 'model.deeponet.trunk.2.weight', 'model.deeponet.pool.blocks.1.attn.out_proj.weight', 'model.deeponet.pool.blocks.2.ln_q.bias', 'model.deeponet.pool.blocks.1.ln_kv.weight', 'model.deeponet.trunk.2.bias', 'model.deeponet.pool.blocks.0.ln2.weight', 'model.deeponet.pool.blocks.0.ln_q.weight', 'model.deeponet.pool.blocks.1.attn.out_proj.bias', 'model.deeponet.trunk.0.weight', 'model.deeponet.pool.blocks.2.ln2.bias', 'model.deeponet.pool.blocks.0.ln_kv.weight', 'model.deeponet.pool.blocks.0.attn.out_proj.bias', 'model.deeponet.pool.blocks.1.ln_q.bias', 'model.deeponet.pool.blocks.0.ff.0.bias'}
Reducing the number of VLM layers to 16 ...
Fetching 4 files:   0%|          | 0/4 [00:00<?, ?it/s]Fetching 4 files: 100%|██████████| 4/4 [00:00<00:00, 92691.80it/s]
Fetching 4 files:   0%|          | 0/4 [00:00<?, ?it/s]Fetching 4 files: 100%|██████████| 4/4 [00:00<00:00, 5654.61it/s]
[train] dataset frames=52042 episodes=428 -> 1 epoch = 1084 steps @ batch 48
[train] planned frames seen = 720000 = 13.83 epochs

=== stage1 | steps=1650 batch=48 trainable: head=10.40M backbone=0.0M ===
[stage1] step    199 | mse=0.6454 L1=0.6314 PH=0.0000 total=0.6454 | VRAM=9.5GB | 0.276s/it
[stage1] step    399 | mse=0.4071 L1=0.5208 PH=0.0000 total=0.4071 | VRAM=9.5GB | 0.278s/it
[stage1] step    599 | mse=0.3061 L1=0.4438 PH=0.0000 total=0.3061 | VRAM=9.5GB | 0.278s/it
[stage1] step    799 | mse=0.2588 L1=0.4049 PH=0.0000 total=0.2588 | VRAM=9.5GB | 0.277s/it
[stage1] step    999 | mse=0.2482 L1=0.3954 PH=0.0000 total=0.2482 | VRAM=9.5GB | 0.277s/it
[stage1] step   1199 | mse=0.2299 L1=0.3850 PH=0.0000 total=0.2299 | VRAM=9.5GB | 0.276s/it
[stage1] step   1399 | mse=0.2205 L1=0.3786 PH=0.0000 total=0.2205 | VRAM=9.5GB | 0.276s/it
[stage1] step   1599 | mse=0.2129 L1=0.3746 PH=0.0000 total=0.2129 | VRAM=9.5GB | 0.277s/it
[ckpt] saved -> ../Goal/runs/m3_s0/checkpoints/1650  (EMA weights)

=== stage2 | steps=13350 batch=48 trainable: head=10.40M backbone=350.2M ===
[stage2] step   1849 | mse=0.2021 L1=0.3664 PH=0.0000 total=0.2021 | VRAM=50.3GB | 0.637s/it
[stage2] step   2049 | mse=0.1939 L1=0.3607 PH=0.0000 total=0.1939 | VRAM=50.3GB | 0.635s/it
[stage2] step   2249 | mse=0.1891 L1=0.3601 PH=0.0000 total=0.1891 | VRAM=50.3GB | 0.636s/it
[stage2] step   2449 | mse=0.1774 L1=0.3509 PH=0.0000 total=0.1774 | VRAM=50.3GB | 0.635s/it
[stage2] step   2649 | mse=0.1661 L1=0.3452 PH=0.0000 total=0.1661 | VRAM=50.3GB | 0.635s/it
[stage2] step   2849 | mse=0.1539 L1=0.3364 PH=0.0000 total=0.1539 | VRAM=50.3GB | 0.634s/it
[stage2] step   3049 | mse=0.1435 L1=0.3286 PH=0.0000 total=0.1435 | VRAM=50.3GB | 0.635s/it
[stage2] step   3249 | mse=0.1352 L1=0.3237 PH=0.0000 total=0.1352 | VRAM=50.3GB | 0.634s/it
[stage2] step   3449 | mse=0.1294 L1=0.3183 PH=0.0000 total=0.1294 | VRAM=50.3GB | 0.633s/it
[stage2] step   3649 | mse=0.1202 L1=0.3103 PH=0.0000 total=0.1202 | VRAM=50.3GB | 0.634s/it
[stage2] step   3849 | mse=0.1109 L1=0.3025 PH=0.0000 total=0.1109 | VRAM=50.3GB | 0.633s/it
[stage2] step   4049 | mse=0.1030 L1=0.2960 PH=0.0000 total=0.1030 | VRAM=50.3GB | 0.636s/it
[stage2] step   4249 | mse=0.0995 L1=0.2899 PH=0.0000 total=0.0995 | VRAM=50.3GB | 0.636s/it
[stage2] step   4449 | mse=0.0951 L1=0.2859 PH=0.0000 total=0.0951 | VRAM=50.3GB | 0.635s/it
[stage2] step   4649 | mse=0.0916 L1=0.2842 PH=0.0000 total=0.0916 | VRAM=50.3GB | 0.635s/it
[stage2] step   4849 | mse=0.0868 L1=0.2797 PH=0.0000 total=0.0868 | VRAM=50.3GB | 0.635s/it
[stage2] step   5049 | mse=0.0818 L1=0.2746 PH=0.0000 total=0.0818 | VRAM=50.3GB | 0.634s/it
[stage2] step   5249 | mse=0.0769 L1=0.2689 PH=0.0000 total=0.0769 | VRAM=50.3GB | 0.635s/it
[stage2] step   5449 | mse=0.0762 L1=0.2664 PH=0.0000 total=0.0762 | VRAM=50.3GB | 0.635s/it
[stage2] step   5649 | mse=0.0736 L1=0.2618 PH=0.0000 total=0.0736 | VRAM=50.3GB | 0.636s/it
[stage2] step   5849 | mse=0.0707 L1=0.2586 PH=0.0000 total=0.0707 | VRAM=50.3GB | 0.635s/it
[stage2] step   6049 | mse=0.0685 L1=0.2546 PH=0.0000 total=0.0685 | VRAM=50.3GB | 0.635s/it
[stage2] step   6249 | mse=0.0642 L1=0.2529 PH=0.0000 total=0.0642 | VRAM=50.3GB | 0.637s/it
[stage2] step   6449 | mse=0.0634 L1=0.2508 PH=0.0000 total=0.0634 | VRAM=50.3GB | 0.637s/it
[stage2] step   6649 | mse=0.0621 L1=0.2473 PH=0.0000 total=0.0621 | VRAM=50.3GB | 0.637s/it
[stage2] step   6849 | mse=0.0605 L1=0.2463 PH=0.0000 total=0.0605 | VRAM=50.3GB | 0.635s/it
