[train] head=deeponet variant=ph seed=0 out=../Goal/runs/m4_s0
`torch_dtype` is deprecated! Use `dtype` instead!
Loading  HuggingFaceTB/SmolVLM2-500M-Video-Instruct weights ...
Loading weights:   0%|          | 0/489 [00:00<?, ?it/s]Loading weights: 100%|██████████| 489/489 [00:00<00:00, 6578.02it/s]
Reducing the number of VLM layers to 16 ...
Loading  HuggingFaceTB/SmolVLM2-500M-Video-Instruct weights ...
Loading weights:   0%|          | 0/489 [00:00<?, ?it/s]Loading weights: 100%|██████████| 489/489 [00:00<00:00, 6171.95it/s]
WARNING:root:Missing key(s) when loading model: {'model.deeponet.pool.blocks.1.ln_q.weight', 'model.deeponet.pool.blocks.2.ln_kv.weight', 'model.deeponet.pool.blocks.2.ff.0.bias', 'model.deeponet.pool.blocks.1.ln2.bias', 'model.deeponet.branch.0.bias', 'model.deeponet.branch.1.weight', 'model.deeponet.pool.blocks.1.attn.out_proj.bias', 'model.deeponet.out_bias', 'model.deeponet.pool.blocks.2.ln_q.weight', 'model.deeponet.pool.blocks.1.attn.out_proj.weight', 'model.deeponet.out_mlp.2.weight', 'model.deeponet.pool.blocks.0.attn.in_proj_weight', 'model.deeponet.pool.blocks.1.ln2.weight', 'model.deeponet.pool.blocks.2.ln2.weight', 'model.deeponet.trunk.4.weight', 'model.deeponet.pool.blocks.0.ff.0.weight', 'model.deeponet.out_mlp.2.bias', 'model.deeponet.out_mlp.0.bias', 'model.deeponet.trunk.0.bias', 'model.deeponet.pool.blocks.0.attn.out_proj.weight', 'model.deeponet.pool.blocks.0.attn.out_proj.bias', 'model.deeponet.pool.blocks.2.attn.out_proj.weight', 'model.deeponet.pool.blocks.2.ff.2.bias', 'model.deeponet.pool.blocks.1.ln_kv.weight', 'model.deeponet.pool.blocks.0.ff.2.weight', 'model.deeponet.pool.blocks.0.ln_kv.bias', 'model.deeponet.pool.blocks.2.attn.out_proj.bias', 'model.deeponet.pool.in_proj.bias', 'model.deeponet.pool.blocks.1.attn.in_proj_weight', 'model.deeponet.pool.blocks.0.attn.in_proj_bias', 'model.deeponet.branch.3.weight', 'model.deeponet.branch.1.bias', 'model.deeponet.trunk.0.weight', 'model.deeponet.pool.queries', 'model.deeponet.pool.in_proj.weight', 'model.deeponet.out_mlp.0.weight', 'model.deeponet.pool.blocks.0.ln_q.weight', 'model.deeponet.branch.0.weight', 'model.deeponet.trunk.2.weight', 'model.deeponet.trunk.4.bias', 'model.deeponet.pool.blocks.2.ff.2.weight', 'model.deeponet.pool.blocks.2.ln2.bias', 'model.deeponet.pool.blocks.0.ln2.bias', 'model.deeponet.pool.blocks.2.attn.in_proj_bias', 'model.deeponet.pool.blocks.1.ff.2.bias', 'model.deeponet.pool.blocks.1.ln_kv.bias', 'model.deeponet.pool.blocks.2.attn.in_proj_weight', 'model.deeponet.pool.blocks.2.ln_kv.bias', 'model.deeponet.pool.blocks.1.ln_q.bias', 'model.deeponet.pool.blocks.2.ff.0.weight', 'model.deeponet.pool.blocks.0.ln_q.bias', 'model.deeponet.branch.3.bias', 'model.deeponet.pool.blocks.2.ln_q.bias', 'model.deeponet.pool.blocks.1.ff.0.weight', 'model.deeponet.pool.blocks.0.ff.0.bias', 'model.deeponet.pool.blocks.1.attn.in_proj_bias', 'model.deeponet.pool.blocks.0.ff.2.bias', 'model.deeponet.pool.blocks.1.ff.2.weight', 'model.deeponet.pool.blocks.1.ff.0.bias', 'model.deeponet.trunk.2.bias', 'model.deeponet.pool.blocks.0.ln_kv.weight', 'model.deeponet.pool.blocks.0.ln2.weight'}
Reducing the number of VLM layers to 16 ...
Fetching 4 files:   0%|          | 0/4 [00:00<?, ?it/s]Fetching 4 files: 100%|██████████| 4/4 [00:00<00:00, 4233.46it/s]
Fetching 4 files:   0%|          | 0/4 [00:00<?, ?it/s]Fetching 4 files: 100%|██████████| 4/4 [00:00<00:00, 61455.00it/s]
[train] dataset frames=52042 episodes=428 -> 1 epoch = 1084 steps @ batch 48
[train] planned frames seen = 720000 = 13.83 epochs

=== stage1 | steps=1650 batch=48 trainable: head=10.40M backbone=0.0M ===
[stage1] step    199 | mse=0.6589 L1=0.6402 PH=2.3437 total=0.7057 | VRAM=9.5GB | 0.277s/it
[stage1] step    399 | mse=0.4082 L1=0.5244 PH=1.3163 total=0.4345 | VRAM=9.5GB | 0.277s/it
[stage1] step    599 | mse=0.3093 L1=0.4521 PH=0.9639 total=0.3285 | VRAM=9.5GB | 0.277s/it
[stage1] step    799 | mse=0.2647 L1=0.4134 PH=0.8330 total=0.2814 | VRAM=9.5GB | 0.279s/it
[stage1] step    999 | mse=0.2520 L1=0.3969 PH=0.7846 total=0.2676 | VRAM=9.5GB | 0.278s/it
[stage1] step   1199 | mse=0.2349 L1=0.3836 PH=0.7446 total=0.2498 | VRAM=9.5GB | 0.277s/it
[stage1] step   1399 | mse=0.2247 L1=0.3757 PH=0.7217 total=0.2391 | VRAM=9.5GB | 0.277s/it
[stage1] step   1599 | mse=0.2166 L1=0.3682 PH=0.7077 total=0.2308 | VRAM=9.5GB | 0.278s/it
[ckpt] saved -> ../Goal/runs/m4_s0/checkpoints/1650  (EMA weights)

=== stage2 | steps=13350 batch=48 trainable: head=10.40M backbone=350.2M ===
[stage2] step   1849 | mse=0.2072 L1=0.3600 PH=0.6904 total=0.2210 | VRAM=50.3GB | 0.637s/it
[stage2] step   2049 | mse=0.2002 L1=0.3552 PH=0.6576 total=0.2134 | VRAM=50.3GB | 0.634s/it
[stage2] step   2249 | mse=0.1953 L1=0.3534 PH=0.6644 total=0.2086 | VRAM=50.3GB | 0.636s/it
[stage2] step   2449 | mse=0.1865 L1=0.3448 PH=0.6321 total=0.1991 | VRAM=50.3GB | 0.636s/it
[stage2] step   2649 | mse=0.1783 L1=0.3393 PH=0.6058 total=0.1904 | VRAM=50.3GB | 0.636s/it
[stage2] step   2849 | mse=0.1676 L1=0.3316 PH=0.5867 total=0.1794 | VRAM=50.3GB | 2.535s/it
[stage2] step   3049 | mse=0.1590 L1=0.3244 PH=0.5569 total=0.1701 | VRAM=50.3GB | 0.633s/it
[stage2] step   3249 | mse=0.1521 L1=0.3193 PH=0.5427 total=0.1629 | VRAM=50.3GB | 0.635s/it
[stage2] step   3449 | mse=0.1467 L1=0.3132 PH=0.5330 total=0.1573 | VRAM=50.3GB | 0.635s/it
[stage2] step   3649 | mse=0.1366 L1=0.3050 PH=0.5135 total=0.1469 | VRAM=50.3GB | 0.635s/it
[stage2] step   3849 | mse=0.1270 L1=0.2978 PH=0.4788 total=0.1366 | VRAM=50.3GB | 0.632s/it
[stage2] step   4049 | mse=0.1191 L1=0.2906 PH=0.4494 total=0.1281 | VRAM=50.3GB | 0.635s/it
[stage2] step   4249 | mse=0.1154 L1=0.2855 PH=0.4407 total=0.1243 | VRAM=50.3GB | 0.896s/it
[stage2] step   4449 | mse=0.1107 L1=0.2806 PH=0.4226 total=0.1192 | VRAM=50.3GB | 0.980s/it
[stage2] step   4649 | mse=0.1057 L1=0.2759 PH=0.4164 total=0.1140 | VRAM=50.3GB | 4.626s/it
[stage2] step   4849 | mse=0.1001 L1=0.2709 PH=0.3986 total=0.1081 | VRAM=50.3GB | 4.757s/it
[stage2] step   5049 | mse=0.0946 L1=0.2656 PH=0.3781 total=0.1022 | VRAM=50.3GB | 4.320s/it
[stage2] step   5249 | mse=0.0889 L1=0.2582 PH=0.3640 total=0.0962 | VRAM=50.3GB | 0.635s/it
[stage2] step   5449 | mse=0.0876 L1=0.2556 PH=0.3603 total=0.0948 | VRAM=50.3GB | 0.633s/it
[stage2] step   5649 | mse=0.0852 L1=0.2525 PH=0.3531 total=0.0922 | VRAM=50.3GB | 3.234s/it
[stage2] step   5849 | mse=0.0814 L1=0.2477 PH=0.3441 total=0.0883 | VRAM=50.3GB | 1.795s/it
[stage2] step   6049 | mse=0.0780 L1=0.2425 PH=0.3287 total=0.0846 | VRAM=50.3GB | 0.634s/it
[stage2] step   6249 | mse=0.0734 L1=0.2383 PH=0.3167 total=0.0797 | VRAM=50.3GB | 0.635s/it
[stage2] step   6449 | mse=0.0722 L1=0.2366 PH=0.3109 total=0.0784 | VRAM=50.3GB | 0.635s/it
[stage2] step   6649 | mse=0.0704 L1=0.2329 PH=0.3056 total=0.0765 | VRAM=50.3GB | 0.632s/it
[stage2] step   6849 | mse=0.0694 L1=0.2326 PH=0.3042 total=0.0755 | VRAM=50.3GB | 0.633s/it
