global_step,stage,dataset_epoch,flow_matching_loss,l1_loss,ph_loss,total_loss,lr_head,lr_backbone,vram_gb,grad_norm,step_time_s
0,stage1,0,2.2631030082702637,0.6967329382896423,0.0,2.2631030082702637,0.0001,0.0,12.201,9.6842,10.2398
1,stage1,0,1.6978906393051147,0.5986172556877136,0.0,1.6978906393051147,0.0001,0.0,12.851,11.4882,0.2939
2,stage1,0,1.2932910919189453,0.5530591011047363,0.0,1.2932910919189453,0.0001,0.0,12.853,8.5135,0.3054
3,stage1,0,1.2196033000946045,0.5117363929748535,0.0,1.2196033000946045,0.0001,0.0,12.856,8.3068,0.3067
4,stage1,0,1.1174620389938354,0.47487565875053406,0.0,1.1174620389938354,0.0001,0.0,12.849,4.839,0.3068
5,stage1,0,1.0887190103530884,0.5067856907844543,0.0,1.0887190103530884,0.0001,0.0,12.848,5.5821,0.3065
6,stage1,0,1.0350764989852905,0.4615289270877838,0.0,1.0350764989852905,0.0001,0.0,12.846,5.7032,0.306
7,stage1,0,1.1178638935089111,0.510303795337677,0.0,1.1178638935089111,0.0001,0.0,12.851,5.4273,0.3062
8,stage1,0,0.8874363899230957,0.4707668721675873,0.0,0.8874363899230957,0.0001,0.0,12.864,2.5896,5.6335
9,stage1,0,0.7652886509895325,0.45056915283203125,0.0,0.7652886509895325,0.0001,0.0,12.859,3.4314,0.3054
10,stage1,0,0.8658186197280884,0.40933048725128174,0.0,0.8658186197280884,0.0001,0.0,12.851,4.4978,0.3067
11,stage1,0,0.9051612615585327,0.43967849016189575,0.0,0.9051612615585327,0.0001,0.0,12.847,4.2882,0.3063
12,stage1,0,0.780671238899231,0.463150292634964,0.0,0.780671238899231,0.0001,0.0,12.856,3.5819,0.3063
13,stage1,0,0.8081017732620239,0.42084595561027527,0.0,0.8081017732620239,0.0001,0.0,12.855,3.3076,0.3069
14,stage1,0,0.8272998929023743,0.45773792266845703,0.0,0.8272998929023743,0.0001,0.0,12.842,2.896,0.3061
15,stage1,0,0.8033097386360168,0.5116322636604309,0.0,0.8033097386360168,0.0001,0.0,12.848,2.1272,0.3064
16,stage1,0,0.7215450406074524,0.4463724195957184,0.0,0.7215450406074524,0.0001,0.0,12.867,2.4011,6.0489
17,stage1,0,0.8778513073921204,0.42013201117515564,0.0,0.8778513073921204,0.0001,0.0,12.865,3.8786,0.3757
18,stage1,0,0.7533851861953735,0.45426633954048157,0.0,0.7533851861953735,0.0001,0.0,12.864,3.0614,0.305
19,stage1,0,0.8529819846153259,0.45596468448638916,0.0,0.8529819846153259,0.0001,0.0,12.86,2.9253,0.3051
20,stage1,0,0.7541072964668274,0.4530840218067169,0.0,0.7541072964668274,0.0001,0.0,12.855,2.8392,0.3062
21,stage1,0,0.7497773170471191,0.45391902327537537,0.0,0.7497773170471191,0.0001,0.0,12.86,1.7617,0.3064
22,stage1,0,0.7621690034866333,0.42708271741867065,0.0,0.7621690034866333,0.0001,0.0,12.854,1.8428,0.306
23,stage1,0,0.778038501739502,0.4648154079914093,0.0,0.778038501739502,0.0001,0.0,12.859,2.5734,0.3057
24,stage1,0,0.7129643559455872,0.3905463218688965,0.0,0.7129643559455872,0.0001,0.0,12.854,3.2576,5.9634
25,stage1,0,0.6360676884651184,0.3869805634021759,0.0,0.6360676884651184,0.0001,0.0,12.847,2.4221,0.4842
26,stage1,0,0.7577345371246338,0.4049425721168518,0.0,0.7577345371246338,0.0001,0.0,12.847,1.9596,0.3054
27,stage1,0,0.6680766344070435,0.3869177997112274,0.0,0.6680766344070435,0.0001,0.0,12.857,1.2838,0.3062
28,stage1,0,0.7056795358657837,0.3942938446998596,0.0,0.7056795358657837,0.0001,0.0,12.854,2.0168,0.3068
29,stage1,0,0.6739679574966431,0.42956021428108215,0.0,0.6739679574966431,0.0001,0.0,12.857,2.2008,0.3065
30,stage1,0,0.7468339204788208,0.441403865814209,0.0,0.7468339204788208,0.0001,0.0,12.85,2.3172,0.307
31,stage1,0,0.6709356307983398,0.4270683825016022,0.0,0.6709356307983398,0.0001,0.0,12.856,2.3017,0.3067
32,stage1,0,0.6929097771644592,0.3850984573364258,0.0,0.6929097771644592,0.0001,0.0,12.857,1.408,6.2413
33,stage1,0,0.6742129325866699,0.392284095287323,0.0,0.6742129325866699,0.0001,0.0,12.857,2.2362,0.3084
34,stage1,0,0.7219998836517334,0.4031778573989868,0.0,0.7219998836517334,0.0001,0.0,12.853,2.4273,0.3059
35,stage1,0,0.6400967240333557,0.4190911054611206,0.0,0.6400967240333557,0.0001,0.0,12.849,2.0351,0.3074
36,stage1,0,0.7237987518310547,0.4345930516719818,0.0,0.7237987518310547,0.0001,0.0,12.838,1.1872,0.3075
37,stage1,0,0.654158890247345,0.43198108673095703,0.0,0.654158890247345,0.0001,0.0,12.85,2.0511,0.3062
38,stage1,0,0.6038312911987305,0.3983948230743408,0.0,0.6038312911987305,0.0001,0.0,12.857,2.181,0.3071
39,stage1,0,0.5642759203910828,0.35591062903404236,0.0,0.5642759203910828,0.0001,0.0,12.849,1.9043,0.3069
40,stage1,0,0.6487739682197571,0.415486603975296,0.0,0.6487739682197571,0.0001,0.0,12.853,2.097,6.1176
41,stage1,0,0.548302173614502,0.343643456697464,0.0,0.548302173614502,0.0001,0.0,12.855,1.7281,0.3921
42,stage1,0,0.6885626912117004,0.4074099063873291,0.0,0.6885626912117004,0.0001,0.0,12.852,2.6916,0.3088
43,stage1,0,0.7027260661125183,0.4049973785877228,0.0,0.7027260661125183,0.0001,0.0,12.861,1.7478,0.3066
44,stage1,0,0.6949349045753479,0.36925041675567627,0.0,0.6949349045753479,0.0001,0.0,12.847,1.8866,0.3074
45,stage1,0,0.7169825434684753,0.38519617915153503,0.0,0.7169825434684753,0.0001,0.0,12.852,1.4878,0.3069
46,stage1,0,0.6061534285545349,0.3942776918411255,0.0,0.6061534285545349,0.0001,0.0,12.848,2.1438,0.3072
47,stage1,0,0.6554624438285828,0.40335842967033386,0.0,0.6554624438285828,0.0001,0.0,12.848,1.7109,0.3078
48,stage1,0,0.6067452430725098,0.4000054895877838,0.0,0.6067452430725098,0.0001,0.0,12.845,1.5586,6.2039
