global_step,stage,dataset_epoch,flow_matching_loss,l1_loss,ph_loss,total_loss,lr_head,lr_backbone,vram_gb,grad_norm,step_time_s
0,stage1,0,2.120760917663574,0.7142063975334167,0.0,2.120760917663574,0.0001,0.0,12.201,9.6419,12.5263
1,stage1,0,1.5830830335617065,0.5605813264846802,0.0,1.5830830335617065,0.0001,0.0,12.851,12.1104,0.309
2,stage1,0,1.5723997354507446,0.6500105261802673,0.0,1.5723997354507446,0.0001,0.0,12.853,17.2062,0.3288
3,stage1,0,1.2127962112426758,0.5350754261016846,0.0,1.2127962112426758,0.0001,0.0,12.846,9.4353,0.328
4,stage1,0,1.1723158359527588,0.4769502282142639,0.0,1.1723158359527588,0.0001,0.0,12.849,6.002,0.3223
5,stage1,0,1.2378700971603394,0.5519296526908875,0.0,1.2378700971603394,0.0001,0.0,12.859,7.0853,0.3151
6,stage1,0,1.1393781900405884,0.487947016954422,0.0,1.1393781900405884,0.0001,0.0,12.845,6.7536,0.3178
7,stage1,0,0.9932547211647034,0.5075937509536743,0.0,0.9932547211647034,0.0001,0.0,12.856,4.7023,0.321
8,stage1,0,0.9057860374450684,0.48322704434394836,0.0,0.9057860374450684,0.0001,0.0,12.859,2.2346,7.4585
9,stage1,0,0.9940306544303894,0.4788191616535187,0.0,0.9940306544303894,0.0001,0.0,12.854,3.7587,0.3237
10,stage1,0,0.9850358963012695,0.40741077065467834,0.0,0.9850358963012695,0.0001,0.0,12.863,3.9267,0.3241
11,stage1,0,0.8510629534721375,0.41842809319496155,0.0,0.8510629534721375,0.0001,0.0,12.851,3.9323,0.3272
12,stage1,0,0.8444109559059143,0.47399407625198364,0.0,0.8444109559059143,0.0001,0.0,12.866,3.6182,0.3263
13,stage1,0,0.9172937273979187,0.42690348625183105,0.0,0.9172937273979187,0.0001,0.0,12.856,3.233,0.3263
14,stage1,0,0.8802957534790039,0.46010518074035645,0.0,0.8802957534790039,0.0001,0.0,12.864,2.7648,0.3158
15,stage1,0,0.9096711874008179,0.5368509292602539,0.0,0.9096711874008179,0.0001,0.0,12.859,2.7206,0.3229
16,stage1,0,0.8049094080924988,0.4455219507217407,0.0,0.8049094080924988,0.0001,0.0,12.854,3.6006,8.1653
17,stage1,0,0.8935507535934448,0.44156286120414734,0.0,0.8935507535934448,0.0001,0.0,12.848,3.9085,0.6074
18,stage1,0,0.9437076449394226,0.484573632478714,0.0,0.9437076449394226,0.0001,0.0,12.853,3.5198,0.327
19,stage1,0,0.7733021378517151,0.439666748046875,0.0,0.7733021378517151,0.0001,0.0,12.848,1.7368,0.3219
20,stage1,0,0.8801381587982178,0.4687145948410034,0.0,0.8801381587982178,0.0001,0.0,12.84,2.5448,0.3274
21,stage1,0,0.7537974119186401,0.46650412678718567,0.0,0.7537974119186401,0.0001,0.0,12.849,2.3029,0.3169
22,stage1,0,0.8402281403541565,0.429264098405838,0.0,0.8402281403541565,0.0001,0.0,12.849,3.2735,0.3237
23,stage1,0,0.830545961856842,0.4626350700855255,0.0,0.830545961856842,0.0001,0.0,12.843,2.9731,0.3129
24,stage1,0,0.7226248383522034,0.3962012231349945,0.0,0.7226248383522034,0.0001,0.0,12.846,1.9863,8.3301
25,stage1,0,0.8621959090232849,0.39634981751441956,0.0,0.8621959090232849,0.0001,0.0,12.848,2.4274,0.3104
26,stage1,0,0.7560192346572876,0.40939509868621826,0.0,0.7560192346572876,0.0001,0.0,12.862,2.5345,0.3165
27,stage1,0,0.6833441257476807,0.37316659092903137,0.0,0.6833441257476807,0.0001,0.0,12.859,1.8843,0.3219
28,stage1,0,0.7949672937393188,0.41284236311912537,0.0,0.7949672937393188,0.0001,0.0,12.852,2.7909,0.3184
29,stage1,0,0.7671580910682678,0.4201803207397461,0.0,0.7671580910682678,0.0001,0.0,12.859,3.2176,0.3152
30,stage1,0,0.7671183347702026,0.440691739320755,0.0,0.7671183347702026,0.0001,0.0,12.854,2.385,0.3226
31,stage1,0,0.8515607714653015,0.45436006784439087,0.0,0.8515607714653015,0.0001,0.0,12.853,1.8883,0.3203
32,stage1,0,0.7718316912651062,0.39638230204582214,0.0,0.7718316912651062,0.0001,0.0,12.85,2.18,7.976
33,stage1,0,0.7208395004272461,0.3936910033226013,0.0,0.7208395004272461,0.0001,0.0,12.854,2.7822,0.426
34,stage1,0,0.7898016571998596,0.40743401646614075,0.0,0.7898016571998596,0.0001,0.0,12.856,1.2549,0.324
35,stage1,0,0.776724100112915,0.429350882768631,0.0,0.776724100112915,0.0001,0.0,12.847,1.8308,0.321
36,stage1,0,0.7220059633255005,0.4365406930446625,0.0,0.7220059633255005,0.0001,0.0,12.84,1.4478,0.3185
37,stage1,0,0.7140734195709229,0.41348451375961304,0.0,0.7140734195709229,0.0001,0.0,12.849,1.4802,0.3143
38,stage1,0,0.702700674533844,0.3994050920009613,0.0,0.702700674533844,0.0001,0.0,12.851,1.0427,0.3234
39,stage1,0,0.8011342287063599,0.39593175053596497,0.0,0.8011342287063599,0.0001,0.0,12.852,1.4364,0.3138
40,stage1,0,0.7213078737258911,0.4205494225025177,0.0,0.7213078737258911,0.0001,0.0,12.844,1.7241,7.8905
41,stage1,0,0.7741524577140808,0.37147361040115356,0.0,0.7741524577140808,0.0001,0.0,12.841,1.9804,0.8432
42,stage1,0,0.7717324495315552,0.40812528133392334,0.0,0.7717324495315552,0.0001,0.0,12.852,1.6775,0.3201
43,stage1,0,0.7734419703483582,0.40193986892700195,0.0,0.7734419703483582,0.0001,0.0,12.845,2.0794,0.3196
44,stage1,0,0.6498304605484009,0.3543500304222107,0.0,0.6498304605484009,0.0001,0.0,12.862,1.5312,0.324
45,stage1,0,0.7135637402534485,0.3761093318462372,0.0,0.7135637402534485,0.0001,0.0,12.852,1.7139,0.3245
46,stage1,0,0.6872521042823792,0.4100901782512665,0.0,0.6872521042823792,0.0001,0.0,12.849,1.8654,0.3297
47,stage1,0,0.6755939722061157,0.399383008480072,0.0,0.6755939722061157,0.0001,0.0,12.844,1.6633,0.3305
48,stage1,0,0.6712793111801147,0.4072163999080658,0.0,0.6712793111801147,0.0001,0.0,12.845,1.5671,7.2811
49,stage1,0,0.7355402112007141,0.3819454610347748,0.0,0.7355402112007141,0.0001,0.0,12.853,2.076,1.1793
50,stage1,0,0.6335161924362183,0.38811829686164856,0.0,0.6335161924362183,0.0001,0.0,12.843,1.6846,0.3088
51,stage1,0,0.6111327409744263,0.3562924265861511,0.0,0.6111327409744263,0.0001,0.0,12.847,1.7783,0.308
52,stage1,0,0.6530649065971375,0.3762565553188324,0.0,0.6530649065971375,0.0001,0.0,12.845,1.8618,0.3136
53,stage1,0,0.7546367645263672,0.4779573082923889,0.0,0.7546367645263672,0.0001,0.0,12.841,2.1358,0.3084
54,stage1,0,0.6544139385223389,0.4027060568332672,0.0,0.6544139385223389,0.0001,0.0,12.851,1.8468,0.3107
