global_step,stage,dataset_epoch,flow_matching_loss,l1_loss,ph_loss,total_loss,lr_head,lr_backbone,vram_gb,grad_norm,step_time_s
0,stage1,0,0.8657227754592896,0.7335224151611328,5.183914661407471,0.9694010615348816,0.0001,0.0,9.342,0.1899,10.7671
1,stage1,0,0.8285986185073853,0.7104145288467407,4.885257720947266,0.9263037443161011,0.0001,0.0,9.474,0.1761,0.2619
2,stage1,0,0.8510087728500366,0.7144889235496521,5.013939380645752,0.951287567615509,0.0001,0.0,9.473,0.1659,0.275
3,stage1,0,0.8439574837684631,0.7076318264007568,4.913558006286621,0.9422286748886108,0.0001,0.0,9.476,0.2502,0.2756
4,stage1,0,0.7863084673881531,0.7265459299087524,4.574291229248047,0.8777942657470703,0.0001,0.0,9.473,0.1063,0.2748
5,stage1,0,0.8120715022087097,0.7059742212295532,5.10407829284668,0.9141530990600586,0.0001,0.0,9.476,0.2194,0.2759
6,stage1,0,0.8707442879676819,0.7183319330215454,5.200281620025635,0.9747499227523804,0.0001,0.0,9.475,0.1647,0.2758
7,stage1,0,0.7726575136184692,0.7015335559844971,4.587114334106445,0.864399790763855,0.0001,0.0,9.477,0.1436,0.2759
8,stage1,0,0.7602161765098572,0.6597066521644592,4.789008140563965,0.8559963703155518,0.0001,0.0,9.474,0.0996,5.9976
9,stage1,0,0.7414839267730713,0.686982274055481,4.961769104003906,0.8407192826271057,0.0001,0.0,9.477,0.1352,0.2737
10,stage1,0,1.0295119285583496,0.7679692506790161,5.215777397155762,1.1338274478912354,0.0001,0.0,9.474,0.1346,0.2752
11,stage1,0,0.9331892728805542,0.7504047751426697,5.180352210998535,1.0367963314056396,0.0001,0.0,9.477,0.1664,0.2756
12,stage1,0,0.941977322101593,0.7332711815834045,4.998488903045654,1.0419471263885498,0.0001,0.0,9.474,0.2175,0.2756
13,stage1,0,0.8039179444313049,0.6985416412353516,4.81711483001709,0.9002602100372314,0.0001,0.0,9.477,0.1415,0.2765
14,stage1,0,0.7707536816596985,0.6676343679428101,4.6997880935668945,0.8647494316101074,0.0001,0.0,9.474,0.0995,0.2763
15,stage1,0,0.7760766744613647,0.6796607375144958,4.449505805969238,0.8650667667388916,0.0001,0.0,9.477,0.1037,0.2759
16,stage1,0,0.7574562430381775,0.6891526579856873,4.755008697509766,0.8525564074516296,0.0001,0.0,9.474,0.2136,7.0428
17,stage1,0,0.7416155338287354,0.6883084177970886,4.51840877532959,0.8319836854934692,0.0001,0.0,9.477,0.0882,0.2733
18,stage1,0,0.812160074710846,0.699449896812439,4.595221996307373,0.9040645360946655,0.0001,0.0,9.474,0.0771,0.2748
19,stage1,0,0.7868973016738892,0.6926488280296326,4.841792106628418,0.8837331533432007,0.0001,0.0,9.477,0.0833,0.2763
20,stage1,0,0.7527772784233093,0.6792663931846619,4.669492721557617,0.8461671471595764,0.0001,0.0,9.474,0.1549,0.2761
21,stage1,0,0.9383812546730042,0.7349180579185486,5.090461730957031,1.0401904582977295,0.0001,0.0,9.477,0.0693,0.2762
22,stage1,0,0.7789955139160156,0.6938360333442688,4.733418941497803,0.8736639022827148,0.0001,0.0,9.474,0.1036,0.2762
23,stage1,0,0.9315060973167419,0.7350459098815918,5.008342266082764,1.0316729545593262,0.0001,0.0,9.477,0.0865,0.2765
24,stage1,0,0.8432541489601135,0.7171302437782288,4.623050689697266,0.9357151389122009,0.0001,0.0,9.474,0.0987,7.0452
25,stage1,0,0.7983701825141907,0.6984656453132629,4.565478801727295,0.8896797895431519,0.0001,0.0,9.477,0.0681,0.2751
26,stage1,0,0.8237186074256897,0.7019817233085632,4.468330383300781,0.9130852222442627,0.0001,0.0,9.474,0.13,0.2753
27,stage1,0,0.7905800342559814,0.7058490514755249,4.4475417137146,0.8795308470726013,0.0001,0.0,9.477,0.1141,0.2757
28,stage1,0,0.7338321805000305,0.6732098460197449,4.3204193115234375,0.8202405571937561,0.0001,0.0,9.474,0.1091,0.276
29,stage1,0,0.7256242036819458,0.7032531499862671,3.766284704208374,0.8009498715400696,0.0001,0.0,9.477,0.0889,0.2754
30,stage1,0,0.7656465768814087,0.6884756684303284,4.431264877319336,0.8542718887329102,0.0001,0.0,9.474,0.0863,0.2767
31,stage1,0,0.6467278003692627,0.6694678664207458,3.8393797874450684,0.7235153913497925,0.0001,0.0,9.477,0.1012,0.2753
32,stage1,0,0.7783538103103638,0.6740895509719849,4.226309776306152,0.8628799915313721,0.0001,0.0,9.474,0.0984,7.1029
33,stage1,0,0.8109136819839478,0.7149461507797241,4.205531597137451,0.895024299621582,0.0001,0.0,9.477,0.0718,0.2732
34,stage1,0,0.8951919674873352,0.7362730503082275,4.441259384155273,0.9840171337127686,0.0001,0.0,9.474,0.1966,0.2758
35,stage1,0,0.7135093212127686,0.6866929531097412,3.846351146697998,0.790436327457428,0.0001,0.0,9.477,0.0793,0.2759
36,stage1,0,0.8649119734764099,0.7023363709449768,4.113250255584717,0.947176992893219,0.0001,0.0,9.474,0.1082,0.2769
37,stage1,0,0.7860549092292786,0.7025136947631836,4.0354509353637695,0.8667639493942261,0.0001,0.0,9.477,0.0696,0.2762
38,stage1,0,0.6881594061851501,0.6825441718101501,3.2518041133880615,0.7531954646110535,0.0001,0.0,9.474,0.1092,0.2781
39,stage1,0,0.7531428933143616,0.6527807712554932,3.869056224822998,0.8305240273475647,0.0001,0.0,9.477,0.1578,0.276
40,stage1,0,0.7910274863243103,0.691217303276062,3.5968146324157715,0.8629637956619263,0.0001,0.0,9.474,0.0887,7.0404
41,stage1,0,0.8137566447257996,0.7207779884338379,3.7915821075439453,0.8895882964134216,0.0001,0.0,9.477,0.1554,0.2731
42,stage1,0,0.873715341091156,0.7224660515785217,3.830843687057495,0.9503322243690491,0.0001,0.0,9.474,0.2402,0.2758
43,stage1,0,0.8001848459243774,0.7028658390045166,3.8563849925994873,0.8773125410079956,0.0001,0.0,9.477,0.1896,0.2753
44,stage1,0,0.8867365121841431,0.7278423309326172,4.4765214920043945,0.9762669205665588,0.0001,0.0,9.474,0.2741,0.2768
45,stage1,0,0.6475047469139099,0.6466871500015259,3.48065185546875,0.7171177864074707,0.0001,0.0,9.477,0.3572,0.2751
46,stage1,0,0.7563027739524841,0.7023999691009521,3.7238378524780273,0.8307795524597168,0.0001,0.0,9.474,0.3975,0.2766
47,stage1,0,0.7626068592071533,0.7148562073707581,3.2771072387695312,0.8281490206718445,0.0001,0.0,9.477,0.2496,0.2758
48,stage1,0,0.7304345369338989,0.6534906029701233,3.3134617805480957,0.7967037558555603,0.0001,0.0,9.474,0.1124,7.0664
49,stage1,0,0.9080018997192383,0.7338305115699768,3.7692737579345703,0.9833873510360718,0.0001,0.0,9.477,0.8992,0.2763
50,stage1,0,0.782090961933136,0.6985889673233032,3.2322349548339844,0.8467356562614441,0.0001,0.0,9.474,0.1685,0.2758
51,stage1,0,0.856647253036499,0.7306812405586243,3.256708860397339,0.9217814207077026,0.0001,0.0,9.477,0.1911,0.2764
52,stage1,0,0.7688215970993042,0.6738676428794861,2.928304433822632,0.8273876905441284,0.0001,0.0,9.474,1.761,0.2759
53,stage1,0,0.8307091593742371,0.7362484931945801,3.3372397422790527,0.8974539637565613,0.0001,0.0,9.477,0.2155,0.2763
54,stage1,0,0.7505946159362793,0.6820063591003418,3.0554137229919434,0.8117029070854187,0.0001,0.0,9.474,0.6746,0.276
55,stage1,0,0.7132378816604614,0.6860703229904175,3.154303550720215,0.7763239741325378,0.0001,0.0,9.477,0.3627,0.2767
56,stage1,0,0.7552013993263245,0.6799018979072571,3.3879945278167725,0.8229612708091736,0.0001,0.0,9.474,0.868,7.1875
57,stage1,0,0.7795870900154114,0.6888527870178223,3.0790610313415527,0.8411682844161987,0.0001,0.0,9.477,0.5013,0.2691
