[train] head=flow variant=baseline seed=0 out=../Spatial/runs/flow_s0
`torch_dtype` is deprecated! Use `dtype` instead!
Loading  HuggingFaceTB/SmolVLM2-500M-Video-Instruct weights ...
Loading weights:   0%|          | 0/489 [00:00<?, ?it/s]Loading weights: 100%|██████████| 489/489 [00:00<00:00, 6633.62it/s]
Reducing the number of VLM layers to 16 ...
Fetching 4 files:   0%|          | 0/4 [00:00<?, ?it/s]Fetching 4 files: 100%|██████████| 4/4 [00:00<00:00, 9631.01it/s]
Fetching 4 files:   0%|          | 0/4 [00:00<?, ?it/s]Fetching 4 files: 100%|██████████| 4/4 [00:00<00:00, 5050.34it/s]
[train] dataset frames=52970 episodes=432 -> 1 epoch = 1104 steps @ batch 48
[train] planned frames seen = 720000 = 13.59 epochs

=== stage1 | steps=1650 batch=48 trainable: head=99.88M backbone=0.0M ===
[stage1] step    199 | mse=0.6735 L1=0.4092 PH=0.0000 total=0.6735 | VRAM=12.8GB | 0.313s/it
[stage1] step    399 | mse=0.4845 L1=0.3338 PH=0.0000 total=0.4845 | VRAM=12.8GB | 0.313s/it
[stage1] step    599 | mse=0.4544 L1=0.3180 PH=0.0000 total=0.4544 | VRAM=12.8GB | 1.289s/it
[stage1] step    799 | mse=0.4395 L1=0.3096 PH=0.0000 total=0.4395 | VRAM=12.8GB | 2.086s/it
[stage1] step    999 | mse=0.4244 L1=0.3043 PH=0.0000 total=0.4244 | VRAM=12.8GB | 5.895s/it
[stage1] step   1199 | mse=0.4136 L1=0.2998 PH=0.0000 total=0.4136 | VRAM=12.8GB | 4.238s/it
[stage1] step   1399 | mse=0.4063 L1=0.2938 PH=0.0000 total=0.4063 | VRAM=12.8GB | 2.404s/it
[stage1] step   1599 | mse=0.3952 L1=0.2912 PH=0.0000 total=0.3952 | VRAM=12.8GB | 0.318s/it
[ckpt] saved -> ../Spatial/runs/flow_s0/checkpoints/1650  (EMA weights)
LlamaModel does not expose input embeddings. Gradients cannot flow back to the token embeddings when using adapters or gradient checkpointing. Override `get_input_embeddings` to fully support those features, or set `_input_embed_layer` to the attribute name that holds the embeddings.

=== stage2 | steps=13350 batch=48 trainable: head=99.88M backbone=350.2M ===
[stage2] step   1849 | mse=0.3895 L1=0.2902 PH=0.0000 total=0.3895 | VRAM=53.6GB | 0.671s/it
[stage2] step   2049 | mse=0.3746 L1=0.2866 PH=0.0000 total=0.3746 | VRAM=53.6GB | 0.717s/it
[stage2] step   2249 | mse=0.3596 L1=0.2814 PH=0.0000 total=0.3596 | VRAM=53.6GB | 0.677s/it
[stage2] step   2449 | mse=0.3464 L1=0.2749 PH=0.0000 total=0.3464 | VRAM=53.6GB | 0.698s/it
[stage2] step   2649 | mse=0.3283 L1=0.2692 PH=0.0000 total=0.3283 | VRAM=53.6GB | 0.712s/it
[stage2] step   2849 | mse=0.3070 L1=0.2587 PH=0.0000 total=0.3070 | VRAM=53.6GB | 4.364s/it
[stage2] step   3049 | mse=0.2898 L1=0.2532 PH=0.0000 total=0.2898 | VRAM=53.6GB | 3.267s/it
[stage2] step   3249 | mse=0.2747 L1=0.2467 PH=0.0000 total=0.2747 | VRAM=53.6GB | 3.648s/it
[stage2] step   3449 | mse=0.2598 L1=0.2394 PH=0.0000 total=0.2598 | VRAM=53.6GB | 2.915s/it
[stage2] step   3649 | mse=0.2454 L1=0.2320 PH=0.0000 total=0.2454 | VRAM=53.6GB | 2.005s/it
[stage2] step   3849 | mse=0.2307 L1=0.2255 PH=0.0000 total=0.2307 | VRAM=53.6GB | 1.692s/it
