[train] head=deeponet variant=baseline seed=0 out=../Spatial/runs/m3_s0
`torch_dtype` is deprecated! Use `dtype` instead!
Loading  HuggingFaceTB/SmolVLM2-500M-Video-Instruct weights ...
Loading weights:   0%|          | 0/489 [00:00<?, ?it/s]Loading weights: 100%|██████████| 489/489 [00:00<00:00, 6553.83it/s]
Reducing the number of VLM layers to 16 ...
Loading  HuggingFaceTB/SmolVLM2-500M-Video-Instruct weights ...
Loading weights:   0%|          | 0/489 [00:00<?, ?it/s]Loading weights: 100%|██████████| 489/489 [00:00<00:00, 6180.81it/s]
WARNING:root:Missing key(s) when loading model: {'model.deeponet.trunk.2.bias', 'model.deeponet.pool.blocks.1.ln_kv.bias', 'model.deeponet.trunk.4.weight', 'model.deeponet.pool.blocks.0.ln_q.bias', 'model.deeponet.pool.blocks.0.attn.in_proj_weight', 'model.deeponet.out_mlp.0.bias', 'model.deeponet.trunk.4.bias', 'model.deeponet.pool.blocks.1.attn.in_proj_weight', 'model.deeponet.pool.blocks.0.attn.in_proj_bias', 'model.deeponet.pool.blocks.0.ln2.bias', 'model.deeponet.pool.blocks.0.attn.out_proj.bias', 'model.deeponet.pool.blocks.1.attn.out_proj.weight', 'model.deeponet.pool.blocks.1.ff.0.weight', 'model.deeponet.pool.in_proj.bias', 'model.deeponet.pool.blocks.1.ln2.weight', 'model.deeponet.pool.blocks.2.ln2.weight', 'model.deeponet.pool.blocks.1.attn.out_proj.bias', 'model.deeponet.pool.blocks.2.ff.0.weight', 'model.deeponet.pool.blocks.1.ln_kv.weight', 'model.deeponet.pool.blocks.1.ff.2.bias', 'model.deeponet.pool.blocks.2.ln_q.weight', 'model.deeponet.pool.blocks.0.ff.0.bias', 'model.deeponet.pool.queries', 'model.deeponet.pool.blocks.1.ln_q.weight', 'model.deeponet.pool.blocks.0.ln_kv.weight', 'model.deeponet.pool.blocks.0.ln2.weight', 'model.deeponet.pool.blocks.1.ln2.bias', 'model.deeponet.pool.blocks.2.ln_kv.bias', 'model.deeponet.pool.blocks.2.attn.out_proj.weight', 'model.deeponet.pool.blocks.2.ff.2.bias', 'model.deeponet.pool.blocks.2.ff.0.bias', 'model.deeponet.pool.blocks.0.ff.2.weight', 'model.deeponet.pool.blocks.1.ln_q.bias', 'model.deeponet.pool.blocks.0.ff.2.bias', 'model.deeponet.branch.1.weight', 'model.deeponet.pool.blocks.2.ln2.bias', 'model.deeponet.trunk.2.weight', 'model.deeponet.pool.blocks.0.ff.0.weight', 'model.deeponet.out_bias', 'model.deeponet.pool.blocks.1.ff.0.bias', 'model.deeponet.pool.blocks.2.ff.2.weight', 'model.deeponet.pool.blocks.0.ln_kv.bias', 'model.deeponet.pool.blocks.1.attn.in_proj_bias', 'model.deeponet.branch.3.bias', 'model.deeponet.out_mlp.2.weight', 'model.deeponet.pool.in_proj.weight', 'model.deeponet.pool.blocks.2.attn.out_proj.bias', 'model.deeponet.branch.1.bias', 'model.deeponet.out_mlp.0.weight', 'model.deeponet.out_mlp.2.bias', 'model.deeponet.branch.0.weight', 'model.deeponet.pool.blocks.2.attn.in_proj_weight', 'model.deeponet.pool.blocks.0.ln_q.weight', 'model.deeponet.branch.3.weight', 'model.deeponet.trunk.0.bias', 'model.deeponet.pool.blocks.1.ff.2.weight', 'model.deeponet.pool.blocks.2.ln_kv.weight', 'model.deeponet.pool.blocks.2.ln_q.bias', 'model.deeponet.pool.blocks.2.attn.in_proj_bias', 'model.deeponet.branch.0.bias', 'model.deeponet.trunk.0.weight', 'model.deeponet.pool.blocks.0.attn.out_proj.weight'}
Reducing the number of VLM layers to 16 ...
Fetching 4 files:   0%|          | 0/4 [00:00<?, ?it/s]Fetching 4 files: 100%|██████████| 4/4 [00:00<00:00, 6319.10it/s]
Fetching 4 files:   0%|          | 0/4 [00:00<?, ?it/s]Fetching 4 files: 100%|██████████| 4/4 [00:00<00:00, 11949.58it/s]
[train] dataset frames=52970 episodes=432 -> 1 epoch = 1104 steps @ batch 48
[train] planned frames seen = 720000 = 13.59 epochs

=== stage1 | steps=1650 batch=48 trainable: head=10.40M backbone=0.0M ===
[stage1] step    199 | mse=0.7264 L1=0.7116 PH=0.0000 total=0.7264 | VRAM=9.5GB | 0.282s/it
[stage1] step    399 | mse=0.4779 L1=0.5517 PH=0.0000 total=0.4779 | VRAM=9.5GB | 0.294s/it
[stage1] step    599 | mse=0.4014 L1=0.5009 PH=0.0000 total=0.4014 | VRAM=9.5GB | 0.299s/it
[stage1] step    799 | mse=0.3671 L1=0.4795 PH=0.0000 total=0.3671 | VRAM=9.5GB | 0.278s/it
[stage1] step    999 | mse=0.3488 L1=0.4657 PH=0.0000 total=0.3488 | VRAM=9.5GB | 0.278s/it
[stage1] step   1199 | mse=0.3260 L1=0.4560 PH=0.0000 total=0.3260 | VRAM=9.5GB | 4.832s/it
[stage1] step   1399 | mse=0.3128 L1=0.4444 PH=0.0000 total=0.3128 | VRAM=9.5GB | 4.529s/it
[stage1] step   1599 | mse=0.3027 L1=0.4405 PH=0.0000 total=0.3027 | VRAM=9.5GB | 3.403s/it
[ckpt] saved -> ../Spatial/runs/m3_s0/checkpoints/1650  (EMA weights)

=== stage2 | steps=13350 batch=48 trainable: head=10.40M backbone=350.2M ===
[stage2] step   1849 | mse=0.2813 L1=0.4272 PH=0.0000 total=0.2813 | VRAM=50.3GB | 0.636s/it
[stage2] step   2049 | mse=0.2673 L1=0.4186 PH=0.0000 total=0.2673 | VRAM=50.3GB | 0.636s/it
[stage2] step   2249 | mse=0.2528 L1=0.4111 PH=0.0000 total=0.2528 | VRAM=50.3GB | 0.637s/it
[stage2] step   2449 | mse=0.2298 L1=0.3973 PH=0.0000 total=0.2298 | VRAM=50.3GB | 0.637s/it
[stage2] step   2649 | mse=0.2122 L1=0.3847 PH=0.0000 total=0.2122 | VRAM=50.3GB | 0.636s/it
[stage2] step   2849 | mse=0.1955 L1=0.3750 PH=0.0000 total=0.1955 | VRAM=50.3GB | 3.870s/it
[stage2] step   3049 | mse=0.1765 L1=0.3612 PH=0.0000 total=0.1765 | VRAM=50.3GB | 3.970s/it
[stage2] step   3249 | mse=0.1663 L1=0.3554 PH=0.0000 total=0.1663 | VRAM=50.3GB | 3.239s/it
[stage2] step   3449 | mse=0.1577 L1=0.3473 PH=0.0000 total=0.1577 | VRAM=50.3GB | 2.485s/it
[stage2] step   3649 | mse=0.1488 L1=0.3407 PH=0.0000 total=0.1488 | VRAM=50.3GB | 2.214s/it
[stage2] step   3849 | mse=0.1412 L1=0.3363 PH=0.0000 total=0.1412 | VRAM=50.3GB | 2.114s/it
[stage2] step   4049 | mse=0.1286 L1=0.3251 PH=0.0000 total=0.1286 | VRAM=50.3GB | 0.634s/it
[stage2] step   4249 | mse=0.1247 L1=0.3203 PH=0.0000 total=0.1247 | VRAM=50.3GB | 0.635s/it
[stage2] step   4449 | mse=0.1194 L1=0.3164 PH=0.0000 total=0.1194 | VRAM=50.3GB | 0.635s/it
[stage2] step   4649 | mse=0.1161 L1=0.3114 PH=0.0000 total=0.1161 | VRAM=50.3GB | 0.635s/it
[stage2] step   4849 | mse=0.1120 L1=0.3083 PH=0.0000 total=0.1120 | VRAM=50.3GB | 0.635s/it
[stage2] step   5049 | mse=0.1050 L1=0.3020 PH=0.0000 total=0.1050 | VRAM=50.3GB | 0.633s/it
[stage2] step   5249 | mse=0.1008 L1=0.2963 PH=0.0000 total=0.1008 | VRAM=50.3GB | 0.634s/it
[stage2] step   5449 | mse=0.0990 L1=0.2953 PH=0.0000 total=0.0990 | VRAM=50.3GB | 0.635s/it
[stage2] step   5649 | mse=0.0951 L1=0.2927 PH=0.0000 total=0.0951 | VRAM=50.3GB | 0.635s/it
[stage2] step   5849 | mse=0.0932 L1=0.2908 PH=0.0000 total=0.0932 | VRAM=50.3GB | 0.633s/it
[stage2] step   6049 | mse=0.0907 L1=0.2879 PH=0.0000 total=0.0907 | VRAM=50.3GB | 0.634s/it
[stage2] step   6249 | mse=0.0860 L1=0.2803 PH=0.0000 total=0.0860 | VRAM=50.3GB | 0.635s/it
[stage2] step   6449 | mse=0.0848 L1=0.2811 PH=0.0000 total=0.0848 | VRAM=50.3GB | 0.636s/it
[stage2] step   6649 | mse=0.0820 L1=0.2776 PH=0.0000 total=0.0820 | VRAM=50.3GB | 0.635s/it
[stage2] step   6849 | mse=0.0807 L1=0.2733 PH=0.0000 total=0.0807 | VRAM=50.3GB | 0.633s/it
