global_step,stage,dataset_epoch,flow_matching_loss,l1_loss,ph_loss,total_loss,lr_head,lr_backbone,vram_gb,grad_norm,step_time_s
0,stage1,0,2.3184306621551514,0.7660598158836365,0.0,2.3184306621551514,0.0001,0.0,12.201,10.2354,11.2502
1,stage1,0,1.9790983200073242,0.5910008549690247,0.0,1.9790983200073242,0.0001,0.0,12.851,12.9469,0.2999
2,stage1,0,1.1575069427490234,0.5843135118484497,0.0,1.1575069427490234,0.0001,0.0,12.853,8.0633,0.3079
3,stage1,0,1.2295325994491577,0.5704232454299927,0.0,1.2295325994491577,0.0001,0.0,12.856,9.1399,0.3133
4,stage1,0,0.9686464667320251,0.47975197434425354,0.0,0.9686464667320251,0.0001,0.0,12.849,4.3594,0.3091
5,stage1,0,1.1652171611785889,0.5726328492164612,0.0,1.1652171611785889,0.0001,0.0,12.848,4.957,0.3133
6,stage1,0,1.2206934690475464,0.4907902479171753,0.0,1.2206934690475464,0.0001,0.0,12.846,6.8253,0.3121
7,stage1,0,1.067392110824585,0.527018129825592,0.0,1.067392110824585,0.0001,0.0,12.851,4.2373,0.3156
8,stage1,0,1.0941147804260254,0.5389788150787354,0.0,1.0941147804260254,0.0001,0.0,12.864,3.8217,6.9716
9,stage1,0,0.9743104577064514,0.522367000579834,0.0,0.9743104577064514,0.0001,0.0,12.859,3.2906,0.3144
10,stage1,0,1.1256235837936401,0.4674326181411743,0.0,1.1256235837936401,0.0001,0.0,12.851,4.8889,0.3101
11,stage1,0,0.9901760220527649,0.47378668189048767,0.0,0.9901760220527649,0.0001,0.0,12.847,4.4503,0.3164
12,stage1,0,0.8997401595115662,0.5370370745658875,0.0,0.8997401595115662,0.0001,0.0,12.856,3.9435,0.3121
13,stage1,0,1.032486081123352,0.4764643609523773,0.0,1.032486081123352,0.0001,0.0,12.855,4.0854,0.3142
14,stage1,0,0.9773346781730652,0.4980258345603943,0.0,0.9773346781730652,0.0001,0.0,12.842,3.0164,0.3148
15,stage1,0,0.9069716930389404,0.5757830739021301,0.0,0.9069716930389404,0.0001,0.0,12.848,3.7956,0.3104
16,stage1,0,0.8326495885848999,0.5106307864189148,0.0,0.8326495885848999,0.0001,0.0,12.867,3.2343,7.4334
17,stage1,0,0.9406483769416809,0.47205930948257446,0.0,0.9406483769416809,0.0001,0.0,12.865,2.814,0.3147
18,stage1,0,0.8736879229545593,0.5084047317504883,0.0,0.8736879229545593,0.0001,0.0,12.864,3.4077,0.3126
19,stage1,0,0.8728837966918945,0.4918779134750366,0.0,0.8728837966918945,0.0001,0.0,12.86,1.7704,0.3113
20,stage1,0,0.9293048977851868,0.5248275995254517,0.0,0.9293048977851868,0.0001,0.0,12.855,2.4294,0.3138
21,stage1,0,0.8972880244255066,0.5148906707763672,0.0,0.8972880244255066,0.0001,0.0,12.86,2.5849,0.3103
22,stage1,0,0.8755362629890442,0.47714176774024963,0.0,0.8755362629890442,0.0001,0.0,12.854,2.5178,0.3159
23,stage1,0,0.7521780729293823,0.5209258198738098,0.0,0.7521780729293823,0.0001,0.0,12.859,2.3268,0.3106
24,stage1,0,0.9065670967102051,0.46577733755111694,0.0,0.9065670967102051,0.0001,0.0,12.854,3.3347,7.4081
25,stage1,0,0.8412655591964722,0.429302841424942,0.0,0.8412655591964722,0.0001,0.0,12.847,2.0635,0.3147
26,stage1,0,0.925947904586792,0.4495599567890167,0.0,0.925947904586792,0.0001,0.0,12.847,1.4517,0.3129
27,stage1,0,0.9068672060966492,0.4220232367515564,0.0,0.9068672060966492,0.0001,0.0,12.857,2.8091,0.311
28,stage1,0,0.8395016193389893,0.44139835238456726,0.0,0.8395016193389893,0.0001,0.0,12.854,2.0909,0.3137
29,stage1,0,0.7895300984382629,0.47839275002479553,0.0,0.7895300984382629,0.0001,0.0,12.857,2.2442,0.3102
30,stage1,0,0.7501026391983032,0.4685737192630768,0.0,0.7501026391983032,0.0001,0.0,12.85,1.9753,0.3167
