global_step,stage,dataset_epoch,flow_matching_loss,l1_loss,ph_loss,total_loss,lr_head,lr_backbone,vram_gb,grad_norm,step_time_s
0,stage1,0,0.8862685561180115,0.7936675548553467,0.0,0.8862685561180115,0.0001,0.0,9.342,0.1615,11.3184
1,stage1,0,0.8660330772399902,0.8090426325798035,0.0,0.8660330772399902,0.0001,0.0,9.474,0.175,0.2759
2,stage1,0,0.949118971824646,0.8127859830856323,0.0,0.949118971824646,0.0001,0.0,9.473,0.1337,0.2889
3,stage1,0,0.7262192368507385,0.7410564422607422,0.0,0.7262192368507385,0.0001,0.0,9.476,0.086,0.292
4,stage1,0,0.7721091508865356,0.7651737928390503,0.0,0.7721091508865356,0.0001,0.0,9.473,0.0995,0.2896
5,stage1,0,0.7868347764015198,0.764657735824585,0.0,0.7868347764015198,0.0001,0.0,9.476,0.1042,0.2874
6,stage1,0,0.8228186964988708,0.792614758014679,0.0,0.8228186964988708,0.0001,0.0,9.475,0.111,0.2868
7,stage1,0,0.7939049601554871,0.730611264705658,0.0,0.7939049601554871,0.0001,0.0,9.477,0.0883,0.2853
8,stage1,0,0.789888322353363,0.7260221838951111,0.0,0.789888322353363,0.0001,0.0,9.474,0.1362,6.196
9,stage1,0,0.7817484140396118,0.7733451724052429,0.0,0.7817484140396118,0.0001,0.0,9.477,0.1038,0.2897
10,stage1,0,0.9310767650604248,0.806693971157074,0.0,0.9310767650604248,0.0001,0.0,9.474,0.1207,0.2907
11,stage1,0,0.7457706332206726,0.7492022514343262,0.0,0.7457706332206726,0.0001,0.0,9.477,0.0595,0.2856
12,stage1,0,0.7129773497581482,0.7414810061454773,0.0,0.7129773497581482,0.0001,0.0,9.474,0.0698,0.278
13,stage1,0,0.8259966373443604,0.7640160918235779,0.0,0.8259966373443604,0.0001,0.0,9.477,0.1161,0.2832
14,stage1,0,0.7975397109985352,0.7591979503631592,0.0,0.7975397109985352,0.0001,0.0,9.474,0.053,0.2885
15,stage1,0,0.7484736442565918,0.7713655233383179,0.0,0.7484736442565918,0.0001,0.0,9.477,0.093,0.2756
16,stage1,0,0.8471530079841614,0.7714640498161316,0.0,0.8471530079841614,0.0001,0.0,9.474,0.1071,7.2055
17,stage1,0,0.8384549617767334,0.7738078832626343,0.0,0.8384549617767334,0.0001,0.0,9.477,0.1063,0.2856
18,stage1,0,0.7327505350112915,0.7059745788574219,0.0,0.7327505350112915,0.0001,0.0,9.474,0.0741,0.2837
19,stage1,0,0.9179324507713318,0.7988095283508301,0.0,0.9179324507713318,0.0001,0.0,9.477,0.1155,0.2894
20,stage1,0,0.8299880623817444,0.7601888179779053,0.0,0.8299880623817444,0.0001,0.0,9.474,0.0911,0.2925
21,stage1,0,0.7532109022140503,0.7505124807357788,0.0,0.7532109022140503,0.0001,0.0,9.477,0.0811,0.2914
22,stage1,0,0.8069639205932617,0.7848344445228577,0.0,0.8069639205932617,0.0001,0.0,9.474,0.0843,0.2848
23,stage1,0,0.7904796600341797,0.7687467932701111,0.0,0.7904796600341797,0.0001,0.0,9.477,0.1297,0.2822
24,stage1,0,0.8017191886901855,0.7941045165061951,0.0,0.8017191886901855,0.0001,0.0,9.474,0.0849,7.2971
25,stage1,0,0.7491005659103394,0.7469960451126099,0.0,0.7491005659103394,0.0001,0.0,9.477,0.0486,0.2811
26,stage1,0,0.8567891716957092,0.745185911655426,0.0,0.8567891716957092,0.0001,0.0,9.474,0.0907,0.2844
27,stage1,0,0.8862085938453674,0.7918179631233215,0.0,0.8862085938453674,0.0001,0.0,9.477,0.1198,0.2784
28,stage1,0,0.8211540579795837,0.7571213245391846,0.0,0.8211540579795837,0.0001,0.0,9.474,0.1005,0.2861
29,stage1,0,0.8442206382751465,0.7659251093864441,0.0,0.8442206382751465,0.0001,0.0,9.477,0.097,0.2873
30,stage1,0,0.8441147804260254,0.7707065939903259,0.0,0.8441147804260254,0.0001,0.0,9.474,0.0967,0.2924
31,stage1,0,0.8579790592193604,0.7806382775306702,0.0,0.8579790592193604,0.0001,0.0,9.477,0.0891,0.2938
32,stage1,0,0.8388622403144836,0.771531879901886,0.0,0.8388622403144836,0.0001,0.0,9.474,0.068,7.2421
33,stage1,0,0.7910170555114746,0.7863226532936096,0.0,0.7910170555114746,0.0001,0.0,9.477,0.0899,0.2836
34,stage1,0,0.7266427278518677,0.7416219711303711,0.0,0.7266427278518677,0.0001,0.0,9.474,0.1023,0.272
35,stage1,0,0.7347287535667419,0.7432990670204163,0.0,0.7347287535667419,0.0001,0.0,9.477,0.0715,0.2762
36,stage1,0,0.8323065042495728,0.7927106618881226,0.0,0.8323065042495728,0.0001,0.0,9.474,0.1347,0.2754
37,stage1,0,0.7417113184928894,0.7221267819404602,0.0,0.7417113184928894,0.0001,0.0,9.477,0.0622,0.2897
38,stage1,0,0.788986325263977,0.7616666555404663,0.0,0.788986325263977,0.0001,0.0,9.474,0.1176,0.2856
