[train] head=flow variant=baseline seed=0 out=../paper_repro/Long/runs/flow_s0
`torch_dtype` is deprecated! Use `dtype` instead!
Loading  HuggingFaceTB/SmolVLM2-500M-Video-Instruct weights ...
Reducing the number of VLM layers to 16 ...
[train] dataset frames=101469 episodes=379 -> 1 epoch = 2114 steps @ batch 48
[train] planned frames seen = 1440000 = 14.19 epochs

=== stage1 | steps=1650 batch=48 trainable: head=99.88M backbone=0.0M ===
[stage1] step    199 | mse=0.7397 L1=0.4036 PH=0.0000 total=0.7397 | VRAM=12.8GB | 0.313s/it
[stage1] step    399 | mse=0.5433 L1=0.3371 PH=0.0000 total=0.5433 | VRAM=12.8GB | 0.313s/it
[stage1] step    599 | mse=0.5014 L1=0.3213 PH=0.0000 total=0.5014 | VRAM=12.8GB | 0.314s/it
[stage1] step    799 | mse=0.4814 L1=0.3114 PH=0.0000 total=0.4814 | VRAM=12.8GB | 0.313s/it
[stage1] step    999 | mse=0.4608 L1=0.3028 PH=0.0000 total=0.4608 | VRAM=12.8GB | 0.315s/it
[stage1] step   1199 | mse=0.4521 L1=0.3003 PH=0.0000 total=0.4521 | VRAM=12.8GB | 0.329s/it
[stage1] step   1399 | mse=0.4399 L1=0.2925 PH=0.0000 total=0.4399 | VRAM=12.8GB | 0.326s/it
[stage1] step   1599 | mse=0.4381 L1=0.2907 PH=0.0000 total=0.4381 | VRAM=12.8GB | 0.319s/it
[ckpt] saved -> ../paper_repro/Long/runs/flow_s0/checkpoints/1650  (EMA weights)
LlamaModel does not expose input embeddings. Gradients cannot flow back to the token embeddings when using adapters or gradient checkpointing. Override `get_input_embeddings` to fully support those features, or set `_input_embed_layer` to the attribute name that holds the embeddings.

=== stage2 | steps=28350 batch=48 trainable: head=99.88M backbone=350.2M ===
[stage2] step   1849 | mse=0.4322 L1=0.2889 PH=0.0000 total=0.4322 | VRAM=53.6GB | 0.711s/it
[stage2] step   2049 | mse=0.4131 L1=0.2827 PH=0.0000 total=0.4131 | VRAM=53.6GB | 0.711s/it
[stage2] step   2249 | mse=0.4084 L1=0.2810 PH=0.0000 total=0.4084 | VRAM=53.6GB | 0.677s/it
[stage2] step   2449 | mse=0.3984 L1=0.2751 PH=0.0000 total=0.3984 | VRAM=53.6GB | 0.672s/it
[stage2] step   2649 | mse=0.3953 L1=0.2755 PH=0.0000 total=0.3953 | VRAM=53.6GB | 0.673s/it
[stage2] step   2849 | mse=0.3852 L1=0.2702 PH=0.0000 total=0.3852 | VRAM=53.6GB | 0.671s/it
[stage2] step   3049 | mse=0.3787 L1=0.2676 PH=0.0000 total=0.3787 | VRAM=53.6GB | 0.673s/it
[stage2] step   3249 | mse=0.3694 L1=0.2629 PH=0.0000 total=0.3694 | VRAM=53.6GB | 0.674s/it
