global_step,stage,dataset_epoch,flow_matching_loss,l1_loss,ph_loss,total_loss,lr_head,lr_backbone,vram_gb,grad_norm,step_time_s
0,stage1,0,2.243590831756592,0.7239289283752441,0.0,2.243590831756592,0.0001,0.0,12.201,9.1603,10.7583
1,stage1,0,2.0251989364624023,0.5527557730674744,0.0,2.0251989364624023,0.0001,0.0,12.851,14.1714,0.2981
2,stage1,0,1.7893977165222168,0.6410660147666931,0.0,1.7893977165222168,0.0001,0.0,12.853,16.6265,0.3101
3,stage1,0,1.3955085277557373,0.5208110213279724,0.0,1.3955085277557373,0.0001,0.0,12.856,7.2288,0.3114
4,stage1,0,1.3221663236618042,0.513020932674408,0.0,1.3221663236618042,0.0001,0.0,12.849,7.8927,0.3108
5,stage1,0,1.1608580350875854,0.5325145125389099,0.0,1.1608580350875854,0.0001,0.0,12.848,5.2626,0.3112
6,stage1,0,1.323480486869812,0.4987986981868744,0.0,1.323480486869812,0.0001,0.0,12.846,5.0455,0.3108
7,stage1,0,1.170037865638733,0.4948006272315979,0.0,1.170037865638733,0.0001,0.0,12.851,4.1459,0.3119
8,stage1,0,1.144826054573059,0.499407023191452,0.0,1.144826054573059,0.0001,0.0,12.864,5.0454,6.3941
9,stage1,0,1.0985591411590576,0.512251615524292,0.0,1.0985591411590576,0.0001,0.0,12.859,4.4088,0.3088
10,stage1,0,1.0468103885650635,0.4221203625202179,0.0,1.0468103885650635,0.0001,0.0,12.851,4.8046,0.3113
11,stage1,0,0.9903125166893005,0.44580477476119995,0.0,0.9903125166893005,0.0001,0.0,12.847,3.3254,0.3116
12,stage1,0,1.0399705171585083,0.4970766305923462,0.0,1.0399705171585083,0.0001,0.0,12.856,2.6805,0.3108
13,stage1,0,0.9050204157829285,0.43933266401290894,0.0,0.9050204157829285,0.0001,0.0,12.855,2.5556,0.3116
14,stage1,0,1.0554922819137573,0.4850057363510132,0.0,1.0554922819137573,0.0001,0.0,12.842,3.9861,0.3121
15,stage1,0,1.0095237493515015,0.5605411529541016,0.0,1.0095237493515015,0.0001,0.0,12.848,3.4432,0.3123
16,stage1,0,0.9781726598739624,0.4846858084201813,0.0,0.9781726598739624,0.0001,0.0,12.867,1.6907,7.4684
17,stage1,0,1.024832844734192,0.4389638900756836,0.0,1.024832844734192,0.0001,0.0,12.865,2.9532,0.3109
18,stage1,0,0.8768073320388794,0.46776750683784485,0.0,0.8768073320388794,0.0001,0.0,12.864,2.3182,0.3114
19,stage1,0,0.9271887540817261,0.4844396710395813,0.0,0.9271887540817261,0.0001,0.0,12.86,2.7355,0.3112
20,stage1,0,1.0225670337677002,0.5008657574653625,0.0,1.0225670337677002,0.0001,0.0,12.855,3.2825,0.3104
21,stage1,0,0.8851012587547302,0.506252646446228,0.0,0.8851012587547302,0.0001,0.0,12.86,1.6382,0.3107
22,stage1,0,0.9773082733154297,0.4698351323604584,0.0,0.9773082733154297,0.0001,0.0,12.854,2.5186,0.3113
23,stage1,0,0.9569821953773499,0.4784484803676605,0.0,0.9569821953773499,0.0001,0.0,12.859,2.0998,0.3114
24,stage1,0,0.8055933117866516,0.39077961444854736,0.0,0.8055933117866516,0.0001,0.0,12.854,2.4465,6.8989
25,stage1,0,0.8299439549446106,0.39394891262054443,0.0,0.8299439549446106,0.0001,0.0,12.847,1.9552,0.3106
26,stage1,0,0.8978359699249268,0.4268113672733307,0.0,0.8978359699249268,0.0001,0.0,12.847,2.2416,0.3108
27,stage1,0,0.8900543451309204,0.42215898633003235,0.0,0.8900543451309204,0.0001,0.0,12.857,3.121,0.3108
28,stage1,0,0.9006942510604858,0.42397767305374146,0.0,0.9006942510604858,0.0001,0.0,12.854,2.0406,0.311
29,stage1,0,0.824554443359375,0.4542843997478485,0.0,0.824554443359375,0.0001,0.0,12.857,1.5867,0.3112
30,stage1,0,0.8438443541526794,0.4651070535182953,0.0,0.8438443541526794,0.0001,0.0,12.85,2.0607,0.3112
31,stage1,0,0.9301774501800537,0.4656597375869751,0.0,0.9301774501800537,0.0001,0.0,12.856,2.7961,0.3126
32,stage1,0,0.8135296106338501,0.40576431155204773,0.0,0.8135296106338501,0.0001,0.0,12.857,1.931,6.9312
33,stage1,0,0.7908891439437866,0.42076432704925537,0.0,0.7908891439437866,0.0001,0.0,12.857,2.4859,0.3112
34,stage1,0,0.8805779218673706,0.42485305666923523,0.0,0.8805779218673706,0.0001,0.0,12.853,1.867,0.3113
35,stage1,0,0.9266571402549744,0.4605114758014679,0.0,0.9266571402549744,0.0001,0.0,12.849,2.7542,0.3117
36,stage1,0,0.8989378809928894,0.4798256754875183,0.0,0.8989378809928894,0.0001,0.0,12.838,2.0261,0.3118
37,stage1,0,0.8486272692680359,0.45991185307502747,0.0,0.8486272692680359,0.0001,0.0,12.85,2.8572,0.312
38,stage1,0,0.81314617395401,0.44496452808380127,0.0,0.81314617395401,0.0001,0.0,12.857,2.9963,0.3119
39,stage1,0,0.863279402256012,0.403947114944458,0.0,0.863279402256012,0.0001,0.0,12.849,3.9098,0.3121
40,stage1,0,0.7974092960357666,0.4454313814640045,0.0,0.7974092960357666,0.0001,0.0,12.853,2.0905,6.8346
41,stage1,0,0.8154329061508179,0.39316290616989136,0.0,0.8154329061508179,0.0001,0.0,12.855,3.619,0.3111
42,stage1,0,0.8579266667366028,0.42990148067474365,0.0,0.8579266667366028,0.0001,0.0,12.852,4.2901,0.3115
43,stage1,0,0.8262119889259338,0.427724152803421,0.0,0.8262119889259338,0.0001,0.0,12.861,3.289,0.311
44,stage1,0,0.7766648530960083,0.38373440504074097,0.0,0.7766648530960083,0.0001,0.0,12.847,2.2463,0.312
45,stage1,0,0.8002851605415344,0.3968141973018646,0.0,0.8002851605415344,0.0001,0.0,12.852,2.8281,0.3122
46,stage1,0,0.8465150594711304,0.42902207374572754,0.0,0.8465150594711304,0.0001,0.0,12.848,2.8966,0.3131
47,stage1,0,0.8645287752151489,0.42414554953575134,0.0,0.8645287752151489,0.0001,0.0,12.848,2.1889,0.3114
48,stage1,0,0.8402010202407837,0.44254061579704285,0.0,0.8402010202407837,0.0001,0.0,12.845,2.4201,6.8094
49,stage1,0,0.8195527195930481,0.41159307956695557,0.0,0.8195527195930481,0.0001,0.0,12.847,2.731,0.3107
50,stage1,0,0.7989135384559631,0.45183974504470825,0.0,0.7989135384559631,0.0001,0.0,12.848,3.4151,0.3115
51,stage1,0,0.7740607261657715,0.4057981073856354,0.0,0.7740607261657715,0.0001,0.0,12.855,2.5127,0.3118
