[train] head=flow variant=baseline seed=0 out=../paper_repro/Spatial/runs/flow_s0
`torch_dtype` is deprecated! Use `dtype` instead!
Loading  HuggingFaceTB/SmolVLM2-500M-Video-Instruct weights ...
Reducing the number of VLM layers to 16 ...
[train] dataset frames=52970 episodes=432 -> 1 epoch = 1104 steps @ batch 48
[train] planned frames seen = 1440000 = 27.19 epochs

=== stage1 | steps=1650 batch=48 trainable: head=99.88M backbone=0.0M ===
[stage1] step    199 | mse=0.6735 L1=0.4092 PH=0.0000 total=0.6735 | VRAM=12.8GB | 0.319s/it
[stage1] step    399 | mse=0.4845 L1=0.3338 PH=0.0000 total=0.4845 | VRAM=12.8GB | 0.318s/it
[stage1] step    599 | mse=0.4544 L1=0.3180 PH=0.0000 total=0.4544 | VRAM=12.8GB | 0.328s/it
[stage1] step    799 | mse=0.4395 L1=0.3096 PH=0.0000 total=0.4395 | VRAM=12.8GB | 0.323s/it
[stage1] step    999 | mse=0.4244 L1=0.3043 PH=0.0000 total=0.4244 | VRAM=12.8GB | 0.306s/it
[stage1] step   1199 | mse=0.4136 L1=0.2998 PH=0.0000 total=0.4136 | VRAM=12.8GB | 6.741s/it
[stage1] step   1399 | mse=0.4063 L1=0.2938 PH=0.0000 total=0.4063 | VRAM=12.8GB | 0.314s/it
[stage1] step   1599 | mse=0.3952 L1=0.2912 PH=0.0000 total=0.3952 | VRAM=12.8GB | 0.313s/it
[ckpt] saved -> ../paper_repro/Spatial/runs/flow_s0/checkpoints/1650  (EMA weights)
LlamaModel does not expose input embeddings. Gradients cannot flow back to the token embeddings when using adapters or gradient checkpointing. Override `get_input_embeddings` to fully support those features, or set `_input_embed_layer` to the attribute name that holds the embeddings.

=== stage2 | steps=28350 batch=48 trainable: head=99.88M backbone=350.2M ===
[stage2] step   1849 | mse=0.3895 L1=0.2902 PH=0.0000 total=0.3895 | VRAM=53.6GB | 0.670s/it
[stage2] step   2049 | mse=0.3746 L1=0.2866 PH=0.0000 total=0.3746 | VRAM=53.6GB | 0.669s/it
[stage2] step   2249 | mse=0.3595 L1=0.2813 PH=0.0000 total=0.3595 | VRAM=53.6GB | 0.671s/it
[stage2] step   2449 | mse=0.3464 L1=0.2749 PH=0.0000 total=0.3464 | VRAM=53.6GB | 0.677s/it
[stage2] step   2649 | mse=0.3282 L1=0.2691 PH=0.0000 total=0.3282 | VRAM=53.6GB | 0.671s/it
[stage2] step   2849 | mse=0.3069 L1=0.2586 PH=0.0000 total=0.3069 | VRAM=53.6GB | 4.878s/it
[stage2] step   3049 | mse=0.2897 L1=0.2532 PH=0.0000 total=0.2897 | VRAM=53.6GB | 2.417s/it
[stage2] step   3249 | mse=0.2745 L1=0.2467 PH=0.0000 total=0.2745 | VRAM=53.6GB | 4.603s/it
[stage2] step   3449 | mse=0.2597 L1=0.2394 PH=0.0000 total=0.2597 | VRAM=53.6GB | 4.291s/it
[stage2] step   3649 | mse=0.2453 L1=0.2317 PH=0.0000 total=0.2453 | VRAM=53.6GB | 4.139s/it
[stage2] step   3849 | mse=0.2308 L1=0.2256 PH=0.0000 total=0.2308 | VRAM=53.6GB | 3.642s/it
[stage2] step   4049 | mse=0.2155 L1=0.2198 PH=0.0000 total=0.2155 | VRAM=53.6GB | 0.669s/it
[stage2] step   4249 | mse=0.2060 L1=0.2144 PH=0.0000 total=0.2060 | VRAM=53.6GB | 4.607s/it
[stage2] step   4449 | mse=0.1976 L1=0.2081 PH=0.0000 total=0.1976 | VRAM=53.6GB | 0.666s/it
[stage2] step   4649 | mse=0.1904 L1=0.2065 PH=0.0000 total=0.1904 | VRAM=53.6GB | 0.668s/it
[stage2] step   4849 | mse=0.1844 L1=0.2006 PH=0.0000 total=0.1844 | VRAM=53.6GB | 0.667s/it
[stage2] step   5049 | mse=0.1771 L1=0.1975 PH=0.0000 total=0.1771 | VRAM=53.6GB | 0.672s/it
[stage2] step   5249 | mse=0.1685 L1=0.1947 PH=0.0000 total=0.1685 | VRAM=53.6GB | 0.670s/it
[stage2] step   5449 | mse=0.1635 L1=0.1900 PH=0.0000 total=0.1635 | VRAM=53.6GB | 0.669s/it
[stage2] step   5649 | mse=0.1585 L1=0.1902 PH=0.0000 total=0.1585 | VRAM=53.6GB | 0.671s/it
[stage2] step   5849 | mse=0.1584 L1=0.1867 PH=0.0000 total=0.1584 | VRAM=53.6GB | 0.669s/it
[stage2] step   6049 | mse=0.1515 L1=0.1842 PH=0.0000 total=0.1515 | VRAM=53.6GB | 0.668s/it
