global_step,stage,dataset_epoch,flow_matching_loss,l1_loss,ph_loss,total_loss,lr_head,lr_backbone,vram_gb,grad_norm,step_time_s
0,stage1,0,3.089813470840454,0.645728588104248,0.0,3.089813470840454,0.0001,0.0,12.201,15.0199,10.3727
1,stage1,0,1.5654772520065308,0.6057888269424438,0.0,1.5654772520065308,0.0001,0.0,12.851,12.7623,0.2995
2,stage1,0,1.1241408586502075,0.6580907106399536,0.0,1.1241408586502075,0.0001,0.0,12.853,7.7981,0.3119
3,stage1,0,1.228859305381775,0.599762499332428,0.0,1.228859305381775,0.0001,0.0,12.846,8.0603,0.3125
4,stage1,0,1.0594727993011475,0.5310041308403015,0.0,1.0594727993011475,0.0001,0.0,12.849,1.9141,0.3127
5,stage1,0,1.1979284286499023,0.5479570031166077,0.0,1.1979284286499023,0.0001,0.0,12.859,6.7653,0.3136
6,stage1,0,1.128555178642273,0.5702807903289795,0.0,1.128555178642273,0.0001,0.0,12.845,6.6498,0.3132
7,stage1,0,1.03448486328125,0.5603827834129333,0.0,1.03448486328125,0.0001,0.0,12.856,3.4078,0.3137
8,stage1,0,0.9719704389572144,0.47892239689826965,0.0,0.9719704389572144,0.0001,0.0,12.859,3.7906,5.6216
9,stage1,0,0.9154884815216064,0.49827951192855835,0.0,0.9154884815216064,0.0001,0.0,12.854,3.1084,0.3127
10,stage1,0,1.0341569185256958,0.4949730336666107,0.0,1.0341569185256958,0.0001,0.0,12.863,4.281,0.3132
11,stage1,0,1.0672067403793335,0.5443881750106812,0.0,1.0672067403793335,0.0001,0.0,12.851,4.7938,0.3126
12,stage1,0,0.9685747623443604,0.5068638324737549,0.0,0.9685747623443604,0.0001,0.0,12.866,3.2954,0.3134
13,stage1,0,0.9607073068618774,0.5344181060791016,0.0,0.9607073068618774,0.0001,0.0,12.856,2.2294,0.3135
14,stage1,0,0.8816863894462585,0.4470456838607788,0.0,0.8816863894462585,0.0001,0.0,12.864,2.5132,0.3132
15,stage1,0,0.9249314665794373,0.5131940245628357,0.0,0.9249314665794373,0.0001,0.0,12.859,3.9087,0.314
16,stage1,0,0.8927026987075806,0.48512089252471924,0.0,0.8927026987075806,0.0001,0.0,12.854,3.1631,6.4914
