global_step,stage,dataset_epoch,flow_matching_loss,l1_loss,ph_loss,total_loss,lr_head,lr_backbone,vram_gb,grad_norm,step_time_s
0,stage1,0,0.8959061503410339,0.8263059258460999,0.0,0.8959061503410339,0.0001,0.0,9.219,0.136,10.9303
1,stage1,0,0.7694866061210632,0.746181309223175,0.0,0.7694866061210632,0.0001,0.0,9.246,0.1697,0.2602
2,stage1,0,0.912392795085907,0.8294609189033508,0.0,0.912392795085907,0.0001,0.0,9.246,0.1443,0.2739
3,stage1,0,0.8872809410095215,0.7962709069252014,0.0,0.8872809410095215,0.0001,0.0,9.248,0.1689,0.4523
4,stage1,0,0.7687434554100037,0.7833225131034851,0.0,0.7687434554100037,0.0001,0.0,9.246,0.0705,0.3609
5,stage1,0,0.6617980599403381,0.7419536113739014,0.0,0.6617980599403381,0.0001,0.0,9.248,0.0744,0.2744
6,stage1,0,0.757552444934845,0.7594988346099854,0.0,0.757552444934845,0.0001,0.0,9.246,0.0661,0.2738
7,stage1,0,0.7150586247444153,0.7132511138916016,0.0,0.7150586247444153,0.0001,0.0,9.248,0.1231,0.2745
8,stage1,0,0.8202320337295532,0.7615541815757751,0.0,0.8202320337295532,0.0001,0.0,9.246,0.041,5.4569
9,stage1,0,0.8394216299057007,0.7717369198799133,0.0,0.8394216299057007,0.0001,0.0,9.248,0.1172,0.2733
10,stage1,0,0.7691227197647095,0.7586754560470581,0.0,0.7691227197647095,0.0001,0.0,9.246,0.1539,0.2739
11,stage1,0,0.7514710426330566,0.770065188407898,0.0,0.7514710426330566,0.0001,0.0,9.248,0.1629,0.2744
12,stage1,0,0.826878547668457,0.7546550631523132,0.0,0.826878547668457,0.0001,0.0,9.246,0.1268,0.2744
13,stage1,0,0.7079294919967651,0.7147495150566101,0.0,0.7079294919967651,0.0001,0.0,9.248,0.0884,0.2746
14,stage1,0,0.7421320080757141,0.7683559656143188,0.0,0.7421320080757141,0.0001,0.0,9.246,0.0986,0.2746
15,stage1,0,0.8665967583656311,0.7833027243614197,0.0,0.8665967583656311,0.0001,0.0,9.248,0.1128,0.2747
16,stage1,0,0.8262431025505066,0.7851458787918091,0.0,0.8262431025505066,0.0001,0.0,9.246,0.0726,7.0963
17,stage1,0,0.8148789405822754,0.762568473815918,0.0,0.8148789405822754,0.0001,0.0,9.248,0.0735,0.271
18,stage1,0,0.803539514541626,0.7599855661392212,0.0,0.803539514541626,0.0001,0.0,9.246,0.1072,0.2743
19,stage1,0,0.7998366355895996,0.7741321325302124,0.0,0.7998366355895996,0.0001,0.0,9.248,0.1131,0.3083
20,stage1,0,0.8055629730224609,0.770980715751648,0.0,0.8055629730224609,0.0001,0.0,9.246,0.0735,0.3697
21,stage1,0,0.764807403087616,0.7361663579940796,0.0,0.764807403087616,0.0001,0.0,9.248,0.1466,0.4102
22,stage1,0,0.6443433165550232,0.7103883624076843,0.0,0.6443433165550232,0.0001,0.0,9.246,0.1112,0.2739
23,stage1,0,0.8068008422851562,0.7736741900444031,0.0,0.8068008422851562,0.0001,0.0,9.248,0.1079,0.2746
24,stage1,0,0.7040038704872131,0.7697075009346008,0.0,0.7040038704872131,0.0001,0.0,9.246,0.0945,6.8326
25,stage1,0,0.8073506951332092,0.7427828311920166,0.0,0.8073506951332092,0.0001,0.0,9.248,0.1143,0.2725
26,stage1,0,0.618695855140686,0.7467950582504272,0.0,0.618695855140686,0.0001,0.0,9.246,0.1336,0.2745
27,stage1,0,0.8491093516349792,0.784899890422821,0.0,0.8491093516349792,0.0001,0.0,9.248,0.0974,0.2733
28,stage1,0,0.865525484085083,0.7706119418144226,0.0,0.865525484085083,0.0001,0.0,9.246,0.1219,0.2746
29,stage1,0,0.8107393383979797,0.7725479006767273,0.0,0.8107393383979797,0.0001,0.0,9.248,0.0871,0.3073
30,stage1,0,0.851321816444397,0.7819034457206726,0.0,0.851321816444397,0.0001,0.0,9.246,0.1097,0.2749
31,stage1,0,0.7836368083953857,0.7450814843177795,0.0,0.7836368083953857,0.0001,0.0,9.248,0.1948,0.2737
32,stage1,0,0.8092855215072632,0.7792325615882874,0.0,0.8092855215072632,0.0001,0.0,9.246,0.1514,7.2257
33,stage1,0,0.7813987731933594,0.7996602654457092,0.0,0.7813987731933594,0.0001,0.0,9.248,0.0404,0.2727
34,stage1,0,0.8237628936767578,0.7745258212089539,0.0,0.8237628936767578,0.0001,0.0,9.246,0.1271,0.2732
35,stage1,0,0.8455268740653992,0.7703476548194885,0.0,0.8455268740653992,0.0001,0.0,9.248,0.084,0.2734
36,stage1,0,0.7662036418914795,0.7561243772506714,0.0,0.7662036418914795,0.0001,0.0,9.246,0.1474,0.2731
37,stage1,0,0.8117965459823608,0.7580229043960571,0.0,0.8117965459823608,0.0001,0.0,9.248,0.0951,0.2736
38,stage1,0,0.8466574549674988,0.761256754398346,0.0,0.8466574549674988,0.0001,0.0,9.246,0.1816,0.2733
39,stage1,0,0.8241394758224487,0.7565715312957764,0.0,0.8241394758224487,0.0001,0.0,9.248,0.0758,0.3071
40,stage1,0,0.9222218990325928,0.7949851751327515,0.0,0.9222218990325928,0.0001,0.0,9.246,0.1263,6.9099
41,stage1,0,0.8856353163719177,0.7806236147880554,0.0,0.8856353163719177,0.0001,0.0,9.248,0.1095,0.2787
42,stage1,0,0.8101484775543213,0.769379198551178,0.0,0.8101484775543213,0.0001,0.0,9.246,0.1128,0.4766
43,stage1,0,0.7503501772880554,0.758381724357605,0.0,0.7503501772880554,0.0001,0.0,9.248,0.104,0.2939
44,stage1,0,0.8104931712150574,0.7624288201332092,0.0,0.8104931712150574,0.0001,0.0,9.246,0.1038,0.2744
45,stage1,0,0.7450022101402283,0.7423033714294434,0.0,0.7450022101402283,0.0001,0.0,9.248,0.0661,0.2741
46,stage1,0,0.7484450340270996,0.7321894764900208,0.0,0.7484450340270996,0.0001,0.0,9.246,0.1144,0.2743
