global_step,stage,dataset_epoch,flow_matching_loss,l1_loss,ph_loss,total_loss,lr_head,lr_backbone,vram_gb,grad_norm,step_time_s
0,stage1,0,0.8959061503410339,0.8263059258460999,5.231305122375488,1.0005322694778442,0.0001,0.0,9.219,0.136,10.7748
1,stage1,0,0.7694661617279053,0.7461825609207153,4.941859722137451,0.8683033585548401,0.0001,0.0,9.246,0.1698,0.2814
2,stage1,0,0.9124401807785034,0.8294885754585266,5.064870834350586,1.0137375593185425,0.0001,0.0,9.246,0.1443,0.2939
3,stage1,0,0.887302577495575,0.7963003516197205,5.216736793518066,0.9916372895240784,0.0001,0.0,9.248,0.1689,0.2953
4,stage1,0,0.7687938809394836,0.7833712697029114,4.691012382507324,0.8626141548156738,0.0001,0.0,9.246,0.0706,0.2998
5,stage1,0,0.6618702411651611,0.742066502571106,4.471372127532959,0.7512977123260498,0.0001,0.0,9.248,0.0743,0.292
6,stage1,0,0.7575661540031433,0.7595674395561218,4.7046637535095215,0.8516594171524048,0.0001,0.0,9.246,0.066,0.2951
7,stage1,0,0.7149416208267212,0.7133342027664185,4.841556549072266,0.8117727637290955,0.0001,0.0,9.248,0.1232,0.2924
8,stage1,0,0.8203638195991516,0.7616761922836304,4.8363494873046875,0.9170908331871033,0.0001,0.0,9.246,0.0416,5.6104
9,stage1,0,0.8394052386283875,0.7718528509140015,4.789945125579834,0.9352041482925415,0.0001,0.0,9.248,0.1175,0.297
10,stage1,0,0.7690539956092834,0.7588157653808594,4.71372652053833,0.8633285164833069,0.0001,0.0,9.246,0.1542,0.2941
11,stage1,0,0.7516382932662964,0.7703036665916443,5.087355613708496,0.8533853888511658,0.0001,0.0,9.248,0.164,0.2998
12,stage1,0,0.8270875215530396,0.7549160718917847,4.996780872344971,0.9270231127738953,0.0001,0.0,9.246,0.1276,0.3008
13,stage1,0,0.7081727981567383,0.7150047421455383,4.4945902824401855,0.7980645895004272,0.0001,0.0,9.248,0.0913,0.2944
14,stage1,0,0.7422484159469604,0.7685174942016602,4.829741954803467,0.8388432264328003,0.0001,0.0,9.246,0.1009,0.3012
15,stage1,0,0.8665207624435425,0.7832595109939575,5.096651554107666,0.9684537649154663,0.0001,0.0,9.248,0.1178,0.2932
16,stage1,0,0.826248288154602,0.7851184606552124,4.890373229980469,0.9240557551383972,0.0001,0.0,9.246,0.0789,6.7179
17,stage1,0,0.8151154518127441,0.762373149394989,5.04827880859375,0.9160810112953186,0.0001,0.0,9.248,0.0747,0.2923
18,stage1,0,0.8034034371376038,0.7597716450691223,4.596343994140625,0.8953303098678589,0.0001,0.0,9.246,0.112,0.2945
19,stage1,0,0.7996002435684204,0.7737888693809509,4.894052028656006,0.8974812626838684,0.0001,0.0,9.248,0.1194,0.2925
20,stage1,0,0.8055663704872131,0.7705585360527039,4.735532760620117,0.9002770185470581,0.0001,0.0,9.246,0.0802,0.2958
21,stage1,0,0.7656115293502808,0.7359723448753357,4.729287147521973,0.8601972460746765,0.0001,0.0,9.248,0.1492,0.294
22,stage1,0,0.6435920596122742,0.7091354727745056,4.500792503356934,0.7336078882217407,0.0001,0.0,9.246,0.1216,0.3019
23,stage1,0,0.8063681125640869,0.7726156711578369,4.806349754333496,0.9024950861930847,0.0001,0.0,9.248,0.1028,0.3025
24,stage1,0,0.7042758464813232,0.7687391042709351,4.341586589813232,0.7911075949668884,0.0001,0.0,9.246,0.0993,6.7076
25,stage1,0,0.8072996735572815,0.7413733601570129,4.860656261444092,0.9045128226280212,0.0001,0.0,9.248,0.1286,0.2917
26,stage1,0,0.619592010974884,0.7459720373153687,4.15437126159668,0.702679455280304,0.0001,0.0,9.246,0.1383,0.2934
27,stage1,0,0.8484570384025574,0.7828453779220581,4.899102687835693,0.9464390873908997,0.0001,0.0,9.248,0.1039,0.2935
28,stage1,0,0.8658022284507751,0.7685150504112244,4.730250835418701,0.9604072570800781,0.0001,0.0,9.246,0.1349,0.2982
29,stage1,0,0.8108304142951965,0.769304096698761,4.740076065063477,0.905631959438324,0.0001,0.0,9.248,0.1027,0.2955
30,stage1,0,0.8509588837623596,0.7776272892951965,4.7248358726501465,0.9454556107521057,0.0001,0.0,9.246,0.1183,0.3018
31,stage1,0,0.7804365754127502,0.7401396036148071,4.730539321899414,0.8750473856925964,0.0001,0.0,9.248,0.2157,0.2942
32,stage1,0,0.8106648921966553,0.7754103541374207,4.545838356018066,0.9015816450119019,0.0001,0.0,9.246,0.1778,6.6662
33,stage1,0,0.7794098854064941,0.7959873676300049,4.780217170715332,0.8750142455101013,0.0001,0.0,9.248,0.0707,0.297
34,stage1,0,0.8233027458190918,0.7704839706420898,4.753049850463867,0.9183637499809265,0.0001,0.0,9.246,0.1428,0.2935
35,stage1,0,0.8422219157218933,0.7635233998298645,4.6242241859436035,0.9347063899040222,0.0001,0.0,9.248,0.1092,0.2999
36,stage1,0,0.7647640109062195,0.7496767044067383,4.216145992279053,0.8490869402885437,0.0001,0.0,9.246,0.1743,0.3003
37,stage1,0,0.8149487972259521,0.7550727725028992,4.585615158081055,0.9066610932350159,0.0001,0.0,9.248,0.0992,0.3008
38,stage1,0,0.8451849222183228,0.7564906477928162,4.62318229675293,0.9376485347747803,0.0001,0.0,9.246,0.1937,0.301
39,stage1,0,0.8204932808876038,0.7508235573768616,4.434544563293457,0.9091841578483582,0.0001,0.0,9.248,0.1154,0.3001
40,stage1,0,0.9236060976982117,0.7918685078620911,4.8503265380859375,1.0206125974655151,0.0001,0.0,9.246,0.1616,6.8317
41,stage1,0,0.8826037049293518,0.7751148343086243,4.734654426574707,0.977296769618988,0.0001,0.0,9.248,0.158,0.2928
42,stage1,0,0.8102883100509644,0.7680768370628357,4.231235027313232,0.8949130177497864,0.0001,0.0,9.246,0.1488,0.2938
43,stage1,0,0.7513703107833862,0.7565717101097107,4.060288429260254,0.8325760960578918,0.0001,0.0,9.248,0.1118,0.2988
44,stage1,0,0.8126261234283447,0.7591838836669922,4.281374931335449,0.8982536196708679,0.0001,0.0,9.246,0.1066,0.2925
45,stage1,0,0.745976448059082,0.7403103113174438,3.872828960418701,0.8234330415725708,0.0001,0.0,9.248,0.1038,0.3021
46,stage1,0,0.75202476978302,0.7324124574661255,3.9974544048309326,0.8319738507270813,0.0001,0.0,9.246,0.1318,0.294
47,stage1,0,0.848467230796814,0.7601673007011414,4.225200653076172,0.9329712390899658,0.0001,0.0,9.248,0.1513,0.2996
48,stage1,0,0.9254732728004456,0.7563967704772949,4.366612434387207,1.012805461883545,0.0001,0.0,9.246,0.1556,6.8775
49,stage1,0,0.8188552260398865,0.75545334815979,4.0950026512146,0.9007552862167358,0.0001,0.0,9.248,0.1911,0.2919
50,stage1,0,0.6933980584144592,0.7440040707588196,3.5682716369628906,0.7647634744644165,0.0001,0.0,9.246,0.1741,0.3
51,stage1,0,0.7947933077812195,0.7685450315475464,3.8631350994110107,0.8720560073852539,0.0001,0.0,9.248,0.0928,0.2941
52,stage1,0,0.8435463309288025,0.7631775140762329,4.239475727081299,0.9283358454704285,0.0001,0.0,9.246,0.2062,0.2994
53,stage1,0,0.8660247921943665,0.7415763139724731,4.066421031951904,0.9473532438278198,0.0001,0.0,9.248,0.1455,0.2948
54,stage1,0,0.7933041453361511,0.723637580871582,3.9478302001953125,0.8722607493400574,0.0001,0.0,9.246,0.1601,0.2989
55,stage1,0,0.8206427097320557,0.7576857209205627,3.9450697898864746,0.8995441198348999,0.0001,0.0,9.248,0.1374,0.3005
56,stage1,0,0.8136163949966431,0.7507904171943665,3.6548221111297607,0.8867128491401672,0.0001,0.0,9.246,0.1403,6.6473
57,stage1,0,0.7440177202224731,0.7787531018257141,3.647040367126465,0.8169585466384888,0.0001,0.0,9.248,0.1585,0.2945
58,stage1,0,0.8470891118049622,0.7719694972038269,3.866475820541382,0.9244186282157898,0.0001,0.0,9.246,0.2476,0.3006
59,stage1,0,0.6797117590904236,0.7335202097892761,3.2867953777313232,0.7454476356506348,0.0001,0.0,9.248,0.1017,0.3019
60,stage1,0,0.8006529808044434,0.7539865374565125,3.8148245811462402,0.8769494891166687,0.0001,0.0,9.246,0.1389,0.3
61,stage1,0,0.8873125910758972,0.797313928604126,3.7109179496765137,0.9615309238433838,0.0001,0.0,9.248,0.2597,0.3015
62,stage1,0,0.7518173456192017,0.7445403337478638,3.5617454051971436,0.8230522274971008,0.0001,0.0,9.246,0.1014,0.3007
63,stage1,0,0.8026753664016724,0.7637412548065186,4.156083583831787,0.8857970237731934,0.0001,0.0,9.248,0.1707,0.2984
64,stage1,0,0.7783216834068298,0.7477738857269287,3.8086068630218506,0.8544937968254089,0.0001,0.0,9.246,0.2652,6.763
65,stage1,0,0.7116525173187256,0.7368900179862976,3.6271369457244873,0.7841952443122864,0.0001,0.0,9.248,0.1707,0.2944
66,stage1,0,0.8017354607582092,0.7727714776992798,3.6994171142578125,0.8757237792015076,0.0001,0.0,9.246,0.1511,0.2992
67,stage1,0,0.7261629700660706,0.762455403804779,3.5137698650360107,0.7964383363723755,0.0001,0.0,9.248,0.1499,0.2903
68,stage1,0,0.8287261128425598,0.7608300447463989,3.934563159942627,0.907417356967926,0.0001,0.0,9.246,0.1253,0.2958
69,stage1,0,0.7364903688430786,0.7286686301231384,3.474315643310547,0.8059766888618469,0.0001,0.0,9.248,0.1342,0.3013
70,stage1,0,0.785492479801178,0.7466657161712646,3.6852645874023438,0.8591977953910828,0.0001,0.0,9.246,0.1483,0.2945
71,stage1,0,0.8475928902626038,0.7521024346351624,3.7004199028015137,0.9216012954711914,0.0001,0.0,9.248,0.2635,0.3004
72,stage1,0,0.7947588562965393,0.7502521276473999,3.904691219329834,0.8728526830673218,0.0001,0.0,9.246,0.1834,6.6958
73,stage1,0,0.8100875616073608,0.7509369850158691,3.565582752227783,0.8813992142677307,0.0001,0.0,9.248,0.1684,0.2904
74,stage1,0,0.7814764380455017,0.7837876081466675,3.6223838329315186,0.8539240956306458,0.0001,0.0,9.246,0.2588,0.2928
75,stage1,0,0.9231395721435547,0.7773425579071045,4.203705310821533,1.0072137117385864,0.0001,0.0,9.248,0.3127,0.2925
76,stage1,0,0.6984464526176453,0.7199721932411194,3.3783998489379883,0.7660144567489624,0.0001,0.0,9.246,0.1526,0.2885
77,stage1,0,0.8327754139900208,0.7540606260299683,3.8843398094177246,0.9104622006416321,0.0001,0.0,9.248,0.2114,0.2746
78,stage1,0,0.8247184753417969,0.7734106779098511,4.028903961181641,0.9052965641021729,0.0001,0.0,9.246,0.2749,0.2737
79,stage1,0,0.7760119438171387,0.7544567584991455,3.450578212738037,0.845023512840271,0.0001,0.0,9.248,0.3592,0.2743
80,stage1,0,0.6781418323516846,0.7148777842521667,3.5830955505371094,0.7498037219047546,0.0001,0.0,9.246,0.1787,6.5267
81,stage1,0,0.703052818775177,0.7412258982658386,3.315908432006836,0.769370973110199,0.0001,0.0,9.248,0.4566,0.2724
82,stage1,0,0.7981288433074951,0.7242646813392639,3.773707389831543,0.8736029863357544,0.0001,0.0,9.246,0.2772,0.2734
83,stage1,0,0.6497301459312439,0.7172914147377014,3.5150249004364014,0.720030665397644,0.0001,0.0,9.248,0.3173,0.274
84,stage1,0,0.8313175439834595,0.7643980979919434,3.7685277462005615,0.9066880941390991,0.0001,0.0,9.246,0.4883,0.2737
85,stage1,0,0.7359994649887085,0.7400603294372559,3.798543930053711,0.8119703531265259,0.0001,0.0,9.248,0.3729,0.2734
86,stage1,0,0.6858683228492737,0.7302606701850891,3.457828998565674,0.7550249099731445,0.0001,0.0,9.246,0.2818,0.2742
87,stage1,0,0.7361197471618652,0.7238825559616089,3.421468734741211,0.8045490980148315,0.0001,0.0,9.248,0.4128,0.2737
88,stage1,0,0.8137542009353638,0.717438280582428,3.408942699432373,0.8819330334663391,0.0001,0.0,9.246,0.3658,6.4925
89,stage1,0,0.8520280718803406,0.7649351954460144,3.7426135540008545,0.9268803596496582,0.0001,0.0,9.248,0.3615,0.2963
90,stage1,0,0.6356109380722046,0.7218967080116272,3.395195484161377,0.703514814376831,0.0001,0.0,9.246,0.2107,0.2957
91,stage1,0,0.7257122993469238,0.6993684768676758,3.666741132736206,0.7990471124649048,0.0001,0.0,9.248,0.3609,0.2955
92,stage1,0,0.7169151902198792,0.7400048971176147,3.7670199871063232,0.7922555804252625,0.0001,0.0,9.246,0.3445,0.2961
93,stage1,0,0.7118554711341858,0.7128348350524902,3.5773608684539795,0.783402681350708,0.0001,0.0,9.248,0.2935,0.2962
94,stage1,0,0.6966354846954346,0.7129903435707092,3.368570327758789,0.7640069127082825,0.0001,0.0,9.246,0.327,0.296
95,stage1,0,0.7966554164886475,0.753606379032135,3.7921557426452637,0.8724985122680664,0.0001,0.0,9.248,0.3415,0.3002
96,stage1,0,0.71947181224823,0.7214100360870361,3.4872899055480957,0.7892175912857056,0.0001,0.0,9.246,0.3032,6.6104
97,stage1,0,0.6644154191017151,0.7187280654907227,3.426478147506714,0.7329449653625488,0.0001,0.0,9.248,0.3414,0.2945
98,stage1,0,0.6722819805145264,0.6824342012405396,3.3142879009246826,0.7385677099227905,0.0001,0.0,9.246,0.4041,0.2968
99,stage1,0,0.7018259763717651,0.7375324368476868,3.672701597213745,0.7752799987792969,0.0001,0.0,9.248,0.3265,0.2953
100,stage1,0,0.7235982418060303,0.7147021293640137,3.6606688499450684,0.7968116402626038,0.0001,0.0,9.246,0.3852,0.3007
101,stage1,0,0.8288132548332214,0.7679526805877686,3.6787281036376953,0.902387797832489,0.0001,0.0,9.248,0.4794,0.2972
102,stage1,0,0.7343086004257202,0.7361519932746887,3.4793052673339844,0.8038946986198425,0.0001,0.0,9.246,0.2982,0.2977
103,stage1,0,0.7840632796287537,0.7368026971817017,3.0180134773254395,0.8444235324859619,0.0001,0.0,9.248,0.9948,0.2958
104,stage1,0,0.7375569939613342,0.7084106206893921,3.3218982219696045,0.8039949536323547,0.0001,0.0,9.246,0.6911,6.3944
105,stage1,0,0.8239357471466064,0.755715548992157,3.7601661682128906,0.8991390466690063,0.0001,0.0,9.248,0.5613,0.2825
106,stage1,0,0.8023124933242798,0.768011748790741,4.442695617675781,0.8911663889884949,0.0001,0.0,9.246,0.8827,0.2991
107,stage1,0,0.8263865113258362,0.7118320465087891,3.4899823665618896,0.8961861729621887,0.0001,0.0,9.248,0.6769,0.2955
108,stage1,0,0.7632312774658203,0.712645411491394,3.419797897338867,0.8316272497177124,0.0001,0.0,9.246,0.4906,0.2981
109,stage1,0,0.6612429022789001,0.7290942072868347,3.3587474822998047,0.7284178733825684,0.0001,0.0,9.248,0.5585,0.2965
110,stage1,0,0.7187364101409912,0.6925606727600098,3.3213107585906982,0.785162627696991,0.0001,0.0,9.246,0.7642,0.2978
111,stage1,0,0.7337414026260376,0.754478931427002,3.9011282920837402,0.8117639422416687,0.0001,0.0,9.248,1.0098,0.2964
112,stage1,0,0.8070935010910034,0.725105881690979,3.8401222229003906,0.8838959336280823,0.0001,0.0,9.246,0.796,6.7546
113,stage1,0,0.7776336669921875,0.7314422726631165,3.7055957317352295,0.85174560546875,0.0001,0.0,9.248,0.7742,0.2976
114,stage1,0,0.7776868343353271,0.7346211671829224,3.581233501434326,0.8493114709854126,0.0001,0.0,9.246,0.7859,0.2959
115,stage1,0,0.7261353731155396,0.7143006920814514,3.3052546977996826,0.7922404408454895,0.0001,0.0,9.248,0.8297,0.2967
116,stage1,0,0.8187769651412964,0.7133343815803528,3.692803144454956,0.8926330208778381,0.0001,0.0,9.246,0.8215,0.2955
117,stage1,0,0.6724119186401367,0.7009471654891968,2.785003662109375,0.728111982345581,0.0001,0.0,9.248,1.3976,0.2979
118,stage1,0,0.708928108215332,0.6980965733528137,2.9081883430480957,0.7670918703079224,0.0001,0.0,9.246,0.8365,0.2963
119,stage1,0,0.7466914653778076,0.7416855096817017,3.669478178024292,0.8200809955596924,0.0001,0.0,9.248,1.2078,0.2978
120,stage1,0,0.6118083596229553,0.7056789398193359,3.0886363983154297,0.673581063747406,0.0001,0.0,9.246,0.8345,6.6285
121,stage1,0,0.7155905365943909,0.7173459529876709,3.1162185668945312,0.7779148817062378,0.0001,0.0,9.248,0.8611,0.2961
122,stage1,0,0.7485657334327698,0.7282324433326721,3.0249691009521484,0.8090651035308838,0.0001,0.0,9.246,0.6062,0.2947
123,stage1,0,0.6348822116851807,0.6688942909240723,2.949946165084839,0.6938811540603638,0.0001,0.0,9.248,1.1277,0.2979
124,stage1,0,0.8272960186004639,0.7375442981719971,3.6641664505004883,0.9005793333053589,0.0001,0.0,9.246,0.6595,0.2963
125,stage1,0,0.7404253482818604,0.7095215916633606,3.505556106567383,0.8105364441871643,0.0001,0.0,9.248,0.9613,0.2981
126,stage1,0,0.7445292472839355,0.7225242853164673,3.2439022064208984,0.8094072937965393,0.0001,0.0,9.246,0.6467,0.2963
127,stage1,0,0.7001619338989258,0.7189455032348633,3.3604819774627686,0.7673715949058533,0.0001,0.0,9.248,0.9553,0.2971
128,stage1,0,0.7521219849586487,0.7470192909240723,3.171464681625366,0.8155512809753418,0.0001,0.0,9.246,1.0548,6.776
129,stage1,0,0.7775273323059082,0.7121593356132507,3.510664701461792,0.847740650177002,0.0001,0.0,9.248,0.9082,0.2932
130,stage1,0,0.7195680737495422,0.6833956241607666,2.8886497020721436,0.7773410677909851,0.0001,0.0,9.246,1.293,0.3008
131,stage1,0,0.6576132774353027,0.676851212978363,2.885232448577881,0.7153179049491882,0.0001,0.0,9.248,0.974,0.295
132,stage1,0,0.741412341594696,0.7055672407150269,3.1454055309295654,0.8043204545974731,0.0001,0.0,9.246,0.8536,0.2936
133,stage1,0,0.7936049103736877,0.7279132008552551,3.427293300628662,0.8621507883071899,0.0001,0.0,9.248,0.5724,0.2941
134,stage1,0,0.5721242427825928,0.6734859943389893,2.296825408935547,0.6180607676506042,0.0001,0.0,9.246,0.862,0.3015
135,stage1,0,0.7618147730827332,0.6982540488243103,3.309185028076172,0.8279984593391418,0.0001,0.0,9.248,0.574,0.2942
136,stage1,0,0.6845283508300781,0.6872196793556213,3.34625244140625,0.7514533996582031,0.0001,0.0,9.246,0.9429,6.7154
137,stage1,0,0.5694254636764526,0.6523464322090149,2.912541389465332,0.6276763081550598,0.0001,0.0,9.248,0.5778,0.2931
138,stage1,0,0.7228195667266846,0.7054569125175476,2.8574295043945312,0.7799681425094604,0.0001,0.0,9.246,1.0166,0.2955
139,stage1,0,0.7622785568237305,0.7248164415359497,3.2769429683685303,0.827817440032959,0.0001,0.0,9.248,1.3497,0.3008
140,stage1,0,0.7118456363677979,0.6812078356742859,3.388340711593628,0.7796124219894409,0.0001,0.0,9.246,0.6851,0.3002
141,stage1,0,0.6276289224624634,0.6845715045928955,2.9699437618255615,0.6870278120040894,0.0001,0.0,9.248,0.5893,0.2955
142,stage1,0,0.6684749126434326,0.7022584080696106,2.773833751678467,0.7239515781402588,0.0001,0.0,9.246,1.4372,0.3008
143,stage1,0,0.7143654823303223,0.6967940330505371,3.0941407680511475,0.7762482762336731,0.0001,0.0,9.248,1.2199,0.2918
144,stage1,0,0.7104501724243164,0.7169731855392456,2.994105815887451,0.7703322768211365,0.0001,0.0,9.246,1.1243,6.7122
145,stage1,0,0.6585665345191956,0.6964877247810364,2.860234022140503,0.7157711982727051,0.0001,0.0,9.248,1.3409,0.3015
146,stage1,0,0.7411099076271057,0.7167408466339111,2.7139134407043457,0.7953881621360779,0.0001,0.0,9.246,1.3602,0.2932
147,stage1,0,0.7752373814582825,0.6980546712875366,2.636540412902832,0.827968180179596,0.0001,0.0,9.248,1.2308,0.2947
148,stage1,0,0.6199058294296265,0.6551322340965271,2.414881467819214,0.6682034730911255,0.0001,0.0,9.246,1.1961,0.2999
149,stage1,0,0.594127357006073,0.6653053760528564,2.5903260707855225,0.6459338665008545,0.0001,0.0,9.248,0.8983,0.3018
150,stage1,0,0.75277179479599,0.7433708906173706,3.217996120452881,0.8171316981315613,0.0001,0.0,9.246,1.6505,0.2949
151,stage1,0,0.6739859580993652,0.7106276750564575,3.02217173576355,0.7344294190406799,0.0001,0.0,9.248,1.1953,0.3009
152,stage1,0,0.6916701197624207,0.6859933137893677,2.837761640548706,0.7484253644943237,0.0001,0.0,9.246,1.4419,6.6329
153,stage1,0,0.6295830011367798,0.7033249735832214,2.5808610916137695,0.6812002062797546,0.0001,0.0,9.248,0.7832,0.295
154,stage1,0,0.6865342855453491,0.7053078413009644,2.4325437545776367,0.7351851463317871,0.0001,0.0,9.246,2.1775,0.2946
155,stage1,0,0.7174961566925049,0.7128543853759766,2.685818672180176,0.7712125182151794,0.0001,0.0,9.248,1.4959,0.3014
156,stage1,0,0.7103912234306335,0.7188253998756409,2.7546515464782715,0.7654842734336853,0.0001,0.0,9.246,2.1268,0.2943
157,stage1,0,0.6873829364776611,0.6968146562576294,3.1585729122161865,0.7505543828010559,0.0001,0.0,9.248,1.3094,0.3025
158,stage1,0,0.6312925219535828,0.689486026763916,2.796198606491089,0.6872165203094482,0.0001,0.0,9.246,1.782,0.3025
159,stage1,0,0.8286290764808655,0.6879755854606628,3.2274997234344482,0.8931790590286255,0.0001,0.0,9.248,1.7182,0.3014
160,stage1,0,0.6379261016845703,0.6735780239105225,2.665585994720459,0.6912378072738647,0.0001,0.0,9.246,1.2975,6.74
161,stage1,0,0.6117994785308838,0.6705770492553711,2.7196884155273438,0.6661932468414307,0.0001,0.0,9.248,1.9773,0.2946
162,stage1,0,0.6571871638298035,0.6647940278053284,2.5173416137695312,0.7075340151786804,0.0001,0.0,9.246,1.3649,0.2934
163,stage1,0,0.6363107562065125,0.67836993932724,2.8713226318359375,0.6937372088432312,0.0001,0.0,9.248,0.9027,0.2923
164,stage1,0,0.8389719724655151,0.7058492302894592,3.0083234310150146,0.8991384506225586,0.0001,0.0,9.246,1.0045,0.3042
165,stage1,0,0.5969794988632202,0.6726454496383667,2.3869824409484863,0.644719123840332,0.0001,0.0,9.248,1.259,0.302
166,stage1,0,0.6690356731414795,0.6616204977035522,2.5793118476867676,0.7206218838691711,0.0001,0.0,9.246,2.0418,0.2947
167,stage1,0,0.6653088927268982,0.6850153803825378,2.6282527446746826,0.7178739309310913,0.0001,0.0,9.248,1.698,0.3008
