[train] head=deeponet variant=baseline seed=0 out=deeponet_results/Long/runs/m3_s0
Warning: You are sending unauthenticated requests to the HF Hub. Please set a HF_TOKEN to enable higher rate limits and faster downloads.
WARNING:huggingface_hub.utils._http:Warning: You are sending unauthenticated requests to the HF Hub. Please set a HF_TOKEN to enable higher rate limits and faster downloads.
`torch_dtype` is deprecated! Use `dtype` instead!
WARNING:root:Missing key(s) when loading model: {'model.deeponet.pool.blocks.2.ln_q.weight', 'model.deeponet.out_mlp.2.bias', 'model.deeponet.pool.blocks.0.attn.out_proj.weight', 'model.deeponet.branch.0.weight', 'model.deeponet.pool.blocks.1.ln_kv.weight', 'model.deeponet.branch.0.bias', 'model.deeponet.pool.blocks.2.ln_kv.weight', 'model.deeponet.branch.1.bias', 'model.deeponet.pool.blocks.2.attn.out_proj.bias', 'model.deeponet.pool.blocks.0.ln_q.weight', 'model.deeponet.pool.blocks.2.attn.in_proj_weight', 'model.deeponet.pool.blocks.2.attn.in_proj_bias', 'model.deeponet.pool.blocks.0.attn.in_proj_weight', 'model.deeponet.pool.blocks.1.attn.out_proj.bias', 'model.deeponet.pool.blocks.1.ln_kv.bias', 'model.deeponet.pool.blocks.1.attn.in_proj_bias', 'model.deeponet.trunk.2.weight', 'model.deeponet.pool.blocks.0.ln2.weight', 'model.deeponet.pool.blocks.0.ff.2.weight', 'model.deeponet.pool.blocks.1.ff.0.weight', 'model.deeponet.pool.blocks.0.attn.in_proj_bias', 'model.deeponet.pool.blocks.2.ln2.bias', 'model.deeponet.pool.in_proj.bias', 'model.deeponet.pool.blocks.1.ff.2.weight', 'model.deeponet.trunk.0.bias', 'model.deeponet.pool.blocks.2.ln_kv.bias', 'model.deeponet.pool.blocks.0.ln_q.bias', 'model.deeponet.pool.queries', 'model.deeponet.out_mlp.0.weight', 'model.deeponet.pool.blocks.2.ff.2.bias', 'model.deeponet.pool.blocks.2.ln_q.bias', 'model.deeponet.pool.blocks.0.ff.0.weight', 'model.deeponet.pool.blocks.0.ln2.bias', 'model.deeponet.pool.blocks.2.ln2.weight', 'model.deeponet.pool.blocks.0.ln_kv.bias', 'model.deeponet.pool.blocks.2.ff.2.weight', 'model.deeponet.pool.blocks.1.attn.in_proj_weight', 'model.deeponet.pool.blocks.1.ln2.bias', 'model.deeponet.trunk.4.bias', 'model.deeponet.pool.blocks.1.ln2.weight', 'model.deeponet.out_mlp.0.bias', 'model.deeponet.trunk.0.weight', 'model.deeponet.pool.blocks.0.ff.0.bias', 'model.deeponet.pool.blocks.1.attn.out_proj.weight', 'model.deeponet.pool.blocks.1.ff.0.bias', 'model.deeponet.pool.blocks.2.attn.out_proj.weight', 'model.deeponet.pool.in_proj.weight', 'model.deeponet.pool.blocks.1.ff.2.bias', 'model.deeponet.pool.blocks.0.attn.out_proj.bias', 'model.deeponet.pool.blocks.0.ln_kv.weight', 'model.deeponet.pool.blocks.2.ff.0.bias', 'model.deeponet.trunk.2.bias', 'model.deeponet.pool.blocks.2.ff.0.weight', 'model.deeponet.pool.blocks.0.ff.2.bias', 'model.deeponet.branch.3.bias', 'model.deeponet.pool.blocks.1.ln_q.bias', 'model.deeponet.branch.3.weight', 'model.deeponet.out_mlp.2.weight', 'model.deeponet.branch.1.weight', 'model.deeponet.pool.blocks.1.ln_q.weight', 'model.deeponet.trunk.4.weight', 'model.deeponet.out_bias'}
Loading  HuggingFaceTB/SmolVLM2-500M-Video-Instruct weights ...
Reducing the number of VLM layers to 16 ...
Loading  HuggingFaceTB/SmolVLM2-500M-Video-Instruct weights ...
Reducing the number of VLM layers to 16 ...
[train] dataset frames=101469 episodes=379 -> 1 epoch = 2114 steps @ batch 48
[train] planned frames seen = 1440000 = 14.19 epochs

=== stage1 | steps=1650 batch=48 trainable: head=10.40M backbone=0.0M ===
[stage1] step    199 | mse=0.8256 L1=0.6801 PH=0.0000 total=0.8256 | VRAM=9.5GB | 0.277s/it
[stage1] step    399 | mse=0.6191 L1=0.5921 PH=0.0000 total=0.6191 | VRAM=9.5GB | 0.277s/it
[stage1] step    599 | mse=0.4880 L1=0.5238 PH=0.0000 total=0.4880 | VRAM=9.5GB | 0.278s/it
[stage1] step    799 | mse=0.4252 L1=0.4883 PH=0.0000 total=0.4252 | VRAM=9.5GB | 0.278s/it
[stage1] step    999 | mse=0.4021 L1=0.4730 PH=0.0000 total=0.4021 | VRAM=9.5GB | 0.277s/it
[stage1] step   1199 | mse=0.3832 L1=0.4613 PH=0.0000 total=0.3832 | VRAM=9.5GB | 0.277s/it
[stage1] step   1399 | mse=0.3620 L1=0.4508 PH=0.0000 total=0.3620 | VRAM=9.5GB | 0.277s/it
[stage1] step   1599 | mse=0.3541 L1=0.4429 PH=0.0000 total=0.3541 | VRAM=9.5GB | 0.278s/it
[ckpt] saved -> deeponet_results/Long/runs/m3_s0/checkpoints/1650  (EMA weights)

=== stage2 | steps=28350 batch=48 trainable: head=10.40M backbone=350.2M ===
[stage2] step   1849 | mse=0.3300 L1=0.4281 PH=0.0000 total=0.3300 | VRAM=50.3GB | 0.636s/it
[stage2] step   2049 | mse=0.3277 L1=0.4249 PH=0.0000 total=0.3277 | VRAM=50.3GB | 0.636s/it
[stage2] step   2249 | mse=0.3129 L1=0.4187 PH=0.0000 total=0.3129 | VRAM=50.3GB | 0.636s/it
[stage2] step   2449 | mse=0.3061 L1=0.4142 PH=0.0000 total=0.3061 | VRAM=50.3GB | 0.638s/it
[stage2] step   2649 | mse=0.2906 L1=0.4052 PH=0.0000 total=0.2906 | VRAM=50.3GB | 0.634s/it
[stage2] step   2849 | mse=0.2796 L1=0.3983 PH=0.0000 total=0.2796 | VRAM=50.3GB | 0.634s/it
[stage2] step   3049 | mse=0.2733 L1=0.3935 PH=0.0000 total=0.2733 | VRAM=50.3GB | 0.635s/it
[stage2] step   3249 | mse=0.2617 L1=0.3872 PH=0.0000 total=0.2617 | VRAM=50.3GB | 0.636s/it
[stage2] step   3449 | mse=0.2544 L1=0.3832 PH=0.0000 total=0.2544 | VRAM=50.3GB | 0.636s/it
[stage2] step   3649 | mse=0.2451 L1=0.3758 PH=0.0000 total=0.2451 | VRAM=50.3GB | 0.636s/it
[stage2] step   3849 | mse=0.2293 L1=0.3681 PH=0.0000 total=0.2293 | VRAM=50.3GB | 0.633s/it
[stage2] step   4049 | mse=0.2180 L1=0.3564 PH=0.0000 total=0.2180 | VRAM=50.3GB | 0.634s/it
[stage2] step   4249 | mse=0.2142 L1=0.3553 PH=0.0000 total=0.2142 | VRAM=50.3GB | 0.636s/it
[stage2] step   4449 | mse=0.2044 L1=0.3490 PH=0.0000 total=0.2044 | VRAM=50.3GB | 0.635s/it
[stage2] step   4649 | mse=0.1983 L1=0.3453 PH=0.0000 total=0.1983 | VRAM=50.3GB | 0.639s/it
[stage2] step   4849 | mse=0.1920 L1=0.3393 PH=0.0000 total=0.1920 | VRAM=50.3GB | 0.636s/it
[stage2] step   5049 | mse=0.1853 L1=0.3347 PH=0.0000 total=0.1853 | VRAM=50.3GB | 0.635s/it
[stage2] step   5249 | mse=0.1821 L1=0.3321 PH=0.0000 total=0.1821 | VRAM=50.3GB | 0.637s/it
[stage2] step   5449 | mse=0.1745 L1=0.3262 PH=0.0000 total=0.1745 | VRAM=50.3GB | 0.637s/it
[stage2] step   5649 | mse=0.1694 L1=0.3212 PH=0.0000 total=0.1694 | VRAM=50.3GB | 0.889s/it
[stage2] step   5849 | mse=0.1643 L1=0.3171 PH=0.0000 total=0.1643 | VRAM=50.3GB | 0.876s/it
[stage2] step   6049 | mse=0.1540 L1=0.3090 PH=0.0000 total=0.1540 | VRAM=50.3GB | 0.634s/it
[stage2] step   6249 | mse=0.1497 L1=0.3040 PH=0.0000 total=0.1497 | VRAM=50.3GB | 0.635s/it
[stage2] step   6449 | mse=0.1443 L1=0.3014 PH=0.0000 total=0.1443 | VRAM=50.3GB | 0.635s/it
[stage2] step   6649 | mse=0.1428 L1=0.2987 PH=0.0000 total=0.1428 | VRAM=50.3GB | 0.637s/it
[stage2] step   6849 | mse=0.1386 L1=0.2949 PH=0.0000 total=0.1386 | VRAM=50.3GB | 0.635s/it
[stage2] step   7049 | mse=0.1352 L1=0.2932 PH=0.0000 total=0.1352 | VRAM=50.3GB | 0.634s/it
[stage2] step   7249 | mse=0.1333 L1=0.2896 PH=0.0000 total=0.1333 | VRAM=50.3GB | 0.635s/it
[stage2] step   7449 | mse=0.1291 L1=0.2862 PH=0.0000 total=0.1291 | VRAM=50.3GB | 0.637s/it
[stage2] step   7649 | mse=0.1283 L1=0.2854 PH=0.0000 total=0.1283 | VRAM=50.3GB | 0.641s/it
[stage2] step   7849 | mse=0.1255 L1=0.2811 PH=0.0000 total=0.1255 | VRAM=50.3GB | 0.636s/it
[stage2] step   8049 | mse=0.1200 L1=0.2769 PH=0.0000 total=0.1200 | VRAM=50.3GB | 0.634s/it
[stage2] step   8249 | mse=0.1140 L1=0.2709 PH=0.0000 total=0.1140 | VRAM=50.3GB | 0.634s/it
[stage2] step   8449 | mse=0.1133 L1=0.2697 PH=0.0000 total=0.1133 | VRAM=50.3GB | 0.635s/it
