[train] head=deeponet variant=ph seed=0 out=deeponet_results/Long/runs/m4_s0
`torch_dtype` is deprecated! Use `dtype` instead!
Warning: You are sending unauthenticated requests to the HF Hub. Please set a HF_TOKEN to enable higher rate limits and faster downloads.
WARNING:huggingface_hub.utils._http:Warning: You are sending unauthenticated requests to the HF Hub. Please set a HF_TOKEN to enable higher rate limits and faster downloads.
WARNING:root:Missing key(s) when loading model: {'model.deeponet.pool.blocks.1.attn.out_proj.weight', 'model.deeponet.trunk.2.weight', 'model.deeponet.pool.blocks.1.attn.in_proj_bias', 'model.deeponet.pool.blocks.2.attn.out_proj.weight', 'model.deeponet.trunk.2.bias', 'model.deeponet.pool.blocks.2.attn.in_proj_weight', 'model.deeponet.pool.blocks.1.attn.in_proj_weight', 'model.deeponet.pool.blocks.2.ln_q.weight', 'model.deeponet.pool.blocks.2.ln2.bias', 'model.deeponet.pool.blocks.0.ln2.bias', 'model.deeponet.pool.blocks.1.attn.out_proj.bias', 'model.deeponet.pool.blocks.0.ff.0.bias', 'model.deeponet.pool.blocks.2.attn.in_proj_bias', 'model.deeponet.trunk.4.weight', 'model.deeponet.pool.blocks.2.ln_kv.weight', 'model.deeponet.trunk.4.bias', 'model.deeponet.pool.blocks.0.ff.0.weight', 'model.deeponet.pool.blocks.1.ln_q.bias', 'model.deeponet.pool.blocks.2.ff.0.weight', 'model.deeponet.branch.1.bias', 'model.deeponet.out_mlp.2.bias', 'model.deeponet.pool.blocks.0.ln2.weight', 'model.deeponet.pool.queries', 'model.deeponet.pool.in_proj.weight', 'model.deeponet.pool.blocks.1.ln_kv.weight', 'model.deeponet.pool.blocks.1.ln_kv.bias', 'model.deeponet.pool.blocks.2.ln_q.bias', 'model.deeponet.pool.blocks.1.ln2.bias', 'model.deeponet.pool.blocks.0.attn.in_proj_bias', 'model.deeponet.branch.1.weight', 'model.deeponet.branch.3.bias', 'model.deeponet.pool.blocks.1.ln2.weight', 'model.deeponet.pool.blocks.0.ln_q.bias', 'model.deeponet.out_mlp.0.weight', 'model.deeponet.pool.blocks.1.ff.0.weight', 'model.deeponet.pool.blocks.1.ff.2.weight', 'model.deeponet.pool.blocks.2.ff.2.weight', 'model.deeponet.branch.0.bias', 'model.deeponet.pool.blocks.2.attn.out_proj.bias', 'model.deeponet.pool.blocks.2.ff.0.bias', 'model.deeponet.pool.blocks.0.attn.out_proj.bias', 'model.deeponet.branch.3.weight', 'model.deeponet.pool.blocks.0.ln_q.weight', 'model.deeponet.pool.blocks.0.attn.out_proj.weight', 'model.deeponet.pool.in_proj.bias', 'model.deeponet.pool.blocks.2.ln_kv.bias', 'model.deeponet.pool.blocks.0.attn.in_proj_weight', 'model.deeponet.branch.0.weight', 'model.deeponet.pool.blocks.1.ff.0.bias', 'model.deeponet.pool.blocks.1.ln_q.weight', 'model.deeponet.pool.blocks.0.ff.2.weight', 'model.deeponet.out_mlp.2.weight', 'model.deeponet.pool.blocks.0.ln_kv.weight', 'model.deeponet.pool.blocks.2.ln2.weight', 'model.deeponet.out_mlp.0.bias', 'model.deeponet.trunk.0.weight', 'model.deeponet.trunk.0.bias', 'model.deeponet.pool.blocks.0.ff.2.bias', 'model.deeponet.pool.blocks.0.ln_kv.bias', 'model.deeponet.out_bias', 'model.deeponet.pool.blocks.1.ff.2.bias', 'model.deeponet.pool.blocks.2.ff.2.bias'}
Loading  HuggingFaceTB/SmolVLM2-500M-Video-Instruct weights ...
Reducing the number of VLM layers to 16 ...
Loading  HuggingFaceTB/SmolVLM2-500M-Video-Instruct weights ...
Reducing the number of VLM layers to 16 ...
[train] dataset frames=101469 episodes=379 -> 1 epoch = 2114 steps @ batch 48
[train] planned frames seen = 1440000 = 14.19 epochs

=== stage1 | steps=1650 batch=48 trainable: head=10.40M backbone=0.0M ===
[stage1] step    199 | mse=0.8455 L1=0.6898 PH=2.4748 total=0.8950 | VRAM=9.5GB | 0.278s/it
[stage1] step    399 | mse=0.6447 L1=0.6062 PH=1.7096 total=0.6788 | VRAM=9.5GB | 0.279s/it
[stage1] step    599 | mse=0.5066 L1=0.5345 PH=1.4695 total=0.5360 | VRAM=9.5GB | 0.279s/it
[stage1] step    799 | mse=0.4345 L1=0.4937 PH=1.2215 total=0.4590 | VRAM=9.5GB | 0.280s/it
[stage1] step    999 | mse=0.4068 L1=0.4763 PH=1.1335 total=0.4295 | VRAM=9.5GB | 0.279s/it
[stage1] step   1199 | mse=0.3863 L1=0.4629 PH=1.1170 total=0.4087 | VRAM=9.5GB | 0.277s/it
[stage1] step   1399 | mse=0.3659 L1=0.4520 PH=1.0554 total=0.3870 | VRAM=9.5GB | 0.279s/it
[stage1] step   1599 | mse=0.3560 L1=0.4433 PH=1.0187 total=0.3764 | VRAM=9.5GB | 0.278s/it
[ckpt] saved -> deeponet_results/Long/runs/m4_s0/checkpoints/1650  (EMA weights)

=== stage2 | steps=28350 batch=48 trainable: head=10.40M backbone=350.2M ===
[stage2] step   1849 | mse=0.3308 L1=0.4276 PH=0.9884 total=0.3506 | VRAM=50.3GB | 0.636s/it
[stage2] step   2049 | mse=0.3298 L1=0.4254 PH=0.9755 total=0.3493 | VRAM=50.3GB | 0.637s/it
[stage2] step   2249 | mse=0.3168 L1=0.4189 PH=0.9428 total=0.3357 | VRAM=50.3GB | 0.635s/it
[stage2] step   2449 | mse=0.3087 L1=0.4128 PH=0.9219 total=0.3272 | VRAM=50.3GB | 0.635s/it
[stage2] step   2649 | mse=0.2939 L1=0.4046 PH=0.8991 total=0.3119 | VRAM=50.3GB | 0.637s/it
[stage2] step   2849 | mse=0.2819 L1=0.3972 PH=0.8694 total=0.2992 | VRAM=50.3GB | 0.637s/it
[stage2] step   3049 | mse=0.2745 L1=0.3913 PH=0.8424 total=0.2914 | VRAM=50.3GB | 0.638s/it
[stage2] step   3249 | mse=0.2629 L1=0.3835 PH=0.8294 total=0.2795 | VRAM=50.3GB | 0.635s/it
[stage2] step   3449 | mse=0.2561 L1=0.3806 PH=0.8106 total=0.2723 | VRAM=50.3GB | 0.635s/it
[stage2] step   3649 | mse=0.2464 L1=0.3720 PH=0.7875 total=0.2621 | VRAM=50.3GB | 0.636s/it
[stage2] step   3849 | mse=0.2297 L1=0.3633 PH=0.7511 total=0.2447 | VRAM=50.3GB | 0.633s/it
[stage2] step   4049 | mse=0.2193 L1=0.3528 PH=0.7187 total=0.2336 | VRAM=50.3GB | 0.634s/it
[stage2] step   4249 | mse=0.2151 L1=0.3509 PH=0.7115 total=0.2293 | VRAM=50.3GB | 0.634s/it
[stage2] step   4449 | mse=0.2039 L1=0.3427 PH=0.6739 total=0.2174 | VRAM=50.3GB | 0.634s/it
[stage2] step   4649 | mse=0.1975 L1=0.3387 PH=0.6685 total=0.2109 | VRAM=50.3GB | 0.634s/it
[stage2] step   4849 | mse=0.1918 L1=0.3338 PH=0.6427 total=0.2047 | VRAM=50.3GB | 0.635s/it
[stage2] step   5049 | mse=0.1862 L1=0.3298 PH=0.6276 total=0.1987 | VRAM=50.3GB | 0.635s/it
[stage2] step   5249 | mse=0.1823 L1=0.3252 PH=0.6205 total=0.1947 | VRAM=50.3GB | 0.634s/it
[stage2] step   5449 | mse=0.1757 L1=0.3197 PH=0.6023 total=0.1877 | VRAM=50.3GB | 0.638s/it
[stage2] step   5649 | mse=0.1699 L1=0.3156 PH=0.5823 total=0.1815 | VRAM=50.3GB | 0.635s/it
[stage2] step   5849 | mse=0.1651 L1=0.3104 PH=0.5657 total=0.1764 | VRAM=50.3GB | 0.635s/it
[stage2] step   6049 | mse=0.1548 L1=0.3018 PH=0.5420 total=0.1656 | VRAM=50.3GB | 0.635s/it
[stage2] step   6249 | mse=0.1491 L1=0.2972 PH=0.5250 total=0.1596 | VRAM=50.3GB | 0.634s/it
