[train] head=deeponet variant=ph seed=0 out=deeponet_results/Object/runs/m4_s0
Warning: You are sending unauthenticated requests to the HF Hub. Please set a HF_TOKEN to enable higher rate limits and faster downloads.
WARNING:huggingface_hub.utils._http:Warning: You are sending unauthenticated requests to the HF Hub. Please set a HF_TOKEN to enable higher rate limits and faster downloads.
`torch_dtype` is deprecated! Use `dtype` instead!
WARNING:root:Missing key(s) when loading model: {'model.deeponet.trunk.4.weight', 'model.deeponet.pool.blocks.0.attn.in_proj_bias', 'model.deeponet.trunk.0.weight', 'model.deeponet.pool.blocks.0.ln_q.bias', 'model.deeponet.pool.blocks.1.ln_kv.bias', 'model.deeponet.pool.blocks.2.ff.2.bias', 'model.deeponet.pool.blocks.0.attn.out_proj.weight', 'model.deeponet.pool.blocks.1.attn.out_proj.weight', 'model.deeponet.pool.blocks.1.ln2.weight', 'model.deeponet.trunk.2.bias', 'model.deeponet.pool.blocks.2.ff.2.weight', 'model.deeponet.pool.blocks.2.ln_q.weight', 'model.deeponet.branch.3.bias', 'model.deeponet.pool.in_proj.bias', 'model.deeponet.pool.blocks.0.ln_q.weight', 'model.deeponet.branch.1.bias', 'model.deeponet.trunk.2.weight', 'model.deeponet.out_bias', 'model.deeponet.pool.blocks.0.ln2.weight', 'model.deeponet.out_mlp.2.bias', 'model.deeponet.pool.blocks.0.ff.0.weight', 'model.deeponet.pool.blocks.0.ff.2.weight', 'model.deeponet.pool.blocks.2.ln_kv.bias', 'model.deeponet.pool.blocks.2.ln2.bias', 'model.deeponet.branch.1.weight', 'model.deeponet.branch.3.weight', 'model.deeponet.pool.blocks.0.ln_kv.weight', 'model.deeponet.pool.blocks.1.ln2.bias', 'model.deeponet.pool.blocks.0.ln2.bias', 'model.deeponet.pool.blocks.2.attn.in_proj_weight', 'model.deeponet.trunk.0.bias', 'model.deeponet.pool.blocks.1.ff.0.bias', 'model.deeponet.pool.blocks.1.ln_kv.weight', 'model.deeponet.pool.blocks.0.ln_kv.bias', 'model.deeponet.pool.blocks.2.attn.in_proj_bias', 'model.deeponet.pool.blocks.2.attn.out_proj.bias', 'model.deeponet.pool.blocks.2.ff.0.weight', 'model.deeponet.out_mlp.2.weight', 'model.deeponet.out_mlp.0.bias', 'model.deeponet.pool.blocks.1.attn.in_proj_bias', 'model.deeponet.pool.in_proj.weight', 'model.deeponet.pool.blocks.1.attn.out_proj.bias', 'model.deeponet.pool.blocks.2.ln2.weight', 'model.deeponet.branch.0.weight', 'model.deeponet.pool.blocks.0.ff.0.bias', 'model.deeponet.pool.blocks.2.ln_q.bias', 'model.deeponet.pool.queries', 'model.deeponet.pool.blocks.1.attn.in_proj_weight', 'model.deeponet.branch.0.bias', 'model.deeponet.out_mlp.0.weight', 'model.deeponet.pool.blocks.1.ln_q.weight', 'model.deeponet.pool.blocks.2.ff.0.bias', 'model.deeponet.trunk.4.bias', 'model.deeponet.pool.blocks.2.attn.out_proj.weight', 'model.deeponet.pool.blocks.2.ln_kv.weight', 'model.deeponet.pool.blocks.0.ff.2.bias', 'model.deeponet.pool.blocks.1.ln_q.bias', 'model.deeponet.pool.blocks.1.ff.2.bias', 'model.deeponet.pool.blocks.0.attn.in_proj_weight', 'model.deeponet.pool.blocks.1.ff.2.weight', 'model.deeponet.pool.blocks.0.attn.out_proj.bias', 'model.deeponet.pool.blocks.1.ff.0.weight'}
Loading  HuggingFaceTB/SmolVLM2-500M-Video-Instruct weights ...
Reducing the number of VLM layers to 16 ...
Loading  HuggingFaceTB/SmolVLM2-500M-Video-Instruct weights ...
Reducing the number of VLM layers to 16 ...
[train] dataset frames=66984 episodes=454 -> 1 epoch = 1396 steps @ batch 48
[train] planned frames seen = 1440000 = 21.50 epochs

=== stage1 | steps=1650 batch=48 trainable: head=10.40M backbone=0.0M ===
[stage1] step    199 | mse=0.7194 L1=0.6554 PH=2.9513 total=0.7785 | VRAM=9.5GB | 0.278s/it
[stage1] step    399 | mse=0.4960 L1=0.5158 PH=1.4354 total=0.5247 | VRAM=9.5GB | 0.278s/it
[stage1] step    599 | mse=0.4347 L1=0.4741 PH=1.2472 total=0.4596 | VRAM=9.5GB | 0.279s/it
[stage1] step    799 | mse=0.3975 L1=0.4555 PH=1.2298 total=0.4221 | VRAM=9.5GB | 0.278s/it
[stage1] step    999 | mse=0.3763 L1=0.4449 PH=1.1937 total=0.4002 | VRAM=9.5GB | 0.279s/it
[stage1] step   1199 | mse=0.3557 L1=0.4355 PH=1.1568 total=0.3788 | VRAM=9.5GB | 0.278s/it
[stage1] step   1399 | mse=0.3414 L1=0.4281 PH=1.0958 total=0.3633 | VRAM=9.5GB | 0.278s/it
[stage1] step   1599 | mse=0.3273 L1=0.4227 PH=1.0809 total=0.3489 | VRAM=9.5GB | 0.277s/it
[ckpt] saved -> deeponet_results/Object/runs/m4_s0/checkpoints/1650  (EMA weights)

=== stage2 | steps=28350 batch=48 trainable: head=10.40M backbone=350.2M ===
[stage2] step   1849 | mse=0.3101 L1=0.4105 PH=1.0337 total=0.3307 | VRAM=50.3GB | 0.635s/it
[stage2] step   2049 | mse=0.3055 L1=0.4086 PH=1.0200 total=0.3259 | VRAM=50.3GB | 0.636s/it
[stage2] step   2249 | mse=0.2939 L1=0.4026 PH=0.9793 total=0.3135 | VRAM=50.3GB | 0.635s/it
[stage2] step   2449 | mse=0.2835 L1=0.3971 PH=0.9554 total=0.3026 | VRAM=50.3GB | 0.635s/it
[stage2] step   2649 | mse=0.2733 L1=0.3884 PH=0.9193 total=0.2916 | VRAM=50.3GB | 0.636s/it
[stage2] step   2849 | mse=0.2610 L1=0.3809 PH=0.8917 total=0.2788 | VRAM=50.3GB | 0.637s/it
[stage2] step   3049 | mse=0.2539 L1=0.3747 PH=0.8795 total=0.2715 | VRAM=50.3GB | 0.633s/it
[stage2] step   3249 | mse=0.2334 L1=0.3635 PH=0.8061 total=0.2495 | VRAM=50.3GB | 0.636s/it
[stage2] step   3449 | mse=0.2311 L1=0.3611 PH=0.8024 total=0.2471 | VRAM=50.3GB | 0.636s/it
[stage2] step   3649 | mse=0.2208 L1=0.3541 PH=0.7765 total=0.2363 | VRAM=50.3GB | 0.634s/it
[stage2] step   3849 | mse=0.2128 L1=0.3503 PH=0.7620 total=0.2281 | VRAM=50.3GB | 0.636s/it
[stage2] step   4049 | mse=0.2042 L1=0.3435 PH=0.7201 total=0.2186 | VRAM=50.3GB | 0.637s/it
[stage2] step   4249 | mse=0.1981 L1=0.3385 PH=0.7093 total=0.2123 | VRAM=50.3GB | 0.636s/it
[stage2] step   4449 | mse=0.1913 L1=0.3314 PH=0.6970 total=0.2052 | VRAM=50.3GB | 0.630s/it
[stage2] step   4649 | mse=0.1752 L1=0.3213 PH=0.6394 total=0.1880 | VRAM=50.3GB | 1.712s/it
[stage2] step   4849 | mse=0.1715 L1=0.3184 PH=0.6327 total=0.1842 | VRAM=50.3GB | 2.383s/it
[stage2] step   5049 | mse=0.1672 L1=0.3143 PH=0.6128 total=0.1795 | VRAM=50.3GB | 3.928s/it
[stage2] step   5249 | mse=0.1601 L1=0.3084 PH=0.5931 total=0.1720 | VRAM=50.3GB | 4.266s/it
[stage2] step   5449 | mse=0.1564 L1=0.3067 PH=0.5851 total=0.1681 | VRAM=50.3GB | 4.202s/it
[stage2] step   5649 | mse=0.1512 L1=0.3014 PH=0.5770 total=0.1628 | VRAM=50.3GB | 4.313s/it
[stage2] step   5849 | mse=0.1458 L1=0.2980 PH=0.5590 total=0.1570 | VRAM=50.3GB | 0.633s/it
[stage2] step   6049 | mse=0.1323 L1=0.2862 PH=0.5174 total=0.1426 | VRAM=50.3GB | 0.637s/it
[stage2] step   6249 | mse=0.1292 L1=0.2836 PH=0.5023 total=0.1393 | VRAM=50.3GB | 0.637s/it
