global_step,stage,dataset_epoch,flow_matching_loss,l1_loss,ph_loss,total_loss,lr_head,lr_backbone,vram_gb,grad_norm,step_time_s
0,stage1,0,0.8657227754592896,0.7335224151611328,0.0,0.8657227754592896,0.0001,0.0,9.342,0.1899,10.7211
1,stage1,0,0.8285603523254395,0.7103649377822876,0.0,0.8285603523254395,0.0001,0.0,9.474,0.1752,0.2609
2,stage1,0,0.8509439826011658,0.7144224643707275,0.0,0.8509439826011658,0.0001,0.0,9.473,0.165,0.2725
3,stage1,0,0.8437735438346863,0.7074636220932007,0.0,0.8437735438346863,0.0001,0.0,9.476,0.2489,0.2738
4,stage1,0,0.7862198948860168,0.7264689207077026,0.0,0.7862198948860168,0.0001,0.0,9.473,0.1052,0.2745
5,stage1,0,0.8117523193359375,0.7058683037757874,0.0,0.8117523193359375,0.0001,0.0,9.476,0.2178,0.2736
6,stage1,0,0.8705388307571411,0.7183319330215454,0.0,0.8705388307571411,0.0001,0.0,9.475,0.1628,0.2747
7,stage1,0,0.7724723815917969,0.7016988396644592,0.0,0.7724723815917969,0.0001,0.0,9.477,0.1416,0.2745
8,stage1,0,0.7600522041320801,0.6598020792007446,0.0,0.7600522041320801,0.0001,0.0,9.474,0.0975,6.1241
9,stage1,0,0.7414234280586243,0.6872431635856628,0.0,0.7414234280586243,0.0001,0.0,9.477,0.1331,0.2749
10,stage1,0,1.0289969444274902,0.767930269241333,0.0,1.0289969444274902,0.0001,0.0,9.474,0.1313,0.274
11,stage1,0,0.932615339756012,0.7503790259361267,0.0,0.932615339756012,0.0001,0.0,9.477,0.1627,0.2755
12,stage1,0,0.9413352608680725,0.7332784533500671,0.0,0.9413352608680725,0.0001,0.0,9.474,0.2142,0.274
13,stage1,0,0.8033943772315979,0.6987571120262146,0.0,0.8033943772315979,0.0001,0.0,9.477,0.1378,0.2751
14,stage1,0,0.7703806161880493,0.6682068109512329,0.0,0.7703806161880493,0.0001,0.0,9.474,0.0949,0.2742
15,stage1,0,0.7756064534187317,0.6801533102989197,0.0,0.7756064534187317,0.0001,0.0,9.477,0.0975,0.2745
16,stage1,0,0.7565916776657104,0.689393937587738,0.0,0.7565916776657104,0.0001,0.0,9.474,0.2073,6.9795
17,stage1,0,0.7413524389266968,0.6888391375541687,0.0,0.7413524389266968,0.0001,0.0,9.477,0.0815,0.2739
18,stage1,0,0.8119558095932007,0.7001080513000488,0.0,0.8119558095932007,0.0001,0.0,9.474,0.0725,0.2745
19,stage1,0,0.7864277958869934,0.6932002305984497,0.0,0.7864277958869934,0.0001,0.0,9.477,0.075,0.2752
20,stage1,0,0.7516546249389648,0.6794206500053406,0.0,0.7516546249389648,0.0001,0.0,9.474,0.1447,0.2752
21,stage1,0,0.9378244876861572,0.7353638410568237,0.0,0.9378244876861572,0.0001,0.0,9.477,0.0548,0.2753
22,stage1,0,0.7783623933792114,0.6942170262336731,0.0,0.7783623933792114,0.0001,0.0,9.474,0.0915,0.2748
23,stage1,0,0.9305464029312134,0.7358353734016418,0.0,0.9305464029312134,0.0001,0.0,9.477,0.0784,0.2747
24,stage1,0,0.8422470688819885,0.7176661491394043,0.0,0.8422470688819885,0.0001,0.0,9.474,0.0874,6.9136
25,stage1,0,0.7972414493560791,0.6995424628257751,0.0,0.7972414493560791,0.0001,0.0,9.477,0.0632,0.2747
26,stage1,0,0.8219788670539856,0.7024304270744324,0.0,0.8219788670539856,0.0001,0.0,9.474,0.1134,0.2749
27,stage1,0,0.7890365719795227,0.7062106728553772,0.0,0.7890365719795227,0.0001,0.0,9.477,0.1005,0.275
28,stage1,0,0.7317590713500977,0.6733503937721252,0.0,0.7317590713500977,0.0001,0.0,9.474,0.0884,0.2753
29,stage1,0,0.7233535647392273,0.703797459602356,0.0,0.7233535647392273,0.0001,0.0,9.477,0.0893,0.2747
30,stage1,0,0.7646372318267822,0.6892098784446716,0.0,0.7646372318267822,0.0001,0.0,9.474,0.0827,0.2752
31,stage1,0,0.644528865814209,0.6697969436645508,0.0,0.644528865814209,0.0001,0.0,9.477,0.0855,0.2752
32,stage1,0,0.7764439582824707,0.6741488575935364,0.0,0.7764439582824707,0.0001,0.0,9.474,0.0823,6.9484
33,stage1,0,0.8086636066436768,0.7154170870780945,0.0,0.8086636066436768,0.0001,0.0,9.477,0.0563,0.2743
34,stage1,0,0.8906938433647156,0.7356725335121155,0.0,0.8906938433647156,0.0001,0.0,9.474,0.1927,0.2753
35,stage1,0,0.7089197039604187,0.6854507327079773,0.0,0.7089197039604187,0.0001,0.0,9.477,0.0717,0.2761
36,stage1,0,0.8582258224487305,0.7014060616493225,0.0,0.8582258224487305,0.0001,0.0,9.474,0.0975,0.2752
37,stage1,0,0.7815120220184326,0.7012535929679871,0.0,0.7815120220184326,0.0001,0.0,9.477,0.0882,0.2759
38,stage1,0,0.6828967332839966,0.6807961463928223,0.0,0.6828967332839966,0.0001,0.0,9.474,0.1161,0.2748
39,stage1,0,0.7460924983024597,0.6504009366035461,0.0,0.7460924983024597,0.0001,0.0,9.477,0.1667,0.2749
40,stage1,0,0.7846531867980957,0.6884804964065552,0.0,0.7846531867980957,0.0001,0.0,9.474,0.1474,6.8185
41,stage1,0,0.8033555150032043,0.7166258692741394,0.0,0.8033555150032043,0.0001,0.0,9.477,0.3312,0.275
42,stage1,0,0.8518968820571899,0.713519811630249,0.0,0.8518968820571899,0.0001,0.0,9.474,0.2142,0.2762
43,stage1,0,0.8033598065376282,0.7013908624649048,0.0,0.8033598065376282,0.0001,0.0,9.477,0.7429,0.2761
44,stage1,0,0.882459282875061,0.7266511917114258,0.0,0.882459282875061,0.0001,0.0,9.474,0.3421,0.2753
45,stage1,0,0.6392785906791687,0.6426526308059692,0.0,0.6392785906791687,0.0001,0.0,9.477,0.1353,0.2752
46,stage1,0,0.7517932653427124,0.6986185312271118,0.0,0.7517932653427124,0.0001,0.0,9.474,0.7963,0.275
47,stage1,0,0.7478346228599548,0.7065501809120178,0.0,0.7478346228599548,0.0001,0.0,9.477,0.1712,0.2758
48,stage1,0,0.7208232879638672,0.6415554881095886,0.0,0.7208232879638672,0.0001,0.0,9.474,0.5068,6.7709
49,stage1,0,0.8997057676315308,0.7245448231697083,0.0,0.8997057676315308,0.0001,0.0,9.477,0.5982,0.2762
50,stage1,0,0.7646815776824951,0.6880709528923035,0.0,0.7646815776824951,0.0001,0.0,9.474,0.4222,0.2747
51,stage1,0,0.8413798809051514,0.7217954397201538,0.0,0.8413798809051514,0.0001,0.0,9.477,0.4897,0.2757
52,stage1,0,0.7377647161483765,0.6559598445892334,0.0,0.7377647161483765,0.0001,0.0,9.474,0.6167,0.2752
53,stage1,0,0.8064295053482056,0.718296468257904,0.0,0.8064295053482056,0.0001,0.0,9.477,0.6801,0.275
54,stage1,0,0.7397135496139526,0.6696536540985107,0.0,0.7397135496139526,0.0001,0.0,9.474,1.135,0.2752
55,stage1,0,0.6971076726913452,0.678986668586731,0.0,0.6971076726913452,0.0001,0.0,9.477,0.7174,0.2758
