[train] head=deeponet variant=ph seed=0 out=deeponet_results/Spatial/runs/m4_s0
Warning: You are sending unauthenticated requests to the HF Hub. Please set a HF_TOKEN to enable higher rate limits and faster downloads.
WARNING:huggingface_hub.utils._http:Warning: You are sending unauthenticated requests to the HF Hub. Please set a HF_TOKEN to enable higher rate limits and faster downloads.
`torch_dtype` is deprecated! Use `dtype` instead!
WARNING:root:Missing key(s) when loading model: {'model.deeponet.pool.blocks.2.ff.0.bias', 'model.deeponet.out_mlp.2.bias', 'model.deeponet.pool.blocks.2.attn.in_proj_bias', 'model.deeponet.out_mlp.2.weight', 'model.deeponet.pool.blocks.0.ln_kv.weight', 'model.deeponet.pool.blocks.1.attn.out_proj.bias', 'model.deeponet.out_bias', 'model.deeponet.pool.blocks.2.ln_kv.bias', 'model.deeponet.trunk.2.weight', 'model.deeponet.pool.blocks.0.ff.0.bias', 'model.deeponet.pool.blocks.2.ln2.weight', 'model.deeponet.out_mlp.0.bias', 'model.deeponet.pool.in_proj.bias', 'model.deeponet.pool.blocks.2.attn.in_proj_weight', 'model.deeponet.pool.blocks.1.attn.out_proj.weight', 'model.deeponet.pool.blocks.0.attn.out_proj.weight', 'model.deeponet.pool.blocks.0.ln2.bias', 'model.deeponet.trunk.4.bias', 'model.deeponet.branch.1.bias', 'model.deeponet.trunk.0.bias', 'model.deeponet.branch.3.bias', 'model.deeponet.pool.blocks.1.ln_kv.bias', 'model.deeponet.trunk.4.weight', 'model.deeponet.pool.blocks.1.ln_q.weight', 'model.deeponet.pool.blocks.0.ln2.weight', 'model.deeponet.branch.1.weight', 'model.deeponet.pool.blocks.0.attn.in_proj_weight', 'model.deeponet.pool.blocks.2.ln_q.weight', 'model.deeponet.pool.blocks.0.ln_q.bias', 'model.deeponet.pool.blocks.2.ln_kv.weight', 'model.deeponet.pool.blocks.0.ff.2.weight', 'model.deeponet.pool.blocks.0.ln_kv.bias', 'model.deeponet.pool.queries', 'model.deeponet.pool.blocks.1.ln2.weight', 'model.deeponet.pool.blocks.0.ln_q.weight', 'model.deeponet.pool.blocks.1.ff.0.weight', 'model.deeponet.pool.blocks.1.ff.0.bias', 'model.deeponet.pool.blocks.2.ln2.bias', 'model.deeponet.branch.0.bias', 'model.deeponet.pool.in_proj.weight', 'model.deeponet.pool.blocks.1.ff.2.bias', 'model.deeponet.pool.blocks.0.ff.2.bias', 'model.deeponet.pool.blocks.1.attn.in_proj_weight', 'model.deeponet.pool.blocks.2.attn.out_proj.bias', 'model.deeponet.pool.blocks.0.attn.in_proj_bias', 'model.deeponet.pool.blocks.1.ln2.bias', 'model.deeponet.pool.blocks.1.ln_kv.weight', 'model.deeponet.pool.blocks.1.ff.2.weight', 'model.deeponet.pool.blocks.2.ff.2.bias', 'model.deeponet.trunk.0.weight', 'model.deeponet.pool.blocks.2.ln_q.bias', 'model.deeponet.pool.blocks.1.ln_q.bias', 'model.deeponet.pool.blocks.1.attn.in_proj_bias', 'model.deeponet.branch.3.weight', 'model.deeponet.pool.blocks.2.ff.2.weight', 'model.deeponet.pool.blocks.2.attn.out_proj.weight', 'model.deeponet.branch.0.weight', 'model.deeponet.pool.blocks.2.ff.0.weight', 'model.deeponet.pool.blocks.0.ff.0.weight', 'model.deeponet.trunk.2.bias', 'model.deeponet.pool.blocks.0.attn.out_proj.bias', 'model.deeponet.out_mlp.0.weight'}
Loading  HuggingFaceTB/SmolVLM2-500M-Video-Instruct weights ...
Reducing the number of VLM layers to 16 ...
Loading  HuggingFaceTB/SmolVLM2-500M-Video-Instruct weights ...
Reducing the number of VLM layers to 16 ...
[train] dataset frames=52970 episodes=432 -> 1 epoch = 1104 steps @ batch 48
[train] planned frames seen = 1440000 = 27.19 epochs

=== stage1 | steps=1650 batch=48 trainable: head=10.40M backbone=0.0M ===
[stage1] step    199 | mse=0.7514 L1=0.7267 PH=2.5768 total=0.8030 | VRAM=9.5GB | 0.280s/it
[stage1] step    399 | mse=0.5118 L1=0.5801 PH=1.3533 total=0.5388 | VRAM=9.5GB | 1.739s/it
[stage1] step    599 | mse=0.4199 L1=0.5132 PH=1.1160 total=0.4423 | VRAM=9.5GB | 1.943s/it
[stage1] step    799 | mse=0.3790 L1=0.4856 PH=1.0409 total=0.3999 | VRAM=9.5GB | 1.951s/it
[stage1] step    999 | mse=0.3570 L1=0.4693 PH=0.9907 total=0.3768 | VRAM=9.5GB | 3.191s/it
[stage1] step   1199 | mse=0.3333 L1=0.4578 PH=0.9437 total=0.3522 | VRAM=9.5GB | 5.324s/it
[stage1] step   1399 | mse=0.3186 L1=0.4461 PH=0.9178 total=0.3370 | VRAM=9.5GB | 4.982s/it
[stage1] step   1599 | mse=0.3074 L1=0.4417 PH=0.9115 total=0.3256 | VRAM=9.5GB | 3.109s/it
[ckpt] saved -> deeponet_results/Spatial/runs/m4_s0/checkpoints/1650  (EMA weights)

=== stage2 | steps=28350 batch=48 trainable: head=10.40M backbone=350.2M ===
[stage2] step   1849 | mse=0.2859 L1=0.4287 PH=0.8658 total=0.3033 | VRAM=50.3GB | 0.640s/it
[stage2] step   2049 | mse=0.2726 L1=0.4213 PH=0.8317 total=0.2893 | VRAM=50.3GB | 0.640s/it
[stage2] step   2249 | mse=0.2588 L1=0.4140 PH=0.7993 total=0.2748 | VRAM=50.3GB | 0.641s/it
[stage2] step   2449 | mse=0.2345 L1=0.3985 PH=0.7475 total=0.2494 | VRAM=50.3GB | 0.641s/it
[stage2] step   2649 | mse=0.2173 L1=0.3872 PH=0.7158 total=0.2316 | VRAM=50.3GB | 0.640s/it
[stage2] step   2849 | mse=0.2016 L1=0.3766 PH=0.6644 total=0.2149 | VRAM=50.3GB | 4.627s/it
[stage2] step   3049 | mse=0.1836 L1=0.3651 PH=0.6161 total=0.1959 | VRAM=50.3GB | 3.813s/it
[stage2] step   3249 | mse=0.1720 L1=0.3563 PH=0.5886 total=0.1838 | VRAM=50.3GB | 2.280s/it
[stage2] step   3449 | mse=0.1632 L1=0.3478 PH=0.5701 total=0.1746 | VRAM=50.3GB | 2.617s/it
[stage2] step   3649 | mse=0.1543 L1=0.3402 PH=0.5465 total=0.1652 | VRAM=50.3GB | 3.089s/it
[stage2] step   3849 | mse=0.1459 L1=0.3339 PH=0.5191 total=0.1563 | VRAM=50.3GB | 3.196s/it
[stage2] step   4049 | mse=0.1333 L1=0.3224 PH=0.4803 total=0.1429 | VRAM=50.3GB | 0.636s/it
[stage2] step   4249 | mse=0.1278 L1=0.3165 PH=0.4644 total=0.1371 | VRAM=50.3GB | 0.637s/it
[stage2] step   4449 | mse=0.1233 L1=0.3119 PH=0.4615 total=0.1325 | VRAM=50.3GB | 0.638s/it
[stage2] step   4649 | mse=0.1199 L1=0.3065 PH=0.4403 total=0.1288 | VRAM=50.3GB | 0.638s/it
[stage2] step   4849 | mse=0.1167 L1=0.3040 PH=0.4297 total=0.1253 | VRAM=50.3GB | 0.638s/it
[stage2] step   5049 | mse=0.1098 L1=0.2968 PH=0.4108 total=0.1180 | VRAM=50.3GB | 0.638s/it
[stage2] step   5249 | mse=0.1041 L1=0.2898 PH=0.3941 total=0.1120 | VRAM=50.3GB | 0.639s/it
[stage2] step   5449 | mse=0.1030 L1=0.2876 PH=0.3870 total=0.1107 | VRAM=50.3GB | 0.638s/it
[stage2] step   5649 | mse=0.0983 L1=0.2835 PH=0.3825 total=0.1059 | VRAM=50.3GB | 0.640s/it
[stage2] step   5849 | mse=0.0975 L1=0.2832 PH=0.3737 total=0.1049 | VRAM=50.3GB | 2.913s/it
[stage2] step   6049 | mse=0.0947 L1=0.2788 PH=0.3675 total=0.1021 | VRAM=50.3GB | 3.300s/it
[stage2] step   6249 | mse=0.0895 L1=0.2719 PH=0.3503 total=0.0965 | VRAM=50.3GB | 0.639s/it
