[train] head=deeponet variant=baseline seed=0 out=runs/abl_1blk_s0
`torch_dtype` is deprecated! Use `dtype` instead!
Loading  HuggingFaceTB/SmolVLM2-500M-Video-Instruct weights ...
Loading weights:   0%|          | 0/489 [00:00<?, ?it/s]Loading weights: 100%|██████████| 489/489 [00:00<00:00, 6585.56it/s]
Reducing the number of VLM layers to 16 ...
Loading  HuggingFaceTB/SmolVLM2-500M-Video-Instruct weights ...
Loading weights:   0%|          | 0/489 [00:00<?, ?it/s]Loading weights: 100%|██████████| 489/489 [00:00<00:00, 6457.24it/s]
WARNING:root:Missing key(s) when loading model: {'model.deeponet.trunk.4.bias', 'model.deeponet.pool.blocks.0.attn.in_proj_weight', 'model.deeponet.out_mlp.0.bias', 'model.deeponet.pool.blocks.0.ln_q.bias', 'model.deeponet.trunk.0.weight', 'model.deeponet.branch.0.bias', 'model.deeponet.out_mlp.2.bias', 'model.deeponet.branch.1.bias', 'model.deeponet.branch.3.weight', 'model.deeponet.pool.blocks.0.ln_kv.weight', 'model.deeponet.trunk.0.bias', 'model.deeponet.pool.blocks.0.attn.in_proj_bias', 'model.deeponet.pool.blocks.0.ff.0.bias', 'model.deeponet.pool.blocks.0.attn.out_proj.bias', 'model.deeponet.pool.blocks.0.ln_kv.bias', 'model.deeponet.pool.blocks.0.ln_q.weight', 'model.deeponet.branch.0.weight', 'model.deeponet.trunk.2.weight', 'model.deeponet.pool.blocks.0.ff.2.bias', 'model.deeponet.out_bias', 'model.deeponet.trunk.4.weight', 'model.deeponet.pool.blocks.0.ff.0.weight', 'model.deeponet.pool.in_proj.weight', 'model.deeponet.pool.blocks.0.ln2.weight', 'model.deeponet.pool.blocks.0.ff.2.weight', 'model.deeponet.out_mlp.2.weight', 'model.deeponet.pool.in_proj.bias', 'model.deeponet.branch.1.weight', 'model.deeponet.pool.blocks.0.attn.out_proj.weight', 'model.deeponet.pool.queries', 'model.deeponet.pool.blocks.0.ln2.bias', 'model.deeponet.trunk.2.bias', 'model.deeponet.branch.3.bias', 'model.deeponet.out_mlp.0.weight'}
Reducing the number of VLM layers to 16 ...
Fetching 4 files:   0%|          | 0/4 [00:00<?, ?it/s]Fetching 4 files: 100%|██████████| 4/4 [00:00<00:00, 8008.22it/s]
Fetching 4 files:   0%|          | 0/4 [00:00<?, ?it/s]Fetching 4 files: 100%|██████████| 4/4 [00:00<00:00, 4707.41it/s]
[train] dataset frames=52970 episodes=432 -> 1 epoch = 1104 steps @ batch 48
[train] planned frames seen = 398400 = 7.52 epochs

=== stage1 | steps=1650 batch=48 trainable: head=6.19M backbone=0.0M ===
[stage1] step    199 | mse=0.7277 L1=0.7135 PH=0.0000 total=0.7277 | VRAM=9.3GB | 0.275s/it
[stage1] step    399 | mse=0.4835 L1=0.5596 PH=0.0000 total=0.4835 | VRAM=9.3GB | 0.275s/it
[stage1] step    599 | mse=0.4018 L1=0.5032 PH=0.0000 total=0.4018 | VRAM=9.3GB | 0.279s/it
[stage1] step    799 | mse=0.3606 L1=0.4802 PH=0.0000 total=0.3606 | VRAM=9.3GB | 0.276s/it
[stage1] step    999 | mse=0.3435 L1=0.4694 PH=0.0000 total=0.3435 | VRAM=9.3GB | 0.276s/it
[stage1] step   1199 | mse=0.3244 L1=0.4568 PH=0.0000 total=0.3244 | VRAM=9.3GB | 6.845s/it
[stage1] step   1399 | mse=0.3090 L1=0.4483 PH=0.0000 total=0.3090 | VRAM=9.3GB | 4.585s/it
[stage1] step   1599 | mse=0.2936 L1=0.4367 PH=0.0000 total=0.2936 | VRAM=9.3GB | 3.252s/it
[ckpt] saved -> runs/abl_1blk_s0/checkpoints/1650  (EMA weights)

=== stage2 | steps=6650 batch=48 trainable: head=6.19M backbone=350.2M ===
[stage2] step   1849 | mse=0.2725 L1=0.4277 PH=0.0000 total=0.2725 | VRAM=50.1GB | 0.632s/it
[stage2] step   2049 | mse=0.2591 L1=0.4178 PH=0.0000 total=0.2591 | VRAM=50.1GB | 0.674s/it
[stage2] step   2249 | mse=0.2397 L1=0.4091 PH=0.0000 total=0.2397 | VRAM=50.1GB | 0.634s/it
[stage2] step   2449 | mse=0.2253 L1=0.3966 PH=0.0000 total=0.2253 | VRAM=50.1GB | 0.639s/it
[stage2] step   2649 | mse=0.2066 L1=0.3852 PH=0.0000 total=0.2066 | VRAM=50.1GB | 0.639s/it
[stage2] step   2849 | mse=0.1841 L1=0.3706 PH=0.0000 total=0.1841 | VRAM=50.1GB | 4.306s/it
[stage2] step   3049 | mse=0.1716 L1=0.3614 PH=0.0000 total=0.1716 | VRAM=50.1GB | 3.582s/it
[stage2] step   3249 | mse=0.1608 L1=0.3540 PH=0.0000 total=0.1608 | VRAM=50.1GB | 3.535s/it
[stage2] step   3449 | mse=0.1516 L1=0.3468 PH=0.0000 total=0.1516 | VRAM=50.1GB | 2.768s/it
[stage2] step   3649 | mse=0.1420 L1=0.3392 PH=0.0000 total=0.1420 | VRAM=50.1GB | 2.211s/it
[stage2] step   3849 | mse=0.1388 L1=0.3330 PH=0.0000 total=0.1388 | VRAM=50.1GB | 1.547s/it
[stage2] step   4049 | mse=0.1245 L1=0.3241 PH=0.0000 total=0.1245 | VRAM=50.1GB | 0.639s/it
[stage2] step   4249 | mse=0.1193 L1=0.3174 PH=0.0000 total=0.1193 | VRAM=50.1GB | 0.666s/it
