[train] head=deeponet variant=baseline seed=0 out=runs/abl_noF_s0
`torch_dtype` is deprecated! Use `dtype` instead!
Loading  HuggingFaceTB/SmolVLM2-500M-Video-Instruct weights ...
Loading weights:   0%|          | 0/489 [00:00<?, ?it/s]Loading weights:  57%|█████▋    | 277/489 [00:00<00:00, 2756.14it/s]Loading weights: 100%|██████████| 489/489 [00:00<00:00, 3377.61it/s]
Reducing the number of VLM layers to 16 ...
Loading  HuggingFaceTB/SmolVLM2-500M-Video-Instruct weights ...
Loading weights:   0%|          | 0/489 [00:00<?, ?it/s]Loading weights:  78%|███████▊  | 379/489 [00:00<00:00, 3758.59it/s]Loading weights: 100%|██████████| 489/489 [00:00<00:00, 4029.59it/s]
WARNING:root:Missing key(s) when loading model: {'model.deeponet.pool.blocks.0.ln_kv.bias', 'model.deeponet.pool.blocks.2.ln_q.weight', 'model.deeponet.pool.blocks.1.ff.0.weight', 'model.deeponet.out_mlp.0.weight', 'model.deeponet.pool.blocks.0.ln2.weight', 'model.deeponet.pool.blocks.1.ln2.weight', 'model.deeponet.pool.blocks.2.ln2.weight', 'model.deeponet.pool.blocks.2.ff.0.bias', 'model.deeponet.pool.blocks.2.attn.out_proj.weight', 'model.deeponet.branch.1.bias', 'model.deeponet.pool.blocks.1.ff.2.bias', 'model.deeponet.trunk.2.weight', 'model.deeponet.pool.blocks.0.ff.2.bias', 'model.deeponet.pool.blocks.1.ff.0.bias', 'model.deeponet.pool.blocks.0.attn.out_proj.bias', 'model.deeponet.out_bias', 'model.deeponet.pool.in_proj.bias', 'model.deeponet.branch.0.bias', 'model.deeponet.trunk.0.weight', 'model.deeponet.pool.blocks.2.ff.0.weight', 'model.deeponet.pool.blocks.2.ln_kv.weight', 'model.deeponet.branch.3.bias', 'model.deeponet.pool.blocks.2.ln_q.bias', 'model.deeponet.pool.blocks.1.ln_q.weight', 'model.deeponet.trunk.2.bias', 'model.deeponet.pool.blocks.2.ln2.bias', 'model.deeponet.trunk.4.weight', 'model.deeponet.pool.blocks.2.ff.2.bias', 'model.deeponet.pool.blocks.0.ln_q.weight', 'model.deeponet.pool.blocks.1.attn.in_proj_weight', 'model.deeponet.pool.blocks.1.ln_kv.bias', 'model.deeponet.pool.blocks.0.ff.0.bias', 'model.deeponet.pool.blocks.2.ln_kv.bias', 'model.deeponet.trunk.0.bias', 'model.deeponet.pool.blocks.0.attn.in_proj_bias', 'model.deeponet.out_mlp.2.weight', 'model.deeponet.pool.blocks.1.ln_kv.weight', 'model.deeponet.branch.3.weight', 'model.deeponet.pool.blocks.1.attn.in_proj_bias', 'model.deeponet.pool.blocks.0.ff.2.weight', 'model.deeponet.pool.blocks.1.ff.2.weight', 'model.deeponet.pool.blocks.2.attn.in_proj_weight', 'model.deeponet.pool.blocks.0.ln_q.bias', 'model.deeponet.pool.blocks.0.attn.out_proj.weight', 'model.deeponet.pool.blocks.0.attn.in_proj_weight', 'model.deeponet.pool.blocks.2.attn.in_proj_bias', 'model.deeponet.pool.blocks.2.attn.out_proj.bias', 'model.deeponet.out_mlp.2.bias', 'model.deeponet.branch.1.weight', 'model.deeponet.out_mlp.0.bias', 'model.deeponet.pool.blocks.1.ln_q.bias', 'model.deeponet.pool.blocks.0.ln_kv.weight', 'model.deeponet.branch.0.weight', 'model.deeponet.pool.blocks.2.ff.2.weight', 'model.deeponet.pool.queries', 'model.deeponet.pool.blocks.0.ln2.bias', 'model.deeponet.trunk.4.bias', 'model.deeponet.pool.blocks.1.attn.out_proj.weight', 'model.deeponet.pool.in_proj.weight', 'model.deeponet.pool.blocks.1.ln2.bias', 'model.deeponet.pool.blocks.0.ff.0.weight', 'model.deeponet.pool.blocks.1.attn.out_proj.bias'}
Reducing the number of VLM layers to 16 ...
Fetching 4 files:   0%|          | 0/4 [00:00<?, ?it/s]Fetching 4 files: 100%|██████████| 4/4 [00:00<00:00, 13389.64it/s]
Fetching 4 files:   0%|          | 0/4 [00:00<?, ?it/s]Fetching 4 files: 100%|██████████| 4/4 [00:00<00:00, 5348.17it/s]
[train] dataset frames=52970 episodes=432 -> 1 epoch = 1104 steps @ batch 48
[train] planned frames seen = 398400 = 7.52 epochs

=== stage1 | steps=1650 batch=48 trainable: head=10.39M backbone=0.0M ===
[stage1] step    199 | mse=0.7335 L1=0.7190 PH=0.0000 total=0.7335 | VRAM=9.5GB | 0.277s/it
[stage1] step    399 | mse=0.5199 L1=0.5803 PH=0.0000 total=0.5199 | VRAM=9.5GB | 0.288s/it
[stage1] step    599 | mse=0.4199 L1=0.5128 PH=0.0000 total=0.4199 | VRAM=9.5GB | 0.278s/it
[stage1] step    799 | mse=0.3857 L1=0.4926 PH=0.0000 total=0.3857 | VRAM=9.5GB | 0.278s/it
[stage1] step    999 | mse=0.3589 L1=0.4772 PH=0.0000 total=0.3589 | VRAM=9.5GB | 0.278s/it
[stage1] step   1199 | mse=0.3351 L1=0.4648 PH=0.0000 total=0.3351 | VRAM=9.5GB | 6.255s/it
[stage1] step   1399 | mse=0.3200 L1=0.4524 PH=0.0000 total=0.3200 | VRAM=9.5GB | 3.844s/it
[stage1] step   1599 | mse=0.3057 L1=0.4438 PH=0.0000 total=0.3057 | VRAM=9.5GB | 6.439s/it
[ckpt] saved -> runs/abl_noF_s0/checkpoints/1650  (EMA weights)

=== stage2 | steps=6650 batch=48 trainable: head=10.39M backbone=350.2M ===
[stage2] step   1849 | mse=0.2863 L1=0.4335 PH=0.0000 total=0.2863 | VRAM=50.3GB | 0.636s/it
[stage2] step   2049 | mse=0.2708 L1=0.4234 PH=0.0000 total=0.2708 | VRAM=50.3GB | 0.637s/it
[stage2] step   2249 | mse=0.2548 L1=0.4142 PH=0.0000 total=0.2548 | VRAM=50.3GB | 0.637s/it
[stage2] step   2449 | mse=0.2351 L1=0.4046 PH=0.0000 total=0.2351 | VRAM=50.3GB | 0.636s/it
[stage2] step   2649 | mse=0.2179 L1=0.3920 PH=0.0000 total=0.2179 | VRAM=50.3GB | 0.636s/it
[stage2] step   2849 | mse=0.1974 L1=0.3796 PH=0.0000 total=0.1974 | VRAM=50.3GB | 3.789s/it
[stage2] step   3049 | mse=0.1825 L1=0.3679 PH=0.0000 total=0.1825 | VRAM=50.3GB | 3.684s/it
[stage2] step   3249 | mse=0.1732 L1=0.3610 PH=0.0000 total=0.1732 | VRAM=50.3GB | 3.689s/it
[stage2] step   3449 | mse=0.1630 L1=0.3547 PH=0.0000 total=0.1630 | VRAM=50.3GB | 3.752s/it
[stage2] step   3649 | mse=0.1523 L1=0.3451 PH=0.0000 total=0.1523 | VRAM=50.3GB | 3.029s/it
[stage2] step   3849 | mse=0.1457 L1=0.3368 PH=0.0000 total=0.1457 | VRAM=50.3GB | 1.758s/it
[stage2] step   4049 | mse=0.1351 L1=0.3294 PH=0.0000 total=0.1351 | VRAM=50.3GB | 1.205s/it
[stage2] step   4249 | mse=0.1297 L1=0.3237 PH=0.0000 total=0.1297 | VRAM=50.3GB | 2.079s/it
[stage2] step   4449 | mse=0.1257 L1=0.3218 PH=0.0000 total=0.1257 | VRAM=50.3GB | 3.433s/it
[stage2] step   4649 | mse=0.1223 L1=0.3157 PH=0.0000 total=0.1223 | VRAM=50.3GB | 3.764s/it
[stage2] step   4849 | mse=0.1197 L1=0.3139 PH=0.0000 total=0.1197 | VRAM=50.3GB | 3.912s/it
[stage2] step   5049 | mse=0.1114 L1=0.3053 PH=0.0000 total=0.1114 | VRAM=50.3GB | 0.634s/it
[stage2] step   5249 | mse=0.1065 L1=0.3001 PH=0.0000 total=0.1065 | VRAM=50.3GB | 1.546s/it
[stage2] step   5449 | mse=0.1057 L1=0.2968 PH=0.0000 total=0.1057 | VRAM=50.3GB | 1.492s/it
[stage2] step   5649 | mse=0.1031 L1=0.2958 PH=0.0000 total=0.1031 | VRAM=50.3GB | 2.535s/it
[stage2] step   5849 | mse=0.0996 L1=0.2943 PH=0.0000 total=0.0996 | VRAM=50.3GB | 1.906s/it
[stage2] step   6049 | mse=0.0984 L1=0.2904 PH=0.0000 total=0.0984 | VRAM=50.3GB | 1.281s/it
[stage2] step   6249 | mse=0.0924 L1=0.2841 PH=0.0000 total=0.0924 | VRAM=50.3GB | 0.637s/it
[stage2] step   6449 | mse=0.0909 L1=0.2814 PH=0.0000 total=0.0909 | VRAM=50.3GB | 0.635s/it
[stage2] step   6649 | mse=0.0889 L1=0.2805 PH=0.0000 total=0.0889 | VRAM=50.3GB | 0.635s/it
[stage2] step   6849 | mse=0.0885 L1=0.2792 PH=0.0000 total=0.0885 | VRAM=50.3GB | 0.636s/it
[stage2] step   7049 | mse=0.0862 L1=0.2764 PH=0.0000 total=0.0862 | VRAM=50.3GB | 0.633s/it
