[train] head=deeponet variant=baseline seed=2 out=runs/abl_noF_s2
`torch_dtype` is deprecated! Use `dtype` instead!
Loading  HuggingFaceTB/SmolVLM2-500M-Video-Instruct weights ...
Loading weights:   0%|          | 0/489 [00:00<?, ?it/s]Loading weights: 100%|██████████| 489/489 [00:00<00:00, 6310.45it/s]
Reducing the number of VLM layers to 16 ...
Loading  HuggingFaceTB/SmolVLM2-500M-Video-Instruct weights ...
Loading weights:   0%|          | 0/489 [00:00<?, ?it/s]Loading weights: 100%|██████████| 489/489 [00:00<00:00, 6100.03it/s]
WARNING:root:Missing key(s) when loading model: {'model.deeponet.trunk.0.weight', 'model.deeponet.trunk.4.bias', 'model.deeponet.pool.blocks.1.ff.0.bias', 'model.deeponet.pool.queries', 'model.deeponet.branch.3.weight', 'model.deeponet.branch.0.weight', 'model.deeponet.trunk.2.bias', 'model.deeponet.pool.blocks.2.attn.out_proj.bias', 'model.deeponet.pool.blocks.2.ff.2.weight', 'model.deeponet.pool.blocks.0.attn.out_proj.bias', 'model.deeponet.branch.1.weight', 'model.deeponet.pool.blocks.2.ln2.weight', 'model.deeponet.pool.blocks.1.attn.in_proj_weight', 'model.deeponet.out_mlp.2.bias', 'model.deeponet.branch.3.bias', 'model.deeponet.pool.blocks.2.attn.in_proj_weight', 'model.deeponet.pool.blocks.0.attn.in_proj_weight', 'model.deeponet.pool.blocks.2.attn.out_proj.weight', 'model.deeponet.out_mlp.0.weight', 'model.deeponet.pool.blocks.0.ln2.weight', 'model.deeponet.pool.blocks.1.ln2.bias', 'model.deeponet.pool.blocks.1.attn.in_proj_bias', 'model.deeponet.out_mlp.0.bias', 'model.deeponet.pool.blocks.0.ff.0.bias', 'model.deeponet.pool.blocks.0.attn.out_proj.weight', 'model.deeponet.pool.blocks.0.ln2.bias', 'model.deeponet.pool.blocks.2.ln_kv.bias', 'model.deeponet.trunk.4.weight', 'model.deeponet.out_mlp.2.weight', 'model.deeponet.pool.blocks.2.ff.0.weight', 'model.deeponet.pool.blocks.1.ff.2.bias', 'model.deeponet.out_bias', 'model.deeponet.pool.blocks.0.ln_q.bias', 'model.deeponet.pool.blocks.0.ln_kv.weight', 'model.deeponet.pool.blocks.1.ln_kv.weight', 'model.deeponet.pool.blocks.2.ln_q.weight', 'model.deeponet.pool.blocks.2.ln_kv.weight', 'model.deeponet.pool.blocks.1.ln_q.weight', 'model.deeponet.pool.blocks.0.ln_q.weight', 'model.deeponet.pool.blocks.2.attn.in_proj_bias', 'model.deeponet.trunk.2.weight', 'model.deeponet.pool.blocks.2.ln_q.bias', 'model.deeponet.pool.blocks.2.ln2.bias', 'model.deeponet.branch.0.bias', 'model.deeponet.trunk.0.bias', 'model.deeponet.pool.in_proj.weight', 'model.deeponet.pool.blocks.1.attn.out_proj.weight', 'model.deeponet.pool.blocks.1.attn.out_proj.bias', 'model.deeponet.pool.blocks.1.ln_kv.bias', 'model.deeponet.pool.blocks.0.ff.0.weight', 'model.deeponet.pool.blocks.1.ln_q.bias', 'model.deeponet.pool.blocks.1.ff.2.weight', 'model.deeponet.pool.blocks.0.ln_kv.bias', 'model.deeponet.pool.blocks.2.ff.0.bias', 'model.deeponet.branch.1.bias', 'model.deeponet.pool.blocks.0.ff.2.bias', 'model.deeponet.pool.blocks.1.ff.0.weight', 'model.deeponet.pool.in_proj.bias', 'model.deeponet.pool.blocks.0.attn.in_proj_bias', 'model.deeponet.pool.blocks.2.ff.2.bias', 'model.deeponet.pool.blocks.1.ln2.weight', 'model.deeponet.pool.blocks.0.ff.2.weight'}
Reducing the number of VLM layers to 16 ...
Fetching 4 files:   0%|          | 0/4 [00:00<?, ?it/s]Fetching 4 files: 100%|██████████| 4/4 [00:00<00:00, 4700.82it/s]
Fetching 4 files:   0%|          | 0/4 [00:00<?, ?it/s]Fetching 4 files: 100%|██████████| 4/4 [00:00<00:00, 6607.80it/s]
[train] dataset frames=52970 episodes=432 -> 1 epoch = 1104 steps @ batch 48
[train] planned frames seen = 398400 = 7.52 epochs

=== stage1 | steps=1650 batch=48 trainable: head=10.39M backbone=0.0M ===
[stage1] step    199 | mse=0.7162 L1=0.7045 PH=0.0000 total=0.7162 | VRAM=9.5GB | 0.289s/it
[stage1] step    399 | mse=0.4892 L1=0.5571 PH=0.0000 total=0.4892 | VRAM=9.5GB | 0.290s/it
[stage1] step    599 | mse=0.4095 L1=0.5051 PH=0.0000 total=0.4095 | VRAM=9.5GB | 0.282s/it
[stage1] step    799 | mse=0.3739 L1=0.4813 PH=0.0000 total=0.3739 | VRAM=9.5GB | 0.311s/it
[stage1] step    999 | mse=0.3436 L1=0.4694 PH=0.0000 total=0.3436 | VRAM=9.5GB | 0.287s/it
[stage1] step   1199 | mse=0.3329 L1=0.4617 PH=0.0000 total=0.3329 | VRAM=9.5GB | 4.849s/it
[stage1] step   1399 | mse=0.3165 L1=0.4506 PH=0.0000 total=0.3165 | VRAM=9.5GB | 2.548s/it
[stage1] step   1599 | mse=0.3007 L1=0.4439 PH=0.0000 total=0.3007 | VRAM=9.5GB | 1.629s/it
[ckpt] saved -> runs/abl_noF_s2/checkpoints/1650  (EMA weights)

=== stage2 | steps=6650 batch=48 trainable: head=10.39M backbone=350.2M ===
[stage2] step   1849 | mse=0.2852 L1=0.4339 PH=0.0000 total=0.2852 | VRAM=50.3GB | 0.652s/it
[stage2] step   2049 | mse=0.2652 L1=0.4216 PH=0.0000 total=0.2652 | VRAM=50.3GB | 0.695s/it
[stage2] step   2249 | mse=0.2613 L1=0.4213 PH=0.0000 total=0.2613 | VRAM=50.3GB | 0.643s/it
[stage2] step   2449 | mse=0.2447 L1=0.4099 PH=0.0000 total=0.2447 | VRAM=50.3GB | 0.644s/it
[stage2] step   2649 | mse=0.2244 L1=0.3982 PH=0.0000 total=0.2244 | VRAM=50.3GB | 0.701s/it
[stage2] step   2849 | mse=0.2102 L1=0.3854 PH=0.0000 total=0.2102 | VRAM=50.3GB | 4.422s/it
[stage2] step   3049 | mse=0.1903 L1=0.3754 PH=0.0000 total=0.1903 | VRAM=50.3GB | 1.961s/it
[stage2] step   3249 | mse=0.1792 L1=0.3666 PH=0.0000 total=0.1792 | VRAM=50.3GB | 1.523s/it
[stage2] step   3449 | mse=0.1682 L1=0.3607 PH=0.0000 total=0.1682 | VRAM=50.3GB | 1.472s/it
[stage2] step   3649 | mse=0.1606 L1=0.3521 PH=0.0000 total=0.1606 | VRAM=50.3GB | 1.007s/it
[stage2] step   3849 | mse=0.1497 L1=0.3473 PH=0.0000 total=0.1497 | VRAM=50.3GB | 1.681s/it
[stage2] step   4049 | mse=0.1407 L1=0.3378 PH=0.0000 total=0.1407 | VRAM=50.3GB | 0.894s/it
[stage2] step   4249 | mse=0.1352 L1=0.3301 PH=0.0000 total=0.1352 | VRAM=50.3GB | 1.548s/it
[stage2] step   4449 | mse=0.1293 L1=0.3259 PH=0.0000 total=0.1293 | VRAM=50.3GB | 1.291s/it
[stage2] step   4649 | mse=0.1260 L1=0.3230 PH=0.0000 total=0.1260 | VRAM=50.3GB | 1.782s/it
[stage2] step   4849 | mse=0.1204 L1=0.3190 PH=0.0000 total=0.1204 | VRAM=50.3GB | 2.492s/it
[stage2] step   5049 | mse=0.1160 L1=0.3125 PH=0.0000 total=0.1160 | VRAM=50.3GB | 0.642s/it
[stage2] step   5249 | mse=0.1098 L1=0.3078 PH=0.0000 total=0.1098 | VRAM=50.3GB | 0.666s/it
[stage2] step   5449 | mse=0.1084 L1=0.3063 PH=0.0000 total=0.1084 | VRAM=50.3GB | 0.645s/it
[stage2] step   5649 | mse=0.1059 L1=0.3030 PH=0.0000 total=0.1059 | VRAM=50.3GB | 0.642s/it
[stage2] step   5849 | mse=0.1028 L1=0.2990 PH=0.0000 total=0.1028 | VRAM=50.3GB | 0.659s/it
[stage2] step   6049 | mse=0.0995 L1=0.2968 PH=0.0000 total=0.0995 | VRAM=50.3GB | 0.646s/it
[stage2] step   6249 | mse=0.0955 L1=0.2937 PH=0.0000 total=0.0955 | VRAM=50.3GB | 0.668s/it
[stage2] step   6449 | mse=0.0938 L1=0.2904 PH=0.0000 total=0.0938 | VRAM=50.3GB | 0.644s/it
[stage2] step   6649 | mse=0.0919 L1=0.2878 PH=0.0000 total=0.0919 | VRAM=50.3GB | 0.667s/it
[stage2] step   6849 | mse=0.0906 L1=0.2878 PH=0.0000 total=0.0906 | VRAM=50.3GB | 0.642s/it
