[train] head=deeponet variant=baseline seed=0 out=runs/abl_p64_s0
`torch_dtype` is deprecated! Use `dtype` instead!
Loading  HuggingFaceTB/SmolVLM2-500M-Video-Instruct weights ...
Loading weights:   0%|          | 0/489 [00:00<?, ?it/s]Loading weights:  71%|███████▏  | 349/489 [00:00<00:00, 3470.78it/s]Loading weights: 100%|██████████| 489/489 [00:00<00:00, 3869.23it/s]
Reducing the number of VLM layers to 16 ...
Loading  HuggingFaceTB/SmolVLM2-500M-Video-Instruct weights ...
Loading weights:   0%|          | 0/489 [00:00<?, ?it/s]Loading weights: 100%|██████████| 489/489 [00:00<00:00, 6681.42it/s]
WARNING:root:Missing key(s) when loading model: {'model.deeponet.pool.blocks.1.attn.in_proj_weight', 'model.deeponet.pool.blocks.0.ln_kv.weight', 'model.deeponet.branch.1.bias', 'model.deeponet.pool.blocks.1.ln_q.bias', 'model.deeponet.branch.3.bias', 'model.deeponet.pool.blocks.0.attn.in_proj_bias', 'model.deeponet.pool.blocks.1.attn.out_proj.bias', 'model.deeponet.pool.blocks.1.attn.out_proj.weight', 'model.deeponet.pool.blocks.1.ff.0.bias', 'model.deeponet.pool.in_proj.bias', 'model.deeponet.pool.blocks.2.attn.out_proj.bias', 'model.deeponet.pool.blocks.2.ln2.bias', 'model.deeponet.out_mlp.0.weight', 'model.deeponet.pool.blocks.0.attn.in_proj_weight', 'model.deeponet.pool.blocks.1.ff.2.weight', 'model.deeponet.pool.blocks.1.attn.in_proj_bias', 'model.deeponet.pool.in_proj.weight', 'model.deeponet.pool.blocks.0.ff.2.weight', 'model.deeponet.branch.1.weight', 'model.deeponet.trunk.4.bias', 'model.deeponet.pool.blocks.1.ln2.weight', 'model.deeponet.pool.blocks.0.ff.0.bias', 'model.deeponet.branch.0.bias', 'model.deeponet.trunk.4.weight', 'model.deeponet.pool.blocks.0.ff.0.weight', 'model.deeponet.pool.blocks.0.ln_q.weight', 'model.deeponet.pool.blocks.1.ff.0.weight', 'model.deeponet.pool.blocks.1.ln_kv.bias', 'model.deeponet.pool.blocks.2.ff.2.bias', 'model.deeponet.pool.blocks.1.ln_kv.weight', 'model.deeponet.pool.blocks.2.ln_kv.bias', 'model.deeponet.trunk.0.bias', 'model.deeponet.out_mlp.2.bias', 'model.deeponet.branch.0.weight', 'model.deeponet.pool.blocks.2.ln_q.weight', 'model.deeponet.pool.blocks.0.attn.out_proj.weight', 'model.deeponet.pool.blocks.1.ln2.bias', 'model.deeponet.pool.blocks.2.attn.out_proj.weight', 'model.deeponet.out_mlp.2.weight', 'model.deeponet.pool.blocks.2.attn.in_proj_bias', 'model.deeponet.trunk.2.bias', 'model.deeponet.pool.blocks.2.ln_kv.weight', 'model.deeponet.out_mlp.0.bias', 'model.deeponet.trunk.2.weight', 'model.deeponet.pool.blocks.1.ln_q.weight', 'model.deeponet.pool.blocks.0.attn.out_proj.bias', 'model.deeponet.pool.queries', 'model.deeponet.pool.blocks.2.ff.0.bias', 'model.deeponet.pool.blocks.0.ff.2.bias', 'model.deeponet.pool.blocks.0.ln2.bias', 'model.deeponet.pool.blocks.1.ff.2.bias', 'model.deeponet.pool.blocks.0.ln_q.bias', 'model.deeponet.pool.blocks.0.ln2.weight', 'model.deeponet.pool.blocks.2.ff.0.weight', 'model.deeponet.branch.3.weight', 'model.deeponet.pool.blocks.2.ff.2.weight', 'model.deeponet.pool.blocks.2.ln_q.bias', 'model.deeponet.pool.blocks.0.ln_kv.bias', 'model.deeponet.trunk.0.weight', 'model.deeponet.pool.blocks.2.ln2.weight', 'model.deeponet.out_bias', 'model.deeponet.pool.blocks.2.attn.in_proj_weight'}
Reducing the number of VLM layers to 16 ...
Fetching 4 files:   0%|          | 0/4 [00:00<?, ?it/s]Fetching 4 files: 100%|██████████| 4/4 [00:00<00:00, 8384.42it/s]
Fetching 4 files:   0%|          | 0/4 [00:00<?, ?it/s]Fetching 4 files: 100%|██████████| 4/4 [00:00<00:00, 19284.16it/s]
[train] dataset frames=52970 episodes=432 -> 1 epoch = 1104 steps @ batch 48
[train] planned frames seen = 398400 = 7.52 epochs

=== stage1 | steps=1650 batch=48 trainable: head=10.15M backbone=0.0M ===
[stage1] step    199 | mse=0.7464 L1=0.7252 PH=0.0000 total=0.7464 | VRAM=9.5GB | 0.277s/it
[stage1] step    399 | mse=0.4999 L1=0.5691 PH=0.0000 total=0.4999 | VRAM=9.5GB | 0.278s/it
[stage1] step    599 | mse=0.4039 L1=0.5058 PH=0.0000 total=0.4039 | VRAM=9.5GB | 0.279s/it
[stage1] step    799 | mse=0.3699 L1=0.4868 PH=0.0000 total=0.3699 | VRAM=9.5GB | 0.284s/it
[stage1] step    999 | mse=0.3479 L1=0.4733 PH=0.0000 total=0.3479 | VRAM=9.5GB | 0.278s/it
[stage1] step   1199 | mse=0.3281 L1=0.4590 PH=0.0000 total=0.3281 | VRAM=9.5GB | 4.432s/it
[stage1] step   1399 | mse=0.3113 L1=0.4543 PH=0.0000 total=0.3113 | VRAM=9.5GB | 5.207s/it
[stage1] step   1599 | mse=0.2970 L1=0.4442 PH=0.0000 total=0.2970 | VRAM=9.5GB | 7.571s/it
[ckpt] saved -> runs/abl_p64_s0/checkpoints/1650  (EMA weights)

=== stage2 | steps=6650 batch=48 trainable: head=10.15M backbone=350.2M ===
[stage2] step   1849 | mse=0.2768 L1=0.4317 PH=0.0000 total=0.2768 | VRAM=50.3GB | 0.642s/it
[stage2] step   2049 | mse=0.2613 L1=0.4222 PH=0.0000 total=0.2613 | VRAM=50.3GB | 0.642s/it
[stage2] step   2249 | mse=0.2424 L1=0.4125 PH=0.0000 total=0.2424 | VRAM=50.3GB | 0.642s/it
[stage2] step   2449 | mse=0.2278 L1=0.4057 PH=0.0000 total=0.2278 | VRAM=50.3GB | 0.643s/it
[stage2] step   2649 | mse=0.2092 L1=0.3918 PH=0.0000 total=0.2092 | VRAM=50.3GB | 0.641s/it
[stage2] step   2849 | mse=0.1905 L1=0.3803 PH=0.0000 total=0.1905 | VRAM=50.3GB | 4.242s/it
[stage2] step   3049 | mse=0.1772 L1=0.3710 PH=0.0000 total=0.1772 | VRAM=50.3GB | 3.167s/it
[stage2] step   3249 | mse=0.1698 L1=0.3662 PH=0.0000 total=0.1698 | VRAM=50.3GB | 1.135s/it
[stage2] step   3449 | mse=0.1608 L1=0.3578 PH=0.0000 total=0.1608 | VRAM=50.3GB | 0.642s/it
[stage2] step   3649 | mse=0.1528 L1=0.3519 PH=0.0000 total=0.1528 | VRAM=50.3GB | 0.643s/it
[stage2] step   3849 | mse=0.1461 L1=0.3466 PH=0.0000 total=0.1461 | VRAM=50.3GB | 0.639s/it
[stage2] step   4049 | mse=0.1341 L1=0.3370 PH=0.0000 total=0.1341 | VRAM=50.3GB | 0.641s/it
[stage2] step   4249 | mse=0.1301 L1=0.3355 PH=0.0000 total=0.1301 | VRAM=50.3GB | 0.639s/it
[stage2] step   4449 | mse=0.1268 L1=0.3304 PH=0.0000 total=0.1268 | VRAM=50.3GB | 0.639s/it
[stage2] step   4649 | mse=0.1221 L1=0.3261 PH=0.0000 total=0.1221 | VRAM=50.3GB | 0.639s/it
[stage2] step   4849 | mse=0.1208 L1=0.3241 PH=0.0000 total=0.1208 | VRAM=50.3GB | 0.638s/it
[stage2] step   5049 | mse=0.1144 L1=0.3209 PH=0.0000 total=0.1144 | VRAM=50.3GB | 0.639s/it
[stage2] step   5249 | mse=0.1094 L1=0.3146 PH=0.0000 total=0.1094 | VRAM=50.3GB | 0.636s/it
[stage2] step   5449 | mse=0.1084 L1=0.3115 PH=0.0000 total=0.1084 | VRAM=50.3GB | 0.637s/it
[stage2] step   5649 | mse=0.1048 L1=0.3109 PH=0.0000 total=0.1048 | VRAM=50.3GB | 0.640s/it
[stage2] step   5849 | mse=0.1043 L1=0.3096 PH=0.0000 total=0.1043 | VRAM=50.3GB | 0.640s/it
[stage2] step   6049 | mse=0.1013 L1=0.3046 PH=0.0000 total=0.1013 | VRAM=50.3GB | 0.641s/it
[stage2] step   6249 | mse=0.0967 L1=0.2999 PH=0.0000 total=0.0967 | VRAM=50.3GB | 0.637s/it
[stage2] step   6449 | mse=0.0950 L1=0.3004 PH=0.0000 total=0.0950 | VRAM=50.3GB | 0.640s/it
[stage2] step   6649 | mse=0.0946 L1=0.2973 PH=0.0000 total=0.0946 | VRAM=50.3GB | 0.641s/it
[stage2] step   6849 | mse=0.0905 L1=0.2972 PH=0.0000 total=0.0905 | VRAM=50.3GB | 0.639s/it
