env OK, cuda= True
[06-19 11:34:47] ==== DeepONet m3 + m4 campaign START (30K, batch 48; Spatial/Object/Long) ====
[06-19 11:34:47] TRAIN start  Spatial/m3  (deeponet/baseline) 30K
[train] head=deeponet variant=baseline seed=0 out=deeponet_results/Spatial/runs/m3_s0
Warning: You are sending unauthenticated requests to the HF Hub. Please set a HF_TOKEN to enable higher rate limits and faster downloads.
WARNING:huggingface_hub.utils._http:Warning: You are sending unauthenticated requests to the HF Hub. Please set a HF_TOKEN to enable higher rate limits and faster downloads.
`torch_dtype` is deprecated! Use `dtype` instead!
WARNING:root:Missing key(s) when loading model: {'model.deeponet.pool.in_proj.weight', 'model.deeponet.branch.0.bias', 'model.deeponet.pool.blocks.2.ln_kv.weight', 'model.deeponet.pool.blocks.2.ln_kv.bias', 'model.deeponet.pool.blocks.2.ln_q.weight', 'model.deeponet.pool.blocks.2.attn.in_proj_bias', 'model.deeponet.out_mlp.2.bias', 'model.deeponet.pool.blocks.0.ln2.weight', 'model.deeponet.branch.1.bias', 'model.deeponet.pool.in_proj.bias', 'model.deeponet.pool.blocks.0.attn.in_proj_bias', 'model.deeponet.pool.blocks.0.attn.out_proj.weight', 'model.deeponet.pool.blocks.0.ln2.bias', 'model.deeponet.pool.blocks.0.ln_q.weight', 'model.deeponet.pool.blocks.1.ff.2.bias', 'model.deeponet.trunk.0.bias', 'model.deeponet.pool.blocks.0.ln_q.bias', 'model.deeponet.pool.blocks.2.ln2.weight', 'model.deeponet.pool.blocks.1.ff.0.weight', 'model.deeponet.out_bias', 'model.deeponet.trunk.2.weight', 'model.deeponet.pool.blocks.2.ln_q.bias', 'model.deeponet.branch.1.weight', 'model.deeponet.trunk.2.bias', 'model.deeponet.pool.blocks.1.ln2.bias', 'model.deeponet.pool.blocks.0.ff.2.bias', 'model.deeponet.pool.blocks.1.ln_q.bias', 'model.deeponet.pool.blocks.1.ln2.weight', 'model.deeponet.pool.blocks.0.attn.in_proj_weight', 'model.deeponet.branch.0.weight', 'model.deeponet.pool.blocks.2.attn.in_proj_weight', 'model.deeponet.out_mlp.0.weight', 'model.deeponet.pool.queries', 'model.deeponet.pool.blocks.0.ln_kv.bias', 'model.deeponet.pool.blocks.1.ff.0.bias', 'model.deeponet.out_mlp.2.weight', 'model.deeponet.pool.blocks.1.attn.out_proj.bias', 'model.deeponet.trunk.4.bias', 'model.deeponet.out_mlp.0.bias', 'model.deeponet.pool.blocks.1.ln_kv.weight', 'model.deeponet.pool.blocks.2.ff.2.weight', 'model.deeponet.branch.3.weight', 'model.deeponet.pool.blocks.2.ff.0.bias', 'model.deeponet.pool.blocks.0.attn.out_proj.bias', 'model.deeponet.pool.blocks.2.ln2.bias', 'model.deeponet.pool.blocks.0.ff.0.weight', 'model.deeponet.pool.blocks.2.ff.0.weight', 'model.deeponet.pool.blocks.0.ln_kv.weight', 'model.deeponet.pool.blocks.1.ff.2.weight', 'model.deeponet.branch.3.bias', 'model.deeponet.pool.blocks.1.ln_kv.bias', 'model.deeponet.pool.blocks.2.attn.out_proj.bias', 'model.deeponet.pool.blocks.2.ff.2.bias', 'model.deeponet.pool.blocks.1.ln_q.weight', 'model.deeponet.trunk.0.weight', 'model.deeponet.trunk.4.weight', 'model.deeponet.pool.blocks.2.attn.out_proj.weight', 'model.deeponet.pool.blocks.0.ff.2.weight', 'model.deeponet.pool.blocks.1.attn.in_proj_bias', 'model.deeponet.pool.blocks.0.ff.0.bias', 'model.deeponet.pool.blocks.1.attn.out_proj.weight', 'model.deeponet.pool.blocks.1.attn.in_proj_weight'}
Loading  HuggingFaceTB/SmolVLM2-500M-Video-Instruct weights ...
Reducing the number of VLM layers to 16 ...
Loading  HuggingFaceTB/SmolVLM2-500M-Video-Instruct weights ...
Reducing the number of VLM layers to 16 ...
[train] dataset frames=52970 episodes=432 -> 1 epoch = 1104 steps @ batch 48
[train] planned frames seen = 1440000 = 27.19 epochs

=== stage1 | steps=1650 batch=48 trainable: head=10.40M backbone=0.0M ===
[stage1] step    199 | mse=0.7263 L1=0.7116 PH=0.0000 total=0.7263 | VRAM=9.5GB | 0.278s/it
[stage1] step    399 | mse=0.4783 L1=0.5526 PH=0.0000 total=0.4783 | VRAM=9.5GB | 0.294s/it
[stage1] step    599 | mse=0.4020 L1=0.5013 PH=0.0000 total=0.4020 | VRAM=9.5GB | 0.278s/it
[stage1] step    799 | mse=0.3673 L1=0.4797 PH=0.0000 total=0.3673 | VRAM=9.5GB | 0.278s/it
[stage1] step    999 | mse=0.3490 L1=0.4660 PH=0.0000 total=0.3490 | VRAM=9.5GB | 0.279s/it
[stage1] step   1199 | mse=0.3258 L1=0.4560 PH=0.0000 total=0.3258 | VRAM=9.5GB | 6.768s/it
[stage1] step   1399 | mse=0.3127 L1=0.4447 PH=0.0000 total=0.3127 | VRAM=9.5GB | 6.560s/it
[stage1] step   1599 | mse=0.3029 L1=0.4408 PH=0.0000 total=0.3029 | VRAM=9.5GB | 6.526s/it
[ckpt] saved -> deeponet_results/Spatial/runs/m3_s0/checkpoints/1650  (EMA weights)

=== stage2 | steps=28350 batch=48 trainable: head=10.40M backbone=350.2M ===
[stage2] step   1849 | mse=0.2814 L1=0.4274 PH=0.0000 total=0.2814 | VRAM=50.3GB | 0.640s/it
[stage2] step   2049 | mse=0.2681 L1=0.4192 PH=0.0000 total=0.2681 | VRAM=50.3GB | 0.640s/it
[stage2] step   2249 | mse=0.2534 L1=0.4117 PH=0.0000 total=0.2534 | VRAM=50.3GB | 0.640s/it
[stage2] step   2449 | mse=0.2315 L1=0.3982 PH=0.0000 total=0.2315 | VRAM=50.3GB | 0.639s/it
[stage2] step   2649 | mse=0.2139 L1=0.3863 PH=0.0000 total=0.2139 | VRAM=50.3GB | 0.641s/it
[stage2] step   2849 | mse=0.1975 L1=0.3769 PH=0.0000 total=0.1975 | VRAM=50.3GB | 3.866s/it
[stage2] step   3049 | mse=0.1782 L1=0.3629 PH=0.0000 total=0.1782 | VRAM=50.3GB | 3.856s/it
[stage2] step   3249 | mse=0.1674 L1=0.3559 PH=0.0000 total=0.1674 | VRAM=50.3GB | 3.560s/it
[stage2] step   3449 | mse=0.1588 L1=0.3481 PH=0.0000 total=0.1588 | VRAM=50.3GB | 3.845s/it
[stage2] step   3649 | mse=0.1496 L1=0.3417 PH=0.0000 total=0.1496 | VRAM=50.3GB | 3.883s/it
[stage2] step   3849 | mse=0.1411 L1=0.3366 PH=0.0000 total=0.1411 | VRAM=50.3GB | 3.629s/it
[stage2] step   4049 | mse=0.1293 L1=0.3260 PH=0.0000 total=0.1293 | VRAM=50.3GB | 0.638s/it
[stage2] step   4249 | mse=0.1240 L1=0.3199 PH=0.0000 total=0.1240 | VRAM=50.3GB | 0.638s/it
[stage2] step   4449 | mse=0.1193 L1=0.3170 PH=0.0000 total=0.1193 | VRAM=50.3GB | 0.640s/it
[stage2] step   4649 | mse=0.1160 L1=0.3118 PH=0.0000 total=0.1160 | VRAM=50.3GB | 0.639s/it
[stage2] step   4849 | mse=0.1127 L1=0.3093 PH=0.0000 total=0.1127 | VRAM=50.3GB | 0.640s/it
[stage2] step   5049 | mse=0.1056 L1=0.3034 PH=0.0000 total=0.1056 | VRAM=50.3GB | 0.637s/it
[stage2] step   5249 | mse=0.1008 L1=0.2970 PH=0.0000 total=0.1008 | VRAM=50.3GB | 0.639s/it
[stage2] step   5449 | mse=0.0992 L1=0.2967 PH=0.0000 total=0.0992 | VRAM=50.3GB | 0.639s/it
[stage2] step   5649 | mse=0.0950 L1=0.2931 PH=0.0000 total=0.0950 | VRAM=50.3GB | 0.639s/it
[stage2] step   5849 | mse=0.0929 L1=0.2918 PH=0.0000 total=0.0929 | VRAM=50.3GB | 0.639s/it
[stage2] step   6049 | mse=0.0906 L1=0.2889 PH=0.0000 total=0.0906 | VRAM=50.3GB | 0.639s/it
[stage2] step   6249 | mse=0.0854 L1=0.2811 PH=0.0000 total=0.0854 | VRAM=50.3GB | 0.639s/it
[stage2] step   6449 | mse=0.0852 L1=0.2823 PH=0.0000 total=0.0852 | VRAM=50.3GB | 0.639s/it
[stage2] step   6649 | mse=0.0821 L1=0.2788 PH=0.0000 total=0.0821 | VRAM=50.3GB | 0.640s/it
