global_step,stage,dataset_epoch,flow_matching_loss,l1_loss,ph_loss,total_loss,lr_head,lr_backbone,vram_gb,grad_norm,step_time_s
0,stage1,0,0.8410314917564392,0.7720905542373657,0.0,0.8410314917564392,0.0001,0.0,9.251,0.1031,10.7432
1,stage1,0,0.8753571510314941,0.7909700870513916,0.0,0.8753571510314941,0.0001,0.0,9.325,0.1246,0.2582
2,stage1,0,0.908976674079895,0.7967582941055298,0.0,0.908976674079895,0.0001,0.0,9.331,0.0907,0.2705
3,stage1,0,1.012423038482666,0.8313074111938477,0.0,1.012423038482666,0.0001,0.0,9.33,0.1587,0.2727
4,stage1,0,0.6798625588417053,0.7482179999351501,0.0,0.6798625588417053,0.0001,0.0,9.331,0.0928,0.2724
5,stage1,0,0.9332489371299744,0.7821719646453857,0.0,0.9332489371299744,0.0001,0.0,9.331,0.1261,0.2715
6,stage1,0,0.7805824279785156,0.7738425135612488,0.0,0.7805824279785156,0.0001,0.0,9.331,0.0941,0.272
7,stage1,0,0.8909775614738464,0.798414945602417,0.0,0.8909775614738464,0.0001,0.0,9.331,0.0894,0.2717
8,stage1,0,0.9475205540657043,0.8048607707023621,0.0,0.9475205540657043,0.0001,0.0,9.331,0.0799,6.1173
9,stage1,0,0.8491848111152649,0.7918854355812073,0.0,0.8491848111152649,0.0001,0.0,9.331,0.0705,0.2712
10,stage1,0,0.8145292401313782,0.7823825478553772,0.0,0.8145292401313782,0.0001,0.0,9.331,0.076,0.2716
11,stage1,0,0.8751217126846313,0.774786651134491,0.0,0.8751217126846313,0.0001,0.0,9.331,0.1423,0.2724
12,stage1,0,0.9270383715629578,0.7829933762550354,0.0,0.9270383715629578,0.0001,0.0,9.331,0.1072,0.2714
13,stage1,0,0.753591775894165,0.7745521664619446,0.0,0.753591775894165,0.0001,0.0,9.331,0.0991,0.2726
14,stage1,0,0.8585883975028992,0.7737535834312439,0.0,0.8585883975028992,0.0001,0.0,9.331,0.1101,0.2731
15,stage1,0,0.733626127243042,0.755582332611084,0.0,0.733626127243042,0.0001,0.0,9.331,0.1125,0.2731
16,stage1,0,0.9007362127304077,0.7825472950935364,0.0,0.9007362127304077,0.0001,0.0,9.331,0.0896,7.0037
17,stage1,0,0.8552056550979614,0.7736085653305054,0.0,0.8552056550979614,0.0001,0.0,9.331,0.0673,0.2714
18,stage1,0,0.8588359951972961,0.7779994606971741,0.0,0.8588359951972961,0.0001,0.0,9.331,0.1124,0.2721
19,stage1,0,0.7930566668510437,0.7620421051979065,0.0,0.7930566668510437,0.0001,0.0,9.331,0.1129,0.2733
20,stage1,0,0.8170456886291504,0.7704699635505676,0.0,0.8170456886291504,0.0001,0.0,9.331,0.1474,0.2725
21,stage1,0,0.7188325524330139,0.7729498147964478,0.0,0.7188325524330139,0.0001,0.0,9.331,0.0661,0.2729
22,stage1,0,0.8271780610084534,0.7382872700691223,0.0,0.8271780610084534,0.0001,0.0,9.331,0.1036,0.273
23,stage1,0,0.8618309497833252,0.7926278710365295,0.0,0.8618309497833252,0.0001,0.0,9.331,0.0688,0.2723
