global_step,stage,dataset_epoch,flow_matching_loss,l1_loss,ph_loss,total_loss,lr_head,lr_backbone,vram_gb,grad_norm,step_time_s
0,stage1,0,0.8661867380142212,0.7870921492576599,0.0,0.8661867380142212,0.0001,0.0,9.342,0.1994,10.6861
1,stage1,0,0.8725965023040771,0.767378032207489,0.0,0.8725965023040771,0.0001,0.0,9.473,0.0961,0.2674
2,stage1,0,0.8226824998855591,0.7767930626869202,0.0,0.8226824998855591,0.0001,0.0,9.473,0.1271,0.2802
3,stage1,0,0.8661406636238098,0.7554293870925903,0.0,0.8661406636238098,0.0001,0.0,9.476,0.072,0.28
4,stage1,0,0.8113870024681091,0.7732197046279907,0.0,0.8113870024681091,0.0001,0.0,9.473,0.1122,0.287
5,stage1,0,0.8514933586120605,0.7586634755134583,0.0,0.8514933586120605,0.0001,0.0,9.476,0.0821,0.2862
6,stage1,0,0.8280175924301147,0.7541093230247498,0.0,0.8280175924301147,0.0001,0.0,9.475,0.0791,0.281
7,stage1,0,0.8113152384757996,0.7343054413795471,0.0,0.8113152384757996,0.0001,0.0,9.477,0.1351,0.2802
8,stage1,0,0.793917179107666,0.7784900069236755,0.0,0.793917179107666,0.0001,0.0,9.474,0.0644,6.1405
9,stage1,0,0.787817120552063,0.7586367726325989,0.0,0.787817120552063,0.0001,0.0,9.477,0.0956,0.2807
10,stage1,0,0.8062817454338074,0.7488870620727539,0.0,0.8062817454338074,0.0001,0.0,9.474,0.0878,0.2801
11,stage1,0,0.9237654805183411,0.7655344605445862,0.0,0.9237654805183411,0.0001,0.0,9.477,0.0891,0.2883
12,stage1,0,0.7620342969894409,0.7655529975891113,0.0,0.7620342969894409,0.0001,0.0,9.474,0.1484,0.2764
13,stage1,0,0.8816044330596924,0.7868805527687073,0.0,0.8816044330596924,0.0001,0.0,9.477,0.1338,0.2798
14,stage1,0,0.7357015013694763,0.745448112487793,0.0,0.7357015013694763,0.0001,0.0,9.474,0.1338,0.3006
15,stage1,0,0.7901241779327393,0.7744894623756409,0.0,0.7901241779327393,0.0001,0.0,9.477,0.1186,0.2935
16,stage1,0,0.7766551971435547,0.7419569492340088,0.0,0.7766551971435547,0.0001,0.0,9.474,0.1627,7.046
17,stage1,0,0.7333683967590332,0.7421507835388184,0.0,0.7333683967590332,0.0001,0.0,9.477,0.0589,0.2834
18,stage1,0,0.7818900346755981,0.7675246596336365,0.0,0.7818900346755981,0.0001,0.0,9.474,0.1285,0.2852
19,stage1,0,0.7999882102012634,0.763398289680481,0.0,0.7999882102012634,0.0001,0.0,9.477,0.0871,0.2834
