global_step,stage,dataset_epoch,flow_matching_loss,l1_loss,ph_loss,total_loss,lr_head,lr_backbone,vram_gb,grad_norm,step_time_s
0,stage1,0,0.8066461682319641,0.7409020066261292,0.0,0.8066461682319641,0.0001,0.0,9.34,0.1187,11.1813
1,stage1,0,0.7908035516738892,0.7514604330062866,0.0,0.7908035516738892,0.0001,0.0,9.469,0.2228,0.2656
2,stage1,0,0.8073253631591797,0.7839909195899963,0.0,0.8073253631591797,0.0001,0.0,9.468,0.125,0.281
3,stage1,0,0.8087687492370605,0.7884975671768188,0.0,0.8087687492370605,0.0001,0.0,9.471,0.1484,0.2797
4,stage1,0,0.8122601509094238,0.7639359831809998,0.0,0.8122601509094238,0.0001,0.0,9.468,0.1498,0.2808
5,stage1,0,0.7713810205459595,0.7580413222312927,0.0,0.7713810205459595,0.0001,0.0,9.471,0.0974,0.2819
6,stage1,0,0.8045629858970642,0.7848129272460938,0.0,0.8045629858970642,0.0001,0.0,9.47,0.1148,0.2814
7,stage1,0,0.6866308450698853,0.742530107498169,0.0,0.6866308450698853,0.0001,0.0,9.472,0.1077,0.2749
8,stage1,0,0.8587685227394104,0.7551165819168091,0.0,0.8587685227394104,0.0001,0.0,9.469,0.087,6.2641
9,stage1,0,0.7442557215690613,0.7570136785507202,0.0,0.7442557215690613,0.0001,0.0,9.472,0.1697,0.2707
10,stage1,0,0.900385856628418,0.817951500415802,0.0,0.900385856628418,0.0001,0.0,9.469,0.0982,0.2799
11,stage1,0,0.8575999736785889,0.7707991600036621,0.0,0.8575999736785889,0.0001,0.0,9.472,0.1357,0.2918
12,stage1,0,0.8462660908699036,0.783126950263977,0.0,0.8462660908699036,0.0001,0.0,9.469,0.081,0.2922
13,stage1,0,0.8578543663024902,0.7953779697418213,0.0,0.8578543663024902,0.0001,0.0,9.472,0.1188,0.289
14,stage1,0,0.8196544647216797,0.7650758028030396,0.0,0.8196544647216797,0.0001,0.0,9.469,0.0708,0.2798
15,stage1,0,0.7488954067230225,0.7449169754981995,0.0,0.7488954067230225,0.0001,0.0,9.472,0.1143,0.2826
16,stage1,0,0.8336332440376282,0.7575128674507141,0.0,0.8336332440376282,0.0001,0.0,9.469,0.1041,7.3045
17,stage1,0,0.8289837837219238,0.7633528709411621,0.0,0.8289837837219238,0.0001,0.0,9.472,0.1461,0.2889
18,stage1,0,0.8644480109214783,0.7974584102630615,0.0,0.8644480109214783,0.0001,0.0,9.469,0.0595,0.2873
19,stage1,0,0.8476270437240601,0.7863256931304932,0.0,0.8476270437240601,0.0001,0.0,9.472,0.1035,0.2901
20,stage1,0,0.8268225789070129,0.7516627311706543,0.0,0.8268225789070129,0.0001,0.0,9.469,0.1363,0.2915
21,stage1,0,1.0378634929656982,0.8182342052459717,0.0,1.0378634929656982,0.0001,0.0,9.472,0.1414,0.2921
22,stage1,0,0.7793703675270081,0.7410436272621155,0.0,0.7793703675270081,0.0001,0.0,9.469,0.1137,0.2912
23,stage1,0,0.8496758937835693,0.7834898233413696,0.0,0.8496758937835693,0.0001,0.0,9.472,0.0737,0.2922
24,stage1,0,0.8001213669776917,0.7733025550842285,0.0,0.8001213669776917,0.0001,0.0,9.469,0.1597,7.3065
25,stage1,0,0.7723769545555115,0.7730072140693665,0.0,0.7723769545555115,0.0001,0.0,9.472,0.0692,0.2844
26,stage1,0,0.8334171772003174,0.7714011073112488,0.0,0.8334171772003174,0.0001,0.0,9.469,0.0515,0.2785
27,stage1,0,0.8172716498374939,0.7767501473426819,0.0,0.8172716498374939,0.0001,0.0,9.472,0.0726,0.2807
28,stage1,0,0.8576436638832092,0.7519931197166443,0.0,0.8576436638832092,0.0001,0.0,9.469,0.1426,0.2856
29,stage1,0,0.7500903606414795,0.7389029264450073,0.0,0.7500903606414795,0.0001,0.0,9.472,0.1276,0.2842
30,stage1,0,0.7821886539459229,0.7770283222198486,0.0,0.7821886539459229,0.0001,0.0,9.469,0.0847,0.2932
31,stage1,0,0.6918230652809143,0.7089565992355347,0.0,0.6918230652809143,0.0001,0.0,9.472,0.0688,0.2918
32,stage1,0,0.7293301820755005,0.7359744906425476,0.0,0.7293301820755005,0.0001,0.0,9.469,0.1594,7.3265
33,stage1,0,0.7747100591659546,0.7690194845199585,0.0,0.7747100591659546,0.0001,0.0,9.472,0.0418,0.307
34,stage1,0,0.831652820110321,0.7510566711425781,0.0,0.831652820110321,0.0001,0.0,9.469,0.1322,0.2774
35,stage1,0,0.7845088839530945,0.779614269733429,0.0,0.7845088839530945,0.0001,0.0,9.472,0.1323,0.2869
36,stage1,0,0.743655264377594,0.7355077266693115,0.0,0.743655264377594,0.0001,0.0,9.469,0.0636,0.277
37,stage1,0,0.8521986603736877,0.7913322448730469,0.0,0.8521986603736877,0.0001,0.0,9.472,0.1347,0.2882
38,stage1,0,0.8117285966873169,0.7681863903999329,0.0,0.8117285966873169,0.0001,0.0,9.469,0.1701,0.2855
39,stage1,0,0.8951024413108826,0.8026962280273438,0.0,0.8951024413108826,0.0001,0.0,9.472,0.1287,0.2818
40,stage1,0,0.8440244793891907,0.7695364952087402,0.0,0.8440244793891907,0.0001,0.0,9.469,0.086,7.3611
41,stage1,0,0.7807366847991943,0.7505697011947632,0.0,0.7807366847991943,0.0001,0.0,9.472,0.1215,0.2903
42,stage1,0,0.7893800139427185,0.7539538145065308,0.0,0.7893800139427185,0.0001,0.0,9.469,0.1022,0.2896
43,stage1,0,0.7723177671432495,0.7347492575645447,0.0,0.7723177671432495,0.0001,0.0,9.472,0.1226,0.288
44,stage1,0,0.693099856376648,0.7432645559310913,0.0,0.693099856376648,0.0001,0.0,9.469,0.1071,0.2861
45,stage1,0,0.8954588174819946,0.779938817024231,0.0,0.8954588174819946,0.0001,0.0,9.472,0.1641,0.2847
46,stage1,0,0.8320925235748291,0.7545786499977112,0.0,0.8320925235748291,0.0001,0.0,9.469,0.1169,0.2896
47,stage1,0,0.795685887336731,0.7499841451644897,0.0,0.795685887336731,0.0001,0.0,9.472,0.2106,0.2869
48,stage1,0,0.8115181922912598,0.7631033658981323,0.0,0.8115181922912598,0.0001,0.0,9.469,0.1842,7.1626
49,stage1,0,0.8523374199867249,0.753995418548584,0.0,0.8523374199867249,0.0001,0.0,9.472,0.14,0.2775
50,stage1,0,0.8886052370071411,0.7584404945373535,0.0,0.8886052370071411,0.0001,0.0,9.469,0.1515,0.2727
51,stage1,0,0.7180854678153992,0.7256698608398438,0.0,0.7180854678153992,0.0001,0.0,9.472,0.0712,0.2776
52,stage1,0,1.0003989934921265,0.8168241381645203,0.0,1.0003989934921265,0.0001,0.0,9.469,0.1068,0.2745
53,stage1,0,0.7728109955787659,0.7396708726882935,0.0,0.7728109955787659,0.0001,0.0,9.472,0.0926,0.2775
54,stage1,0,0.8814631700515747,0.7927488088607788,0.0,0.8814631700515747,0.0001,0.0,9.469,0.0933,0.274
55,stage1,0,0.9749769568443298,0.7952595949172974,0.0,0.9749769568443298,0.0001,0.0,9.472,0.1425,0.2766
56,stage1,0,0.8808757662773132,0.7781082391738892,0.0,0.8808757662773132,0.0001,0.0,9.469,0.0695,7.2853
