epoch_global_step,stage,logging_epoch,flow_matching_loss,l1_loss,ph_loss,total_loss,vram_gb
199,stage1,0,0.7183284509181976,0.7057976487278939,0.0,0.7183284509181976,9.469825
399,stage1,1,0.47371806830167773,0.5511809635162354,0.0,0.47371806830167773,9.4705
599,stage1,2,0.3972210232913494,0.504642096310854,0.0,0.3972210232913494,9.4705
799,stage1,3,0.3677852377295494,0.4857851158082485,0.0,0.3677852377295494,9.4705
999,stage1,4,0.34441367864608763,0.4708183300495148,0.0,0.34441367864608763,9.4705
1199,stage1,5,0.320626038312912,0.45778089463710786,0.0,0.320626038312912,9.4705
1399,stage1,6,0.30859147273004056,0.4521640031039715,0.0,0.30859147273004056,9.4705
1599,stage1,7,0.29440670281648634,0.44083296358585355,0.0,0.29440670281648634,9.4705
1849,stage2,9,0.27105712436139584,0.4287159138917923,0.0,0.27105712436139584,50.323975
2049,stage2,10,0.25796484619379045,0.4223602111637592,0.0,0.25796484619379045,50.331559999999996
2249,stage2,11,0.24436846815049648,0.4121948528289795,0.0,0.24436846815049648,50.327825000000004
2449,stage2,12,0.2280109392106533,0.4011427091062069,0.0,0.2280109392106533,50.32533
2649,stage2,13,0.21222806602716446,0.39205155447125434,0.0,0.21222806602716446,50.325860000000006
2849,stage2,14,0.19332387007772922,0.37913217052817344,0.0,0.19332387007772922,50.32576
3049,stage2,15,0.1796688810735941,0.37083906039595604,0.0,0.1796688810735941,50.326095
3249,stage2,16,0.1689663375914097,0.3637590974569321,0.0,0.1689663375914097,50.326125000000005
3449,stage2,17,0.15964065119624138,0.3566130800545216,0.0,0.15964065119624138,50.32525
3649,stage2,18,0.15384476378560066,0.3507254174351692,0.0,0.15384476378560066,50.326800000000006
3849,stage2,19,0.1466836951673031,0.3432443171739578,0.0,0.1466836951673031,50.325950000000006
4049,stage2,20,0.13523973427712918,0.33559042170643805,0.0,0.13523973427712918,50.32428
4249,stage2,21,0.13086236137896776,0.33154464468359945,0.0,0.13086236137896776,50.323035
4449,stage2,22,0.12698995105922223,0.3292218793928623,0.0,0.12698995105922223,50.323125
4649,stage2,23,0.12313501834869385,0.3251904033124447,0.0,0.12313501834869385,50.323385
4849,stage2,24,0.1196515379473567,0.3214420536160469,0.0,0.1196515379473567,50.323565
5049,stage2,25,0.11388370402157307,0.3135902453958988,0.0,0.11388370402157307,50.323155
5249,stage2,26,0.11015965443104506,0.31273859351873395,0.0,0.11015965443104506,50.32304
5449,stage2,27,0.10745685406029225,0.30997451543807986,0.0,0.10745685406029225,50.322030000000005
5649,stage2,28,0.10474563397467136,0.3083603854477406,0.0,0.10474563397467136,50.32313
5849,stage2,29,0.1027716050669551,0.3050154957175255,0.0,0.1027716050669551,50.3235
6049,stage2,30,0.10140530023723841,0.301674714833498,0.0,0.10140530023723841,50.32304
6249,stage2,31,0.09578529421240091,0.29648825749754903,0.0,0.09578529421240091,50.323315
6449,stage2,32,0.09407253924757242,0.29775125682353976,0.0,0.09407253924757242,50.323434999999996
6649,stage2,33,0.09264464385807514,0.2960263925790787,0.0,0.09264464385807514,50.32275
6849,stage2,34,0.0924335864931345,0.29472468465566637,0.0,0.0924335864931345,50.321580000000004
7049,stage2,35,0.09057716690003872,0.29146119236946105,0.0,0.09057716690003872,50.321904999999994
7249,stage2,36,0.08680536713451147,0.289324386715889,0.0,0.08680536713451147,50.323405
7449,stage2,37,0.0856375040858984,0.2876369196176529,0.0,0.0856375040858984,50.3225
7649,stage2,38,0.08472005512565374,0.28690176606178286,0.0,0.08472005512565374,50.32376
7849,stage2,39,0.08304910648614168,0.2837007270753384,0.0,0.08304910648614168,50.32275
8049,stage2,40,0.0812329162657261,0.2851223167032003,0.0,0.0812329162657261,50.321695
8249,stage2,41,0.08098303776234389,0.28112913079559804,0.0,0.08098303776234389,50.322095
