global_step,stage,dataset_epoch,flow_matching_loss,l1_loss,ph_loss,total_loss,lr_head,lr_backbone,vram_gb,grad_norm,step_time_s
0,stage1,0,0.8298007249832153,0.7674804925918579,0.0,0.8298007249832153,0.0001,0.0,9.342,0.1348,9.8892
1,stage1,0,0.8387094140052795,0.7973859906196594,0.0,0.8387094140052795,0.0001,0.0,9.474,0.1155,0.2623
2,stage1,0,0.8449386358261108,0.8242765069007874,0.0,0.8449386358261108,0.0001,0.0,9.473,0.1054,0.2748
3,stage1,0,0.6441783905029297,0.7150386571884155,0.0,0.6441783905029297,0.0001,0.0,9.476,0.1576,0.2747
4,stage1,0,0.725052535533905,0.7443743944168091,0.0,0.725052535533905,0.0001,0.0,9.473,0.098,0.2752
5,stage1,0,0.6891598701477051,0.7299676537513733,0.0,0.6891598701477051,0.0001,0.0,9.476,0.1429,0.2751
6,stage1,0,0.7920457720756531,0.745597779750824,0.0,0.7920457720756531,0.0001,0.0,9.475,0.1171,0.2754
7,stage1,0,0.8558278679847717,0.8193462491035461,0.0,0.8558278679847717,0.0001,0.0,9.477,0.1257,0.2758
8,stage1,0,0.8085493445396423,0.777381420135498,0.0,0.8085493445396423,0.0001,0.0,9.474,0.1333,5.3923
9,stage1,0,0.829258918762207,0.7764356732368469,0.0,0.829258918762207,0.0001,0.0,9.477,0.1225,0.2741
10,stage1,0,0.7123497724533081,0.7435696721076965,0.0,0.7123497724533081,0.0001,0.0,9.474,0.1031,0.2754
11,stage1,0,0.8329072594642639,0.7623420357704163,0.0,0.8329072594642639,0.0001,0.0,9.477,0.1017,0.2745
12,stage1,0,0.835926353931427,0.7719753980636597,0.0,0.835926353931427,0.0001,0.0,9.474,0.1428,0.2753
13,stage1,0,0.7870116829872131,0.7857180237770081,0.0,0.7870116829872131,0.0001,0.0,9.477,0.1193,0.2756
14,stage1,0,0.9247825741767883,0.776722252368927,0.0,0.9247825741767883,0.0001,0.0,9.474,0.1405,0.2761
15,stage1,0,0.6731104254722595,0.708476185798645,0.0,0.6731104254722595,0.0001,0.0,9.477,0.0845,0.2756
16,stage1,0,0.9667040109634399,0.8008617162704468,0.0,0.9667040109634399,0.0001,0.0,9.474,0.0961,6.1226
17,stage1,0,0.7735828757286072,0.7558941841125488,0.0,0.7735828757286072,0.0001,0.0,9.477,0.0702,0.3099
18,stage1,0,0.8616909980773926,0.8080589771270752,0.0,0.8616909980773926,0.0001,0.0,9.474,0.0967,0.2752
19,stage1,0,0.8571130633354187,0.7688076496124268,0.0,0.8571130633354187,0.0001,0.0,9.477,0.1047,0.2745
20,stage1,0,0.7266989350318909,0.7741225957870483,0.0,0.7266989350318909,0.0001,0.0,9.474,0.0846,0.2761
21,stage1,0,0.8798118829727173,0.7801780104637146,0.0,0.8798118829727173,0.0001,0.0,9.477,0.0576,0.2756
22,stage1,0,0.8285374641418457,0.7699314951896667,0.0,0.8285374641418457,0.0001,0.0,9.474,0.1405,0.2765
23,stage1,0,1.0147898197174072,0.8165004253387451,0.0,1.0147898197174072,0.0001,0.0,9.477,0.1066,0.2763
24,stage1,0,0.9246549606323242,0.8118341565132141,0.0,0.9246549606323242,0.0001,0.0,9.474,0.088,6.2133
25,stage1,0,0.8772586584091187,0.810883104801178,0.0,0.8772586584091187,0.0001,0.0,9.477,0.0886,0.3243
26,stage1,0,0.7696488499641418,0.7962207198143005,0.0,0.7696488499641418,0.0001,0.0,9.474,0.0889,0.2744
27,stage1,0,0.7861760258674622,0.7510664463043213,0.0,0.7861760258674622,0.0001,0.0,9.477,0.1377,0.2758
28,stage1,0,0.7352856397628784,0.7303107380867004,0.0,0.7352856397628784,0.0001,0.0,9.474,0.0694,0.2757
29,stage1,0,0.8329755067825317,0.7950630784034729,0.0,0.8329755067825317,0.0001,0.0,9.477,0.097,0.276
30,stage1,0,0.8420606255531311,0.7789179682731628,0.0,0.8420606255531311,0.0001,0.0,9.474,0.1361,0.2757
31,stage1,0,0.8630333542823792,0.7894507646560669,0.0,0.8630333542823792,0.0001,0.0,9.477,0.1351,0.2755
32,stage1,0,0.7779601216316223,0.7921578288078308,0.0,0.7779601216316223,0.0001,0.0,9.474,0.129,6.159
33,stage1,0,0.7661842107772827,0.7453244924545288,0.0,0.7661842107772827,0.0001,0.0,9.477,0.0719,0.354
34,stage1,0,0.8490564227104187,0.7701168060302734,0.0,0.8490564227104187,0.0001,0.0,9.474,0.0911,0.2753
35,stage1,0,0.8409262299537659,0.7600853443145752,0.0,0.8409262299537659,0.0001,0.0,9.477,0.1184,0.2758
36,stage1,0,0.9148933291435242,0.7922034859657288,0.0,0.9148933291435242,0.0001,0.0,9.474,0.1261,0.2753
37,stage1,0,0.8660580515861511,0.8102015852928162,0.0,0.8660580515861511,0.0001,0.0,9.477,0.0543,0.2759
38,stage1,0,0.8569098711013794,0.7614046931266785,0.0,0.8569098711013794,0.0001,0.0,9.474,0.1798,0.2758
39,stage1,0,0.8836148381233215,0.7576896548271179,0.0,0.8836148381233215,0.0001,0.0,9.477,0.1337,0.2765
40,stage1,0,0.8383537530899048,0.7682788968086243,0.0,0.8383537530899048,0.0001,0.0,9.474,0.0987,6.1827
41,stage1,0,0.7411933541297913,0.7729977965354919,0.0,0.7411933541297913,0.0001,0.0,9.477,0.0843,0.3917
42,stage1,0,0.7357653975486755,0.7388263940811157,0.0,0.7357653975486755,0.0001,0.0,9.474,0.0708,0.2745
43,stage1,0,0.7956371903419495,0.7544029355049133,0.0,0.7956371903419495,0.0001,0.0,9.477,0.0707,0.2753
44,stage1,0,0.8142847418785095,0.7709558606147766,0.0,0.8142847418785095,0.0001,0.0,9.474,0.1064,0.2764
45,stage1,0,0.8003473877906799,0.7472130060195923,0.0,0.8003473877906799,0.0001,0.0,9.477,0.1357,0.2758
46,stage1,0,0.749076783657074,0.7701815962791443,0.0,0.749076783657074,0.0001,0.0,9.474,0.1051,0.2764
47,stage1,0,0.8314669728279114,0.7752445936203003,0.0,0.8314669728279114,0.0001,0.0,9.477,0.0967,0.2764
48,stage1,0,0.8280189037322998,0.7759239077568054,0.0,0.8280189037322998,0.0001,0.0,9.474,0.0972,6.136
49,stage1,0,0.7622866630554199,0.7512382864952087,0.0,0.7622866630554199,0.0001,0.0,9.477,0.0934,0.3776
50,stage1,0,0.8912103176116943,0.7705273032188416,0.0,0.8912103176116943,0.0001,0.0,9.474,0.129,0.2757
51,stage1,0,0.7484517097473145,0.7650431990623474,0.0,0.7484517097473145,0.0001,0.0,9.477,0.0547,0.2757
52,stage1,0,0.8188640475273132,0.7714143991470337,0.0,0.8188640475273132,0.0001,0.0,9.474,0.0952,0.2754
