epoch_global_step,stage,logging_epoch,flow_matching_loss,l1_loss,ph_loss,total_loss,vram_gb
199,stage1,0,0.7418271282315254,0.7219057244062423,3.054954192042351,0.8029262098670006,9.47481
399,stage1,1,0.5051566986739635,0.5769086810946464,1.3428369218111038,0.5320134358108044,9.4755
599,stage1,2,0.41410782843828203,0.512311193794012,1.0610807332396508,0.43532944083213804,9.4755
799,stage1,3,0.3724801583588123,0.48259055450558663,1.000471501648426,0.39248958870768547,9.4755
999,stage1,4,0.35777827322483063,0.47260080859065057,0.9826438695192337,0.3774311490356922,9.4755
1199,stage1,5,0.3365576881915331,0.4598939400911331,0.9307541653513909,0.3551727706193924,9.4755
1399,stage1,6,0.3172734040021896,0.44964382067322733,0.9028766396641731,0.3353309352695942,9.4755
1599,stage1,7,0.30595098473131654,0.4396009510755539,0.889754424393177,0.3237460730969906,9.4755
1849,stage2,9,0.2880044051259756,0.4293523873388767,0.8475529220700264,0.3049554631114006,50.328535
2049,stage2,10,0.27849061831831934,0.42533697947859767,0.8416471120715141,0.2953235603123903,50.33284
2249,stage2,11,0.26472033880650997,0.41752179473638534,0.8074388265609741,0.28086911484599114,50.332005
2449,stage2,12,0.24989074893295765,0.4076011012494564,0.77765471637249,0.2654438429325819,50.330375000000004
2649,stage2,13,0.23078770764172077,0.39711543008685113,0.7382352599501609,0.24555241242051123,50.329595
2849,stage2,14,0.209147909283638,0.3819716629385948,0.7010378250479699,0.22316866539418698,50.328995000000006
3049,stage2,15,0.19298264116048813,0.37372680723667145,0.649969005137682,0.20598202116787434,50.32951
3249,stage2,16,0.18012257561087608,0.3612603649497032,0.615034281462431,0.19242326103150845,50.329404999999994
3449,stage2,17,0.16913164228200914,0.3563206060230732,0.5927855157852173,0.1809873517602682,50.328575
3649,stage2,18,0.16122767943888902,0.3483505219221115,0.5616136242449283,0.17245995126664637,50.32867
3849,stage2,19,0.15228705193847417,0.34087535068392755,0.535569969266653,0.16299845173954963,50.329364999999996
4049,stage2,20,0.13762505851686002,0.3283028808236122,0.49511066123843195,0.147527270950377,50.330214999999995
4249,stage2,21,0.131768856048584,0.3221715259552002,0.4781199911236763,0.14133125536143779,50.330285
4449,stage2,22,0.12648069996386765,0.31562344476580617,0.4593149809539318,0.13566699933260679,50.330389999999994
4649,stage2,23,0.12098132714629173,0.30990719214081763,0.45623895078897475,0.13010610606521367,50.3293
4849,stage2,24,0.11781118728220463,0.3078772017359734,0.4378401666879654,0.1265679904818535,50.330295
5049,stage2,25,0.1110543917119503,0.3004248489439487,0.4226338888704777,0.11950706958770752,50.329539999999994
5249,stage2,26,0.1049461529403925,0.2924471725523472,0.402047463208437,0.11298710189759731,50.329245
5449,stage2,27,0.10256474029272794,0.28907566353678704,0.39485143780708315,0.11046176884323358,50.32836
5649,stage2,28,0.09997395105659962,0.2883162575960159,0.3863221845030785,0.10770039461553096,50.328705
5849,stage2,29,0.0964920013397932,0.2839978431165218,0.38311289355158806,0.10415425911545753,50.328289999999996
6049,stage2,30,0.09555470936000347,0.2811774641275406,0.3769883669912815,0.10309447646141053,50.32816
6249,stage2,31,0.09016666952520609,0.27346108824014664,0.3535229700803757,0.09723712898790836,50.326724999999996
6449,stage2,32,0.08785437267273664,0.27120948873460293,0.35120471455156804,0.09487846668809652,50.327915000000004
6649,stage2,33,0.08577709563076497,0.27083073660731316,0.34377102881669996,0.09265251602977514,50.328149999999994
6849,stage2,34,0.08500995136797428,0.2677131488919258,0.3425141052901745,0.09186023339629174,50.327425000000005
7049,stage2,35,0.08282463705167174,0.26442896701395513,0.33790060117840764,0.08958264868706464,50.327285
7249,stage2,36,0.08018103662878275,0.2618388269841671,0.3212387108057737,0.08660581111907958,50.326930000000004
7449,stage2,37,0.0767667806521058,0.2568242684751749,0.3130458152294159,0.08302769660949708,50.326875
7649,stage2,38,0.07673704460263252,0.2563541201502085,0.31512072801589963,0.08303945921361447,50.326890000000006
7849,stage2,39,0.07488248124718666,0.254115017876029,0.30686481766402723,0.08101977743208408,50.326835
8049,stage2,40,0.07379517281427979,0.2535688479244709,0.30834982633590696,0.07996216904371976,50.327205000000006
8249,stage2,41,0.07159126199781894,0.2505114681273699,0.30354447260499,0.07766215119510889,50.325185000000005
