global_step,stage,dataset_epoch,flow_matching_loss,l1_loss,ph_loss,total_loss,lr_head,lr_backbone,vram_gb,grad_norm,step_time_s
0,stage1,0,1.0254474878311157,0.8392239809036255,0.0,1.0254474878311157,0.0001,0.0,9.346,2.3628,10.0346
1,stage1,0,0.9533103108406067,0.8334112167358398,0.0,0.9533103108406067,0.0001,0.0,9.475,1.4604,0.26
2,stage1,0,1.0139161348342896,0.8439754247665405,0.0,1.0139161348342896,0.0001,0.0,9.478,0.999,0.2731
3,stage1,0,0.7660906910896301,0.7585074305534363,0.0,0.7660906910896301,0.0001,0.0,9.48,0.7819,0.2733
4,stage1,0,0.8550975322723389,0.7843202352523804,0.0,0.8550975322723389,0.0001,0.0,9.478,0.6426,0.2743
5,stage1,0,0.7883556485176086,0.743303120136261,0.0,0.7883556485176086,0.0001,0.0,9.477,0.5007,0.2739
6,stage1,0,0.8533758521080017,0.7816927433013916,0.0,0.8533758521080017,0.0001,0.0,9.478,0.5683,0.2743
7,stage1,0,0.8086779117584229,0.7659032940864563,0.0,0.8086779117584229,0.0001,0.0,9.48,0.5274,0.2743
8,stage1,0,0.7670371532440186,0.7636224627494812,0.0,0.7670371532440186,0.0001,0.0,9.48,0.4823,5.5208
9,stage1,0,0.822121798992157,0.766106903553009,0.0,0.822121798992157,0.0001,0.0,9.479,0.3935,0.2731
10,stage1,0,0.8544262647628784,0.777782678604126,0.0,0.8544262647628784,0.0001,0.0,9.478,0.4286,0.2735
11,stage1,0,0.7364804148674011,0.7754117250442505,0.0,0.7364804148674011,0.0001,0.0,9.481,0.3708,0.2735
12,stage1,0,0.7032392621040344,0.7299206852912903,0.0,0.7032392621040344,0.0001,0.0,9.48,0.305,0.2745
13,stage1,0,0.842491865158081,0.7622485160827637,0.0,0.842491865158081,0.0001,0.0,9.478,0.3354,0.2735
14,stage1,0,0.7753745913505554,0.7634570002555847,0.0,0.7753745913505554,0.0001,0.0,9.482,0.3558,0.2741
15,stage1,0,0.7762988209724426,0.7771117091178894,0.0,0.7762988209724426,0.0001,0.0,9.48,0.3185,0.2742
16,stage1,0,0.8747801184654236,0.7920665144920349,0.0,0.8747801184654236,0.0001,0.0,9.48,0.4439,6.1853
17,stage1,0,0.8085977435112,0.7740598320960999,0.0,0.8085977435112,0.0001,0.0,9.481,0.3167,0.2726
18,stage1,0,0.7689502835273743,0.7197554707527161,0.0,0.7689502835273743,0.0001,0.0,9.479,0.2932,0.2737
19,stage1,0,0.8650739192962646,0.8078604936599731,0.0,0.8650739192962646,0.0001,0.0,9.479,0.3112,0.2735
20,stage1,0,0.7666219472885132,0.754973292350769,0.0,0.7666219472885132,0.0001,0.0,9.478,0.2236,0.2736
21,stage1,0,0.7497007250785828,0.7447980046272278,0.0,0.7497007250785828,0.0001,0.0,9.48,0.3092,0.274
22,stage1,0,0.708854615688324,0.7483026385307312,0.0,0.708854615688324,0.0001,0.0,9.48,0.2292,0.2732
23,stage1,0,0.8733227252960205,0.7863572835922241,0.0,0.8733227252960205,0.0001,0.0,9.478,0.2589,0.2741
24,stage1,0,0.8492323160171509,0.7574194669723511,0.0,0.8492323160171509,0.0001,0.0,9.479,0.2798,6.3905
25,stage1,0,0.6618156433105469,0.7564111948013306,0.0,0.6618156433105469,0.0001,0.0,9.478,0.2369,0.2717
26,stage1,0,0.8232535719871521,0.7685776948928833,0.0,0.8232535719871521,0.0001,0.0,9.478,0.3404,0.274
27,stage1,0,0.7506241798400879,0.7395981550216675,0.0,0.7506241798400879,0.0001,0.0,9.478,0.2374,0.2739
28,stage1,0,0.6999856233596802,0.7354353666305542,0.0,0.6999856233596802,0.0001,0.0,9.478,0.1977,0.2739
29,stage1,0,0.8113570213317871,0.748163104057312,0.0,0.8113570213317871,0.0001,0.0,9.478,0.3876,0.2744
30,stage1,0,0.9137651920318604,0.7851898074150085,0.0,0.9137651920318604,0.0001,0.0,9.478,0.2761,0.2742
31,stage1,0,0.7982268333435059,0.7568896412849426,0.0,0.7982268333435059,0.0001,0.0,9.478,0.2868,0.2742
32,stage1,0,0.8251540660858154,0.7962293028831482,0.0,0.8251540660858154,0.0001,0.0,9.478,0.1984,6.4001
33,stage1,0,0.7273942232131958,0.7413608431816101,0.0,0.7273942232131958,0.0001,0.0,9.478,0.2153,0.2732
34,stage1,0,0.8124727606773376,0.7633259892463684,0.0,0.8124727606773376,0.0001,0.0,9.478,0.3272,0.2743
35,stage1,0,0.7432165741920471,0.7212527394294739,0.0,0.7432165741920471,0.0001,0.0,9.478,0.2202,0.2744
36,stage1,0,0.8207098245620728,0.7818525433540344,0.0,0.8207098245620728,0.0001,0.0,9.478,0.273,0.2741
37,stage1,0,0.758037805557251,0.7377359867095947,0.0,0.758037805557251,0.0001,0.0,9.478,0.2061,0.2749
